,accuracy,precision,recall,f1
Theater,0.7193436960276338,0.7125279642058165,0.9035460992907801,0.7967479674796748
Technology,0.8553366656865627,0.8657035848047084,0.8703604088219473,0.8680257510729614
Dance,0.7321867321867321,0.7335640138408305,0.8688524590163934,0.7954971857410882
Film & Video,0.8623689934743919,0.9017492711370262,0.8960023174971031,0.8988666085440279
Music,0.8468805353276914,0.8829096809085992,0.9044321329639889,0.8935413245758074
Comics,0.8680445151033387,0.8952122854561879,0.951969260326609,0.9227188081936686
Publishing,0.823960880195599,0.8686456400742115,0.8647949759881788,0.8667160310995927
Food,0.8451452870304749,0.8423194303153612,0.745945945945946,0.7912087912087912
None,0.9666666666666667,0.9670079635949943,0.9988249118683902,0.9826589595375722
Journalism,0.8221941992433796,0.7310344827586207,0.5096153846153846,0.6005665722379604
Games,0.8808885484488702,0.8970976253298153,0.9361233480176211,0.9161950956615468
Fashion,0.8297084683017122,0.8707607699358387,0.8071367884451996,0.8377425044091711
Art,0.8182102628285357,0.8558711318355235,0.893362831858407,0.8742151980948257
Design,0.7984886649874056,0.8053571428571429,0.898406374501992,0.8493408662900188
Photography,0.798406374501992,0.8353552859618717,0.753125,0.7921117502054231
Crafts,0.7896600566572238,0.6975476839237057,0.579185520361991,0.6328800988875154
