,mean_accuracy,mean_precision,mean_recall,mean_f1
Theater,0.7302139413527721,0.7196921454339248,0.9219113110696563,0.8083330552748504
Technology,0.860059889739488,0.8768482352735832,0.8667098791755509,0.8717400489385907
Dance,0.7416723914205022,0.7550430463051515,0.8479567642956767,0.7984902241075092
Film & Video,0.8601166390941138,0.8972735528916876,0.8961350768785742,0.8966795251129419
Music,0.8491790412268798,0.884729526456916,0.9062726042388294,0.8953415571358997
Comics,0.8699588482513633,0.8962423168046284,0.9518140924521046,0.9231586498849872
Publishing,0.8241564684798643,0.8674805427501451,0.8610144670698023,0.8642243416127762
Food,0.8391856452588776,0.8447013307294977,0.7185386168394067,0.7764629710230951
None,0.9673007073474338,0.9731186193632757,0.9928972568219454,0.9829069391871743
Journalism,0.82890625,0.7482793303578668,0.5219104477611941,0.6147618229323222
Games,0.8749431778015933,0.898236222238595,0.9259243093221297,0.9118339865390931
Fashion,0.8257101588830043,0.8719001907647754,0.7960245615359928,0.8321856597523803
Art,0.8276855804217433,0.8680386774100224,0.8936905790838375,0.8806653631328241
Design,0.8171785014008839,0.8353208038062977,0.8829087546865898,0.8583232356035703
Photography,0.8073275465899024,0.8207902225524638,0.7797590118984731,0.7995051215110683
Crafts,0.7861967694566814,0.7014446112327771,0.5897371675943104,0.6405842910261685
