number,value,datetime_start,datetime_complete,duration,params_gamma,params_learning_rate,params_max_depth,params_n_estimators,state
0,0.8776303879609287,2025-11-16 11:52:41.376825,2025-11-16 11:52:42.366496,0 days 00:00:00.989671,1.7810807190793387,0.22463429622621117,10,210,COMPLETE
1,0.8614255562878983,2025-11-16 11:52:42.366532,2025-11-16 11:52:43.578069,0 days 00:00:01.211537,1.2070392321533592,0.011926201361081924,2,358,COMPLETE
2,0.8314469519415948,2025-11-16 11:52:43.578127,2025-11-16 11:52:45.390664,0 days 00:00:01.812537,4.880598182167233,0.0023087022942945004,11,169,COMPLETE
3,0.8726168214421385,2025-11-16 11:52:45.390702,2025-11-16 11:52:46.521065,0 days 00:00:01.130363,4.570747852792702,0.020473169217634514,3,246,COMPLETE
4,0.8665034482027025,2025-11-16 11:52:46.521104,2025-11-16 11:52:47.511702,0 days 00:00:00.990598,3.386600864629269,0.022302181515056443,2,259,COMPLETE
5,0.8788252790591182,2025-11-16 11:52:47.511752,2025-11-16 11:52:48.780396,0 days 00:00:01.268644,2.914811497686351,0.04983094438497198,6,355,COMPLETE
6,0.881265613919388,2025-11-16 11:52:48.780443,2025-11-16 11:52:50.619333,0 days 00:00:01.838890,0.20276665490438994,0.03844801127276474,7,307,COMPLETE
7,0.8777086401748363,2025-11-16 11:52:50.619383,2025-11-16 11:52:51.833452,0 days 00:00:01.214069,3.0775570409272497,0.09888507952633216,12,309,COMPLETE
8,0.8630283890746849,2025-11-16 11:52:51.833494,2025-11-16 11:52:52.733132,0 days 00:00:00.899638,4.478941460947898,0.01407839111831428,3,175,COMPLETE
9,0.847264786043502,2025-11-16 11:52:52.733184,2025-11-16 11:52:56.516763,0 days 00:00:03.783579,2.1426778297301015,0.0013656651344348696,11,349,COMPLETE
10,0.844082660484424,2025-11-16 11:52:56.516815,2025-11-16 11:52:57.666436,0 days 00:00:01.149621,0.1304756964032463,0.004505485814666254,7,118,COMPLETE
11,0.8805213889408641,2025-11-16 11:52:57.666477,2025-11-16 11:52:59.394710,0 days 00:00:01.728233,0.3487060264024022,0.0608524080691497,6,395,COMPLETE
12,0.8791056533834738,2025-11-16 11:52:59.394749,2025-11-16 11:53:00.983158,0 days 00:00:01.588409,0.21506186606951613,0.07025379696492062,5,390,COMPLETE
13,0.8772767835195692,2025-11-16 11:53:00.983227,2025-11-16 11:53:02.066852,0 days 00:00:01.083625,0.9710614994991102,0.26396863794994463,9,299,COMPLETE
14,0.8780662265522761,2025-11-16 11:53:02.066888,2025-11-16 11:53:03.817404,0 days 00:00:01.750516,0.9620847997507526,0.04103727105171577,8,395,COMPLETE
15,0.8811877715351522,2025-11-16 11:53:03.817449,2025-11-16 11:53:05.033390,0 days 00:00:01.215941,0.5162643976469097,0.11507788033855305,5,304,COMPLETE
16,0.8780392950437275,2025-11-16 11:53:05.033427,2025-11-16 11:53:06.071894,0 days 00:00:01.038467,1.5321545406144192,0.16324517401150163,5,298,COMPLETE
