number,value,datetime_start,datetime_complete,duration,params_gamma,params_learning_rate,params_max_depth,params_n_estimators,state
0,0.0,2025-11-16 11:57:50.920282,2025-11-16 11:57:52.559701,0 days 00:00:01.639419,0.21033195420704642,0.0013796123920330936,10,164,COMPLETE
1,0.5779276503632722,2025-11-16 11:57:52.559747,2025-11-16 11:57:54.636903,0 days 00:00:02.077156,2.506517329180919,0.004973694725701949,12,271,COMPLETE
2,0.45986780654899084,2025-11-16 11:57:54.636948,2025-11-16 11:57:55.763777,0 days 00:00:01.126829,0.4461191374343859,0.002912190972262039,6,263,COMPLETE
3,0.6231361282292497,2025-11-16 11:57:55.763821,2025-11-16 11:57:56.426420,0 days 00:00:00.662599,2.1733157086109274,0.10455598653976216,2,296,COMPLETE
4,0.24372396455964185,2025-11-16 11:57:56.426458,2025-11-16 11:57:56.999555,0 days 00:00:00.573097,3.652410808058591,0.004074365662389291,3,150,COMPLETE
5,0.5644749078285389,2025-11-16 11:57:56.999595,2025-11-16 11:57:57.853393,0 days 00:00:00.853798,1.9791193015818775,0.007661113240800742,5,207,COMPLETE
6,0.6276724450740229,2025-11-16 11:57:57.853430,2025-11-16 11:57:58.404946,0 days 00:00:00.551516,1.9892190955515314,0.13679305819784887,4,153,COMPLETE
7,0.5374092280979781,2025-11-16 11:57:58.404990,2025-11-16 11:57:59.835880,0 days 00:00:01.430890,1.3612281283503025,0.004595696965714881,8,233,COMPLETE
8,0.6267965187647744,2025-11-16 11:57:59.835921,2025-11-16 11:58:00.993379,0 days 00:00:01.157458,1.8377387144427364,0.027917001894473128,8,213,COMPLETE
9,0.0,2025-11-16 11:58:00.993417,2025-11-16 11:58:01.537698,0 days 00:00:00.544281,0.39768641196280763,0.001961964664483397,2,121,COMPLETE
10,0.6245602673552078,2025-11-16 11:58:01.537735,2025-11-16 11:58:02.287743,0 days 00:00:00.750008,4.609506491907549,0.1916949571322861,4,370,COMPLETE
11,0.6185194844839728,2025-11-16 11:58:02.287784,2025-11-16 11:58:03.067773,0 days 00:00:00.779989,3.051236950099215,0.0392792293648084,7,195,COMPLETE
12,0.619100302717013,2025-11-16 11:58:03.067816,2025-11-16 11:58:03.948951,0 days 00:00:00.881135,1.2850384327290039,0.0294712968318881,9,103,COMPLETE
13,0.6285249086614083,2025-11-16 11:58:03.948997,2025-11-16 11:58:04.785261,0 days 00:00:00.836264,1.3096334963758998,0.07029907831279791,6,316,COMPLETE
14,0.627438326885239,2025-11-16 11:58:04.785300,2025-11-16 11:58:05.585410,0 days 00:00:00.800110,1.0862059412186191,0.08155164524145674,5,326,COMPLETE
15,0.6294445229195874,2025-11-16 11:58:05.585446,2025-11-16 11:58:06.302707,0 days 00:00:00.717261,2.8521162568433436,0.29698727536124087,4,383,COMPLETE
16,0.6211830062984779,2025-11-16 11:58:06.302744,2025-11-16 11:58:07.039796,0 days 00:00:00.737052,3.5523696909132254,0.2843443590143026,6,392,COMPLETE
17,0.62134739810783,2025-11-16 11:58:07.039839,2025-11-16 11:58:07.795956,0 days 00:00:00.756117,2.903975050795582,0.06264845284932849,4,339,COMPLETE
18,0.6166752897065833,2025-11-16 11:58:07.795993,2025-11-16 11:58:08.896747,0 days 00:00:01.100754,4.833279178449699,0.015228127684719027,6,343,COMPLETE
19,0.6305435427469883,2025-11-16 11:58:08.896792,2025-11-16 11:58:09.677847,0 days 00:00:00.781055,4.228374881011737,0.24916627254953438,12,396,COMPLETE
20,0.6208333319170841,2025-11-16 11:58:09.677891,2025-11-16 11:58:10.511248,0 days 00:00:00.833357,4.192022567067006,0.23739190735431492,12,391,COMPLETE
21,0.6252378012963271,2025-11-16 11:58:10.511284,2025-11-16 11:58:11.266899,0 days 00:00:00.755615,4.1411044305289035,0.14254088783717594,10,308,COMPLETE
22,0.6202601853156035,2025-11-16 11:58:11.266935,2025-11-16 11:58:12.106175,0 days 00:00:00.839240,3.2419672686197396,0.07091799324682918,7,363,COMPLETE
23,0.6238578924901266,2025-11-16 11:58:12.106219,2025-11-16 11:58:12.910100,0 days 00:00:00.803881,2.584878247775717,0.2928517773192425,11,398,COMPLETE
24,0.634591525962416,2025-11-16 11:58:12.910144,2025-11-16 11:58:13.701619,0 days 00:00:00.791475,0.9169445114764374,0.15965922684035969,5,370,COMPLETE
25,0.6375615605369533,2025-11-16 11:58:13.701672,2025-11-16 11:58:14.443868,0 days 00:00:00.742196,0.7725016110741669,0.17395930609134258,3,362,COMPLETE
26,0.6346557640023885,2025-11-16 11:58:14.443920,2025-11-16 11:58:15.208043,0 days 00:00:00.764123,0.8660399550988185,0.15095359600802083,3,350,COMPLETE
27,0.6263989042429282,2025-11-16 11:58:15.208087,2025-11-16 11:58:16.093194,0 days 00:00:00.885107,0.696410476063263,0.04580048943154142,3,354,COMPLETE
28,0.6349377764641929,2025-11-16 11:58:16.093239,2025-11-16 11:58:16.841495,0 days 00:00:00.748256,0.8645218727025694,0.15337442150989913,3,297,COMPLETE
29,0.0,2025-11-16 11:58:16.841531,2025-11-16 11:58:17.634920,0 days 00:00:00.793389,0.06674783877033619,0.0010692620436545297,3,288,COMPLETE
30,0.6260540307486655,2025-11-16 11:58:17.634976,2025-11-16 11:58:18.332480,0 days 00:00:00.697504,1.6025703976762595,0.11094210358732114,2,332,COMPLETE
31,0.6329518275702667,2025-11-16 11:58:18.332516,2025-11-16 11:58:19.082933,0 days 00:00:00.750417,0.8499827030724831,0.1680321866092498,3,363,COMPLETE
32,0.6307570988447622,2025-11-16 11:58:19.082984,2025-11-16 11:58:19.834474,0 days 00:00:00.751490,0.8115557622336811,0.10365864606834738,5,289,COMPLETE
33,0.6415861821113359,2025-11-16 11:58:19.834512,2025-11-16 11:58:20.527205,0 days 00:00:00.692693,0.4072285190743278,0.17977400676817062,3,246,COMPLETE
34,0.6098819933597979,2025-11-16 11:58:20.527250,2025-11-16 11:58:21.198810,0 days 00:00:00.671560,0.5481972875426393,0.05146927485758316,2,254,COMPLETE
35,0.5996515898077484,2025-11-16 11:58:21.198853,2025-11-16 11:58:21.984577,0 days 00:00:00.785724,0.2748812344351056,0.017875504964477772,3,270,COMPLETE
36,0.6265442468851654,2025-11-16 11:58:21.984613,2025-11-16 11:58:22.611841,0 days 00:00:00.627228,0.017138191836703065,0.10140088675483826,2,246,COMPLETE
37,0.6267713465211081,2025-11-16 11:58:22.611877,2025-11-16 11:58:23.298481,0 days 00:00:00.686604,1.6721498118628606,0.19280161069787477,3,308,COMPLETE
38,0.6257473795889548,2025-11-16 11:58:23.298525,2025-11-16 11:58:23.912883,0 days 00:00:00.614358,2.231220707584927,0.125629167797641,4,234,COMPLETE
39,0.626668722885831,2025-11-16 11:58:23.912930,2025-11-16 11:58:24.615927,0 days 00:00:00.702997,0.5665344578123054,0.08467924453152,2,279,COMPLETE
40,0.5805178962890445,2025-11-16 11:58:24.615970,2025-11-16 11:58:25.298416,0 days 00:00:00.682446,1.1567117571660641,0.013931422540934707,4,174,COMPLETE
41,0.6256855157958935,2025-11-16 11:58:25.298460,2025-11-16 11:58:26.072434,0 days 00:00:00.773974,0.8765891026968478,0.16925218793565572,5,378,COMPLETE
42,0.6375214424165989,2025-11-16 11:58:26.072470,2025-11-16 11:58:26.956742,0 days 00:00:00.884272,0.2630532163261077,0.1814562402680083,3,350,COMPLETE
43,0.6342123921464483,2025-11-16 11:58:26.956779,2025-11-16 11:58:27.791425,0 days 00:00:00.834646,0.23640420111145444,0.2045120890626879,3,351,COMPLETE
44,0.6351096156776507,2025-11-16 11:58:27.791477,2025-11-16 11:58:28.614543,0 days 00:00:00.823066,0.501685711319414,0.12358776375675755,4,301,COMPLETE
45,0.5241474090670599,2025-11-16 11:58:28.614581,2025-11-16 11:58:29.372322,0 days 00:00:00.757741,0.5007017982276961,0.009483793102589703,2,318,COMPLETE
46,0.6389315640792186,2025-11-16 11:58:29.372366,2025-11-16 11:58:30.260675,0 days 00:00:00.888309,0.32443258596203733,0.09423477538320855,4,298,COMPLETE
47,0.6194635154014485,2025-11-16 11:58:30.260712,2025-11-16 11:58:31.011557,0 days 00:00:00.750845,0.3780711158032291,0.03116279867970179,4,217,COMPLETE
48,0.6400629597864095,2025-11-16 11:58:31.011597,2025-11-16 11:58:31.812392,0 days 00:00:00.800795,0.1472849454451608,0.21618846862506672,4,261,COMPLETE
49,0.4296432371340552,2025-11-16 11:58:31.812429,2025-11-16 11:58:32.797260,0 days 00:00:00.984831,0.03400400793421632,0.0029091807571241402,5,259,COMPLETE
50,0.6453443327766906,2025-11-16 11:58:32.797312,2025-11-16 11:58:33.505946,0 days 00:00:00.708634,0.30308397721791874,0.2160719764246308,4,225,COMPLETE
