number,value,datetime_start,datetime_complete,duration,params_gamma,params_learning_rate,params_max_depth,params_n_estimators,state
0,0.7903330803398718,2025-11-16 11:36:19.517193,2025-11-16 11:36:19.945202,0 days 00:00:00.428009,3.1684041859588903,0.01579214235980563,5,133,COMPLETE
1,0.7862353178695097,2025-11-16 11:36:19.945243,2025-11-16 11:36:20.795931,0 days 00:00:00.850688,4.714991846334511,0.00206733832341201,7,292,COMPLETE
2,0.7755974788163954,2025-11-16 11:36:20.795968,2025-11-16 11:36:21.437946,0 days 00:00:00.641978,0.9435225671613268,0.040762754336993764,8,299,COMPLETE
3,0.7821744101969206,2025-11-16 11:36:21.437991,2025-11-16 11:36:22.494589,0 days 00:00:01.056598,0.024978169071702694,0.007116881374845099,6,392,COMPLETE
4,0.7868334711050323,2025-11-16 11:36:22.494625,2025-11-16 11:36:23.108921,0 days 00:00:00.614296,1.1341781239930226,0.0018688501050579146,5,229,COMPLETE
5,0.7892462093936796,2025-11-16 11:36:23.108957,2025-11-16 11:36:24.085861,0 days 00:00:00.976904,0.8080691254144562,0.002783168374533526,6,358,COMPLETE
6,0.7820733505953632,2025-11-16 11:36:24.085896,2025-11-16 11:36:25.101710,0 days 00:00:01.015814,1.4357557897495061,0.001991843942955481,8,276,COMPLETE
7,0.7892960286603927,2025-11-16 11:36:25.101748,2025-11-16 11:36:25.503187,0 days 00:00:00.401439,3.4504265551266498,0.007115770536456953,3,172,COMPLETE
8,0.7839180541984311,2025-11-16 11:36:25.503237,2025-11-16 11:36:25.917224,0 days 00:00:00.413987,1.5266189164728083,0.052834074629926,7,123,COMPLETE
9,0.7906808699068575,2025-11-16 11:36:25.917279,2025-11-16 11:36:26.334054,0 days 00:00:00.416775,2.9327437108109358,0.15981582263964925,5,279,COMPLETE
10,0.780858470560262,2025-11-16 11:36:26.334109,2025-11-16 11:36:26.733679,0 days 00:00:00.399570,2.563527585490305,0.2954631191042746,12,218,COMPLETE
11,0.795289204093892,2025-11-16 11:36:26.733723,2025-11-16 11:36:27.007051,0 days 00:00:00.273328,3.2396102236062605,0.2248378549399378,2,104,COMPLETE
12,0.7996268138823983,2025-11-16 11:36:27.007103,2025-11-16 11:36:27.343960,0 days 00:00:00.336857,4.14988147842255,0.2883464531708608,2,184,COMPLETE
13,0.8025224699238906,2025-11-16 11:36:27.343996,2025-11-16 11:36:27.627936,0 days 00:00:00.283940,4.388082861094144,0.0922785342537758,2,102,COMPLETE
14,0.7985256729522722,2025-11-16 11:36:27.627988,2025-11-16 11:36:27.971835,0 days 00:00:00.343847,4.953892705923628,0.09278226326093032,2,186,COMPLETE
15,0.7978811408628811,2025-11-16 11:36:27.971894,2025-11-16 11:36:28.299725,0 days 00:00:00.327831,4.109870269573241,0.10789805114867784,3,162,COMPLETE
16,0.7856907972100207,2025-11-16 11:36:28.299775,2025-11-16 11:36:28.720724,0 days 00:00:00.420949,4.020922292546791,0.03918269902832796,11,150,COMPLETE
17,0.7984382497560684,2025-11-16 11:36:28.720762,2025-11-16 11:36:29.071492,0 days 00:00:00.350730,4.184200486467071,0.07301881149063526,3,188,COMPLETE
18,0.7927372111512007,2025-11-16 11:36:29.071557,2025-11-16 11:36:29.427293,0 days 00:00:00.355736,2.122098988309549,0.02435629742772339,4,105,COMPLETE
19,0.7997856136420176,2025-11-16 11:36:29.427344,2025-11-16 11:36:29.795098,0 days 00:00:00.367754,3.7228045115135355,0.14766747365249114,2,211,COMPLETE
20,0.7823970715944311,2025-11-16 11:36:29.795143,2025-11-16 11:36:30.203665,0 days 00:00:00.408522,3.7018846451667717,0.14225561872517384,10,226,COMPLETE
21,0.7972353214214799,2025-11-16 11:36:30.203737,2025-11-16 11:36:30.560940,0 days 00:00:00.357203,4.5536291572073235,0.2979849152283723,2,203,COMPLETE
22,0.7909304185644176,2025-11-16 11:36:30.560987,2025-11-16 11:36:30.876395,0 days 00:00:00.315408,4.3986600664914945,0.17019489699090085,4,146,COMPLETE
23,0.7999072681240909,2025-11-16 11:36:30.876430,2025-11-16 11:36:31.291334,0 days 00:00:00.414904,3.7964701007817676,0.06979798421342984,2,257,COMPLETE
24,0.794981543139176,2025-11-16 11:36:31.291371,2025-11-16 11:36:31.745523,0 days 00:00:00.454152,3.676120320550805,0.06902315763524422,4,317,COMPLETE
25,0.7947685076986184,2025-11-16 11:36:31.745559,2025-11-16 11:36:32.223679,0 days 00:00:00.478120,2.6813390758258056,0.022397654369266863,3,250,COMPLETE
26,0.8009838760117883,2025-11-16 11:36:32.223718,2025-11-16 11:36:32.633401,0 days 00:00:00.409683,2.236820128475673,0.11695817037047901,2,257,COMPLETE
27,0.790421168418092,2025-11-16 11:36:32.633436,2025-11-16 11:36:33.100597,0 days 00:00:00.467161,2.359632114491768,0.032246486003289734,4,247,COMPLETE
28,0.7964923576587772,2025-11-16 11:36:33.100651,2025-11-16 11:36:33.683608,0 days 00:00:00.582957,2.026273770584071,0.011520872537555937,3,331,COMPLETE
29,0.7790071255093356,2025-11-16 11:36:33.683645,2025-11-16 11:36:34.168299,0 days 00:00:00.484654,2.9766053676255515,0.05837806710942496,9,262,COMPLETE
30,0.788175022729193,2025-11-16 11:36:34.168360,2025-11-16 11:36:34.873306,0 days 00:00:00.704946,1.8051101110624637,0.015234316564881837,5,337,COMPLETE
31,0.8021146599390185,2025-11-16 11:36:34.873342,2025-11-16 11:36:35.260685,0 days 00:00:00.387343,3.6097727483017525,0.1054512734980313,2,247,COMPLETE
32,0.7979142574338134,2025-11-16 11:36:35.260728,2025-11-16 11:36:35.648255,0 days 00:00:00.387527,4.985110502055779,0.10509629323817189,2,240,COMPLETE
33,0.7972223399415637,2025-11-16 11:36:35.648298,2025-11-16 11:36:36.076249,0 days 00:00:00.427951,3.227081734998826,0.07532863138291275,3,286,COMPLETE
34,0.7992245873649981,2025-11-16 11:36:36.076291,2025-11-16 11:36:36.523598,0 days 00:00:00.447307,3.8439452356342243,0.04703997450768282,2,315,COMPLETE
35,0.7924623417858854,2025-11-16 11:36:36.523650,2025-11-16 11:36:37.022533,0 days 00:00:00.498883,4.526487277701594,0.11046694451062229,4,394,COMPLETE
36,0.776201084160392,2025-11-16 11:36:37.022571,2025-11-16 11:36:37.774751,0 days 00:00:00.752180,2.9502357379868567,0.0010785954535157158,6,267,COMPLETE
37,0.7732802553539978,2025-11-16 11:36:37.774796,2025-11-16 11:36:38.293617,0 days 00:00:00.518821,0.29197765388297947,0.18942948661417877,3,370,COMPLETE
38,0.8027272715328635,2025-11-16 11:36:38.293653,2025-11-16 11:36:38.746036,0 days 00:00:00.452383,3.445959628193551,0.03501807682074107,2,297,COMPLETE
39,0.7923833059021379,2025-11-16 11:36:38.746072,2025-11-16 11:36:39.253659,0 days 00:00:00.507587,3.4442505155602787,0.03342428759691721,5,303,COMPLETE
40,0.7970842457263115,2025-11-16 11:36:39.253694,2025-11-16 11:36:39.811977,0 days 00:00:00.558283,2.3952010857906254,0.007675406063886008,3,302,COMPLETE
41,0.803225157858934,2025-11-16 11:36:39.812029,2025-11-16 11:36:40.220378,0 days 00:00:00.408349,3.451460274950977,0.0868968379743,2,263,COMPLETE
42,0.8033606517082458,2025-11-16 11:36:40.220422,2025-11-16 11:36:40.599876,0 days 00:00:00.379454,3.4303494967900776,0.09295892932397534,2,235,COMPLETE
43,0.797572506156973,2025-11-16 11:36:40.599929,2025-11-16 11:36:41.003640,0 days 00:00:00.403711,3.4723179787141776,0.04872263954436166,3,232,COMPLETE
44,0.7895679675146845,2025-11-16 11:36:41.003683,2025-11-16 11:36:41.427760,0 days 00:00:00.424077,2.731522153702266,0.09409185246036615,4,277,COMPLETE
45,0.7814023672987113,2025-11-16 11:36:41.427810,2025-11-16 11:36:41.909641,0 days 00:00:00.481831,3.344016852225074,0.03290065463473987,8,200,COMPLETE
46,0.7999174298584644,2025-11-16 11:36:41.909683,2025-11-16 11:36:42.321505,0 days 00:00:00.411822,3.068911384994,0.21078901143068043,2,292,COMPLETE
47,0.8009908302632779,2025-11-16 11:36:42.321551,2025-11-16 11:36:42.828395,0 days 00:00:00.506844,4.36916624753324,0.02361577095031044,2,343,COMPLETE
48,0.7873555159018502,2025-11-16 11:36:42.828431,2025-11-16 11:36:43.170994,0 days 00:00:00.342563,3.94658884850144,0.05961691788925177,6,121,COMPLETE
49,0.7970270696724872,2025-11-16 11:36:43.171030,2025-11-16 11:36:43.639398,0 days 00:00:00.468368,4.7566247029299715,0.08479916796579427,3,363,COMPLETE
50,0.8024067009695935,2025-11-16 11:36:43.639435,2025-11-16 11:36:44.037345,0 days 00:00:00.397910,3.5619919852715345,0.14198914835857304,2,269,COMPLETE
51,0.7996242500039692,2025-11-16 11:36:44.037401,2025-11-16 11:36:44.446159,0 days 00:00:00.408758,3.537616352229231,0.13301742003242117,2,274,COMPLETE
52,0.8004087055494604,2025-11-16 11:36:44.446202,2025-11-16 11:36:44.804188,0 days 00:00:00.357986,2.739404891708523,0.22980812974659215,2,220,COMPLETE
53,0.7963044233823677,2025-11-16 11:36:44.804235,2025-11-16 11:36:45.241534,0 days 00:00:00.437299,4.229179519941658,0.0865388249586192,3,314,COMPLETE
