number,value,datetime_start,datetime_complete,duration,params_gamma,params_learning_rate,params_max_depth,params_n_estimators,state
0,0.8958035066265648,2025-11-16 11:37:01.319008,2025-11-16 11:37:02.748085,0 days 00:00:01.429077,4.7526852510531175,0.0685803658028045,7,255,COMPLETE
1,0.8831645366440668,2025-11-16 11:37:02.748120,2025-11-16 11:37:04.307780,0 days 00:00:01.559660,2.038366286424007,0.01037070679800538,8,137,COMPLETE
2,0.8957312360389263,2025-11-16 11:37:04.307826,2025-11-16 11:37:05.747381,0 days 00:00:01.439555,1.541157874277047,0.08753570442510662,7,215,COMPLETE
3,0.8975104882234832,2025-11-16 11:37:05.747418,2025-11-16 11:37:07.896707,0 days 00:00:02.149289,0.3100195703619074,0.05433690847346056,6,375,COMPLETE
4,0.8945147228445386,2025-11-16 11:37:07.896745,2025-11-16 11:37:10.594583,0 days 00:00:02.697838,1.3377593858281012,0.013773303065405423,8,340,COMPLETE
5,0.8797300546305091,2025-11-16 11:37:10.594621,2025-11-16 11:37:12.030687,0 days 00:00:01.436066,3.2953099470845917,0.009757623994987261,6,161,COMPLETE
6,0.8957950298759098,2025-11-16 11:37:12.030741,2025-11-16 11:37:15.441744,0 days 00:00:03.411003,4.565748688026373,0.009262433742409905,12,395,COMPLETE
7,0.8953483448541453,2025-11-16 11:37:15.441792,2025-11-16 11:37:16.755346,0 days 00:00:01.313554,1.708739118697733,0.12740425743452496,6,183,COMPLETE
8,0.8270152215766506,2025-11-16 11:37:16.755382,2025-11-16 11:37:18.835367,0 days 00:00:02.079985,3.3111699803356798,0.0016737951890559999,8,240,COMPLETE
9,0.8076420634242695,2025-11-16 11:37:18.835414,2025-11-16 11:37:20.654830,0 days 00:00:01.819416,0.63064291420318,0.001035197086304597,4,396,COMPLETE
10,0.8962603021150854,2025-11-16 11:37:20.654873,2025-11-16 11:37:22.025065,0 days 00:00:01.370192,0.18501137612039598,0.240025739086027,2,319,COMPLETE
11,0.8959072434735715,2025-11-16 11:37:22.025103,2025-11-16 11:37:23.381525,0 days 00:00:01.356422,0.046017328618998654,0.29581620870882613,2,315,COMPLETE
12,0.8848512565629436,2025-11-16 11:37:23.381568,2025-11-16 11:37:24.717425,0 days 00:00:01.335857,0.13528257464529947,0.04184994248997074,2,311,COMPLETE
13,0.8957096399825704,2025-11-16 11:37:24.717462,2025-11-16 11:37:26.218941,0 days 00:00:01.501479,0.7898608434850755,0.2304749127912107,4,347,COMPLETE
14,0.895890732254365,2025-11-16 11:37:26.218995,2025-11-16 11:37:28.328783,0 days 00:00:02.109788,2.6167729292237354,0.03387182967049265,11,282,COMPLETE
15,0.8965757703413528,2025-11-16 11:37:28.328822,2025-11-16 11:37:29.868789,0 days 00:00:01.539967,0.831890273514429,0.15766921012394947,4,360,COMPLETE
16,0.8942398900080353,2025-11-16 11:37:29.868828,2025-11-16 11:37:31.662897,0 days 00:00:01.794069,0.9138894597404198,0.029677614762705314,4,358,COMPLETE
17,0.8768291918703772,2025-11-16 11:37:31.662934,2025-11-16 11:37:33.632554,0 days 00:00:01.969620,2.3212958201722085,0.004413250113511772,5,372,COMPLETE
18,0.894821655693152,2025-11-16 11:37:33.632597,2025-11-16 11:37:35.077461,0 days 00:00:01.444864,1.0751564703145144,0.10692772923535744,10,101,COMPLETE
19,0.8956724920676,2025-11-16 11:37:35.077500,2025-11-16 11:37:36.644120,0 days 00:00:01.566620,3.005891211478336,0.051386933397808185,5,289,COMPLETE
20,0.8947455304223795,2025-11-16 11:37:36.644160,2025-11-16 11:37:38.144676,0 days 00:00:01.500516,4.003756264355909,0.13475248622146227,3,374,COMPLETE
21,0.89680471225562,2025-11-16 11:37:38.144719,2025-11-16 11:37:39.631075,0 days 00:00:01.486356,0.4536433437879429,0.181356050275958,3,322,COMPLETE
22,0.8979283386654643,2025-11-16 11:37:39.631112,2025-11-16 11:37:41.098696,0 days 00:00:01.467584,0.5454270032331912,0.17712680210847093,3,340,COMPLETE
23,0.8864032059960202,2025-11-16 11:37:41.098734,2025-11-16 11:37:42.502898,0 days 00:00:01.404164,0.4621095769516128,0.020420420905201447,3,280,COMPLETE
24,0.8951913276422573,2025-11-16 11:37:42.502935,2025-11-16 11:37:44.026896,0 days 00:00:01.523961,1.3240696114349269,0.05492425733251533,3,335,COMPLETE
25,0.8957519981322154,2025-11-16 11:37:44.026932,2025-11-16 11:37:45.577686,0 days 00:00:01.550754,0.37921194871138436,0.15700652727366135,5,308,COMPLETE
26,0.8947044024416115,2025-11-16 11:37:45.577738,2025-11-16 11:37:47.345519,0 days 00:00:01.767781,1.8906162575471495,0.07499388049747761,9,381,COMPLETE
27,0.8959189491388614,2025-11-16 11:37:47.345558,2025-11-16 11:37:48.679364,0 days 00:00:01.333806,1.086786726840149,0.1918331167826109,6,260,COMPLETE
28,0.8888989054970218,2025-11-16 11:37:48.679402,2025-11-16 11:37:50.193151,0 days 00:00:01.513749,0.5400356251543673,0.023385234753840998,3,331,COMPLETE
29,0.8963887755592477,2025-11-16 11:37:50.193191,2025-11-16 11:37:51.764407,0 days 00:00:01.571216,0.017671362044018757,0.07275717104796803,5,250,COMPLETE
30,0.891127012573873,2025-11-16 11:37:51.764446,2025-11-16 11:37:53.094680,0 days 00:00:01.330234,1.296680558982859,0.10159018889397721,2,298,COMPLETE
31,0.8970952352183789,2025-11-16 11:37:53.094716,2025-11-16 11:37:54.535168,0 days 00:00:01.440452,0.7656410460770988,0.19243661967985665,4,352,COMPLETE
32,0.8977999151063483,2025-11-16 11:37:54.535207,2025-11-16 11:37:56.071882,0 days 00:00:01.536675,0.39132821019604536,0.20378026168247831,3,355,COMPLETE
33,0.8942210474274537,2025-11-16 11:37:56.071919,2025-11-16 11:37:57.510024,0 days 00:00:01.438105,0.7842683937517997,0.27858363637322736,6,361,COMPLETE
34,0.8966560470821315,2025-11-16 11:37:57.510061,2025-11-16 11:37:59.166282,0 days 00:00:01.656221,1.6348111217325179,0.09452592691830015,7,400,COMPLETE
35,0.8964706418084788,2025-11-16 11:37:59.166330,2025-11-16 11:38:00.871635,0 days 00:00:01.705305,0.3191080022455478,0.060203968634541624,4,344,COMPLETE
36,0.8953808051281756,2025-11-16 11:38:00.871673,2025-11-16 11:38:02.304266,0 days 00:00:01.432593,2.1838791062829204,0.20542572089421168,5,379,COMPLETE
37,0.8973284078946412,2025-11-16 11:38:02.304304,2025-11-16 11:38:03.684039,0 days 00:00:01.379735,1.1801985669565949,0.12727253577406217,6,222,COMPLETE
38,0.8957511528495697,2025-11-16 11:38:03.684079,2025-11-16 11:38:05.123182,0 days 00:00:01.439103,1.1200940010844034,0.11853682719149934,7,216,COMPLETE
39,0.8922385040909473,2025-11-16 11:38:05.123220,2025-11-16 11:38:07.180331,0 days 00:00:02.057111,1.4455039140913188,0.014249306147386356,9,190,COMPLETE
40,0.8955354876382238,2025-11-16 11:38:07.180376,2025-11-16 11:38:08.631094,0 days 00:00:01.450718,1.9227438661882201,0.07840483057504723,6,222,COMPLETE
41,0.895115394449266,2025-11-16 11:38:08.631130,2025-11-16 11:38:10.138192,0 days 00:00:01.507062,0.7352847028149064,0.13315717069525995,7,265,COMPLETE
42,0.8828498639614116,2025-11-16 11:38:10.138229,2025-11-16 11:38:12.129554,0 days 00:00:01.991325,0.31389597689308346,0.0070392222434015024,8,203,COMPLETE
43,0.896144804370919,2025-11-16 11:38:12.129596,2025-11-16 11:38:13.463961,0 days 00:00:01.334365,0.5901163190951964,0.21658130701187395,4,237,COMPLETE
44,0.8953511899374561,2025-11-16 11:38:13.463999,2025-11-16 11:38:14.728560,0 days 00:00:01.264561,1.0253961381999095,0.15963902448701855,6,159,COMPLETE
45,0.8969680572966963,2025-11-16 11:38:14.728599,2025-11-16 11:38:16.231802,0 days 00:00:01.503203,0.2346386202137425,0.28514095367594733,2,388,COMPLETE
46,0.8971053664727874,2025-11-16 11:38:16.231840,2025-11-16 11:38:18.078242,0 days 00:00:01.846402,0.022882320800829692,0.08833232133686722,5,351,COMPLETE
47,0.8959655346254299,2025-11-16 11:38:18.078285,2025-11-16 11:38:20.351497,0 days 00:00:02.273212,0.05379926959758391,0.03966418898042192,7,324,COMPLETE
48,0.8963051279999332,2025-11-16 11:38:20.351537,2025-11-16 11:38:22.300034,0 days 00:00:01.948497,0.5663830669356231,0.04737914362744838,5,365,COMPLETE
49,0.8943912607054434,2025-11-16 11:38:22.300074,2025-11-16 11:38:24.576244,0 days 00:00:02.276170,0.20809164409208214,0.09740280476632511,8,342,COMPLETE
50,0.896113318970324,2025-11-16 11:38:24.576282,2025-11-16 11:38:25.898833,0 days 00:00:01.322551,4.624906490411596,0.06476036746464116,7,175,COMPLETE
51,0.8967024594825782,2025-11-16 11:38:25.898876,2025-11-16 11:38:27.387594,0 days 00:00:01.488718,0.7021541037556098,0.1449024627590564,4,349,COMPLETE
52,0.8979781407635491,2025-11-16 11:38:27.387633,2025-11-16 11:38:28.776632,0 days 00:00:01.388999,0.9203490652325381,0.23874158155646538,3,355,COMPLETE
53,0.8973196920695253,2025-11-16 11:38:28.776669,2025-11-16 11:38:30.348817,0 days 00:00:01.572148,0.9384240777024146,0.1171918578666918,3,391,COMPLETE
54,0.8958384981506244,2025-11-16 11:38:30.348853,2025-11-16 11:38:31.761425,0 days 00:00:01.412572,0.9442770544758896,0.2480882118279433,3,388,COMPLETE
55,0.8938062274665134,2025-11-16 11:38:31.761462,2025-11-16 11:38:33.194596,0 days 00:00:01.433134,1.263973191855935,0.13089505096261575,2,371,COMPLETE
56,0.8964491078698356,2025-11-16 11:38:33.194634,2025-11-16 11:38:34.619023,0 days 00:00:01.424389,1.5553281582455085,0.17317913128521945,3,387,COMPLETE
57,0.8921115798269479,2025-11-16 11:38:34.619060,2025-11-16 11:38:36.120659,0 days 00:00:01.501599,2.755930409153593,0.23656592073805516,12,400,COMPLETE
58,0.8913063478413118,2025-11-16 11:38:36.120695,2025-11-16 11:38:37.544781,0 days 00:00:01.424086,4.948047043729456,0.10569398346679064,2,366,COMPLETE
59,0.8954529567805156,2025-11-16 11:38:37.544817,2025-11-16 11:38:38.855545,0 days 00:00:01.310728,4.2994855055996775,0.29436692600506703,3,330,COMPLETE
60,0.8965728399420909,2025-11-16 11:38:38.855583,2025-11-16 11:38:40.367701,0 days 00:00:01.512118,0.4488423000125582,0.12246292689367044,4,275,COMPLETE
61,0.8965575032636502,2025-11-16 11:38:40.367739,2025-11-16 11:38:42.245377,0 days 00:00:01.877638,0.13718068443369114,0.07908486166858003,5,352,COMPLETE
62,0.8962273748407041,2025-11-16 11:38:42.245415,2025-11-16 11:38:43.710688,0 days 00:00:01.465273,0.8745147764859376,0.08734257088424989,3,301,COMPLETE
63,0.8949165125801326,2025-11-16 11:38:43.710726,2025-11-16 11:38:45.324603,0 days 00:00:01.613877,0.3927833980277543,0.16356227061183515,6,337,COMPLETE
64,0.8825302527437386,2025-11-16 11:38:45.324645,2025-11-16 11:38:46.819129,0 days 00:00:01.494484,0.015922981519925564,0.026701804701594608,2,376,COMPLETE
65,0.8595620440359772,2025-11-16 11:38:46.819167,2025-11-16 11:38:48.859116,0 days 00:00:02.039949,1.210235249128297,0.002786741568451625,5,354,COMPLETE
66,0.8950399356907559,2025-11-16 11:38:48.859156,2025-11-16 11:38:50.052192,0 days 00:00:01.193036,3.4181775748649477,0.19235377406844226,3,230,COMPLETE
67,0.895887784419117,2025-11-16 11:38:50.052235,2025-11-16 11:38:51.688066,0 days 00:00:01.635831,0.5688766414718398,0.11113484435969254,6,316,COMPLETE
68,0.8959211668103709,2025-11-16 11:38:51.688105,2025-11-16 11:38:53.518771,0 days 00:00:01.830666,1.7508192672771894,0.03527924609948982,4,386,COMPLETE
69,0.8897870432755702,2025-11-16 11:38:53.518820,2025-11-16 11:38:54.950030,0 days 00:00:01.431210,0.9686499346909653,0.06355886819992398,2,359,COMPLETE
70,0.8946307908691299,2025-11-16 11:38:54.950075,2025-11-16 11:38:56.612441,0 days 00:00:01.662366,0.2778056545978769,0.2380348789400943,4,369,COMPLETE
71,0.8960877379079516,2025-11-16 11:38:56.612480,2025-11-16 11:38:58.100089,0 days 00:00:01.487609,0.7017581899283616,0.17614708586973696,4,342,COMPLETE
72,0.8960883232263782,2025-11-16 11:38:58.100164,2025-11-16 11:38:59.507830,0 days 00:00:01.407666,1.4136969691728967,0.14198520709199808,3,326,COMPLETE
73,0.8964680742869968,2025-11-16 11:38:59.507866,2025-11-16 11:39:00.975879,0 days 00:00:01.468013,0.7577166270655502,0.1962920111127391,4,353,COMPLETE
74,0.8948840434770094,2025-11-16 11:39:00.975916,2025-11-16 11:39:02.538515,0 days 00:00:01.562599,0.44137128878734533,0.21364716030443132,5,392,COMPLETE
