number,value,datetime_start,datetime_complete,duration,params_gamma,params_learning_rate,params_max_depth,params_n_estimators,state
0,0.7696068180193301,2025-11-16 11:45:55.428191,2025-11-16 11:45:56.349629,0 days 00:00:00.921438,2.37670552029162,0.10999745975588358,8,194,COMPLETE
1,0.7737523054504323,2025-11-16 11:45:56.349677,2025-11-16 11:45:57.317931,0 days 00:00:00.968254,2.6170418297995,0.26064832068890414,5,334,COMPLETE
2,0.583561282172918,2025-11-16 11:45:57.317976,2025-11-16 11:45:58.757728,0 days 00:00:01.439752,4.636922914253691,0.0011144872748830596,4,391,COMPLETE
3,0.7651011730574424,2025-11-16 11:45:58.757773,2025-11-16 11:46:01.266591,0 days 00:00:02.508818,3.2076078384747952,0.00944669477718931,12,297,COMPLETE
4,0.7701521507644381,2025-11-16 11:46:01.266640,2025-11-16 11:46:02.816017,0 days 00:00:01.549377,4.313356666401646,0.02735576599590192,11,370,COMPLETE
5,0.7624576713466904,2025-11-16 11:46:02.816068,2025-11-16 11:46:05.209493,0 days 00:00:02.393425,1.6409877376217974,0.016716187197890243,12,227,COMPLETE
6,0.7377805422197247,2025-11-16 11:46:05.209564,2025-11-16 11:46:06.059412,0 days 00:00:00.849848,4.817636154387382,0.021395121587348156,3,162,COMPLETE
7,0.7742641764004633,2025-11-16 11:46:06.059465,2025-11-16 11:46:07.089402,0 days 00:00:01.029937,2.7300753661505843,0.07865215100285806,6,284,COMPLETE
8,0.7606032743186638,2025-11-16 11:46:07.089446,2025-11-16 11:46:07.942241,0 days 00:00:00.852795,0.7725754859623379,0.03062597067087795,4,144,COMPLETE
9,0.7342747151964344,2025-11-16 11:46:07.942295,2025-11-16 11:46:10.835324,0 days 00:00:02.893029,2.8127940650069396,0.00207598482384516,11,333,COMPLETE
10,0.7730284982833998,2025-11-16 11:46:10.835361,2025-11-16 11:46:12.239426,0 days 00:00:01.404065,0.2833060431445511,0.08497922161488224,7,276,COMPLETE
11,0.7715792792705086,2025-11-16 11:46:12.239463,2025-11-16 11:46:13.166020,0 days 00:00:00.926557,3.5017047814531503,0.25708838795278,6,325,COMPLETE
12,0.7734628435457789,2025-11-16 11:46:13.166057,2025-11-16 11:46:14.015635,0 days 00:00:00.849578,1.647616188192263,0.29422337913866675,5,246,COMPLETE
13,0.7694686773468435,2025-11-16 11:46:14.015673,2025-11-16 11:46:15.010205,0 days 00:00:00.994532,2.1299146301802736,0.08566636080650847,2,338,COMPLETE
14,0.7721818661675207,2025-11-16 11:46:15.010243,2025-11-16 11:46:15.968018,0 days 00:00:00.957775,3.4910866927468622,0.14192533486291853,8,285,COMPLETE
15,0.7699138849688915,2025-11-16 11:46:15.968061,2025-11-16 11:46:17.203943,0 days 00:00:01.235882,1.3927810211227123,0.056770771046606223,9,208,COMPLETE
16,0.6771993384549659,2025-11-16 11:46:17.203986,2025-11-16 11:46:18.088236,0 days 00:00:00.884250,3.990724169669278,0.00675637007014393,6,105,COMPLETE
17,0.7738979454922504,2025-11-16 11:46:18.088281,2025-11-16 11:46:19.066091,0 days 00:00:00.977810,2.7064836722945307,0.16511516211927163,5,363,COMPLETE
18,0.7651752013831304,2025-11-16 11:46:19.066127,2025-11-16 11:46:20.144655,0 days 00:00:01.078528,2.91676449623702,0.052712514117268246,2,400,COMPLETE
19,0.770248184982645,2025-11-16 11:46:20.144693,2025-11-16 11:46:21.330428,0 days 00:00:01.185735,2.0323044641818324,0.15507981820923278,9,357,COMPLETE
20,0.7720334317267356,2025-11-16 11:46:21.330461,2025-11-16 11:46:22.417541,0 days 00:00:01.087080,3.8682727058575894,0.050921195837389556,6,304,COMPLETE
21,0.7727282874725223,2025-11-16 11:46:22.417581,2025-11-16 11:46:23.297904,0 days 00:00:00.880323,2.6320851520749455,0.22146861750334226,5,261,COMPLETE
22,0.7747498215544498,2025-11-16 11:46:23.297940,2025-11-16 11:46:24.278748,0 days 00:00:00.980808,3.0873488142291174,0.18642994352895012,4,357,COMPLETE
23,0.7725516045365158,2025-11-16 11:46:24.278786,2025-11-16 11:46:25.269689,0 days 00:00:00.990903,3.236029431912617,0.14622589009647033,4,365,COMPLETE
