number,value,datetime_start,datetime_complete,duration,params_gamma,params_learning_rate,params_max_depth,params_n_estimators,state
0,0.8771165083208008,2025-11-16 11:49:36.216278,2025-11-16 11:49:37.061564,0 days 00:00:00.845286,0.7586373348178427,0.005118275007492267,2,195,COMPLETE
1,0.910372436908325,2025-11-16 11:49:37.061600,2025-11-16 11:49:38.048147,0 days 00:00:00.986547,0.925929133331605,0.021304450168272114,6,128,COMPLETE
2,0.9099819058937605,2025-11-16 11:49:38.048185,2025-11-16 11:49:39.396878,0 days 00:00:01.348693,3.0354440321658704,0.03180120465235886,12,197,COMPLETE
3,0.9122110536940321,2025-11-16 11:49:39.396915,2025-11-16 11:49:40.315038,0 days 00:00:00.918123,2.1184103031192776,0.05437372103674282,5,214,COMPLETE
4,0.9114810548101595,2025-11-16 11:49:40.315081,2025-11-16 11:49:41.201862,0 days 00:00:00.886781,4.108631298973651,0.07148984747955404,5,236,COMPLETE
5,0.910022026972665,2025-11-16 11:49:41.201915,2025-11-16 11:49:42.397286,0 days 00:00:01.195371,1.4828006975858876,0.06406296070618622,10,247,COMPLETE
6,0.9093434387982702,2025-11-16 11:49:42.397323,2025-11-16 11:49:44.310331,0 days 00:00:01.913008,4.949002002023726,0.003995681668890065,7,381,COMPLETE
7,0.9109351895356455,2025-11-16 11:49:44.310368,2025-11-16 11:49:45.891665,0 days 00:00:01.581297,4.267691581411438,0.005673616216809856,9,227,COMPLETE
8,0.911188822835825,2025-11-16 11:49:45.891703,2025-11-16 11:49:46.765347,0 days 00:00:00.873644,4.948498350101096,0.0635471682014075,9,140,COMPLETE
9,0.9112392880922107,2025-11-16 11:49:46.765384,2025-11-16 11:49:47.506557,0 days 00:00:00.741173,3.5371780819323955,0.11948076796955973,7,119,COMPLETE
10,0.9115068511081497,2025-11-16 11:49:47.506594,2025-11-16 11:49:48.462182,0 days 00:00:00.955588,1.9387877505080464,0.25217516655188327,3,315,COMPLETE
11,0.9108780762665925,2025-11-16 11:49:48.462218,2025-11-16 11:49:49.330410,0 days 00:00:00.868192,1.8214948374200395,0.2761485987821329,3,328,COMPLETE
12,0.9104983338280919,2025-11-16 11:49:49.330447,2025-11-16 11:49:50.158205,0 days 00:00:00.827758,2.30939109775183,0.2958462053268231,4,312,COMPLETE
13,0.911071206731549,2025-11-16 11:49:50.158243,2025-11-16 11:49:51.277464,0 days 00:00:01.119221,0.18680701419477952,0.1469074255188383,4,301,COMPLETE
14,0.8989664168054116,2025-11-16 11:49:51.277512,2025-11-16 11:49:52.289743,0 days 00:00:01.012231,2.4483709927185053,0.010998299974259763,2,367,COMPLETE
15,0.9118609436250248,2025-11-16 11:49:52.289788,2025-11-16 11:49:53.421711,0 days 00:00:01.131923,1.8811291450518532,0.03459151837448942,5,290,COMPLETE
16,0.8224563805598392,2025-11-16 11:49:53.421763,2025-11-16 11:49:54.620852,0 days 00:00:01.199089,2.96562112949945,0.0010633853730767852,5,278,COMPLETE
17,0.9105125824088717,2025-11-16 11:49:54.620909,2025-11-16 11:49:55.684450,0 days 00:00:01.063541,1.301373533025414,0.03505957290169496,6,164,COMPLETE
18,0.9113133677210412,2025-11-16 11:49:55.684488,2025-11-16 11:49:57.391337,0 days 00:00:01.706849,2.9813829381801296,0.011563461005468133,8,274,COMPLETE
19,0.9118808770894791,2025-11-16 11:49:57.391381,2025-11-16 11:49:58.443729,0 days 00:00:01.052348,0.2925640868329351,0.029774637222376634,5,211,COMPLETE
20,0.8709454508978318,2025-11-16 11:49:58.443765,2025-11-16 11:49:59.840451,0 days 00:00:01.396686,0.2544787937026518,0.0021521976091779423,7,201,COMPLETE
21,0.9118862194049004,2025-11-16 11:49:59.840488,2025-11-16 11:50:00.801928,0 days 00:00:00.961440,0.6777546858194483,0.03439447113848664,5,161,COMPLETE
22,0.9091746546913818,2025-11-16 11:50:00.801967,2025-11-16 11:50:01.663927,0 days 00:00:00.861960,0.6554568663105631,0.01733317099180029,4,159,COMPLETE
23,0.9116934079674109,2025-11-16 11:50:01.663979,2025-11-16 11:50:02.742933,0 days 00:00:01.078954,0.10423296606740651,0.04714161349040237,6,181,COMPLETE
24,0.9116207299179233,2025-11-16 11:50:02.742971,2025-11-16 11:50:03.595063,0 days 00:00:00.852092,1.1646510836346768,0.11078943907745378,3,218,COMPLETE
25,0.9070211754843805,2025-11-16 11:50:03.595103,2025-11-16 11:50:04.523219,0 days 00:00:00.928116,0.5418986015570897,0.010347477937172353,5,146,COMPLETE
26,0.9100538317458794,2025-11-16 11:50:04.523256,2025-11-16 11:50:05.609930,0 days 00:00:01.086674,1.5453639092666158,0.02339878208212178,6,173,COMPLETE
27,0.9127095188729382,2025-11-16 11:50:05.609968,2025-11-16 11:50:06.350825,0 days 00:00:00.740857,0.9551178960876545,0.08900502947497695,4,102,COMPLETE
28,0.911916882925631,2025-11-16 11:50:06.350871,2025-11-16 11:50:07.080535,0 days 00:00:00.729664,1.0401454500799947,0.08931131547480249,4,104,COMPLETE
29,0.9109337528848498,2025-11-16 11:50:07.080572,2025-11-16 11:50:07.789801,0 days 00:00:00.709229,0.977945568868133,0.16672812187059158,3,104,COMPLETE
30,0.9050547399547669,2025-11-16 11:50:07.789845,2025-11-16 11:50:08.457039,0 days 00:00:00.667194,2.3002476307039266,0.08601091909951496,2,100,COMPLETE
31,0.9111000085655008,2025-11-16 11:50:08.457075,2025-11-16 11:50:09.251251,0 days 00:00:00.794176,0.7360187649103354,0.05044986175825953,4,117,COMPLETE
32,0.9119358834346197,2025-11-16 11:50:09.251288,2025-11-16 11:50:10.038434,0 days 00:00:00.787146,1.0577874005990473,0.09275177021383398,4,134,COMPLETE
33,0.9117401221010916,2025-11-16 11:50:10.038469,2025-11-16 11:50:10.784121,0 days 00:00:00.745652,1.147807564550666,0.18119094708433112,4,135,COMPLETE
34,0.9062138031282666,2025-11-16 11:50:10.784163,2025-11-16 11:50:11.470733,0 days 00:00:00.686570,1.57381854086504,0.09134588265869108,2,121,COMPLETE
35,0.909251293010246,2025-11-16 11:50:11.470778,2025-11-16 11:50:12.730209,0 days 00:00:01.259431,2.087772585297214,0.050272916039155915,12,185,COMPLETE
36,0.9118339748578016,2025-11-16 11:50:12.730246,2025-11-16 11:50:13.511046,0 days 00:00:00.780800,2.626735027504719,0.08198205327076828,4,147,COMPLETE
37,0.9110980107281584,2025-11-16 11:50:13.511082,2025-11-16 11:50:14.232612,0 days 00:00:00.721530,1.383371958234144,0.19176130307482453,6,107,COMPLETE
38,0.9089815973200294,2025-11-16 11:50:14.232649,2025-11-16 11:50:15.307708,0 days 00:00:01.075059,1.6667087027592093,0.10466355862167646,11,248,COMPLETE
39,0.910379164615277,2025-11-16 11:50:15.307752,2025-11-16 11:50:16.073326,0 days 00:00:00.765574,1.0650361780948183,0.06219027090382377,3,133,COMPLETE
40,0.9111411788216733,2025-11-16 11:50:16.073364,2025-11-16 11:50:16.816799,0 days 00:00:00.743435,3.467154287983717,0.13318792562470091,7,121,COMPLETE
41,0.9117936507899685,2025-11-16 11:50:16.816835,2025-11-16 11:50:17.734957,0 days 00:00:00.918122,0.8328898843310668,0.04471638507513049,5,158,COMPLETE
42,0.9122803432545666,2025-11-16 11:50:17.734995,2025-11-16 11:50:18.759434,0 days 00:00:01.024439,0.6236792210742521,0.06802325619921487,5,194,COMPLETE
43,0.9115537550603385,2025-11-16 11:50:18.759470,2025-11-16 11:50:20.173330,0 days 00:00:01.413860,0.3386810749539553,0.06885267793190997,8,193,COMPLETE
44,0.9115510768880292,2025-11-16 11:50:20.173385,2025-11-16 11:50:21.113835,0 days 00:00:00.940450,0.49603273550314064,0.06561487056567193,3,234,COMPLETE
45,0.9114670331716134,2025-11-16 11:50:21.113891,2025-11-16 11:50:21.928950,0 days 00:00:00.815059,0.8876878922705881,0.1975951562783183,4,207,COMPLETE
46,0.9113170879666045,2025-11-16 11:50:21.928986,2025-11-16 11:50:23.004634,0 days 00:00:01.075648,0.05178458894873328,0.10543674026670792,4,265,COMPLETE
47,0.910922308844615,2025-11-16 11:50:23.004671,2025-11-16 11:50:23.855690,0 days 00:00:00.851019,1.3587424964092603,0.13836264772371143,6,224,COMPLETE
48,0.9101850218430287,2025-11-16 11:50:23.855729,2025-11-16 11:50:24.553629,0 days 00:00:00.697900,1.7604558735726183,0.23517944639609056,5,114,COMPLETE
49,0.9097626362391289,2025-11-16 11:50:24.553667,2025-11-16 11:50:25.364642,0 days 00:00:00.810975,4.270262253820116,0.027645996342687766,3,148,COMPLETE
50,0.9024078742775007,2025-11-16 11:50:25.364677,2025-11-16 11:50:26.094476,0 days 00:00:00.729799,2.7434073898736737,0.041416295622602,2,125,COMPLETE
51,0.9121153151870519,2025-11-16 11:50:26.094522,2025-11-16 11:50:27.053640,0 days 00:00:00.959118,0.667159336487777,0.07345419078184788,5,170,COMPLETE
52,0.9108122405299364,2025-11-16 11:50:27.053683,2025-11-16 11:50:28.103017,0 days 00:00:01.049334,0.45296139692550585,0.07517060984419167,6,174,COMPLETE
53,0.9125043828854569,2025-11-16 11:50:28.103055,2025-11-16 11:50:28.960961,0 days 00:00:00.857906,1.0027923543478694,0.06120988625979545,5,136,COMPLETE
54,0.9118503109824294,2025-11-16 11:50:28.961016,2025-11-16 11:50:29.847220,0 days 00:00:00.886204,1.238053533595416,0.0634511212503258,5,138,COMPLETE
