number,value,datetime_start,datetime_complete,duration,params_gamma,params_learning_rate,params_max_depth,params_n_estimators,state
0,0.5914766519715148,2025-11-16 11:48:36.988641,2025-11-16 11:48:37.406414,0 days 00:00:00.417773,3.142964742983101,0.27462596251299215,11,129,COMPLETE
1,0.6031205610895503,2025-11-16 11:48:37.406466,2025-11-16 11:48:38.103454,0 days 00:00:00.696988,1.1625658562247687,0.18461963546348673,10,398,COMPLETE
2,0.581574494111012,2025-11-16 11:48:38.103490,2025-11-16 11:48:38.696013,0 days 00:00:00.592523,1.624096384407201,0.02557610654223743,7,108,COMPLETE
3,0.0,2025-11-16 11:48:38.696058,2025-11-16 11:48:40.305428,0 days 00:00:01.609370,3.0180855074741753,0.0012740806802887035,12,324,COMPLETE
4,0.49771981055352094,2025-11-16 11:48:40.305496,2025-11-16 11:48:41.312512,0 days 00:00:01.007016,2.001816729523873,0.004442551249137025,9,194,COMPLETE
5,0.5890450329923849,2025-11-16 11:48:41.312553,2025-11-16 11:48:41.903756,0 days 00:00:00.591203,4.287001386664247,0.1583731885994302,4,381,COMPLETE
6,0.5837929558044754,2025-11-16 11:48:41.903807,2025-11-16 11:48:42.681517,0 days 00:00:00.777710,4.448400029049441,0.021506762464593335,7,386,COMPLETE
7,0.5955356741759257,2025-11-16 11:48:42.681560,2025-11-16 11:48:43.376680,0 days 00:00:00.695120,3.359586107741577,0.01998637923456272,8,159,COMPLETE
8,0.0,2025-11-16 11:48:43.376717,2025-11-16 11:48:44.060988,0 days 00:00:00.684271,2.9420171075762447,0.004161286009814972,11,100,COMPLETE
9,0.5954936057555982,2025-11-16 11:48:44.061025,2025-11-16 11:48:44.622266,0 days 00:00:00.561241,4.9212259062234756,0.19700692154651533,11,327,COMPLETE
10,0.6025844520281591,2025-11-16 11:48:44.622320,2025-11-16 11:48:45.208452,0 days 00:00:00.586132,0.45901321124781447,0.06934685889385843,3,254,COMPLETE
11,0.5950314148452869,2025-11-16 11:48:45.208489,2025-11-16 11:48:45.741898,0 days 00:00:00.533409,0.11878770723049314,0.0697526445323513,2,261,COMPLETE
12,0.612268802174112,2025-11-16 11:48:45.741935,2025-11-16 11:48:46.476582,0 days 00:00:00.734647,0.5243396188340164,0.06774846375716394,5,252,COMPLETE
13,0.5993544452816394,2025-11-16 11:48:46.476635,2025-11-16 11:48:47.116590,0 days 00:00:00.639955,1.1267593089948105,0.0624395425723096,5,308,COMPLETE
14,0.6065195324131887,2025-11-16 11:48:47.116635,2025-11-16 11:48:47.619618,0 days 00:00:00.502983,0.9132515417666499,0.11350300546056057,5,204,COMPLETE
15,0.6092248197882913,2025-11-16 11:48:47.619676,2025-11-16 11:48:48.262239,0 days 00:00:00.642563,0.6768097960986262,0.04721720293278234,5,211,COMPLETE
16,0.5708929579241049,2025-11-16 11:48:48.262276,2025-11-16 11:48:49.040934,0 days 00:00:00.778658,2.174927414006882,0.009665086780126793,6,215,COMPLETE
17,0.6024221804268757,2025-11-16 11:48:49.040971,2025-11-16 11:48:49.765779,0 days 00:00:00.724808,0.635687361648061,0.0326324118230715,4,287,COMPLETE
18,0.6064177879108912,2025-11-16 11:48:49.765815,2025-11-16 11:48:50.441475,0 days 00:00:00.675660,0.1016556066790516,0.042214622896781254,6,170,COMPLETE
19,0.5061191066819959,2025-11-16 11:48:50.441513,2025-11-16 11:48:50.952946,0 days 00:00:00.511433,1.5364409061652804,0.011339381474042396,2,230,COMPLETE
20,0.6014654001853864,2025-11-16 11:48:50.953005,2025-11-16 11:48:51.476455,0 days 00:00:00.523450,2.4478908717433696,0.11083123177901487,4,286,COMPLETE
21,0.6109580673099161,2025-11-16 11:48:51.476491,2025-11-16 11:48:51.995758,0 days 00:00:00.519267,0.9134675805262437,0.10376801811040708,5,208,COMPLETE
