number,value,datetime_start,datetime_complete,duration,params_gamma,params_learning_rate,params_max_depth,params_n_estimators,state
0,0.886069481879747,2025-11-16 11:39:40.349537,2025-11-16 11:39:42.331601,0 days 00:00:01.982064,1.9073289399498123,0.006038124825375962,10,153,COMPLETE
1,0.8948234542274482,2025-11-16 11:39:42.331640,2025-11-16 11:39:44.693633,0 days 00:00:02.361993,3.0045299523217666,0.012075027401111948,8,318,COMPLETE
2,0.8941394123174419,2025-11-16 11:39:44.693675,2025-11-16 11:39:45.974351,0 days 00:00:01.280676,1.5045955766581343,0.20191631508054714,7,216,COMPLETE
3,0.8950553500287004,2025-11-16 11:39:45.974396,2025-11-16 11:39:47.219829,0 days 00:00:01.245433,3.1226297854816116,0.1179241366418208,8,184,COMPLETE
4,0.8730617060513934,2025-11-16 11:39:47.219867,2025-11-16 11:39:48.993862,0 days 00:00:01.773995,1.8688160099669315,0.0035339854027015834,4,363,COMPLETE
5,0.8876071333830943,2025-11-16 11:39:48.993901,2025-11-16 11:39:50.472791,0 days 00:00:01.478890,0.030930322210330763,0.27165510673140275,7,160,COMPLETE
6,0.8915194343350645,2025-11-16 11:39:50.472828,2025-11-16 11:39:53.818320,0 days 00:00:03.345492,3.274045010891479,0.004630460040239332,11,381,COMPLETE
7,0.8913527300101738,2025-11-16 11:39:53.818358,2025-11-16 11:39:56.855623,0 days 00:00:03.037265,4.964633444082911,0.0044661425394054615,12,342,COMPLETE
8,0.894010140099301,2025-11-16 11:39:56.855667,2025-11-16 11:39:58.153155,0 days 00:00:01.297488,1.5493178309306725,0.2936155060798928,7,268,COMPLETE
9,0.8942488238467222,2025-11-16 11:39:58.153192,2025-11-16 11:40:01.035103,0 days 00:00:02.881911,0.3440524433775083,0.03948822952265508,10,275,COMPLETE
10,0.8927540855460535,2025-11-16 11:40:01.035154,2025-11-16 11:40:02.112862,0 days 00:00:01.077708,4.349606284614702,0.05222773954796301,4,111,COMPLETE
11,0.8951355580969803,2025-11-16 11:40:02.112904,2025-11-16 11:40:04.434941,0 days 00:00:02.322037,3.282339535779754,0.016509046847364414,8,310,COMPLETE
12,0.8317226215324199,2025-11-16 11:40:04.434979,2025-11-16 11:40:05.667845,0 days 00:00:01.232866,3.798473461366732,0.0014143764254446042,2,233,COMPLETE
13,0.895536724191297,2025-11-16 11:40:05.667883,2025-11-16 11:40:07.104478,0 days 00:00:01.436595,2.705069211889452,0.06468225526824739,9,193,COMPLETE
14,0.8951215249931828,2025-11-16 11:40:07.104514,2025-11-16 11:40:09.298115,0 days 00:00:02.193601,2.582729591185931,0.027371776992138646,9,306,COMPLETE
15,0.8948828334919787,2025-11-16 11:40:09.298167,2025-11-16 11:40:10.596738,0 days 00:00:01.298571,3.9382464053462716,0.06918508330352485,5,201,COMPLETE
16,0.8941749313641882,2025-11-16 11:40:10.596772,2025-11-16 11:40:12.431362,0 days 00:00:01.834590,2.5909227353756115,0.01544801979647121,6,284,COMPLETE
17,0.8952998558535148,2025-11-16 11:40:12.431409,2025-11-16 11:40:14.051012,0 days 00:00:01.619603,0.9548253591114793,0.09120793926915234,9,257,COMPLETE
18,0.8920025751122935,2025-11-16 11:40:14.051054,2025-11-16 11:40:15.751989,0 days 00:00:01.700935,0.9269405750303865,0.10301192667099439,12,251,COMPLETE
19,0.8953529335666482,2025-11-16 11:40:15.752036,2025-11-16 11:40:17.188882,0 days 00:00:01.436846,1.1568926316033417,0.10406362990097379,10,112,COMPLETE
20,0.8935969070522681,2025-11-16 11:40:17.188932,2025-11-16 11:40:18.403123,0 days 00:00:01.214191,2.1020038748715395,0.16200293716517655,10,101,COMPLETE
21,0.894770852524125,2025-11-16 11:40:18.403159,2025-11-16 11:40:20.034168,0 days 00:00:01.631009,0.8848100990072413,0.07989917572187166,9,141,COMPLETE
22,0.8937123024966404,2025-11-16 11:40:20.034208,2025-11-16 11:40:22.389053,0 days 00:00:02.354845,0.7431662820395708,0.03101001055822911,11,180,COMPLETE
23,0.8938028146536781,2025-11-16 11:40:22.389100,2025-11-16 11:40:23.706649,0 days 00:00:01.317549,1.155924419552681,0.14763475323547437,9,131,COMPLETE
24,0.8945913899118334,2025-11-16 11:40:23.706687,2025-11-16 11:40:25.384581,0 days 00:00:01.677894,2.2659945383826114,0.05743762036556345,11,238,COMPLETE
25,0.894550477275109,2025-11-16 11:40:25.384621,2025-11-16 11:40:26.906665,0 days 00:00:01.522044,1.3501704604063198,0.09099650116015229,9,210,COMPLETE
26,0.8939058262102794,2025-11-16 11:40:26.906715,2025-11-16 11:40:29.066042,0 days 00:00:02.159327,0.450137338219331,0.026451884795962024,10,182,COMPLETE
27,0.8953282219107445,2025-11-16 11:40:29.066080,2025-11-16 11:40:30.872823,0 days 00:00:01.806743,1.6739314066708033,0.04442245312913525,8,256,COMPLETE
28,0.8946063710009596,2025-11-16 11:40:30.872862,2025-11-16 11:40:32.174777,0 days 00:00:01.301915,1.7009881559474695,0.04492648266122307,6,127,COMPLETE
29,0.8933081895390641,2025-11-16 11:40:32.174818,2025-11-16 11:40:33.939674,0 days 00:00:01.764856,2.3855938446437976,0.02284058389535749,10,150,COMPLETE
30,0.8883034582628948,2025-11-16 11:40:33.939713,2025-11-16 11:40:35.653157,0 days 00:00:01.713444,2.8801476486346407,0.008819096310346155,8,167,COMPLETE
31,0.8951487171092299,2025-11-16 11:40:35.653196,2025-11-16 11:40:37.243511,0 days 00:00:01.590315,1.8970140491199863,0.06870371474220913,9,256,COMPLETE
32,0.895332303956739,2025-11-16 11:40:37.243568,2025-11-16 11:40:38.680633,0 days 00:00:01.437065,1.0968385975789023,0.12511613494222848,8,223,COMPLETE
