number,value,datetime_start,datetime_complete,duration,params_gamma,params_learning_rate,params_max_depth,params_n_estimators,state
0,0.9826643797696916,2025-11-16 11:47:37.157973,2025-11-16 11:47:38.095016,0 days 00:00:00.937043,0.3138672678041271,0.023445329526367718,11,190,COMPLETE
1,0.9821138945392504,2025-11-16 11:47:38.095064,2025-11-16 11:47:38.692854,0 days 00:00:00.597790,4.023974808654056,0.020166886483144877,4,195,COMPLETE
2,0.9816582256765873,2025-11-16 11:47:38.692894,2025-11-16 11:47:39.464205,0 days 00:00:00.771311,0.03526843382305522,0.007475609662676257,3,364,COMPLETE
3,0.9728377074183647,2025-11-16 11:47:39.464248,2025-11-16 11:47:39.938574,0 days 00:00:00.474326,0.5856385940044878,0.005772304967434383,2,180,COMPLETE
4,0.9727218504740385,2025-11-16 11:47:39.938610,2025-11-16 11:47:40.393156,0 days 00:00:00.454546,1.1793465468430835,0.0021833912375556343,4,113,COMPLETE
5,0.9827729764546798,2025-11-16 11:47:40.393193,2025-11-16 11:47:40.953711,0 days 00:00:00.560518,0.6907756908541646,0.09733005715087628,4,242,COMPLETE
6,0.9806036233468737,2025-11-16 11:47:40.953752,2025-11-16 11:47:41.641787,0 days 00:00:00.688035,4.808342659356781,0.005884412350586893,9,180,COMPLETE
7,0.9727218504740385,2025-11-16 11:47:41.641823,2025-11-16 11:47:42.102187,0 days 00:00:00.460364,4.363624978784161,0.0012190817402781226,3,148,COMPLETE
8,0.9728377074183647,2025-11-16 11:47:42.102241,2025-11-16 11:47:42.744581,0 days 00:00:00.642340,2.1877275825851954,0.0038587412399227507,2,330,COMPLETE
9,0.9727218504740385,2025-11-16 11:47:42.744617,2025-11-16 11:47:43.510776,0 days 00:00:00.766159,0.07810461042833061,0.0013717814205640893,10,168,COMPLETE
10,0.9830232963735759,2025-11-16 11:47:43.510813,2025-11-16 11:47:44.051643,0 days 00:00:00.540830,2.000810272330689,0.15556594085802983,7,273,COMPLETE
11,0.9828950162623521,2025-11-16 11:47:44.051693,2025-11-16 11:47:44.580555,0 days 00:00:00.528862,2.0305841259621906,0.1704981151374033,7,275,COMPLETE
12,0.9821402795366525,2025-11-16 11:47:44.580605,2025-11-16 11:47:45.111311,0 days 00:00:00.530706,2.4151715476785416,0.2501975839154863,7,285,COMPLETE
13,0.9822997819469762,2025-11-16 11:47:45.111355,2025-11-16 11:47:45.680428,0 days 00:00:00.569073,1.624602818080042,0.07118007382277877,7,265,COMPLETE
14,0.9822863594504444,2025-11-16 11:47:45.680464,2025-11-16 11:47:46.244704,0 days 00:00:00.564240,3.24553941795511,0.2996085743505524,6,312,COMPLETE
15,0.9825508608258261,2025-11-16 11:47:46.244759,2025-11-16 11:47:46.894445,0 days 00:00:00.649686,3.0493831729597516,0.09021505950413138,8,397,COMPLETE
16,0.9818144954451812,2025-11-16 11:47:46.894488,2025-11-16 11:47:47.578781,0 days 00:00:00.684293,1.5130342963119254,0.04070881451964359,6,236,COMPLETE
17,0.9816950767123863,2025-11-16 11:47:47.578819,2025-11-16 11:47:48.147826,0 days 00:00:00.569007,2.9759263045900086,0.159515242661829,12,307,COMPLETE
18,0.9824228269107363,2025-11-16 11:47:48.147879,2025-11-16 11:47:48.719740,0 days 00:00:00.571861,2.0405959651780754,0.045832939456909125,9,223,COMPLETE
19,0.9830304327558377,2025-11-16 11:47:48.719793,2025-11-16 11:47:49.367919,0 days 00:00:00.648126,3.7312897341822344,0.16188311799282665,6,352,COMPLETE
20,0.9823386300386995,2025-11-16 11:47:49.367959,2025-11-16 11:47:50.190982,0 days 00:00:00.823023,3.8222952916923063,0.013487943501578583,5,359,COMPLETE
21,0.983149952625127,2025-11-16 11:47:50.191019,2025-11-16 11:47:50.733416,0 days 00:00:00.542397,2.69331361077459,0.15514704739484667,6,274,COMPLETE
22,0.9826689322773954,2025-11-16 11:47:50.733470,2025-11-16 11:47:51.312186,0 days 00:00:00.578716,3.4371602311831486,0.14855113201306755,6,336,COMPLETE
23,0.9826658308493468,2025-11-16 11:47:51.312230,2025-11-16 11:47:51.928366,0 days 00:00:00.616136,2.63066492503482,0.04947409184679505,8,292,COMPLETE
