number,value,datetime_start,datetime_complete,duration,params_gamma,params_learning_rate,params_max_depth,params_n_estimators,state
0,0.7931534454239534,2025-11-16 11:56:26.598581,2025-11-16 11:56:27.575269,0 days 00:00:00.976688,3.027359773004455,0.06592975544501631,12,327,COMPLETE
1,0.7917544432951436,2025-11-16 11:56:27.575303,2025-11-16 11:56:28.678526,0 days 00:00:01.103223,2.0444375923606812,0.06446800452590327,11,397,COMPLETE
2,0.7807591889414248,2025-11-16 11:56:28.678569,2025-11-16 11:56:29.865570,0 days 00:00:01.187001,2.6354242998535775,0.002625133692728419,7,223,COMPLETE
3,0.7933405963074361,2025-11-16 11:56:29.865606,2025-11-16 11:56:30.616776,0 days 00:00:00.751170,4.851183739587538,0.036038859747366085,12,102,COMPLETE
4,0.7894611716010369,2025-11-16 11:56:30.616814,2025-11-16 11:56:31.949898,0 days 00:00:01.333084,3.8581067579163837,0.0053682107146174945,5,382,COMPLETE
5,0.7648092373349579,2025-11-16 11:56:31.949935,2025-11-16 11:56:33.126151,0 days 00:00:01.176216,1.380297318838399,0.0023145796774631635,10,125,COMPLETE
6,0.7878631868725321,2025-11-16 11:56:33.126195,2025-11-16 11:56:34.075038,0 days 00:00:00.948843,0.7464560746326276,0.1358370120738367,11,388,COMPLETE
7,0.7941030102647689,2025-11-16 11:56:34.075076,2025-11-16 11:56:35.350967,0 days 00:00:01.275891,3.4684231135231873,0.021020071887034402,12,392,COMPLETE
8,0.7261077114313979,2025-11-16 11:56:35.351006,2025-11-16 11:56:35.807088,0 days 00:00:00.456082,2.4707710280055926,0.008066861475146878,2,113,COMPLETE
9,0.793348539518302,2025-11-16 11:56:35.807124,2025-11-16 11:56:36.533185,0 days 00:00:00.726061,0.7075237502786685,0.049135619626416105,7,119,COMPLETE
10,0.7920535432905703,2025-11-16 11:56:36.533222,2025-11-16 11:56:37.829497,0 days 00:00:01.296275,3.9184710030380066,0.012200057031406529,9,281,COMPLETE
11,0.7867928512317894,2025-11-16 11:56:37.829533,2025-11-16 11:56:38.619854,0 days 00:00:00.790321,0.12631278823337766,0.23096402990181655,7,187,COMPLETE
12,0.8008516196544397,2025-11-16 11:56:38.619892,2025-11-16 11:56:39.360168,0 days 00:00:00.740276,1.502826108089951,0.02540072966240465,5,178,COMPLETE
13,0.7960386053229239,2025-11-16 11:56:39.360204,2025-11-16 11:56:40.014986,0 days 00:00:00.654782,3.5370036875770188,0.021587828581647865,4,174,COMPLETE
14,0.7859758089304979,2025-11-16 11:56:40.015029,2025-11-16 11:56:40.619684,0 days 00:00:00.604655,1.9851847254296788,0.02071273670128206,3,175,COMPLETE
15,0.7693525527842369,2025-11-16 11:56:40.619720,2025-11-16 11:56:41.358405,0 days 00:00:00.738685,4.660951122948571,0.0010758923977129175,5,182,COMPLETE
16,0.7966702998786938,2025-11-16 11:56:41.358450,2025-11-16 11:56:42.141146,0 days 00:00:00.782696,1.4993773854822117,0.024575192155665615,4,238,COMPLETE
