number,value,datetime_start,datetime_complete,duration,params_gamma,params_learning_rate,params_max_depth,params_n_estimators,state
0,0.8646090392148442,2025-11-16 11:43:50.182802,2025-11-16 11:43:51.557450,0 days 00:00:01.374648,4.790727184922673,0.049311372116382444,8,218,COMPLETE
1,0.7878715375364289,2025-11-16 11:43:51.557485,2025-11-16 11:43:52.938314,0 days 00:00:01.380829,4.385216959996702,0.0013634786336896613,3,311,COMPLETE
2,0.861488492381738,2025-11-16 11:43:52.938351,2025-11-16 11:43:54.243127,0 days 00:00:01.304776,3.287240794554908,0.15765296627635542,10,340,COMPLETE
3,0.7878715375364289,2025-11-16 11:43:54.243178,2025-11-16 11:43:55.552824,0 days 00:00:01.309646,3.141513310667265,0.001502528716726424,3,274,COMPLETE
4,0.8590442081875269,2025-11-16 11:43:55.552872,2025-11-16 11:43:57.025320,0 days 00:00:01.472448,1.8407600457226652,0.15017159615100015,12,322,COMPLETE
5,0.8604565945349085,2025-11-16 11:43:57.025371,2025-11-16 11:43:59.165218,0 days 00:00:02.139847,0.4088894877163213,0.026085191501921335,9,208,COMPLETE
6,0.8555436903020583,2025-11-16 11:43:59.165255,2025-11-16 11:44:00.817390,0 days 00:00:01.652135,2.297521163785932,0.010001150751380068,4,363,COMPLETE
7,0.8514416426620601,2025-11-16 11:44:00.817428,2025-11-16 11:44:05.433648,0 days 00:00:04.616220,0.8454268504556445,0.0019592220574807502,12,300,COMPLETE
8,0.8628071900780867,2025-11-16 11:44:05.433703,2025-11-16 11:44:06.646936,0 days 00:00:01.213233,3.031970495761568,0.18849496392814885,4,378,COMPLETE
9,0.8622867067560431,2025-11-16 11:44:06.646973,2025-11-16 11:44:07.765597,0 days 00:00:01.118624,4.462673506843825,0.13085716222776994,6,245,COMPLETE
10,0.8615242918279005,2025-11-16 11:44:07.765633,2025-11-16 11:44:08.934129,0 days 00:00:01.168496,4.948155367879844,0.03335535059069373,7,109,COMPLETE
11,0.8631375078012373,2025-11-16 11:44:08.934165,2025-11-16 11:44:09.976341,0 days 00:00:01.042176,3.4253601442253325,0.2977014393938731,6,204,COMPLETE
12,0.8638939859175029,2025-11-16 11:44:09.976385,2025-11-16 11:44:11.172339,0 days 00:00:01.195954,3.849530547844325,0.053030635602221585,6,175,COMPLETE
13,0.8595870442096404,2025-11-16 11:44:11.172379,2025-11-16 11:44:12.577830,0 days 00:00:01.405451,4.052367808332962,0.009846591301548344,8,139,COMPLETE
14,0.8629480151343285,2025-11-16 11:44:12.577869,2025-11-16 11:44:13.741373,0 days 00:00:01.163504,4.896526993636656,0.05023058608322612,6,169,COMPLETE
15,0.8623404022252386,2025-11-16 11:44:13.741417,2025-11-16 11:44:15.030462,0 days 00:00:01.289045,3.940419868670271,0.06558418074432304,10,220,COMPLETE
16,0.8600046284399727,2025-11-16 11:44:15.030502,2025-11-16 11:44:16.568381,0 days 00:00:01.537879,3.7421345882953414,0.011645365446898419,8,167,COMPLETE
