number,value,datetime_start,datetime_complete,duration,params_gamma,params_learning_rate,params_max_depth,params_n_estimators,state
0,0.8706824907241119,2025-11-16 11:33:34.846691,2025-11-16 11:33:35.871002,0 days 00:00:01.024311,3.708341338188667,0.0640035785861076,6,134,COMPLETE
1,0.8377196615491116,2025-11-16 11:33:35.871043,2025-11-16 11:33:37.371041,0 days 00:00:01.499998,2.2972998605991406,0.00395875716441431,5,306,COMPLETE
2,0.7714054516734515,2025-11-16 11:33:37.371078,2025-11-16 11:33:38.279401,0 days 00:00:00.908323,4.60684284395629,0.0021267111754661562,3,146,COMPLETE
3,0.8586428255374532,2025-11-16 11:33:38.279440,2025-11-16 11:33:39.871156,0 days 00:00:01.591716,1.134139674718262,0.006804220520882048,7,237,COMPLETE
4,0.8678864969416754,2025-11-16 11:33:39.871193,2025-11-16 11:33:40.850498,0 days 00:00:00.979305,4.224303543732545,0.18770491872451464,11,187,COMPLETE
5,0.8001996667395828,2025-11-16 11:33:40.850545,2025-11-16 11:33:41.827333,0 days 00:00:00.976788,2.614279516634892,0.004686253750509704,3,183,COMPLETE
6,0.8581626807009359,2025-11-16 11:33:41.827372,2025-11-16 11:33:44.195801,0 days 00:00:02.368429,1.5000983295776515,0.002321218840441014,10,236,COMPLETE
7,0.8555891342104477,2025-11-16 11:33:44.195848,2025-11-16 11:33:45.969989,0 days 00:00:01.774141,0.6140548736814821,0.003179610494553996,11,111,COMPLETE
8,0.8502438092949174,2025-11-16 11:33:45.970034,2025-11-16 11:33:47.660554,0 days 00:00:01.690520,0.9738035236571585,0.0031987956366425815,6,313,COMPLETE
9,0.861527666223803,2025-11-16 11:33:47.660604,2025-11-16 11:33:50.885482,0 days 00:00:03.224878,2.9985393985563,0.002611703525964168,12,327,COMPLETE
10,0.8719580785060808,2025-11-16 11:33:50.885521,2025-11-16 11:33:51.935716,0 days 00:00:01.050195,3.6196102151619893,0.06282949064843533,9,101,COMPLETE
11,0.8721782966495428,2025-11-16 11:33:51.935752,2025-11-16 11:33:52.939012,0 days 00:00:01.003260,3.60366918083682,0.06950172519156704,8,100,COMPLETE
12,0.8728487870651236,2025-11-16 11:33:52.939049,2025-11-16 11:33:54.540454,0 days 00:00:01.601405,3.4245518826032706,0.038759998008530645,9,387,COMPLETE
13,0.8726870393691684,2025-11-16 11:33:54.540491,2025-11-16 11:33:56.398828,0 days 00:00:01.858337,3.424789522930618,0.023387433101481392,9,390,COMPLETE
14,0.8719814031550251,2025-11-16 11:33:56.398867,2025-11-16 11:33:58.506452,0 days 00:00:02.107585,4.9071483026322,0.016741993575840625,9,399,COMPLETE
15,0.8728098702939782,2025-11-16 11:33:58.506504,2025-11-16 11:34:00.735886,0 days 00:00:02.229382,2.0344319761246474,0.020330089742969626,8,387,COMPLETE
16,0.869298970919323,2025-11-16 11:34:00.735925,2025-11-16 11:34:02.805844,0 days 00:00:02.069919,1.985115531245821,0.013450737837781179,7,357,COMPLETE
17,0.867483127063282,2025-11-16 11:34:02.805898,2025-11-16 11:34:04.241105,0 days 00:00:01.435207,0.13783809808163916,0.031016146011389207,4,355,COMPLETE
18,0.8464932787551017,2025-11-16 11:34:04.241142,2025-11-16 11:34:06.310897,0 days 00:00:02.069755,1.8928854699768727,0.001071286404308629,8,283,COMPLETE
19,0.8693258584591911,2025-11-16 11:34:06.310934,2025-11-16 11:34:07.537461,0 days 00:00:01.226527,2.761038658596541,0.13786312737430934,10,363,COMPLETE
