number,value,datetime_start,datetime_complete,duration,params_gamma,params_learning_rate,params_max_depth,params_n_estimators,state
0,0.8067074801845248,2025-11-16 11:32:07.704276,2025-11-16 11:32:08.981429,0 days 00:00:01.277153,3.5532543786694286,0.002167567820516179,10,242,COMPLETE
1,0.7934206320169012,2025-11-16 11:32:08.981474,2025-11-16 11:32:09.672004,0 days 00:00:00.690530,2.7737755144688707,0.0014993911018905022,2,397,COMPLETE
2,0.7813162867637121,2025-11-16 11:32:09.672048,2025-11-16 11:32:10.187892,0 days 00:00:00.515844,3.5409531088110224,0.0021279675577587395,3,194,COMPLETE
3,0.803093578819186,2025-11-16 11:32:10.187935,2025-11-16 11:32:12.303096,0 days 00:00:02.115161,0.6567968715602557,0.010656585634344438,10,368,COMPLETE
4,0.7916473211257783,2025-11-16 11:32:12.303139,2025-11-16 11:32:13.141124,0 days 00:00:00.837985,1.0296705431731685,0.0017151322765531843,4,283,COMPLETE
5,0.7908022911833444,2025-11-16 11:32:13.141160,2025-11-16 11:32:13.725415,0 days 00:00:00.584255,0.9570235154626072,0.1134232639120366,11,121,COMPLETE
6,0.8035942804698724,2025-11-16 11:32:13.725450,2025-11-16 11:32:14.764609,0 days 00:00:01.039159,1.894919351648185,0.010233369539805363,9,181,COMPLETE
7,0.8025568972686367,2025-11-16 11:32:14.764643,2025-11-16 11:32:16.337175,0 days 00:00:01.572532,1.059033883287987,0.0010306142566219047,7,398,COMPLETE
8,0.8033029336584642,2025-11-16 11:32:16.337210,2025-11-16 11:32:17.283299,0 days 00:00:00.946089,3.7431734952469267,0.00187870010185407,7,219,COMPLETE
9,0.8062719355379985,2025-11-16 11:32:17.283336,2025-11-16 11:32:17.782061,0 days 00:00:00.498725,4.924670360127798,0.11930763898940505,3,233,COMPLETE
10,0.8044835873089216,2025-11-16 11:32:17.782095,2025-11-16 11:32:18.579575,0 days 00:00:00.797480,4.823056368000918,0.028032799452550064,12,297,COMPLETE
11,0.8050333204975454,2025-11-16 11:32:18.579611,2025-11-16 11:32:19.072651,0 days 00:00:00.493040,4.782008633836666,0.2977535604066951,5,255,COMPLETE
12,0.8028114907217636,2025-11-16 11:32:19.072688,2025-11-16 11:32:19.790470,0 days 00:00:00.717782,3.988630634203375,0.04445955191029926,9,330,COMPLETE
13,0.8054869302656916,2025-11-16 11:32:19.790513,2025-11-16 11:32:20.341803,0 days 00:00:00.551290,2.7294275870836415,0.006644636213578265,5,135,COMPLETE
