number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_samples_split,params_n_estimators,state
0,0.5964026465062837,2025-11-15 17:57:52.493859,2025-11-15 17:57:53.336572,0 days 00:00:00.842713,20,13,29,COMPLETE
1,0.595527497251735,2025-11-15 17:57:53.337203,2025-11-15 17:57:54.678835,0 days 00:00:01.341632,15,13,61,COMPLETE
2,0.3513345425896407,2025-11-15 17:57:54.679454,2025-11-15 17:57:55.608351,0 days 00:00:00.928897,5,19,79,COMPLETE
3,0.5182698024608807,2025-11-15 17:57:55.609347,2025-11-15 17:57:56.684527,0 days 00:00:01.075180,8,15,69,COMPLETE
4,0.1655123008644527,2025-11-15 17:57:56.685111,2025-11-15 17:57:57.238652,0 days 00:00:00.553541,3,12,48,COMPLETE
5,0.6145738703840807,2025-11-15 17:57:57.239224,2025-11-15 17:57:58.117875,0 days 00:00:00.878651,30,20,34,COMPLETE
6,0.5653549125441112,2025-11-15 17:57:58.118589,2025-11-15 17:57:58.607883,0 days 00:00:00.489294,13,11,15,COMPLETE
7,0.5988585136376148,2025-11-15 17:57:58.608910,2025-11-15 17:57:59.552920,0 days 00:00:00.944010,30,20,38,COMPLETE
8,0.3663023236056515,2025-11-15 17:57:59.553521,2025-11-15 17:58:00.220713,0 days 00:00:00.667192,5,19,50,COMPLETE
9,0.5679789534769378,2025-11-15 17:58:00.221469,2025-11-15 17:58:01.928492,0 days 00:00:01.707023,11,5,97,COMPLETE
10,0.5743649454699808,2025-11-15 17:58:01.929076,2025-11-15 17:58:02.541569,0 days 00:00:00.612493,30,2,16,COMPLETE
11,0.6027052636086585,2025-11-15 17:58:02.542375,2025-11-15 17:58:03.417476,0 days 00:00:00.875101,29,17,33,COMPLETE
12,0.6048701262815325,2025-11-15 17:58:03.418059,2025-11-15 17:58:04.239513,0 days 00:00:00.821454,24,16,30,COMPLETE
13,0.5980473774076183,2025-11-15 17:58:04.240811,2025-11-15 17:58:05.042061,0 days 00:00:00.801250,23,16,27,COMPLETE
14,0.6121052968447651,2025-11-15 17:58:05.042744,2025-11-15 17:58:06.192524,0 days 00:00:01.149780,24,9,43,COMPLETE
15,0.605557283190991,2025-11-15 17:58:06.193166,2025-11-15 17:58:07.301442,0 days 00:00:01.108276,26,9,40,COMPLETE
16,0.6083773025115125,2025-11-15 17:58:07.302066,2025-11-15 17:58:08.783951,0 days 00:00:01.481885,19,8,59,COMPLETE
17,0.60918682442401,2025-11-15 17:58:08.784605,2025-11-15 17:58:09.988271,0 days 00:00:01.203666,27,7,44,COMPLETE
18,0.5711526461925645,2025-11-15 17:58:09.988943,2025-11-15 17:58:10.450026,0 days 00:00:00.461083,18,4,10,COMPLETE
19,0.6069307136908295,2025-11-15 17:58:10.450597,2025-11-15 17:58:12.266077,0 days 00:00:01.815480,22,10,77,COMPLETE
20,0.6049494632826515,2025-11-15 17:58:12.266715,2025-11-15 17:58:12.983531,0 days 00:00:00.716816,26,6,22,COMPLETE
21,0.6095041133134,2025-11-15 17:58:12.984143,2025-11-15 17:58:14.227976,0 days 00:00:01.243833,26,7,46,COMPLETE
