number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_samples_split,params_n_estimators,state
0,0.8195401678765514,2025-11-15 17:50:37.069773,2025-11-15 17:50:37.875357,0 days 00:00:00.805584,22,15,17,COMPLETE
1,0.8286359606626343,2025-11-15 17:50:37.876360,2025-11-15 17:50:40.458324,0 days 00:00:02.581964,21,11,78,COMPLETE
2,0.8265847284490826,2025-11-15 17:50:40.458996,2025-11-15 17:50:42.246589,0 days 00:00:01.787593,28,15,52,COMPLETE
3,0.7693411922312736,2025-11-15 17:50:42.247246,2025-11-15 17:50:42.795736,0 days 00:00:00.548490,2,3,34,COMPLETE
4,0.7764681645315312,2025-11-15 17:50:42.796307,2025-11-15 17:50:43.665852,0 days 00:00:00.869545,2,18,81,COMPLETE
5,0.7707076190649509,2025-11-15 17:50:43.666679,2025-11-15 17:50:44.503592,0 days 00:00:00.836913,2,12,76,COMPLETE
6,0.8052856567080626,2025-11-15 17:50:44.504227,2025-11-15 17:50:45.612314,0 days 00:00:01.108087,9,10,44,COMPLETE
7,0.8253083555958478,2025-11-15 17:50:45.612965,2025-11-15 17:50:46.926252,0 days 00:00:01.313287,18,17,38,COMPLETE
8,0.8157702995350624,2025-11-15 17:50:46.926875,2025-11-15 17:50:49.303375,0 days 00:00:02.376500,11,4,97,COMPLETE
9,0.8258459462361566,2025-11-15 17:50:49.304286,2025-11-15 17:50:50.504709,0 days 00:00:01.200423,25,14,31,COMPLETE
10,0.8246822519396169,2025-11-15 17:50:50.505390,2025-11-15 17:50:52.756681,0 days 00:00:02.251291,18,8,69,COMPLETE
11,0.8252318433495167,2025-11-15 17:50:52.757316,2025-11-15 17:50:54.711040,0 days 00:00:01.953724,30,20,60,COMPLETE
12,0.8293014524990919,2025-11-15 17:50:54.711705,2025-11-15 17:50:57.757196,0 days 00:00:03.045491,28,9,92,COMPLETE
13,0.8272464447495089,2025-11-15 17:50:57.757846,2025-11-15 17:51:01.051143,0 days 00:00:03.293297,24,7,100,COMPLETE
14,0.8260208171239967,2025-11-15 17:51:01.051826,2025-11-15 17:51:03.962069,0 days 00:00:02.910243,21,7,88,COMPLETE
15,0.8202881069026386,2025-11-15 17:51:03.963435,2025-11-15 17:51:06.358654,0 days 00:00:02.395219,13,11,88,COMPLETE
16,0.8270125800643532,2025-11-15 17:51:06.359283,2025-11-15 17:51:08.661034,0 days 00:00:02.301751,27,9,67,COMPLETE
17,0.828133579149805,2025-11-15 17:51:08.661679,2025-11-15 17:51:11.553777,0 days 00:00:02.892098,21,5,86,COMPLETE
18,0.8226011634145916,2025-11-15 17:51:11.554456,2025-11-15 17:51:13.801416,0 days 00:00:02.246960,16,13,74,COMPLETE
19,0.8278364302860449,2025-11-15 17:51:13.802030,2025-11-15 17:51:15.908929,0 days 00:00:02.106899,30,6,58,COMPLETE
20,0.8303037958465241,2025-11-15 17:51:15.909747,2025-11-15 17:51:19.269142,0 days 00:00:03.359395,25,2,94,COMPLETE
21,0.8286959231161678,2025-11-15 17:51:19.269884,2025-11-15 17:51:22.553043,0 days 00:00:03.283159,25,2,92,COMPLETE
22,0.8267473287238885,2025-11-15 17:51:22.553795,2025-11-15 17:51:25.981737,0 days 00:00:03.427942,26,2,96,COMPLETE
23,0.8285000667589826,2025-11-15 17:51:25.982728,2025-11-15 17:51:29.175004,0 days 00:00:03.192276,24,2,91,COMPLETE
