number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_samples_split,params_n_estimators,state
0,0.890049954741057,2025-11-15 17:25:53.718554,2025-11-15 17:25:59.055328,0 days 00:00:05.336774,16,16,77,COMPLETE
1,0.8882700355209832,2025-11-15 17:25:59.056145,2025-11-15 17:26:00.729606,0 days 00:00:01.673461,23,6,13,COMPLETE
2,0.8918243792182986,2025-11-15 17:26:00.730290,2025-11-15 17:26:06.911228,0 days 00:00:06.180938,26,16,75,COMPLETE
3,0.8842056509366296,2025-11-15 17:26:06.912031,2025-11-15 17:26:08.484513,0 days 00:00:01.572482,26,4,11,COMPLETE
4,0.8772672108164563,2025-11-15 17:26:08.485493,2025-11-15 17:26:13.094811,0 days 00:00:04.609318,10,13,95,COMPLETE
5,0.8370494227079721,2025-11-15 17:26:13.095429,2025-11-15 17:26:14.678104,0 days 00:00:01.582675,4,16,37,COMPLETE
6,0.8874794716312794,2025-11-15 17:26:14.678783,2025-11-15 17:26:20.253827,0 days 00:00:05.575044,14,13,89,COMPLETE
7,0.8857992749543019,2025-11-15 17:26:20.254482,2025-11-15 17:26:22.529947,0 days 00:00:02.275465,13,7,30,COMPLETE
8,0.8918284415976447,2025-11-15 17:26:22.530613,2025-11-15 17:26:29.655752,0 days 00:00:07.125139,25,20,90,COMPLETE
9,0.8931628790946183,2025-11-15 17:26:29.656448,2025-11-15 17:26:37.642565,0 days 00:00:07.986117,26,7,94,COMPLETE
10,0.891805991156696,2025-11-15 17:26:37.643698,2025-11-15 17:26:41.947730,0 days 00:00:04.304032,20,9,51,COMPLETE
11,0.8924683784855423,2025-11-15 17:26:41.948351,2025-11-15 17:26:49.887714,0 days 00:00:07.939363,28,19,100,COMPLETE
12,0.8933766242755652,2025-11-15 17:26:49.888336,2025-11-15 17:26:56.507056,0 days 00:00:06.618720,30,2,71,COMPLETE
13,0.8921680153920928,2025-11-15 17:26:56.507753,2025-11-15 17:27:02.878341,0 days 00:00:06.370588,30,2,68,COMPLETE
14,0.8924970568260229,2025-11-15 17:27:02.878982,2025-11-15 17:27:08.203399,0 days 00:00:05.324417,20,2,64,COMPLETE
15,0.8919333675742308,2025-11-15 17:27:08.204231,2025-11-15 17:27:15.283539,0 days 00:00:07.079308,30,6,80,COMPLETE
16,0.8922918678653213,2025-11-15 17:27:15.284491,2025-11-15 17:27:19.849662,0 days 00:00:04.565171,21,9,55,COMPLETE
