number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_samples_split,params_n_estimators,state
0,0.9023673753592529,2025-11-15 17:48:03.514269,2025-11-15 17:48:05.472802,0 days 00:00:01.958533,8,6,77,COMPLETE
1,0.9104023675451767,2025-11-15 17:48:05.473764,2025-11-15 17:48:07.434432,0 days 00:00:01.960668,18,9,44,COMPLETE
2,0.911319191537687,2025-11-15 17:48:07.435082,2025-11-15 17:48:11.234895,0 days 00:00:03.799813,21,8,92,COMPLETE
3,0.9033998142103776,2025-11-15 17:48:11.235561,2025-11-15 17:48:11.886432,0 days 00:00:00.650871,9,14,12,COMPLETE
4,0.9082454089279649,2025-11-15 17:48:11.887340,2025-11-15 17:48:13.980857,0 days 00:00:02.093517,12,4,60,COMPLETE
5,0.877488301081143,2025-11-15 17:48:13.981513,2025-11-15 17:48:14.742555,0 days 00:00:00.761042,3,16,38,COMPLETE
6,0.9110381454914807,2025-11-15 17:48:14.743161,2025-11-15 17:48:17.818672,0 days 00:00:03.075511,14,7,85,COMPLETE
7,0.9097765548161514,2025-11-15 17:48:17.819647,2025-11-15 17:48:20.819148,0 days 00:00:02.999501,18,16,77,COMPLETE
8,0.9096996512299537,2025-11-15 17:48:20.820032,2025-11-15 17:48:23.007488,0 days 00:00:02.187456,24,7,48,COMPLETE
9,0.905227524460466,2025-11-15 17:48:23.008153,2025-11-15 17:48:23.791350,0 days 00:00:00.783197,22,12,11,COMPLETE
10,0.9105411516254851,2025-11-15 17:48:23.791954,2025-11-15 17:48:27.513958,0 days 00:00:03.722004,30,19,95,COMPLETE
11,0.9104080178959784,2025-11-15 17:48:27.514955,2025-11-15 17:48:31.062429,0 days 00:00:03.547474,15,9,98,COMPLETE
12,0.9102140633783744,2025-11-15 17:48:31.063077,2025-11-15 17:48:34.624066,0 days 00:00:03.560989,24,2,80,COMPLETE
13,0.9099660429718044,2025-11-15 17:48:34.624689,2025-11-15 17:48:38.511034,0 days 00:00:03.886345,29,10,88,COMPLETE
14,0.9106514453830371,2025-11-15 17:48:38.511638,2025-11-15 17:48:41.283024,0 days 00:00:02.771386,21,6,64,COMPLETE
15,0.9102300284954412,2025-11-15 17:48:41.283922,2025-11-15 17:48:43.878890,0 days 00:00:02.594968,14,2,68,COMPLETE
16,0.9064636244290302,2025-11-15 17:48:43.879549,2025-11-15 17:48:46.340149,0 days 00:00:02.460600,10,12,87,COMPLETE
17,0.8870336799216855,2025-11-15 17:48:46.340915,2025-11-15 17:48:47.077098,0 days 00:00:00.736183,5,7,25,COMPLETE
18,0.9118433610844756,2025-11-15 17:48:47.077895,2025-11-15 17:48:51.021985,0 days 00:00:03.944090,18,4,98,COMPLETE
19,0.90963024469529,2025-11-15 17:48:51.022667,2025-11-15 17:48:55.060242,0 days 00:00:04.037575,18,4,100,COMPLETE
20,0.9099703032750511,2025-11-15 17:48:55.061067,2025-11-15 17:48:58.208746,0 days 00:00:03.147679,27,4,71,COMPLETE
21,0.9109044510663816,2025-11-15 17:48:58.209572,2025-11-15 17:49:01.780979,0 days 00:00:03.571407,20,8,88,COMPLETE
22,0.9094206965268047,2025-11-15 17:49:01.781636,2025-11-15 17:49:04.852325,0 days 00:00:03.070689,13,5,90,COMPLETE
23,0.9102773275835012,2025-11-15 17:49:04.852945,2025-11-15 17:49:08.023255,0 days 00:00:03.170310,16,11,84,COMPLETE
24,0.9105364412393703,2025-11-15 17:49:08.024479,2025-11-15 17:49:11.887254,0 days 00:00:03.862775,25,8,93,COMPLETE
25,0.9120440240026187,2025-11-15 17:49:11.888144,2025-11-15 17:49:15.103006,0 days 00:00:03.214862,19,3,76,COMPLETE
26,0.9101897361570195,2025-11-15 17:49:15.104654,2025-11-15 17:49:18.287985,0 days 00:00:03.183331,20,2,72,COMPLETE
27,0.909839817298051,2025-11-15 17:49:18.289002,2025-11-15 17:49:20.638780,0 days 00:00:02.349778,17,3,55,COMPLETE
28,0.9114798957278694,2025-11-15 17:49:20.639745,2025-11-15 17:49:24.811225,0 days 00:00:04.171480,23,5,100,COMPLETE
29,0.9109115004607837,2025-11-15 17:49:24.812107,2025-11-15 17:49:29.043547,0 days 00:00:04.231440,27,5,100,COMPLETE
30,0.9085513168456603,2025-11-15 17:49:29.044217,2025-11-15 17:49:32.388805,0 days 00:00:03.344588,23,5,78,COMPLETE
31,0.9109494137811861,2025-11-15 17:49:32.389444,2025-11-15 17:49:36.244539,0 days 00:00:03.855095,20,6,94,COMPLETE
32,0.9109351410640535,2025-11-15 17:49:36.245175,2025-11-15 17:49:39.733580,0 days 00:00:03.488405,19,3,82,COMPLETE
33,0.9112059751853081,2025-11-15 17:49:39.734226,2025-11-15 17:49:43.668012,0 days 00:00:03.933786,22,3,92,COMPLETE
34,0.9110759676977093,2025-11-15 17:49:43.668832,2025-11-15 17:49:47.767637,0 days 00:00:04.098805,17,6,96,COMPLETE
35,0.9093003025934374,2025-11-15 17:49:47.768375,2025-11-15 17:49:50.265010,0 days 00:00:02.496635,11,9,73,COMPLETE
36,0.9090179930869693,2025-11-15 17:49:50.265776,2025-11-15 17:49:53.226190,0 days 00:00:02.960414,26,4,59,COMPLETE
