number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_samples_split,params_n_estimators,state
0,0.8781038514326183,2025-11-15 17:30:55.886151,2025-11-15 17:30:57.275072,0 days 00:00:01.388921,7,7,23,COMPLETE
1,0.8935911152765842,2025-11-15 17:30:57.275779,2025-11-15 17:31:00.827326,0 days 00:00:03.551547,23,14,43,COMPLETE
2,0.8940907988922232,2025-11-15 17:31:00.827972,2025-11-15 17:31:07.054034,0 days 00:00:06.226062,19,7,88,COMPLETE
3,0.8941611724450131,2025-11-15 17:31:07.054721,2025-11-15 17:31:14.247701,0 days 00:00:07.192980,22,13,100,COMPLETE
4,0.8893239844720003,2025-11-15 17:31:14.248384,2025-11-15 17:31:18.786171,0 days 00:00:04.537787,10,4,98,COMPLETE
5,0.8921090955452874,2025-11-15 17:31:18.787142,2025-11-15 17:31:20.823573,0 days 00:00:02.036431,25,16,20,COMPLETE
6,0.8320466301879428,2025-11-15 17:31:20.824575,2025-11-15 17:31:22.672113,0 days 00:00:01.847538,2,8,98,COMPLETE
7,0.8944739893048335,2025-11-15 17:31:22.672715,2025-11-15 17:31:26.581882,0 days 00:00:03.909167,20,9,50,COMPLETE
8,0.8893324793189372,2025-11-15 17:31:26.582707,2025-11-15 17:31:27.945100,0 days 00:00:01.362393,16,9,12,COMPLETE
9,0.8492595928985349,2025-11-15 17:31:27.945704,2025-11-15 17:31:29.989942,0 days 00:00:02.044238,4,11,74,COMPLETE
10,0.893938179163737,2025-11-15 17:31:29.990552,2025-11-15 17:31:34.128872,0 days 00:00:04.138320,30,20,52,COMPLETE
11,0.8943405582564946,2025-11-15 17:31:34.129504,2025-11-15 17:31:38.624597,0 days 00:00:04.495093,16,14,69,COMPLETE
12,0.8910830976393631,2025-11-15 17:31:38.625224,2025-11-15 17:31:42.482060,0 days 00:00:03.856836,12,2,69,COMPLETE
13,0.8933944227656653,2025-11-15 17:31:42.482884,2025-11-15 17:31:45.289176,0 days 00:00:02.806292,15,18,40,COMPLETE
