number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_samples_split,params_n_estimators,state
0,0.9765561252019905,2025-11-15 17:46:39.940753,2025-11-15 17:46:40.619742,0 days 00:00:00.678989,13,20,59,COMPLETE
1,0.9794503450236333,2025-11-15 17:46:40.620373,2025-11-15 17:46:40.927217,0 days 00:00:00.306844,22,5,12,COMPLETE
2,0.978173800389665,2025-11-15 17:46:40.927984,2025-11-15 17:46:41.585117,0 days 00:00:00.657133,22,10,52,COMPLETE
3,0.976885196936129,2025-11-15 17:46:41.585854,2025-11-15 17:46:42.351032,0 days 00:00:00.765178,30,17,68,COMPLETE
4,0.9727218504740385,2025-11-15 17:46:42.351641,2025-11-15 17:46:42.784376,0 days 00:00:00.432735,3,5,54,COMPLETE
5,0.9728378455076905,2025-11-15 17:46:42.784953,2025-11-15 17:46:43.368129,0 days 00:00:00.583176,5,16,68,COMPLETE
6,0.9749102444466977,2025-11-15 17:46:43.369036,2025-11-15 17:46:44.343568,0 days 00:00:00.974532,11,8,100,COMPLETE
7,0.9766728279076613,2025-11-15 17:46:44.344333,2025-11-15 17:46:45.243757,0 days 00:00:00.899424,11,7,91,COMPLETE
8,0.9760720822994253,2025-11-15 17:46:45.244428,2025-11-15 17:46:45.869180,0 days 00:00:00.624752,29,17,50,COMPLETE
9,0.9746839919466218,2025-11-15 17:46:45.869786,2025-11-15 17:46:46.592002,0 days 00:00:00.722216,10,6,70,COMPLETE
10,0.9789000489350048,2025-11-15 17:46:46.592736,2025-11-15 17:46:46.878997,0 days 00:00:00.286261,20,3,11,COMPLETE
11,0.9778521119280471,2025-11-15 17:46:46.879550,2025-11-15 17:46:47.155369,0 days 00:00:00.275819,21,4,10,COMPLETE
12,0.9785857983447258,2025-11-15 17:46:47.155988,2025-11-15 17:46:47.447329,0 days 00:00:00.291341,20,2,11,COMPLETE
13,0.9794384023605357,2025-11-15 17:46:47.447865,2025-11-15 17:46:47.874803,0 days 00:00:00.426938,25,2,27,COMPLETE
14,0.9773518252412539,2025-11-15 17:46:47.875715,2025-11-15 17:46:48.351407,0 days 00:00:00.475692,25,12,32,COMPLETE
15,0.9800136196170379,2025-11-15 17:46:48.352023,2025-11-15 17:46:48.802106,0 days 00:00:00.450083,26,2,30,COMPLETE
16,0.9783920175026186,2025-11-15 17:46:48.802716,2025-11-15 17:46:49.241576,0 days 00:00:00.438860,17,10,29,COMPLETE
17,0.9778168500716209,2025-11-15 17:46:49.242384,2025-11-15 17:46:49.760924,0 days 00:00:00.518540,25,13,39,COMPLETE
18,0.9788625481437283,2025-11-15 17:46:49.761527,2025-11-15 17:46:50.134197,0 days 00:00:00.372670,27,8,21,COMPLETE
19,0.9780443692590035,2025-11-15 17:46:50.134784,2025-11-15 17:46:50.657094,0 days 00:00:00.522310,16,5,39,COMPLETE
20,0.9788566208211327,2025-11-15 17:46:50.658242,2025-11-15 17:46:51.047310,0 days 00:00:00.389068,23,2,23,COMPLETE
21,0.9788680627292111,2025-11-15 17:46:51.047925,2025-11-15 17:46:51.427329,0 days 00:00:00.379404,26,2,21,COMPLETE
22,0.978049807089244,2025-11-15 17:46:51.427906,2025-11-15 17:46:51.907003,0 days 00:00:00.479097,18,4,33,COMPLETE
23,0.9795735974541346,2025-11-15 17:46:51.907913,2025-11-15 17:46:52.457021,0 days 00:00:00.549108,24,4,41,COMPLETE
24,0.979226720432848,2025-11-15 17:46:52.457762,2025-11-15 17:46:53.037012,0 days 00:00:00.579250,28,6,46,COMPLETE
25,0.9807625091492076,2025-11-15 17:46:53.037614,2025-11-15 17:46:53.594421,0 days 00:00:00.556807,23,4,42,COMPLETE
26,0.9795750610743372,2025-11-15 17:46:53.595033,2025-11-15 17:46:54.143537,0 days 00:00:00.548504,24,8,42,COMPLETE
27,0.9778426256059147,2025-11-15 17:46:54.144359,2025-11-15 17:46:54.849462,0 days 00:00:00.705103,14,9,62,COMPLETE
28,0.9797052740571865,2025-11-15 17:46:54.850315,2025-11-15 17:46:55.716778,0 days 00:00:00.866463,27,7,78,COMPLETE
29,0.9789917113520413,2025-11-15 17:46:55.717388,2025-11-15 17:46:56.644018,0 days 00:00:00.926630,30,6,85,COMPLETE
30,0.9776029578321108,2025-11-15 17:46:56.644753,2025-11-15 17:46:57.484489,0 days 00:00:00.839736,27,14,77,COMPLETE
31,0.9797048609435095,2025-11-15 17:46:57.485089,2025-11-15 17:46:58.177264,0 days 00:00:00.692175,28,8,60,COMPLETE
32,0.978637177956497,2025-11-15 17:46:58.178056,2025-11-15 17:46:58.870532,0 days 00:00:00.692476,28,7,59,COMPLETE
33,0.9791093816031206,2025-11-15 17:46:58.871473,2025-11-15 17:46:59.737007,0 days 00:00:00.865534,27,4,78,COMPLETE
34,0.9789895852422614,2025-11-15 17:46:59.737628,2025-11-15 17:47:00.419502,0 days 00:00:00.681874,22,10,59,COMPLETE
35,0.9792191859042629,2025-11-15 17:47:00.420107,2025-11-15 17:47:01.041673,0 days 00:00:00.621566,30,3,49,COMPLETE
36,0.9778210879018975,2025-11-15 17:47:01.042302,2025-11-15 17:47:01.846869,0 days 00:00:00.804567,19,20,75,COMPLETE
37,0.9784011252990272,2025-11-15 17:47:01.847421,2025-11-15 17:47:02.756387,0 days 00:00:00.908966,22,7,84,COMPLETE
38,0.9791126319318766,2025-11-15 17:47:02.757036,2025-11-15 17:47:03.485669,0 days 00:00:00.728633,28,11,63,COMPLETE
39,0.9735344900498208,2025-11-15 17:47:03.486417,2025-11-15 17:47:03.969147,0 days 00:00:00.482730,7,9,45,COMPLETE
40,0.9789845603077623,2025-11-15 17:47:03.970140,2025-11-15 17:47:04.790994,0 days 00:00:00.820854,23,5,72,COMPLETE
41,0.9798131462743994,2025-11-15 17:47:04.791679,2025-11-15 17:47:05.464045,0 days 00:00:00.672366,24,8,54,COMPLETE
42,0.9793525807523336,2025-11-15 17:47:05.464814,2025-11-15 17:47:06.144535,0 days 00:00:00.679721,26,9,53,COMPLETE
