number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_samples_split,params_n_estimators,state
0,0.8583418370288147,2025-11-15 17:35:48.542145,2025-11-15 17:35:51.354628,0 days 00:00:02.812483,24,5,36,COMPLETE
1,0.8613650912767679,2025-11-15 17:35:51.355474,2025-11-15 17:35:56.618985,0 days 00:00:05.263511,27,10,80,COMPLETE
2,0.8521813616807663,2025-11-15 17:35:56.619657,2025-11-15 17:35:57.657406,0 days 00:00:01.037749,12,17,12,COMPLETE
3,0.8603833482381831,2025-11-15 17:35:57.658011,2025-11-15 17:36:03.531975,0 days 00:00:05.873964,24,6,88,COMPLETE
4,0.8579790588857283,2025-11-15 17:36:03.532595,2025-11-15 17:36:07.569957,0 days 00:00:04.037362,12,20,89,COMPLETE
5,0.8589778439215582,2025-11-15 17:36:07.570548,2025-11-15 17:36:10.355320,0 days 00:00:02.784772,19,5,40,COMPLETE
6,0.8506294617453971,2025-11-15 17:36:10.355919,2025-11-15 17:36:12.267928,0 days 00:00:01.912009,9,17,45,COMPLETE
7,0.8530860985053502,2025-11-15 17:36:12.268984,2025-11-15 17:36:15.521595,0 days 00:00:03.252611,9,19,88,COMPLETE
8,0.8604191666483851,2025-11-15 17:36:15.522213,2025-11-15 17:36:18.631529,0 days 00:00:03.109316,18,12,49,COMPLETE
9,0.8345616599256613,2025-11-15 17:36:18.632165,2025-11-15 17:36:20.015638,0 days 00:00:01.383473,4,13,53,COMPLETE
10,0.8609447204534677,2025-11-15 17:36:20.016230,2025-11-15 17:36:24.877817,0 days 00:00:04.861587,30,9,73,COMPLETE
11,0.8624068570678934,2025-11-15 17:36:24.878446,2025-11-15 17:36:29.617086,0 days 00:00:04.738640,29,9,71,COMPLETE
12,0.8635003955809044,2025-11-15 17:36:29.617960,2025-11-15 17:36:34.323796,0 days 00:00:04.705836,29,9,70,COMPLETE
13,0.8594338335261604,2025-11-15 17:36:34.324499,2025-11-15 17:36:39.295410,0 days 00:00:04.970911,30,2,68,COMPLETE
14,0.8635195182360274,2025-11-15 17:36:39.296064,2025-11-15 17:36:45.671700,0 days 00:00:06.375636,23,8,100,COMPLETE
15,0.8631661581240561,2025-11-15 17:36:45.672558,2025-11-15 17:36:52.002753,0 days 00:00:06.330195,23,8,99,COMPLETE
16,0.8623927579836259,2025-11-15 17:36:52.003759,2025-11-15 17:36:56.097930,0 days 00:00:04.094171,22,13,63,COMPLETE
17,0.8609226348100091,2025-11-15 17:36:56.098583,2025-11-15 17:37:03.026438,0 days 00:00:06.927855,27,2,99,COMPLETE
18,0.8571021058239472,2025-11-15 17:37:03.027401,2025-11-15 17:37:04.443154,0 days 00:00:01.415753,20,7,15,COMPLETE
19,0.8590584572092433,2025-11-15 17:37:04.443749,2025-11-15 17:37:06.319509,0 days 00:00:01.875760,15,11,28,COMPLETE
20,0.8621277305603707,2025-11-15 17:37:06.320148,2025-11-15 17:37:10.205762,0 days 00:00:03.885614,27,15,59,COMPLETE
21,0.8624118481520909,2025-11-15 17:37:10.206425,2025-11-15 17:37:16.691288,0 days 00:00:06.484863,23,7,99,COMPLETE
22,0.862233112152578,2025-11-15 17:37:16.692396,2025-11-15 17:42:08.669436,0 days 00:04:51.977040,26,8,79,COMPLETE
23,0.8615671337634832,2025-11-15 17:42:08.671085,2025-11-15 17:42:15.927707,0 days 00:00:07.256622,22,5,100,COMPLETE
24,0.8615659128828017,2025-11-15 17:42:15.928437,2025-11-15 17:42:21.740048,0 days 00:00:05.811611,17,10,92,COMPLETE
25,0.8609615059173,2025-11-15 17:42:21.740694,2025-11-15 17:42:27.279616,0 days 00:00:05.538922,21,4,82,COMPLETE
26,0.8597892056303047,2025-11-15 17:42:27.280404,2025-11-15 17:42:33.503913,0 days 00:00:06.223509,26,8,93,COMPLETE
27,0.8610577534483923,2025-11-15 17:42:33.505336,2025-11-15 17:42:38.474941,0 days 00:00:04.969605,24,11,75,COMPLETE
28,0.8601676983838674,2025-11-15 17:42:38.475587,2025-11-15 17:42:42.154663,0 days 00:00:03.679076,15,7,64,COMPLETE
29,0.8581858250681954,2025-11-15 17:42:42.155306,2025-11-15 17:42:44.515863,0 days 00:00:02.360557,25,4,29,COMPLETE
30,0.8623561947393128,2025-11-15 17:42:44.516719,2025-11-15 17:42:49.848716,0 days 00:00:05.331997,28,14,83,COMPLETE
31,0.8612078828977452,2025-11-15 17:42:49.849548,2025-11-15 17:42:55.890090,0 days 00:00:06.040542,21,7,94,COMPLETE
32,0.8624218534975666,2025-11-15 17:42:55.891077,2025-11-15 17:43:02.297106,0 days 00:00:06.406029,24,9,99,COMPLETE
33,0.8622419971939863,2025-11-15 17:43:02.297786,2025-11-15 17:43:08.508536,0 days 00:00:06.210750,23,9,95,COMPLETE
34,0.8616925048100523,2025-11-15 17:43:08.509153,2025-11-15 17:43:13.927649,0 days 00:00:05.418496,25,10,83,COMPLETE
35,0.8624115191743339,2025-11-15 17:43:13.928313,2025-11-15 17:43:19.700975,0 days 00:00:05.772662,28,8,86,COMPLETE
36,0.8628132341027651,2025-11-15 17:43:19.701621,2025-11-15 17:43:24.678302,0 days 00:00:04.976681,20,6,77,COMPLETE
37,0.8618447904366171,2025-11-15 17:43:24.678968,2025-11-15 17:43:29.712042,0 days 00:00:05.033074,20,6,77,COMPLETE
38,0.8594857688586487,2025-11-15 17:43:29.712885,2025-11-15 17:43:33.471624,0 days 00:00:03.758739,18,4,57,COMPLETE
39,0.8599653716549126,2025-11-15 17:43:33.472566,2025-11-15 17:43:37.043063,0 days 00:00:03.570497,13,6,69,COMPLETE
40,0.8608601428601717,2025-11-15 17:43:37.043855,2025-11-15 17:43:42.721314,0 days 00:00:05.677459,19,3,89,COMPLETE
41,0.8622001605157328,2025-11-15 17:43:42.722112,2025-11-15 17:43:49.143140,0 days 00:00:06.421028,23,9,96,COMPLETE
42,0.8612550946537777,2025-11-15 17:43:49.143765,2025-11-15 17:43:54.990202,0 days 00:00:05.846437,25,10,89,COMPLETE
43,0.8608830406022141,2025-11-15 17:43:54.990815,2025-11-15 17:44:01.484043,0 days 00:00:06.493228,21,6,100,COMPLETE
44,0.8611548835199949,2025-11-15 17:44:01.484804,2025-11-15 17:44:07.041455,0 days 00:00:05.556651,29,12,86,COMPLETE
45,0.8414837198247612,2025-11-15 17:44:07.042097,2025-11-15 17:44:09.329409,0 days 00:00:02.287312,5,8,91,COMPLETE
46,0.8616054192869393,2025-11-15 17:44:09.330018,2025-11-15 17:44:12.892096,0 days 00:00:03.562078,24,9,51,COMPLETE
47,0.8615363945728088,2025-11-15 17:44:12.892711,2025-11-15 17:44:15.981336,0 days 00:00:03.088625,19,10,46,COMPLETE
48,0.8602257760093195,2025-11-15 17:44:15.982265,2025-11-15 17:44:19.969117,0 days 00:00:03.986852,17,11,66,COMPLETE
49,0.8609134278140234,2025-11-15 17:44:19.969758,2025-11-15 17:44:26.334466,0 days 00:00:06.364708,22,5,96,COMPLETE
