number,value,datetime_start,datetime_complete,duration,params_gamma,params_learning_rate,params_max_depth,params_n_estimators,state
0,0.8782058686650194,2025-11-15 17:08:57.015754,2025-11-15 17:08:59.160469,0 days 00:00:02.144715,2.563048975530902,0.018563469043741614,12,193,COMPLETE
1,0.878331410487651,2025-11-15 17:08:59.161613,2025-11-15 17:09:00.303041,0 days 00:00:01.141428,3.9265132139333754,0.11695787270257714,5,342,COMPLETE
2,0.8594639077994181,2025-11-15 17:09:00.309251,2025-11-15 17:09:01.076167,0 days 00:00:00.766916,2.813607354731673,0.023719814504424855,3,78,COMPLETE
3,0.8607993533953913,2025-11-15 17:09:01.077064,2025-11-15 17:09:01.925345,0 days 00:00:00.848281,4.6118141141698725,0.01575712665417754,3,129,COMPLETE
4,0.8314469519415948,2025-11-15 17:09:01.926301,2025-11-15 17:09:03.626988,0 days 00:00:01.700687,2.974036663910571,0.0020512512708337396,12,109,COMPLETE
5,0.8314469519415948,2025-11-15 17:09:03.627949,2025-11-15 17:09:04.521940,0 days 00:00:00.893991,2.3988101687900465,0.002126149846370158,2,187,COMPLETE
6,0.8687998886498993,2025-11-15 17:09:04.523145,2025-11-15 17:09:05.571241,0 days 00:00:01.048096,0.4266621974740492,0.012017760718674395,4,186,COMPLETE
7,0.8386814146805701,2025-11-15 17:09:05.572361,2025-11-15 17:09:06.717038,0 days 00:00:01.144677,1.5179953296836817,0.002873745119355503,3,284,COMPLETE
8,0.8314469519415948,2025-11-15 17:09:06.718099,2025-11-15 17:09:07.639280,0 days 00:00:00.921181,3.8572253427275456,0.0011535207720919632,2,201,COMPLETE
9,0.877407597895307,2025-11-15 17:09:07.640273,2025-11-15 17:09:09.394742,0 days 00:00:01.754469,0.8878201215625403,0.054766897569761046,12,179,COMPLETE
10,0.8783404751007856,2025-11-15 17:09:09.395712,2025-11-15 17:09:10.524754,0 days 00:00:01.129042,4.5923677466267545,0.23490356206653662,7,378,COMPLETE
11,0.8785799625683003,2025-11-15 17:09:10.525735,2025-11-15 17:09:11.660481,0 days 00:00:01.134746,4.9491810919089465,0.22394241293942918,7,388,COMPLETE
12,0.8787394801110355,2025-11-15 17:09:11.661507,2025-11-15 17:09:12.774077,0 days 00:00:01.112570,4.967390581772234,0.26752282620585094,8,391,COMPLETE
13,0.8784689081297404,2025-11-15 17:09:12.775246,2025-11-15 17:09:13.899246,0 days 00:00:01.124000,4.993611910358222,0.25100968179298166,9,397,COMPLETE
14,0.879573368738192,2025-11-15 17:09:13.900394,2025-11-15 17:09:15.021830,0 days 00:00:01.121436,3.8365658865637986,0.0775806422098567,8,294,COMPLETE
15,0.8803135817910641,2025-11-15 17:09:15.022771,2025-11-15 17:09:16.199685,0 days 00:00:01.176914,3.6523834208796497,0.06792521654549857,9,285,COMPLETE
16,0.8791716266404744,2025-11-15 17:09:16.200934,2025-11-15 17:09:17.474751,0 days 00:00:01.273817,3.7623382255131403,0.05561317964432582,10,272,COMPLETE
17,0.8788073588986594,2025-11-15 17:09:17.475756,2025-11-15 17:09:18.766699,0 days 00:00:01.290943,3.4790749359576667,0.05528929194164526,10,277,COMPLETE
18,0.8790598148967842,2025-11-15 17:09:18.767653,2025-11-15 17:09:20.016425,0 days 00:00:01.248772,1.8236364654972852,0.10619626746796602,8,337,COMPLETE
19,0.8743061724810014,2025-11-15 17:09:20.017418,2025-11-15 17:09:21.494499,0 days 00:00:01.477081,3.208571031175195,0.008028042126498814,6,242,COMPLETE
20,0.8799390136159133,2025-11-15 17:09:21.495388,2025-11-15 17:09:23.013429,0 days 00:00:01.518041,4.307835550142068,0.030983113224521228,10,335,COMPLETE
21,0.8799355906300506,2025-11-15 17:09:23.014311,2025-11-15 17:09:24.549301,0 days 00:00:01.534990,4.244980057617246,0.029876178956594716,10,322,COMPLETE
22,0.8797436611019787,2025-11-15 17:09:24.550530,2025-11-15 17:09:26.080225,0 days 00:00:01.529695,4.261372848960581,0.03014439852656058,10,326,COMPLETE
23,0.8796992266323149,2025-11-15 17:09:26.081300,2025-11-15 17:09:27.596836,0 days 00:00:01.515536,4.330185896956346,0.03144373363491142,11,307,COMPLETE
24,0.8789149417657693,2025-11-15 17:09:27.597798,2025-11-15 17:09:29.561593,0 days 00:00:01.963795,3.494573865066311,0.006970399256291413,9,244,COMPLETE
25,0.880290870453473,2025-11-15 17:09:29.562552,2025-11-15 17:09:31.087140,0 days 00:00:01.524588,4.273261182327608,0.03518495043526185,11,366,COMPLETE
26,0.8785561086669252,2025-11-15 17:09:31.088113,2025-11-15 17:09:32.302310,0 days 00:00:01.214197,3.391774461361323,0.12282647182187455,11,359,COMPLETE
27,0.8794515199647208,2025-11-15 17:09:32.303455,2025-11-15 17:09:33.767995,0 days 00:00:01.464540,4.470829089334516,0.04209208663404671,11,361,COMPLETE
28,0.8795478749277279,2025-11-15 17:09:33.768947,2025-11-15 17:09:35.674878,0 days 00:00:01.905931,3.958454863004981,0.00985526414122772,9,248,COMPLETE
29,0.8784656818242169,2025-11-15 17:09:35.675948,2025-11-15 17:09:38.084117,0 days 00:00:02.408169,2.303641740636034,0.019967492468872333,12,356,COMPLETE
30,0.8791090657405188,2025-11-15 17:09:38.085157,2025-11-15 17:09:39.401481,0 days 00:00:01.316324,2.74832093709633,0.0848593876104701,11,306,COMPLETE
31,0.8792092112601037,2025-11-15 17:09:39.402547,2025-11-15 17:09:40.917899,0 days 00:00:01.515352,4.205324233984293,0.03307125991571644,10,323,COMPLETE
32,0.8806194474395401,2025-11-15 17:09:40.918867,2025-11-15 17:09:42.846432,0 days 00:00:01.927565,4.098245050706092,0.01700716450294772,9,315,COMPLETE
33,0.8804817455462892,2025-11-15 17:09:42.847603,2025-11-15 17:09:44.996956,0 days 00:00:02.149353,3.206309914933276,0.015459568887817497,9,351,COMPLETE
34,0.8736606043668216,2025-11-15 17:09:44.998078,2025-11-15 17:09:46.920841,0 days 00:00:01.922763,3.0977022397705865,0.005373649030815826,6,363,COMPLETE
35,0.8802526389760981,2025-11-15 17:09:46.921912,2025-11-15 17:09:48.838772,0 days 00:00:01.916860,3.6633931524402135,0.014978558011160709,9,264,COMPLETE
36,0.8790150407119244,2025-11-15 17:09:48.840054,2025-11-15 17:09:50.487503,0 days 00:00:01.647449,2.7776623690250677,0.019599668502356574,8,215,COMPLETE
37,0.8573081344386096,2025-11-15 17:09:50.488499,2025-11-15 17:09:51.320967,0 days 00:00:00.832468,3.994485486315247,0.01402638147074888,6,54,COMPLETE
38,0.8760528117029501,2025-11-15 17:09:51.322010,2025-11-15 17:09:53.909293,0 days 00:00:02.587283,2.1835949091191904,0.004828477566527857,9,297,COMPLETE
39,0.8782787122358744,2025-11-15 17:09:53.910302,2025-11-15 17:09:55.068044,0 days 00:00:01.157742,3.285201437718574,0.14522348528942391,7,348,COMPLETE
40,0.8777305371940372,2025-11-15 17:09:55.069075,2025-11-15 17:09:56.389258,0 days 00:00:01.320183,2.968684368142305,0.046396683663025344,11,142,COMPLETE
41,0.8800923221582957,2025-11-15 17:09:56.390238,2025-11-15 17:09:58.506251,0 days 00:00:02.116013,3.6497058129028144,0.015182844682074028,9,315,COMPLETE
42,0.8793072351230744,2025-11-15 17:09:58.507223,2025-11-15 17:10:00.261096,0 days 00:00:01.753873,4.688266475097946,0.0111250545160828,8,254,COMPLETE
43,0.8793195369033887,2025-11-15 17:10:00.262132,2025-11-15 17:10:02.242018,0 days 00:00:01.979886,3.603661123313496,0.017410959436120792,9,374,COMPLETE
44,0.8798100155145143,2025-11-15 17:10:02.243057,2025-11-15 17:10:04.026023,0 days 00:00:01.782966,4.029730735108347,0.023057014553114503,12,268,COMPLETE
45,0.8806665553480878,2025-11-15 17:10:04.027118,2025-11-15 17:10:05.564419,0 days 00:00:01.537301,4.692302231479139,0.023656313344460847,8,342,COMPLETE
46,0.8780418046816865,2025-11-15 17:10:05.565432,2025-11-15 17:10:06.743715,0 days 00:00:01.178283,4.510256428942751,0.0684422882083003,5,377,COMPLETE
47,0.8795875749376585,2025-11-15 17:10:06.744739,2025-11-15 17:10:08.069301,0 days 00:00:01.324562,4.718518451832227,0.03804098625810362,7,344,COMPLETE
48,0.8794442588240372,2025-11-15 17:10:08.070283,2025-11-15 17:10:10.231629,0 days 00:00:02.161346,0.2298170239894155,0.022827661516615343,8,290,COMPLETE
49,0.8794038882421047,2025-11-15 17:10:10.232650,2025-11-15 17:10:11.374992,0 days 00:00:01.142342,4.791092089584236,0.1593627300081411,8,400,COMPLETE
