number,value,datetime_start,datetime_complete,duration,params_gamma,params_learning_rate,params_max_depth,params_n_estimators,state
0,0.9224152023267583,2025-11-15 17:03:16.109117,2025-11-15 17:03:17.066681,0 days 00:00:00.957564,1.69298072435851,0.027989062796747222,6,331,COMPLETE
1,0.9015552790240721,2025-11-15 17:03:17.067676,2025-11-15 17:03:18.391198,0 days 00:00:01.323522,0.9191999142817275,0.002868013098017586,9,185,COMPLETE
2,0.9213084467556889,2025-11-15 17:03:18.392243,2025-11-15 17:03:19.200206,0 days 00:00:00.807963,4.472665217238798,0.014914737055803354,2,372,COMPLETE
3,0.9226282047927343,2025-11-15 17:03:19.201188,2025-11-15 17:03:19.883051,0 days 00:00:00.681863,2.7977465964137354,0.024447273305813456,9,89,COMPLETE
4,0.9015552790240721,2025-11-15 17:03:19.883935,2025-11-15 17:03:20.418298,0 days 00:00:00.534363,0.32801634373620214,0.006142437244124993,3,136,COMPLETE
5,0.9155344586734995,2025-11-15 17:03:20.419355,2025-11-15 17:03:21.537851,0 days 00:00:01.118496,2.0899478594644094,0.004372797557923318,8,199,COMPLETE
6,0.921345826981837,2025-11-15 17:03:21.538889,2025-11-15 17:03:22.238622,0 days 00:00:00.699733,1.2123147574015207,0.020369885636393605,3,231,COMPLETE
7,0.9221856208810134,2025-11-15 17:03:22.239607,2025-11-15 17:03:23.050195,0 days 00:00:00.810588,2.2996501307831814,0.03383398869303609,3,374,COMPLETE
8,0.9223239470802271,2025-11-15 17:03:23.051288,2025-11-15 17:03:23.498944,0 days 00:00:00.447656,3.197995599006088,0.102362960661165,4,83,COMPLETE
9,0.9215835831740723,2025-11-15 17:03:23.500085,2025-11-15 17:03:23.981464,0 days 00:00:00.481379,0.0023288150472960956,0.17810401304803328,4,92,COMPLETE
10,0.9015552790240721,2025-11-15 17:03:23.982448,2025-11-15 17:03:25.436939,0 days 00:00:01.454491,3.7597226140751703,0.001132807598751334,11,268,COMPLETE
11,0.922955884528341,2025-11-15 17:03:25.437916,2025-11-15 17:03:26.206505,0 days 00:00:00.768589,1.7033186537048577,0.05431654879596672,6,298,COMPLETE
12,0.9219106684652116,2025-11-15 17:03:26.207682,2025-11-15 17:03:26.897067,0 days 00:00:00.689385,2.9779702286091183,0.07025880190269178,6,281,COMPLETE
13,0.9201454887941148,2025-11-15 17:03:26.897986,2025-11-15 17:03:27.419979,0 days 00:00:00.521993,2.8221931525671495,0.2655936685092842,10,149,COMPLETE
14,0.9205250715186025,2025-11-15 17:03:27.421116,2025-11-15 17:03:27.966746,0 days 00:00:00.545630,3.751847475568258,0.05634561216695986,12,54,COMPLETE
15,0.9219321469665138,2025-11-15 17:03:27.967714,2025-11-15 17:03:29.281049,0 days 00:00:01.313335,1.715002473135266,0.010910878194065656,7,304,COMPLETE
16,0.9204362159210818,2025-11-15 17:03:29.282069,2025-11-15 17:03:30.010921,0 days 00:00:00.728852,4.902827765204229,0.038319353332625095,8,253,COMPLETE
17,0.9229520220754355,2025-11-15 17:03:30.012097,2025-11-15 17:03:30.727628,0 days 00:00:00.715531,0.8730130851672704,0.11067329168481219,5,320,COMPLETE
18,0.9225666198468854,2025-11-15 17:03:30.728585,2025-11-15 17:03:31.447121,0 days 00:00:00.718536,0.7707614612942596,0.13680663408964952,5,328,COMPLETE
19,0.9219562544667527,2025-11-15 17:03:31.448280,2025-11-15 17:03:32.251906,0 days 00:00:00.803626,1.457898150746378,0.076404538805523,6,395,COMPLETE
20,0.9206707393378691,2025-11-15 17:03:32.253037,2025-11-15 17:03:32.948504,0 days 00:00:00.695467,0.6554907548871509,0.2730000095158236,5,336,COMPLETE
21,0.9210272592504563,2025-11-15 17:03:32.949603,2025-11-15 17:03:33.769327,0 days 00:00:00.819724,2.0108970733385934,0.048880092362229025,8,299,COMPLETE
22,0.9225801330899561,2025-11-15 17:03:33.770371,2025-11-15 17:03:35.026214,0 days 00:00:01.255843,2.5649116809463997,0.009479940014299264,9,236,COMPLETE
23,0.9225081287519435,2025-11-15 17:03:35.027332,2025-11-15 17:03:35.992890,0 days 00:00:00.965558,1.2069149850990186,0.023283941790499436,7,192,COMPLETE
24,0.9212941503454355,2025-11-15 17:03:35.994175,2025-11-15 17:03:36.513130,0 days 00:00:00.518955,3.2187205622302737,0.13307237895359877,5,141,COMPLETE
25,0.9221529137891766,2025-11-15 17:03:36.514098,2025-11-15 17:03:37.289447,0 days 00:00:00.775349,2.5572939633493137,0.08782603264339651,10,351,COMPLETE
26,0.9224449431364345,2025-11-15 17:03:37.290553,2025-11-15 17:03:38.107607,0 days 00:00:00.817054,1.623899433926927,0.047777212359627695,7,308,COMPLETE
27,0.9222532436514552,2025-11-15 17:03:38.108787,2025-11-15 17:03:39.188026,0 days 00:00:01.079239,3.528475862921335,0.017082117881501158,9,271,COMPLETE
28,0.9218953300716795,2025-11-15 17:03:39.189161,2025-11-15 17:03:39.824993,0 days 00:00:00.635832,0.364016813348483,0.16201274386626494,4,208,COMPLETE
29,0.9217251500742775,2025-11-15 17:03:39.825860,2025-11-15 17:03:40.751192,0 days 00:00:00.925332,1.970917610931934,0.02413378377462628,5,323,COMPLETE
30,0.9221496845391851,2025-11-15 17:03:40.752383,2025-11-15 17:03:41.546462,0 days 00:00:00.794079,0.9628569784666801,0.032629325318158195,6,168,COMPLETE
31,0.922539742853022,2025-11-15 17:03:41.547501,2025-11-15 17:03:42.812015,0 days 00:00:01.264514,2.5599552714972207,0.008925783439333413,9,235,COMPLETE
32,0.9134637711436723,2025-11-15 17:03:42.813010,2025-11-15 17:03:44.258663,0 days 00:00:01.445653,2.380659200288177,0.0030669659791380177,10,245,COMPLETE
33,0.9222657906210319,2025-11-15 17:03:44.259558,2025-11-15 17:03:45.846373,0 days 00:00:01.586815,1.3289861217977763,0.009442686662337949,9,279,COMPLETE
34,0.9222801635429789,2025-11-15 17:03:45.847400,2025-11-15 17:03:46.716435,0 days 00:00:00.869035,2.705666787283853,0.012937327899494318,11,110,COMPLETE
35,0.9222663573886563,2025-11-15 17:03:46.717517,2025-11-15 17:03:48.164514,0 days 00:00:01.446997,4.183278784030433,0.0075435756943829455,8,364,COMPLETE
36,0.9164755192452482,2025-11-15 17:03:48.165552,2025-11-15 17:03:49.070552,0 days 00:00:00.905000,1.8918397231259025,0.004937113641673843,6,211,COMPLETE
37,0.9015552790240721,2025-11-15 17:03:49.071621,2025-11-15 17:03:49.598965,0 days 00:00:00.527344,3.0242539223623566,0.0015923156753294395,2,163,COMPLETE
38,0.9219123542202412,2025-11-15 17:03:49.600070,2025-11-15 17:03:50.744148,0 days 00:00:01.144078,2.26699500016794,0.01731572377573885,9,222,COMPLETE
39,0.9224713824514579,2025-11-15 17:03:50.745121,2025-11-15 17:03:51.487912,0 days 00:00:00.742791,0.9344107847317707,0.03185156748168545,7,121,COMPLETE
40,0.9210351021535954,2025-11-15 17:03:51.488925,2025-11-15 17:03:52.211977,0 days 00:00:00.723052,0.42902235266334404,0.10553693865365482,8,178,COMPLETE
41,0.9200993897210674,2025-11-15 17:03:52.213077,2025-11-15 17:03:52.912259,0 days 00:00:00.699182,0.7382318702718365,0.20610325307163538,5,333,COMPLETE
42,0.9211839676210303,2025-11-15 17:03:52.913297,2025-11-15 17:03:53.757787,0 days 00:00:00.844490,0.04997752965681601,0.1351360679679812,4,289,COMPLETE
43,0.9217199649615445,2025-11-15 17:03:53.758931,2025-11-15 17:03:54.597039,0 days 00:00:00.838108,0.6310650311330932,0.06326221985925772,5,323,COMPLETE
44,0.9228985710708212,2025-11-15 17:03:54.598217,2025-11-15 17:03:55.339955,0 days 00:00:00.741738,1.118472005008946,0.09643369642869142,3,348,COMPLETE
45,0.9225191986613911,2025-11-15 17:03:55.340999,2025-11-15 17:03:56.096099,0 days 00:00:00.755100,1.680150640095409,0.09925239077811453,2,381,COMPLETE
46,0.9211750904331142,2025-11-15 17:03:56.097163,2025-11-15 17:03:57.093957,0 days 00:00:00.996794,1.0536333217357008,0.012768957379906198,3,356,COMPLETE
47,0.9200206552361647,2025-11-15 17:03:57.095097,2025-11-15 17:03:58.032379,0 days 00:00:00.937282,2.2124819453377587,0.04699219696976205,11,251,COMPLETE
48,0.9202213842686964,2025-11-15 17:03:58.033662,2025-11-15 17:03:58.500057,0 days 00:00:00.466395,1.2069701022436967,0.03993251641755257,4,64,COMPLETE
49,0.922151442948033,2025-11-15 17:03:58.501228,2025-11-15 17:03:59.264967,0 days 00:00:00.763739,1.5144270620012947,0.07735879939388882,6,345,COMPLETE
