number,value,datetime_start,datetime_complete,duration,params_gamma,params_learning_rate,params_max_depth,params_n_estimators,state
0,0.0,2025-11-15 17:11:32.761254,2025-11-15 17:11:33.506752,0 days 00:00:00.745498,1.254889114720279,0.0016162010033298978,3,229,COMPLETE
1,0.6314783051209639,2025-11-15 17:11:33.507507,2025-11-15 17:11:34.422705,0 days 00:00:00.915198,0.8408563535353453,0.04875101134394472,5,254,COMPLETE
2,0.6022316395990368,2025-11-15 17:11:34.423769,2025-11-15 17:11:34.877051,0 days 00:00:00.453282,1.6740829172630622,0.07995486461380054,3,63,COMPLETE
3,0.6072831658518755,2025-11-15 17:11:34.878076,2025-11-15 17:11:36.038575,0 days 00:00:01.160499,1.1798411557710842,0.014551306671338825,8,183,COMPLETE
4,0.6233216758083069,2025-11-15 17:11:36.039667,2025-11-15 17:11:36.608498,0 days 00:00:00.568831,2.4817433637690005,0.12721142916080924,4,172,COMPLETE
5,0.6300098436208312,2025-11-15 17:11:36.609375,2025-11-15 17:11:37.959578,0 days 00:00:01.350203,0.2946093292939028,0.04920313640364219,10,179,COMPLETE
6,0.6183661557401189,2025-11-15 17:11:37.960443,2025-11-15 17:11:38.599253,0 days 00:00:00.638810,2.8842824576135833,0.2119588295315713,3,277,COMPLETE
7,0.0,2025-11-15 17:11:38.600350,2025-11-15 17:11:39.457016,0 days 00:00:00.856666,2.8760758600995273,0.00216766266497254,7,129,COMPLETE
8,0.6301436078560286,2025-11-15 17:11:39.457776,2025-11-15 17:11:40.120845,0 days 00:00:00.663069,4.491197273632158,0.08500431667615832,12,168,COMPLETE
9,0.0,2025-11-15 17:11:40.121876,2025-11-15 17:11:40.821789,0 days 00:00:00.699913,1.667577761815509,0.0020110303869832623,6,112,COMPLETE
10,0.6150935739690555,2025-11-15 17:11:40.822774,2025-11-15 17:11:41.995213,0 days 00:00:01.172439,0.15954933596343956,0.014788001651994221,5,361,COMPLETE
11,0.6284599102037876,2025-11-15 17:11:41.996118,2025-11-15 17:11:42.948893,0 days 00:00:00.952775,4.972357074402265,0.03276533595993291,12,291,COMPLETE
12,0.5999055094485717,2025-11-15 17:11:42.950113,2025-11-15 17:11:44.309871,0 days 00:00:01.359758,4.884819355290645,0.006897000398329844,9,262,COMPLETE
13,0.6229632602985842,2025-11-15 17:11:44.310839,2025-11-15 17:11:45.069253,0 days 00:00:00.758414,3.9318749437018847,0.2976011085524708,12,347,COMPLETE
14,0.6307693312732299,2025-11-15 17:11:45.070287,2025-11-15 17:11:45.967034,0 days 00:00:00.896747,3.7276566165757252,0.037238209327619676,10,221,COMPLETE
15,0.6325862434530993,2025-11-15 17:11:45.968106,2025-11-15 17:11:47.014123,0 days 00:00:01.046017,4.025400036547301,0.03001449291264011,10,318,COMPLETE
16,0.599394792944535,2025-11-15 17:11:47.015256,2025-11-15 17:11:48.452077,0 days 00:00:01.436821,3.6101250042287836,0.005903037075573575,6,396,COMPLETE
17,0.6203150749398318,2025-11-15 17:11:48.453332,2025-11-15 17:11:49.627242,0 days 00:00:01.173910,2.391255810381219,0.02242696248496941,8,320,COMPLETE
18,0.605736504684911,2025-11-15 17:11:49.628230,2025-11-15 17:11:52.116210,0 days 00:00:02.487980,0.7790086432896963,0.007283077301794948,10,321,COMPLETE
19,0.6131515100202465,2025-11-15 17:11:52.117234,2025-11-15 17:11:52.767354,0 days 00:00:00.650120,3.218505423259701,0.06586474323781112,2,226,COMPLETE
20,0.6173168903049062,2025-11-15 17:11:52.768341,2025-11-15 17:11:53.683326,0 days 00:00:00.914985,2.0082744109371706,0.021972051477382234,5,254,COMPLETE
21,0.6273134853203535,2025-11-15 17:11:53.684189,2025-11-15 17:11:54.622173,0 days 00:00:00.937984,4.051207817107891,0.03918413172251225,10,304,COMPLETE
22,0.6307606425878987,2025-11-15 17:11:54.623170,2025-11-15 17:11:55.314903,0 days 00:00:00.691733,3.530579885736722,0.13673471838871148,11,238,COMPLETE
23,0.6108612831963179,2025-11-15 17:11:55.316033,2025-11-15 17:11:56.419387,0 days 00:00:01.103354,4.2505928583684565,0.010522618758447868,8,201,COMPLETE
24,0.6305637389195181,2025-11-15 17:11:56.420343,2025-11-15 17:11:57.462080,0 days 00:00:01.041737,3.5564253345695045,0.03129197632975652,9,347,COMPLETE
