number,value,datetime_start,datetime_complete,duration,params_gamma,params_learning_rate,params_max_depth,params_n_estimators,state
0,0.7749197197558151,2025-11-15 16:59:54.851512,2025-11-15 16:59:56.472391,0 days 00:00:01.620879,0.8000146039064593,0.0016067225003706916,11,301,COMPLETE
1,0.7818350480994074,2025-11-15 16:59:56.473432,2025-11-15 16:59:57.058869,0 days 00:00:00.585437,4.194605813802598,0.0014942910188859026,4,254,COMPLETE
2,0.7887913786178691,2025-11-15 16:59:57.060083,2025-11-15 16:59:57.711119,0 days 00:00:00.651036,1.2703940597986907,0.01799607006058941,4,307,COMPLETE
3,0.7767185188177421,2025-11-15 16:59:57.712304,2025-11-15 16:59:58.611612,0 days 00:00:00.899308,0.052932530850179904,0.0020535735337915413,9,180,COMPLETE
4,0.7951047985843731,2025-11-15 16:59:58.612545,2025-11-15 16:59:59.180568,0 days 00:00:00.568023,4.37461381741794,0.024986805424502462,4,396,COMPLETE
5,0.7803357029635828,2025-11-15 16:59:59.181854,2025-11-15 16:59:59.719623,0 days 00:00:00.537769,1.7122048840054804,0.03578259179606547,9,164,COMPLETE
6,0.7825995923704363,2025-11-15 16:59:59.720590,2025-11-15 17:00:00.054451,0 days 00:00:00.333861,3.5255510270422534,0.14480600924049133,9,123,COMPLETE
7,0.7893568317684777,2025-11-15 17:00:00.055506,2025-11-15 17:00:00.986249,0 days 00:00:00.930743,4.303411229134801,0.005125846328582103,6,378,COMPLETE
8,0.7991784081937722,2025-11-15 17:00:00.987200,2025-11-15 17:00:01.434736,0 days 00:00:00.447536,4.059703462225829,0.016294138833775576,2,223,COMPLETE
9,0.7791226064227559,2025-11-15 17:00:01.435818,2025-11-15 17:00:02.471681,0 days 00:00:01.035863,1.5926341559821995,0.0037579251342774625,10,217,COMPLETE
10,0.8015963414266786,2025-11-15 17:00:02.472580,2025-11-15 17:00:02.751567,0 days 00:00:00.278987,2.970966853881956,0.14385711154245925,2,83,COMPLETE
11,0.7976019413520523,2025-11-15 17:00:02.752702,2025-11-15 17:00:03.013937,0 days 00:00:00.261235,2.890311787642694,0.2585392139935781,2,69,COMPLETE
12,0.8010596033447431,2025-11-15 17:00:03.015038,2025-11-15 17:00:03.314848,0 days 00:00:00.299810,2.9071784010425326,0.06851001689901372,2,100,COMPLETE
13,0.7965835323206976,2025-11-15 17:00:03.315766,2025-11-15 17:00:03.568783,0 days 00:00:00.253017,2.5697759634124195,0.07387003960214601,2,50,COMPLETE
14,0.7876344027296475,2025-11-15 17:00:03.569647,2025-11-15 17:00:03.900251,0 days 00:00:00.330604,3.1972169254768117,0.06907562180492122,6,106,COMPLETE
15,0.7816119900790037,2025-11-15 17:00:03.901264,2025-11-15 17:00:04.189347,0 days 00:00:00.288083,2.1635287685126396,0.2910069684934556,4,98,COMPLETE
16,0.78855140974998,2025-11-15 17:00:04.190227,2025-11-15 17:00:04.526696,0 days 00:00:00.336469,4.896275778625563,0.0994687207214375,6,140,COMPLETE
17,0.7955863359636701,2025-11-15 17:00:04.527690,2025-11-15 17:00:04.808346,0 days 00:00:00.280656,3.3602879883468266,0.14609954155068958,3,88,COMPLETE
18,0.7799444933471877,2025-11-15 17:00:04.809429,2025-11-15 17:00:05.261611,0 days 00:00:00.452182,2.139746422657497,0.041255757367005964,7,158,COMPLETE
19,0.7857314084627454,2025-11-15 17:00:05.262848,2025-11-15 17:00:06.134785,0 days 00:00:00.871937,2.6634157608729927,0.006840179746118232,12,191,COMPLETE
20,0.7974050358142962,2025-11-15 17:00:06.135656,2025-11-15 17:00:06.411457,0 days 00:00:00.275801,3.660650303566671,0.04573225635759746,3,54,COMPLETE
21,0.7972938361870054,2025-11-15 17:00:06.412527,2025-11-15 17:00:06.857051,0 days 00:00:00.444524,3.7549376708356514,0.010933145882061584,2,247,COMPLETE
22,0.7975386820564839,2025-11-15 17:00:06.858247,2025-11-15 17:00:07.416968,0 days 00:00:00.558721,4.9885156226822245,0.010973939349811227,3,297,COMPLETE
23,0.7914642691755023,2025-11-15 17:00:07.418034,2025-11-15 17:00:07.737180,0 days 00:00:00.319146,3.978597163892068,0.1527978216126802,5,130,COMPLETE
24,0.8015978043159772,2025-11-15 17:00:07.738255,2025-11-15 17:00:08.147742,0 days 00:00:00.409487,3.158148056229711,0.024410459733743065,2,208,COMPLETE
25,0.7935010623421624,2025-11-15 17:00:08.148750,2025-11-15 17:00:08.475417,0 days 00:00:00.326667,2.999774583573091,0.06375030865011534,3,118,COMPLETE
26,0.7888777126754919,2025-11-15 17:00:08.476421,2025-11-15 17:00:08.838289,0 days 00:00:00.361868,2.433761892112619,0.02736515402639194,5,87,COMPLETE
27,0.8021712784658686,2025-11-15 17:00:08.839268,2025-11-15 17:00:09.297682,0 days 00:00:00.458414,3.0205001091331387,0.10424185774314867,2,338,COMPLETE
28,0.7867326761104366,2025-11-15 17:00:09.298720,2025-11-15 17:00:09.770940,0 days 00:00:00.472220,2.176206295700701,0.21604271079310775,7,337,COMPLETE
29,0.7872288764833808,2025-11-15 17:00:09.771809,2025-11-15 17:00:10.211817,0 days 00:00:00.440008,3.291138890617864,0.09776304041267007,5,277,COMPLETE
30,0.7895314353488554,2025-11-15 17:00:10.212881,2025-11-15 17:00:10.683517,0 days 00:00:00.470636,1.0037268524609098,0.1764799476146575,3,343,COMPLETE
31,0.7988268568324193,2025-11-15 17:00:10.684464,2025-11-15 17:00:11.039845,0 days 00:00:00.355381,2.9540046630198495,0.10833252449373569,2,187,COMPLETE
32,0.7994654338469278,2025-11-15 17:00:11.041006,2025-11-15 17:00:11.462993,0 days 00:00:00.421987,2.6685605299199326,0.05220230452443822,2,261,COMPLETE
33,0.7963217846525124,2025-11-15 17:00:11.463924,2025-11-15 17:00:11.996573,0 days 00:00:00.532649,3.0997703016783453,0.029524851280808905,3,337,COMPLETE
34,0.7864389225433303,2025-11-15 17:00:11.997391,2025-11-15 17:00:12.410863,0 days 00:00:00.413472,1.893369946954099,0.08194381406922503,4,212,COMPLETE
35,0.7963120724005389,2025-11-15 17:00:12.411903,2025-11-15 17:00:12.770356,0 days 00:00:00.358453,2.3935182851858756,0.01682158754554189,2,143,COMPLETE
36,0.7758401826767328,2025-11-15 17:00:12.771332,2025-11-15 17:00:13.310630,0 days 00:00:00.539298,0.2830699188802672,0.11963330129492945,4,311,COMPLETE
37,0.7959520818978614,2025-11-15 17:00:13.311607,2025-11-15 17:00:13.734237,0 days 00:00:00.422630,3.543770841022688,0.05150101108909377,3,245,COMPLETE
38,0.7888256730556754,2025-11-15 17:00:13.735351,2025-11-15 17:00:14.118902,0 days 00:00:00.383551,4.527637639129228,0.02226355864421,8,72,COMPLETE
39,0.8022732272780223,2025-11-15 17:00:14.120077,2025-11-15 17:00:14.459604,0 days 00:00:00.339527,3.8462242496020442,0.20323221763858013,2,177,COMPLETE
40,0.7859786362146022,2025-11-15 17:00:14.460562,2025-11-15 17:00:14.800961,0 days 00:00:00.340399,3.923222081875135,0.20324335611854338,4,169,COMPLETE
41,0.7989298298857601,2025-11-15 17:00:14.802033,2025-11-15 17:00:15.129572,0 days 00:00:00.327539,2.8133640611571034,0.1303768938535411,2,151,COMPLETE
