number,value,datetime_start,datetime_complete,duration,params_gamma,params_learning_rate,params_max_depth,params_n_estimators,state
0,0.8549012475089001,2025-11-15 17:10:11.383969,2025-11-15 17:10:11.894818,0 days 00:00:00.510849,0.6791633955074422,0.09932956934779899,4,71,COMPLETE
1,0.7711431307419557,2025-11-15 17:10:11.895798,2025-11-15 17:10:12.897198,0 days 00:00:01.001400,0.1850480432097501,0.001015090866639526,7,160,COMPLETE
2,0.8420234765390002,2025-11-15 17:10:12.898168,2025-11-15 17:10:13.483426,0 days 00:00:00.585258,1.3767922321168047,0.19875068318561104,10,69,COMPLETE
3,0.8460356317049248,2025-11-15 17:10:13.484339,2025-11-15 17:10:14.347151,0 days 00:00:00.862812,1.033733129896392,0.07709365928991932,11,79,COMPLETE
4,0.8139228841014254,2025-11-15 17:10:14.348049,2025-11-15 17:10:15.591655,0 days 00:00:01.243606,1.5704869371944474,0.0017833110759453963,9,161,COMPLETE
5,0.8392811523128717,2025-11-15 17:10:15.592645,2025-11-15 17:10:16.382621,0 days 00:00:00.789976,0.3419715528242112,0.005528326089319044,8,79,COMPLETE
6,0.8469985385029755,2025-11-15 17:10:16.383695,2025-11-15 17:10:17.075694,0 days 00:00:00.691999,4.7870566029055075,0.2757860422792221,9,302,COMPLETE
7,0.853345691494523,2025-11-15 17:10:17.076835,2025-11-15 17:10:18.043258,0 days 00:00:00.966423,3.5545724970123915,0.04102874570165253,11,268,COMPLETE
8,0.8403881257911232,2025-11-15 17:10:18.044304,2025-11-15 17:10:18.864562,0 days 00:00:00.820258,0.5336131585466253,0.1900788968546494,12,151,COMPLETE
9,0.8493347849034265,2025-11-15 17:10:18.865538,2025-11-15 17:10:20.724064,0 days 00:00:01.858526,2.4759803414700854,0.011160966121757971,12,265,COMPLETE
10,0.854565444337573,2025-11-15 17:10:20.725325,2025-11-15 17:10:21.608832,0 days 00:00:00.883507,2.476422537164201,0.04927397209307881,3,388,COMPLETE
11,0.8539615150486044,2025-11-15 17:10:21.610099,2025-11-15 17:10:22.507009,0 days 00:00:00.896910,2.5534125072576845,0.042733361600376614,3,397,COMPLETE
12,0.8534726781738599,2025-11-15 17:10:22.508099,2025-11-15 17:10:23.319701,0 days 00:00:00.811602,2.3420771825887954,0.07227910941017011,3,376,COMPLETE
13,0.8535203515850853,2025-11-15 17:10:23.320911,2025-11-15 17:10:24.401308,0 days 00:00:01.080397,3.475841685840212,0.017998104728477616,5,338,COMPLETE
14,0.8549038523026692,2025-11-15 17:10:24.402443,2025-11-15 17:10:25.046445,0 days 00:00:00.644002,3.5098556487023878,0.09694483875474276,5,200,COMPLETE
15,0.8526251909479663,2025-11-15 17:10:25.047548,2025-11-15 17:10:25.662402,0 days 00:00:00.614854,4.230223633057545,0.13528374230141965,5,210,COMPLETE
16,0.848424334151425,2025-11-15 17:10:25.663469,2025-11-15 17:10:26.341770,0 days 00:00:00.678301,3.575626185986062,0.019522563924192948,5,119,COMPLETE
17,0.8527297452171343,2025-11-15 17:10:26.342685,2025-11-15 17:10:27.002049,0 days 00:00:00.659364,3.0487356965128893,0.1128232254905217,6,209,COMPLETE
18,0.8319638700053396,2025-11-15 17:10:27.003311,2025-11-15 17:10:27.541763,0 days 00:00:00.538452,1.7399124503113508,0.008358493926981455,2,118,COMPLETE
19,0.849974111939735,2025-11-15 17:10:27.542970,2025-11-15 17:10:28.309013,0 days 00:00:00.766043,4.285965642589096,0.024286413966919954,4,191,COMPLETE
20,0.8486294588236767,2025-11-15 17:10:28.309992,2025-11-15 17:10:29.153997,0 days 00:00:00.844005,0.9760411262032642,0.08684176871779029,7,261,COMPLETE
21,0.8512452349407826,2025-11-15 17:10:29.155070,2025-11-15 17:10:29.942454,0 days 00:00:00.787384,2.132445222766462,0.04300749331366654,2,326,COMPLETE
22,0.8490636234427671,2025-11-15 17:10:29.943637,2025-11-15 17:10:30.435828,0 days 00:00:00.492191,3.2004863998241477,0.049951920579361764,4,52,COMPLETE
23,0.8531184135999175,2025-11-15 17:10:30.436904,2025-11-15 17:10:31.084344,0 days 00:00:00.647440,4.090689633047308,0.15322557128046255,4,243,COMPLETE
24,0.8498591138147014,2025-11-15 17:10:31.085369,2025-11-15 17:10:31.646786,0 days 00:00:00.561417,2.8813353366326533,0.030122394794738824,3,118,COMPLETE
25,0.8523038851784472,2025-11-15 17:10:31.647738,2025-11-15 17:10:32.351816,0 days 00:00:00.704078,4.899917131500969,0.2976188860477587,6,313,COMPLETE
26,0.8526342256161807,2025-11-15 17:10:32.352672,2025-11-15 17:10:33.165230,0 days 00:00:00.812558,3.835473692907616,0.06689759799816718,6,352,COMPLETE
27,0.8530971047493994,2025-11-15 17:10:33.166378,2025-11-15 17:10:33.793386,0 days 00:00:00.627008,2.0823799966103604,0.10498261698323606,4,184,COMPLETE
28,0.851201557851331,2025-11-15 17:10:33.794390,2025-11-15 17:10:34.642049,0 days 00:00:00.847659,0.819708933273944,0.06311151772050479,2,299,COMPLETE
29,0.8508344921491588,2025-11-15 17:10:34.643132,2025-11-15 17:10:35.271908,0 days 00:00:00.628776,2.756348850981129,0.029857857824634414,3,152,COMPLETE
30,0.8172766262064961,2025-11-15 17:10:35.272832,2025-11-15 17:10:36.177280,0 days 00:00:00.904448,0.034114883142707164,0.001404877689316207,5,228,COMPLETE
31,0.8554686092032826,2025-11-15 17:10:36.178345,2025-11-15 17:10:37.107478,0 days 00:00:00.929133,1.8880684619127401,0.04701492931091202,3,397,COMPLETE
32,0.8512044619093088,2025-11-15 17:10:37.108484,2025-11-15 17:10:38.087395,0 days 00:00:00.978911,1.8308999263611427,0.012490154438304157,3,398,COMPLETE
33,0.8536020114212178,2025-11-15 17:10:38.088480,2025-11-15 17:10:38.881026,0 days 00:00:00.792546,1.1317732301823362,0.1842286585870175,4,364,COMPLETE
34,0.8535986334596307,2025-11-15 17:10:38.882080,2025-11-15 17:10:39.696432,0 days 00:00:00.814352,1.5050950776365095,0.09398807414977185,2,376,COMPLETE
35,0.8376659409531332,2025-11-15 17:10:39.697605,2025-11-15 17:10:40.374308,0 days 00:00:00.676703,1.2702727670803964,0.004032659794349921,6,99,COMPLETE
36,0.8459408468068108,2025-11-15 17:10:40.375178,2025-11-15 17:10:41.523931,0 days 00:00:01.148753,0.5703441705800121,0.05578896258161494,8,294,COMPLETE
37,0.8548351750078089,2025-11-15 17:10:41.525072,2025-11-15 17:10:42.539778,0 days 00:00:01.014706,1.8847835145055967,0.029805065397310204,5,345,COMPLETE
38,0.8504355819337641,2025-11-15 17:10:42.540828,2025-11-15 17:10:43.341130,0 days 00:00:00.800302,1.9666200450420712,0.12330568364432934,7,347,COMPLETE
39,0.8545673670091902,2025-11-15 17:10:43.341989,2025-11-15 17:10:44.351768,0 days 00:00:01.009779,1.5824245734048403,0.029858108861387796,5,281,COMPLETE
40,0.8447030398757256,2025-11-15 17:10:44.352801,2025-11-15 17:10:45.338234,0 days 00:00:00.985433,0.7397261816383429,0.01280769465618258,8,134,COMPLETE
41,0.855750895499569,2025-11-15 17:10:45.339335,2025-11-15 17:10:46.269166,0 days 00:00:00.929831,1.5187170389982283,0.03474471648514371,5,281,COMPLETE
42,0.8535592317404704,2025-11-15 17:10:46.270176,2025-11-15 17:10:47.097940,0 days 00:00:00.827764,1.2609092873459877,0.031038622664931247,4,246,COMPLETE
43,0.8497183999282234,2025-11-15 17:10:47.098926,2025-11-15 17:10:48.307396,0 days 00:00:01.208470,2.2429521483985675,0.021770402617253385,7,320,COMPLETE
44,0.853444358816067,2025-11-15 17:10:48.308408,2025-11-15 17:10:49.413576,0 days 00:00:01.105168,0.39940299697326814,0.038286801668418594,5,333,COMPLETE
45,0.8534906703659081,2025-11-15 17:10:49.414676,2025-11-15 17:10:50.315094,0 days 00:00:00.900418,1.6442409350231846,0.07045766822239652,6,371,COMPLETE
46,0.8527486879071539,2025-11-15 17:10:50.316150,2025-11-15 17:10:51.004281,0 days 00:00:00.688131,2.6472682109320624,0.19177615308881882,5,282,COMPLETE
47,0.8541579533086676,2025-11-15 17:10:51.005221,2025-11-15 17:10:51.673968,0 days 00:00:00.668747,1.3601266410759087,0.08169059270011178,4,173,COMPLETE
48,0.8503033718560152,2025-11-15 17:10:51.675059,2025-11-15 17:10:52.193328,0 days 00:00:00.518269,4.563582119990209,0.23718029062371462,10,86,COMPLETE
49,0.8520195201945147,2025-11-15 17:10:52.194222,2025-11-15 17:10:53.114995,0 days 00:00:00.920773,1.9289411158384102,0.015132807045607377,3,358,COMPLETE
