number,value,datetime_start,datetime_complete,duration,params_gamma,params_learning_rate,params_max_depth,params_n_estimators,state
0,0.8277395051079974,2025-11-15 17:08:08.233049,2025-11-15 17:08:09.517277,0 days 00:00:01.284228,1.5083233256955209,0.03268024153287036,9,170,COMPLETE
1,0.8259064078200137,2025-11-15 17:08:09.518381,2025-11-15 17:08:11.873534,0 days 00:00:02.355153,4.298248684368648,0.0019244022918880528,11,393,COMPLETE
2,0.8219467936161345,2025-11-15 17:08:11.874667,2025-11-15 17:08:13.244153,0 days 00:00:01.369486,2.36043351522421,0.005110252753380021,6,328,COMPLETE
3,0.8302540582799566,2025-11-15 17:08:13.245255,2025-11-15 17:08:14.083960,0 days 00:00:00.838705,3.342424029537322,0.08276959366918678,4,332,COMPLETE
4,0.8268413947181786,2025-11-15 17:08:14.085125,2025-11-15 17:08:14.794935,0 days 00:00:00.709810,4.427484023646187,0.00431936298760177,7,79,COMPLETE
5,0.8199475988521051,2025-11-15 17:08:14.795898,2025-11-15 17:08:16.189002,0 days 00:00:01.393104,2.4928650378225363,0.002350527108872252,12,129,COMPLETE
6,0.8281603405305882,2025-11-15 17:08:16.190065,2025-11-15 17:08:17.216858,0 days 00:00:01.026793,1.4954876590600659,0.041317629760865,8,158,COMPLETE
7,0.8172342171287574,2025-11-15 17:08:17.217836,2025-11-15 17:08:17.987872,0 days 00:00:00.770036,4.3790406321324316,0.013877158407864727,3,204,COMPLETE
8,0.826824822037661,2025-11-15 17:08:17.989126,2025-11-15 17:08:18.784527,0 days 00:00:00.795401,1.217224164925475,0.1337549240072709,10,142,COMPLETE
9,0.8220306548840133,2025-11-15 17:08:18.785628,2025-11-15 17:08:20.291733,0 days 00:00:01.506105,0.7664649237877896,0.0020990405519369423,9,182,COMPLETE
10,0.8294829063224158,2025-11-15 17:08:20.292591,2025-11-15 17:08:21.025581,0 days 00:00:00.732990,3.383870022097541,0.16583691049271365,2,280,COMPLETE
11,0.8290208344195046,2025-11-15 17:08:21.026495,2025-11-15 17:08:21.741262,0 days 00:00:00.714767,3.423264073858598,0.2705277701018053,2,282,COMPLETE
