number,value,datetime_start,datetime_complete,duration,params_gamma,params_learning_rate,params_max_depth,params_n_estimators,state
0,0.8965960287218554,2025-11-15 17:00:18.145098,2025-11-15 17:00:19.316732,0 days 00:00:01.171634,3.0392506052120054,0.1846429868930316,4,126,COMPLETE
1,0.8930075159665833,2025-11-15 17:00:19.317927,2025-11-15 17:00:20.644649,0 days 00:00:01.326722,0.8109272655715782,0.19518129670063367,9,87,COMPLETE
2,0.8957878833850039,2025-11-15 17:00:20.645593,2025-11-15 17:00:21.915696,0 days 00:00:01.270103,4.757873482141384,0.14495870404855163,7,208,COMPLETE
3,0.8076420634242695,2025-11-15 17:00:21.916635,2025-11-15 17:00:23.074410,0 days 00:00:01.157775,4.55439070357461,0.0027403182479761017,5,95,COMPLETE
4,0.8076420634242695,2025-11-15 17:00:23.075561,2025-11-15 17:00:25.482178,0 days 00:00:02.406617,4.1014520336347315,0.0014005927363461444,11,220,COMPLETE
5,0.8911856965402883,2025-11-15 17:00:25.483150,2025-11-15 17:00:26.530666,0 days 00:00:01.047516,2.3316061744430754,0.08590333524699696,5,55,COMPLETE
6,0.891842309580456,2025-11-15 17:00:26.531789,2025-11-15 17:00:28.800829,0 days 00:00:02.269040,0.14638988327901725,0.010575900742565168,7,279,COMPLETE
7,0.8950132223730239,2025-11-15 17:00:28.801762,2025-11-15 17:00:30.326514,0 days 00:00:01.524752,1.349844907774389,0.08473982350758141,5,257,COMPLETE
8,0.8937202480475888,2025-11-15 17:00:30.327497,2025-11-15 17:00:31.696932,0 days 00:00:01.369435,2.1070565688389586,0.04214296105023436,5,154,COMPLETE
9,0.8903416737362109,2025-11-15 17:00:31.698180,2025-11-15 17:00:33.487470,0 days 00:00:01.789290,0.5095872883264291,0.013956885141122824,6,240,COMPLETE
10,0.8845268724559119,2025-11-15 17:00:33.488449,2025-11-15 17:00:35.081817,0 days 00:00:01.593368,3.393989925681451,0.03328234671304871,2,394,COMPLETE
11,0.8951452781076897,2025-11-15 17:00:35.082908,2025-11-15 17:00:36.221325,0 days 00:00:01.138417,3.3454052932275067,0.27537792845889963,3,164,COMPLETE
12,0.8968532141890698,2025-11-15 17:00:36.222296,2025-11-15 17:00:37.506998,0 days 00:00:01.284702,4.93061942146338,0.12083981796363433,9,164,COMPLETE
13,0.895620369891249,2025-11-15 17:00:37.508065,2025-11-15 17:00:39.067387,0 days 00:00:01.559322,3.241808890999785,0.04914285814053353,9,137,COMPLETE
14,0.8933693164054457,2025-11-15 17:00:39.068376,2025-11-15 17:00:42.438984,0 days 00:00:03.370608,4.178745741831472,0.005506410101622005,12,349,COMPLETE
15,0.8944132029703521,2025-11-15 17:00:42.440100,2025-11-15 17:00:43.921989,0 days 00:00:01.481889,1.5976034721265169,0.11425501699592885,9,183,COMPLETE
16,0.8935510837331389,2025-11-15 17:00:43.922955,2025-11-15 17:00:45.080392,0 days 00:00:01.157437,2.7744850063084927,0.29318631855910154,10,114,COMPLETE
17,0.8883908931296347,2025-11-15 17:00:45.081597,2025-11-15 17:00:46.657939,0 days 00:00:01.576342,3.941920916204971,0.023693858810955468,3,301,COMPLETE
18,0.8942280991229449,2025-11-15 17:00:46.658892,2025-11-15 17:00:47.771368,0 days 00:00:01.112476,4.921214109009455,0.07867768180574145,8,50,COMPLETE
19,0.8950584185251097,2025-11-15 17:00:47.772427,2025-11-15 17:00:49.016524,0 days 00:00:01.244097,2.8348265864204536,0.16469197598413146,3,193,COMPLETE
20,0.876681667330652,2025-11-15 17:00:49.017595,2025-11-15 17:00:50.547945,0 days 00:00:01.530350,3.6686406959006996,0.008462412639189124,7,138,COMPLETE
21,0.8952337211132406,2025-11-15 17:00:50.548937,2025-11-15 17:00:51.820400,0 days 00:00:01.271463,4.839315659871565,0.14280471131921352,8,199,COMPLETE
22,0.8960894541722718,2025-11-15 17:00:51.821377,2025-11-15 17:00:53.236393,0 days 00:00:01.415016,4.734275906707629,0.06220031566328706,6,219,COMPLETE
23,0.8918672523228487,2025-11-15 17:00:53.237359,2025-11-15 17:00:54.411189,0 days 00:00:01.173830,4.402201853482418,0.054671729480353086,4,118,COMPLETE
24,0.8911827153525917,2025-11-15 17:00:54.412154,2025-11-15 17:00:55.898396,0 days 00:00:01.486242,4.9992493900853585,0.021795933758560593,6,166,COMPLETE
25,0.8967489517524762,2025-11-15 17:00:55.899445,2025-11-15 17:00:57.407078,0 days 00:00:01.507633,3.64616729953257,0.06131402205528348,6,246,COMPLETE
26,0.894442847315758,2025-11-15 17:00:57.408058,2025-11-15 17:00:58.752320,0 days 00:00:01.344262,2.9550006106996025,0.22292640501881592,4,287,COMPLETE
27,0.8971374037392998,2025-11-15 17:00:58.753283,2025-11-15 17:01:00.688343,0 days 00:00:01.935060,3.754169151933041,0.0312204531124064,8,326,COMPLETE
28,0.8957954482990889,2025-11-15 17:01:00.689483,2025-11-15 17:01:02.818717,0 days 00:00:02.129234,3.7237052060454316,0.029850826312760103,10,329,COMPLETE
29,0.8960305658331617,2025-11-15 17:01:02.819717,2025-11-15 17:01:04.687383,0 days 00:00:01.867666,4.346895988807534,0.037996508075350516,8,364,COMPLETE
30,0.8951044125543539,2025-11-15 17:01:04.688418,2025-11-15 17:01:07.366767,0 days 00:00:02.678349,3.741154590040208,0.018105543196656162,10,320,COMPLETE
31,0.8955148941343231,2025-11-15 17:01:07.367761,2025-11-15 17:01:08.805903,0 days 00:00:01.438142,3.119073181824581,0.10484160103468894,8,251,COMPLETE
32,0.896111857630258,2025-11-15 17:01:08.806960,2025-11-15 17:01:09.990245,0 days 00:00:01.183285,2.5741101540191558,0.1624120711099055,9,84,COMPLETE
33,0.895759164987384,2025-11-15 17:01:09.991456,2025-11-15 17:01:11.530066,0 days 00:00:01.538610,3.5633599709058488,0.06344169183092202,7,268,COMPLETE
34,0.8961658419051238,2025-11-15 17:01:11.536715,2025-11-15 17:01:12.884236,0 days 00:00:01.347521,3.9779934261625987,0.12940903148944033,6,237,COMPLETE
35,0.8961385573263481,2025-11-15 17:01:12.885188,2025-11-15 17:01:13.983136,0 days 00:00:01.097948,2.0635818610747796,0.1927881276361063,4,88,COMPLETE
36,0.8961356069835302,2025-11-15 17:01:13.984133,2025-11-15 17:01:15.719152,0 days 00:00:01.735019,4.586706377365522,0.09468265304175894,11,396,COMPLETE
37,0.8967695626962581,2025-11-15 17:01:15.720274,2025-11-15 17:01:17.184353,0 days 00:00:01.464079,2.5018839941006017,0.07083312198535432,8,178,COMPLETE
38,0.8076420634242695,2025-11-15 17:01:17.185328,2025-11-15 17:01:19.433603,0 days 00:00:02.248275,1.4735187722353835,0.001079716048707017,9,210,COMPLETE
39,0.8961456491825933,2025-11-15 17:01:19.434585,2025-11-15 17:01:20.926155,0 days 00:00:01.491570,2.2230846325519895,0.07281294491936569,7,180,COMPLETE
40,0.8957773113780154,2025-11-15 17:01:20.927129,2025-11-15 17:01:23.422818,0 days 00:00:02.495689,1.7543482282394087,0.026466879513075935,8,305,COMPLETE
41,0.8956865571831003,2025-11-15 17:01:23.423891,2025-11-15 17:01:24.915168,0 days 00:00:01.491277,2.535465125161858,0.049229826057525856,8,115,COMPLETE
42,0.8960769974061338,2025-11-15 17:01:24.916132,2025-11-15 17:01:26.192637,0 days 00:00:01.276505,3.1243906543387068,0.11279152400236511,5,151,COMPLETE
43,0.894466534449965,2025-11-15 17:01:26.193777,2025-11-15 17:01:27.428720,0 days 00:00:01.234943,1.081614870026163,0.2183253995721473,6,137,COMPLETE
44,0.8816423400124414,2025-11-15 17:01:27.429688,2025-11-15 17:01:28.725850,0 days 00:00:01.296162,3.467194099142076,0.03589780844953266,2,228,COMPLETE
45,0.8877633376794274,2025-11-15 17:01:28.726819,2025-11-15 17:01:30.391281,0 days 00:00:01.664462,2.4091764211174604,0.011962475847389555,7,173,COMPLETE
46,0.8952684386034905,2025-11-15 17:01:30.392405,2025-11-15 17:01:32.609494,0 days 00:00:02.217089,1.8711308470051908,0.04383947401615823,10,371,COMPLETE
47,0.8953998465641723,2025-11-15 17:01:32.610444,2025-11-15 17:01:34.065844,0 days 00:00:01.455400,2.680057335560687,0.10284753181837014,11,155,COMPLETE
48,0.895425063751515,2025-11-15 17:01:34.066840,2025-11-15 17:01:35.401962,0 days 00:00:01.335122,4.196749452823345,0.07838180305300452,5,199,COMPLETE
49,0.8076420634242695,2025-11-15 17:01:35.402971,2025-11-15 17:01:36.766726,0 days 00:00:01.363755,2.988904331525183,0.001999909885589088,9,76,COMPLETE
