number,value,datetime_start,datetime_complete,duration,params_gamma,params_learning_rate,params_max_depth,params_n_estimators,state
0,0.7729871517429926,2025-11-15 17:05:07.394266,2025-11-15 17:05:08.549349,0 days 00:00:01.155083,0.7914828028643861,0.15990532336483826,8,295,COMPLETE
1,0.7745351947424848,2025-11-15 17:05:08.550463,2025-11-15 17:05:09.536631,0 days 00:00:00.986168,2.135720318961369,0.0785120954399625,5,235,COMPLETE
2,0.0,2025-11-15 17:05:09.537723,2025-11-15 17:05:10.243383,0 days 00:00:00.705660,3.9474688365590405,0.001765304939645996,2,99,COMPLETE
3,0.48073353075508346,2025-11-15 17:05:10.244061,2025-11-15 17:05:12.705051,0 days 00:00:02.460990,1.3476919902812123,0.001097269992255897,11,212,COMPLETE
4,0.7163331951482874,2025-11-15 17:05:12.706039,2025-11-15 17:05:16.302061,0 days 00:00:03.596022,0.34669700803705683,0.0015894863505015579,10,346,COMPLETE
5,0.7637853478924725,2025-11-15 17:05:16.303203,2025-11-15 17:05:17.440836,0 days 00:00:01.137633,3.486659979870984,0.0690145028244435,2,398,COMPLETE
6,0.7190528059643791,2025-11-15 17:05:17.441824,2025-11-15 17:05:18.347805,0 days 00:00:00.905981,4.072002843811921,0.008101938076974003,8,72,COMPLETE
7,0.7711987587852226,2025-11-15 17:05:18.348747,2025-11-15 17:05:19.729270,0 days 00:00:01.380523,4.8371564497217445,0.03495356703669299,8,211,COMPLETE
8,0.732656807553177,2025-11-15 17:05:19.730283,2025-11-15 17:05:20.742400,0 days 00:00:01.012117,4.588062119352706,0.010271951253046219,11,63,COMPLETE
9,0.7703644756453316,2025-11-15 17:05:20.743180,2025-11-15 17:05:22.045334,0 days 00:00:01.302154,0.8452344686679053,0.03328502029845169,7,177,COMPLETE
10,0.7741536984469246,2025-11-15 17:05:22.046347,2025-11-15 17:05:22.989932,0 days 00:00:00.943585,2.1255458587911664,0.2129773214213951,4,285,COMPLETE
11,0.7704960608227301,2025-11-15 17:05:22.990971,2025-11-15 17:05:23.893155,0 days 00:00:00.902184,2.1199733051854976,0.2635254745211679,4,283,COMPLETE
12,0.7750160259618388,2025-11-15 17:05:23.894289,2025-11-15 17:05:24.845284,0 days 00:00:00.950995,2.777408783109021,0.1169995983934324,5,269,COMPLETE
