number,value,datetime_start,datetime_complete,duration,params_gamma,params_learning_rate,params_max_depth,params_n_estimators,state
0,0.9049572643729956,2025-11-15 17:07:11.757634,2025-11-15 17:07:12.998419,0 days 00:00:01.240785,0.1892749202334515,0.01001549881906002,9,84,COMPLETE
1,0.9101855943875238,2025-11-15 17:07:12.999445,2025-11-15 17:07:13.749279,0 days 00:00:00.749834,3.339199873391894,0.2649311290022989,3,182,COMPLETE
2,0.902640159992903,2025-11-15 17:07:13.750509,2025-11-15 17:07:15.052905,0 days 00:00:01.302396,2.517634809980627,0.0033681850810439442,4,347,COMPLETE
3,0.9107833840308597,2025-11-15 17:07:15.054008,2025-11-15 17:07:16.219195,0 days 00:00:01.165187,2.762537867414281,0.04208052233250927,7,303,COMPLETE
4,0.9093499800357823,2025-11-15 17:07:16.220341,2025-11-15 17:07:17.685068,0 days 00:00:01.464727,0.3600272329977572,0.08492738789951475,11,129,COMPLETE
5,0.9111559697451431,2025-11-15 17:07:17.686142,2025-11-15 17:07:18.407948,0 days 00:00:00.721806,4.1584832367711595,0.149449968754481,6,119,COMPLETE
6,0.9088274173320829,2025-11-15 17:07:18.409107,2025-11-15 17:07:19.391215,0 days 00:00:00.982108,1.7336081608263227,0.045268129222350725,10,63,COMPLETE
7,0.9115688602067239,2025-11-15 17:07:19.392178,2025-11-15 17:07:20.190979,0 days 00:00:00.798801,3.6014135574535207,0.0628433838978653,5,105,COMPLETE
8,0.9119775432348037,2025-11-15 17:07:20.192016,2025-11-15 17:07:21.434931,0 days 00:00:01.242915,0.5428613794916709,0.08980191584686228,7,326,COMPLETE
9,0.8511860162223979,2025-11-15 17:07:21.436011,2025-11-15 17:07:22.524628,0 days 00:00:01.088617,1.6681788745187764,0.004452342607294569,9,86,COMPLETE
10,0.9110511173265203,2025-11-15 17:07:22.525603,2025-11-15 17:07:24.250194,0 days 00:00:01.724591,4.917584426889359,0.018867784460505858,12,393,COMPLETE
11,0.9127329772177502,2025-11-15 17:07:24.251184,2025-11-15 17:07:25.288330,0 days 00:00:01.037146,1.2244171306868727,0.05780016608575771,5,246,COMPLETE
12,0.9099688752776913,2025-11-15 17:07:25.289460,2025-11-15 17:07:26.936992,0 days 00:00:01.647532,1.1715270049164737,0.01464013312764317,7,263,COMPLETE
13,0.9095334958760685,2025-11-15 17:07:26.937948,2025-11-15 17:07:27.800732,0 days 00:00:00.862784,0.9299340933015633,0.1504877740819535,2,223,COMPLETE
14,0.8224563805598392,2025-11-15 17:07:27.801732,2025-11-15 17:07:29.143019,0 days 00:00:01.341287,1.1020456239524599,0.001190606262114116,5,297,COMPLETE
15,0.9117397761796159,2025-11-15 17:07:29.144109,2025-11-15 17:07:30.595275,0 days 00:00:01.451166,1.7784791783918668,0.027423689943363482,8,204,COMPLETE
16,0.9109104203491668,2025-11-15 17:07:30.596369,2025-11-15 17:07:31.603651,0 days 00:00:01.007282,0.6204554202272551,0.11055367563840797,6,264,COMPLETE
17,0.9078773130396259,2025-11-15 17:07:31.604579,2025-11-15 17:07:32.877747,0 days 00:00:01.273168,0.0057373422205260205,0.230680744807065,4,360,COMPLETE
18,0.9117604861977868,2025-11-15 17:07:32.878762,2025-11-15 17:07:34.334735,0 days 00:00:01.455973,2.008431365832117,0.03267010235239716,8,331,COMPLETE
19,0.905761397277724,2025-11-15 17:07:34.335690,2025-11-15 17:07:35.092457,0 days 00:00:00.756767,0.7369056448372349,0.07215573631604658,2,166,COMPLETE
