number,value,datetime_start,datetime_complete,duration,params_gamma,params_learning_rate,params_max_depth,params_n_estimators,state
0,0.6074534498164699,2025-11-15 17:06:40.859949,2025-11-15 17:06:41.337284,0 days 00:00:00.477335,1.6216651560618263,0.22483024971076274,4,206,COMPLETE
1,0.5996959668561526,2025-11-15 17:06:41.338230,2025-11-15 17:06:41.970570,0 days 00:00:00.632340,2.2748353172042974,0.07110164846273068,9,271,COMPLETE
2,0.5941643327477582,2025-11-15 17:06:41.971584,2025-11-15 17:06:42.603530,0 days 00:00:00.631946,3.0932824546160553,0.0234067397862814,4,239,COMPLETE
3,0.43731785979553417,2025-11-15 17:06:42.604473,2025-11-15 17:06:43.978567,0 days 00:00:01.374094,2.7314157213393724,0.0017192365856502879,7,389,COMPLETE
4,0.5647091979864861,2025-11-15 17:06:43.979570,2025-11-15 17:06:44.768042,0 days 00:00:00.788472,0.7108985143893609,0.011148234872938331,3,390,COMPLETE
5,0.0,2025-11-15 17:06:44.768982,2025-11-15 17:06:45.283220,0 days 00:00:00.514238,2.5482436333163956,0.003507095484137254,8,70,COMPLETE
6,0.599628045565799,2025-11-15 17:06:45.284106,2025-11-15 17:06:45.720247,0 days 00:00:00.436141,4.624574996962229,0.23339612492202294,7,175,COMPLETE
7,0.5867925942052931,2025-11-15 17:06:45.721112,2025-11-15 17:06:46.568518,0 days 00:00:00.847406,4.29119802461067,0.01541279299681623,6,260,COMPLETE
8,0.5451341790845873,2025-11-15 17:06:46.569596,2025-11-15 17:06:47.315390,0 days 00:00:00.745794,2.9277439950661934,0.006903443450774903,6,200,COMPLETE
9,0.5083050613807609,2025-11-15 17:06:47.316494,2025-11-15 17:06:47.680442,0 days 00:00:00.363948,1.8561493456396438,0.024532793075455507,4,58,COMPLETE
10,0.5907843785061944,2025-11-15 17:06:47.681233,2025-11-15 17:06:48.403178,0 days 00:00:00.721945,0.10423913801126172,0.19196055104116752,12,128,COMPLETE
11,0.5964569850590123,2025-11-15 17:06:48.404152,2025-11-15 17:06:49.079794,0 days 00:00:00.675642,1.3764347029928077,0.09734505296064917,10,309,COMPLETE
12,0.5953290856969435,2025-11-15 17:06:49.080667,2025-11-15 17:06:49.809655,0 days 00:00:00.728988,1.3443562463459138,0.06752117604951703,10,303,COMPLETE
13,0.5778903015891028,2025-11-15 17:06:49.810607,2025-11-15 17:06:50.257247,0 days 00:00:00.446640,3.7398561868248974,0.05820216270176446,2,157,COMPLETE
14,0.5951820494861052,2025-11-15 17:06:50.258204,2025-11-15 17:06:50.859172,0 days 00:00:00.600968,1.8886195877963083,0.13559259810073732,9,291,COMPLETE
15,0.5964788016070829,2025-11-15 17:06:50.860241,2025-11-15 17:06:51.692514,0 days 00:00:00.832273,1.9934828662810509,0.05029230115244469,12,346,COMPLETE
16,0.5986544433696004,2025-11-15 17:06:51.693619,2025-11-15 17:06:52.160665,0 days 00:00:00.467046,3.4356390546128406,0.29891566481125187,5,225,COMPLETE
