number,value,datetime_start,datetime_complete,duration,params_gamma,params_learning_rate,params_max_depth,params_n_estimators,state
0,0.8952279400557552,2025-11-15 17:01:36.776160,2025-11-15 17:01:38.900863,0 days 00:00:02.124703,4.076864575999387,0.017410521453340527,6,328,COMPLETE
1,0.8840394671954984,2025-11-15 17:01:38.902152,2025-11-15 17:01:40.284903,0 days 00:00:01.382751,2.6651723975462764,0.014269545609507626,3,243,COMPLETE
2,0.8870899058633196,2025-11-15 17:01:40.285895,2025-11-15 17:01:41.695865,0 days 00:00:01.409970,0.851803013453219,0.04683292929674332,2,307,COMPLETE
3,0.8946692637588546,2025-11-15 17:01:41.697109,2025-11-15 17:01:44.586582,0 days 00:00:02.889473,0.00974112650845571,0.019634721103573054,10,246,COMPLETE
4,0.8935786302687143,2025-11-15 17:01:44.587659,2025-11-15 17:01:46.288310,0 days 00:00:01.700651,1.0611705241540408,0.05471020837179827,11,100,COMPLETE
5,0.8919496492519577,2025-11-15 17:01:46.289287,2025-11-15 17:01:47.563579,0 days 00:00:01.274292,4.498722766122591,0.04039441696447029,4,140,COMPLETE
6,0.8573680619129952,2025-11-15 17:01:47.564555,2025-11-15 17:01:48.710502,0 days 00:00:01.145947,4.968702964670618,0.009442863395025416,4,91,COMPLETE
7,0.8317226215324199,2025-11-15 17:01:48.711474,2025-11-15 17:01:52.280607,0 days 00:00:03.569133,0.9262578504500435,0.00117547509036637,11,306,COMPLETE
8,0.8327885078800353,2025-11-15 17:01:52.281642,2025-11-15 17:01:55.580031,0 days 00:00:03.298389,2.1062631227602386,0.001427065277502713,12,268,COMPLETE
9,0.8815426936711137,2025-11-15 17:01:55.581036,2025-11-15 17:01:56.839220,0 days 00:00:01.258184,1.4132007567505045,0.026310329103495372,2,216,COMPLETE
10,0.8946083362172382,2025-11-15 17:01:56.840312,2025-11-15 17:01:58.365958,0 days 00:00:01.525646,3.6674435758425505,0.20541360491681407,7,386,COMPLETE
11,0.8941856302659777,2025-11-15 17:01:58.366812,2025-11-15 17:02:01.135345,0 days 00:00:02.768533,3.4453806228901485,0.008569312626345287,8,391,COMPLETE
12,0.8637615785138684,2025-11-15 17:02:01.136251,2025-11-15 17:02:02.916495,0 days 00:00:01.780244,3.611917942225513,0.003433941956974024,8,183,COMPLETE
13,0.8927190540713182,2025-11-15 17:02:02.917516,2025-11-15 17:02:04.912738,0 days 00:00:01.995222,0.1788565390188505,0.14204865105097064,6,336,COMPLETE
14,0.8865497037492613,2025-11-15 17:02:04.913886,2025-11-15 17:02:06.924545,0 days 00:00:02.010659,2.672589047253087,0.005122374126579261,9,192,COMPLETE
15,0.8937338007916089,2025-11-15 17:02:06.925517,2025-11-15 17:02:08.813474,0 days 00:00:01.887957,0.2847489564291779,0.11438019639347366,6,338,COMPLETE
16,0.895525632123656,2025-11-15 17:02:08.814491,2025-11-15 17:02:11.393522,0 days 00:00:02.579031,1.9793549237770984,0.01809006575790004,10,269,COMPLETE
17,0.8776307111058121,2025-11-15 17:02:11.394723,2025-11-15 17:02:13.338369,0 days 00:00:01.943646,1.8545800045423388,0.003698476133854656,6,286,COMPLETE
18,0.8952763961902379,2025-11-15 17:02:13.339336,2025-11-15 17:02:14.962073,0 days 00:00:01.622737,3.2377946994197617,0.07276295188823935,9,343,COMPLETE
19,0.8951471095451554,2025-11-15 17:02:14.963205,2025-11-15 17:02:16.629733,0 days 00:00:01.666528,3.0013971389245935,0.08705267077115031,9,365,COMPLETE
20,0.8901573639347907,2025-11-15 17:02:16.630682,2025-11-15 17:02:18.071983,0 days 00:00:01.441301,2.195770788873759,0.2692962340731451,12,280,COMPLETE
21,0.8955919052261458,2025-11-15 17:02:18.073072,2025-11-15 17:02:20.187550,0 days 00:00:02.114478,4.067642488429417,0.026295769056757574,10,348,COMPLETE
22,0.8951397528734903,2025-11-15 17:02:20.194068,2025-11-15 17:02:22.396053,0 days 00:00:02.201985,3.004754998497837,0.029511720480425233,10,363,COMPLETE
23,0.8950931086895443,2025-11-15 17:02:22.397085,2025-11-15 17:02:24.032603,0 days 00:00:01.635518,4.39264235139879,0.07382293601028479,10,363,COMPLETE
24,0.8958325671390505,2025-11-15 17:02:24.033617,2025-11-15 17:02:25.951875,0 days 00:00:01.918258,3.9641724387289345,0.03375512698778417,9,300,COMPLETE
25,0.8662131919432448,2025-11-15 17:02:25.953159,2025-11-15 17:02:27.243714,0 days 00:00:01.290555,3.9661602569296064,0.009554582446864532,11,55,COMPLETE
26,0.8953930949968276,2025-11-15 17:02:27.244709,2025-11-15 17:02:29.091601,0 days 00:00:01.846892,4.988966238411509,0.031433058785257276,8,306,COMPLETE
27,0.8941273641633913,2025-11-15 17:02:29.092623,2025-11-15 17:02:31.661687,0 days 00:00:02.569064,1.6460375137365661,0.013738582648695,10,253,COMPLETE
