number,value,datetime_start,datetime_complete,duration,params_gamma,params_learning_rate,params_max_depth,params_n_estimators,state
0,0.9811947675770186,2025-11-15 17:06:10.680980,2025-11-15 17:06:11.229317,0 days 00:00:00.548337,2.789090912412296,0.013505795357597916,12,90,COMPLETE
1,0.9829252737383728,2025-11-15 17:06:11.230202,2025-11-15 17:06:11.839796,0 days 00:00:00.609594,2.5282964870255693,0.24967779593186332,3,350,COMPLETE
2,0.9727218504740385,2025-11-15 17:06:11.840832,2025-11-15 17:06:12.240017,0 days 00:00:00.399185,4.885511388467365,0.002795225139467632,3,84,COMPLETE
3,0.9826551187549895,2025-11-15 17:06:12.240990,2025-11-15 17:06:12.780671,0 days 00:00:00.539681,0.9852783486646882,0.09148189421733567,2,232,COMPLETE
4,0.9826863885070333,2025-11-15 17:06:12.781860,2025-11-15 17:06:13.261504,0 days 00:00:00.479644,3.5205439294046554,0.037981516015905804,6,123,COMPLETE
5,0.9819968374140142,2025-11-15 17:06:13.262436,2025-11-15 17:06:13.928734,0 days 00:00:00.666298,4.204362287409198,0.05829908260314259,2,388,COMPLETE
6,0.9804858393131337,2025-11-15 17:06:13.929892,2025-11-15 17:06:14.835887,0 days 00:00:00.905995,3.7823172913442473,0.004175019195725949,11,242,COMPLETE
7,0.9727218504740385,2025-11-15 17:06:14.836983,2025-11-15 17:06:15.378373,0 days 00:00:00.541390,3.141256810641895,0.006044303000849739,12,96,COMPLETE
8,0.9727218504740385,2025-11-15 17:06:15.379445,2025-11-15 17:06:16.292105,0 days 00:00:00.912660,0.2573022077321979,0.0018114635444581592,5,339,COMPLETE
9,0.982443640094532,2025-11-15 17:06:16.293313,2025-11-15 17:06:16.701823,0 days 00:00:00.408510,4.2554264759316744,0.06441441101846104,8,89,COMPLETE
10,0.9827637002497553,2025-11-15 17:06:16.702930,2025-11-15 17:06:17.283721,0 days 00:00:00.580791,1.9029280892886176,0.20560232231717965,8,305,COMPLETE
11,0.9827579343964372,2025-11-15 17:06:17.284720,2025-11-15 17:06:17.859372,0 days 00:00:00.574652,1.8587714342322823,0.29060835291561704,9,303,COMPLETE
12,0.9826514049779448,2025-11-15 17:06:17.860417,2025-11-15 17:06:18.420080,0 days 00:00:00.559663,1.9997692899644544,0.2914478558146547,5,298,COMPLETE
13,0.9823081212648491,2025-11-15 17:06:18.421204,2025-11-15 17:06:19.086242,0 days 00:00:00.665038,1.8721994316451018,0.1294662560167112,9,392,COMPLETE
14,0.9820608652308872,2025-11-15 17:06:19.087098,2025-11-15 17:06:19.781520,0 days 00:00:00.694422,1.2460092040256945,0.020135415918918865,7,175,COMPLETE
15,0.9829195680141207,2025-11-15 17:06:19.782373,2025-11-15 17:06:20.385815,0 days 00:00:00.603442,2.463954354989328,0.15610453151518128,4,328,COMPLETE
16,0.9828007919884965,2025-11-15 17:06:20.386706,2025-11-15 17:06:21.025269,0 days 00:00:00.638563,2.5652597928623635,0.12322636847565928,4,354,COMPLETE
17,0.9823342448975859,2025-11-15 17:06:21.026360,2025-11-15 17:06:21.647852,0 days 00:00:00.621492,3.0767555315574655,0.033333581971117444,4,269,COMPLETE
18,0.9830302773879371,2025-11-15 17:06:21.648770,2025-11-15 17:06:22.124462,0 days 00:00:00.475692,1.1715232645380405,0.15918493204029271,3,188,COMPLETE
19,0.9741147350002011,2025-11-15 17:06:22.125447,2025-11-15 17:06:22.620097,0 days 00:00:00.494650,0.03303185777894235,0.0092732950330769,2,178,COMPLETE
20,0.9824574362771074,2025-11-15 17:06:22.621103,2025-11-15 17:06:23.171512,0 days 00:00:00.550409,1.064037153848791,0.027665624965468108,3,184,COMPLETE
21,0.98304464012837,2025-11-15 17:06:23.172552,2025-11-15 17:06:23.799803,0 days 00:00:00.627251,2.2378089945941384,0.16073557849249495,4,349,COMPLETE
22,0.9827919800112797,2025-11-15 17:06:23.800974,2025-11-15 17:06:24.300307,0 days 00:00:00.499333,0.605851361534915,0.06936453947192306,3,144,COMPLETE
23,0.9831402383791887,2025-11-15 17:06:24.301346,2025-11-15 17:06:24.940468,0 days 00:00:00.639122,1.3712787508979016,0.19703333853536378,5,365,COMPLETE
24,0.9820546845002187,2025-11-15 17:06:24.941574,2025-11-15 17:06:25.497425,0 days 00:00:00.555851,1.4278286854685693,0.16151236036755034,6,265,COMPLETE
25,0.9825239452038899,2025-11-15 17:06:25.498181,2025-11-15 17:06:26.189081,0 days 00:00:00.690900,0.5786619511269755,0.10024109057122149,5,369,COMPLETE
26,0.982417986442373,2025-11-15 17:06:26.190159,2025-11-15 17:06:26.780847,0 days 00:00:00.590688,1.5232999069082291,0.040986828378078065,6,215,COMPLETE
27,0.9820385192986144,2025-11-15 17:06:26.781957,2025-11-15 17:06:27.462328,0 days 00:00:00.680371,0.7678678551431255,0.19992830629268643,4,400,COMPLETE
28,0.9727218504740385,2025-11-15 17:06:27.463293,2025-11-15 17:06:27.857888,0 days 00:00:00.394595,1.5592110593100177,0.001168396566550627,5,52,COMPLETE
29,0.9826734812368896,2025-11-15 17:06:27.858934,2025-11-15 17:06:28.572209,0 days 00:00:00.713275,2.151325822976999,0.01670101095192862,7,202,COMPLETE
30,0.9829195762649319,2025-11-15 17:06:28.573111,2025-11-15 17:06:29.139809,0 days 00:00:00.566698,2.2742971137478514,0.08062863938372178,4,279,COMPLETE
31,0.9830430648584043,2025-11-15 17:06:29.140850,2025-11-15 17:06:29.721823,0 days 00:00:00.580973,2.8575656510976204,0.21884958927855624,3,333,COMPLETE
32,0.9825810401498579,2025-11-15 17:06:29.722859,2025-11-15 17:06:30.329315,0 days 00:00:00.606456,2.92610953855721,0.1942479116230222,3,369,COMPLETE
33,0.9826938767139943,2025-11-15 17:06:30.330394,2025-11-15 17:06:30.915194,0 days 00:00:00.584800,2.5166271428206435,0.11370967570509105,2,326,COMPLETE
34,0.9822240767152296,2025-11-15 17:06:30.916274,2025-11-15 17:06:31.562974,0 days 00:00:00.646700,3.2766919488514903,0.0507419755214188,3,361,COMPLETE
35,0.9826918084499644,2025-11-15 17:06:31.563840,2025-11-15 17:06:32.082765,0 days 00:00:00.518925,2.6913571848441116,0.2257397319773889,3,245,COMPLETE
36,0.9827950719150506,2025-11-15 17:06:32.083847,2025-11-15 17:06:32.681812,0 days 00:00:00.597965,1.619222013436628,0.14109916213878793,2,322,COMPLETE
37,0.9826587813539692,2025-11-15 17:06:32.682776,2025-11-15 17:06:33.159112,0 days 00:00:00.476336,0.9578284552653752,0.08925783598975692,5,136,COMPLETE
38,0.9818596349818229,2025-11-15 17:06:33.160099,2025-11-15 17:06:33.793445,0 days 00:00:00.633346,3.5884149802805734,0.17712760939660663,4,381,COMPLETE
39,0.982171976385214,2025-11-15 17:06:33.794199,2025-11-15 17:06:34.399107,0 days 00:00:00.604908,2.2448029803110954,0.2898989166189344,6,340,COMPLETE
40,0.9830307360597725,2025-11-15 17:06:34.399957,2025-11-15 17:06:35.030135,0 days 00:00:00.630178,1.2390661407154517,0.050051125378067676,2,291,COMPLETE
41,0.9827927136707005,2025-11-15 17:06:35.038398,2025-11-15 17:06:35.656588,0 days 00:00:00.618190,1.3539133053255075,0.05267352801876461,2,288,COMPLETE
42,0.9834001770283634,2025-11-15 17:06:35.657658,2025-11-15 17:06:36.304720,0 days 00:00:00.647062,1.077663946779185,0.10400899966380608,3,343,COMPLETE
43,0.9834930601390708,2025-11-15 17:06:36.305742,2025-11-15 17:06:36.924679,0 days 00:00:00.618937,0.7637947107433235,0.08215675548317236,2,314,COMPLETE
44,0.9828974667696538,2025-11-15 17:06:36.925767,2025-11-15 17:06:37.598085,0 days 00:00:00.672318,0.42465054246198664,0.08188345495221355,4,312,COMPLETE
45,0.9830264647527812,2025-11-15 17:06:37.598967,2025-11-15 17:06:38.243919,0 days 00:00:00.644952,0.8648769424241591,0.09507084132660426,3,343,COMPLETE
46,0.9827626460558369,2025-11-15 17:06:38.244965,2025-11-15 17:06:38.892405,0 days 00:00:00.647440,1.71465643582219,0.25213708564832,5,379,COMPLETE
47,0.9816487559280637,2025-11-15 17:06:38.893576,2025-11-15 17:06:39.495790,0 days 00:00:00.602214,4.949762901383652,0.11563143453589617,2,350,COMPLETE
48,0.9833018705183895,2025-11-15 17:06:39.496646,2025-11-15 17:06:40.067280,0 days 00:00:00.570634,2.8804502569335173,0.23341700776325727,3,316,COMPLETE
49,0.9808403935807946,2025-11-15 17:06:40.068367,2025-11-15 17:06:40.849466,0 days 00:00:00.781099,3.991093662579501,0.004193525193697278,4,315,COMPLETE
