number,value,datetime_start,datetime_complete,duration,params_gamma,params_learning_rate,params_max_depth,params_n_estimators,state
0,0.7906332045114552,2025-11-15 17:10:53.124032,2025-11-15 17:10:54.592461,0 days 00:00:01.468429,3.5352528221112167,0.009299193282561822,9,292,COMPLETE
1,0.796986549216784,2025-11-15 17:10:54.593739,2025-11-15 17:10:55.346077,0 days 00:00:00.752338,1.2277757045236903,0.04174489573892197,4,226,COMPLETE
2,0.7759117706410947,2025-11-15 17:10:55.347147,2025-11-15 17:10:56.424212,0 days 00:00:01.077065,3.4579822419760244,0.0028909552165046907,9,166,COMPLETE
3,0.7902718351376055,2025-11-15 17:10:56.425303,2025-11-15 17:10:57.291873,0 days 00:00:00.866570,1.3652333899713764,0.08591785705146822,9,353,COMPLETE
4,0.7865856234753144,2025-11-15 17:10:57.292800,2025-11-15 17:10:58.036722,0 days 00:00:00.743922,1.1630292026116829,0.12291277299978663,11,187,COMPLETE
5,0.7919664942372379,2025-11-15 17:10:58.037610,2025-11-15 17:10:59.365344,0 days 00:00:01.327734,1.8721447025395033,0.021828347237890143,9,350,COMPLETE
6,0.7941883894465555,2025-11-15 17:10:59.366210,2025-11-15 17:10:59.983230,0 days 00:00:00.617020,4.083056107781661,0.0380726341561673,3,187,COMPLETE
7,0.725880239722169,2025-11-15 17:10:59.984201,2025-11-15 17:11:00.603014,0 days 00:00:00.618813,3.880125359735901,0.002906014500441524,2,238,COMPLETE
8,0.8009719574578179,2025-11-15 17:11:00.603996,2025-11-15 17:11:01.210567,0 days 00:00:00.606571,3.3603375659686243,0.08724168834908523,4,234,COMPLETE
9,0.7702601771805744,2025-11-15 17:11:01.211709,2025-11-15 17:11:02.697665,0 days 00:00:01.485956,0.5995460534625391,0.002125364375358042,8,266,COMPLETE
10,0.7980031069281464,2025-11-15 17:11:02.698545,2025-11-15 17:11:03.125836,0 days 00:00:00.427291,4.811263658922561,0.1910844469514313,5,67,COMPLETE
11,0.7933413331076136,2025-11-15 17:11:03.126900,2025-11-15 17:11:03.534752,0 days 00:00:00.407852,4.821181928340522,0.27599674086483855,5,55,COMPLETE
12,0.7940282424183354,2025-11-15 17:11:03.535738,2025-11-15 17:11:03.978353,0 days 00:00:00.442615,2.605967422900128,0.29392849224643025,6,84,COMPLETE
