number,value,datetime_start,datetime_complete,duration,params_gamma,params_learning_rate,params_max_depth,params_n_estimators,state
0,0.8633056712124423,2025-11-15 17:03:59.275334,2025-11-15 17:04:00.531155,0 days 00:00:01.255821,4.641056822316186,0.0669068286441208,8,213,COMPLETE
1,0.8326686279998761,2025-11-15 17:04:00.532276,2025-11-15 17:04:02.070874,0 days 00:00:01.538598,0.9721648393581761,0.00247783669825083,4,272,COMPLETE
2,0.8641521095055152,2025-11-15 17:04:02.072095,2025-11-15 17:04:03.216845,0 days 00:00:01.144750,0.9784417608837809,0.21573895130575105,2,236,COMPLETE
3,0.8567986548644353,2025-11-15 17:04:03.217851,2025-11-15 17:04:04.450622,0 days 00:00:01.232771,2.4658547700197735,0.03051778373747673,2,308,COMPLETE
4,0.860846428191499,2025-11-15 17:04:04.451844,2025-11-15 17:04:06.331970,0 days 00:00:01.880126,1.0199704068232096,0.10555511217784894,11,389,COMPLETE
5,0.854900994085105,2025-11-15 17:04:06.332990,2025-11-15 17:04:07.355023,0 days 00:00:01.022033,0.5004522968860681,0.013767383884115489,5,89,COMPLETE
6,0.8550326965802839,2025-11-15 17:04:07.356031,2025-11-15 17:04:08.724224,0 days 00:00:01.368193,1.3051110513556041,0.020908504627980072,2,381,COMPLETE
7,0.8505664044910404,2025-11-15 17:04:08.725188,2025-11-15 17:04:10.008945,0 days 00:00:01.283757,4.677856489822573,0.010255827676269461,2,332,COMPLETE
8,0.7878715375364289,2025-11-15 17:04:10.009892,2025-11-15 17:04:11.174412,0 days 00:00:01.164520,3.653320330980692,0.0012372566011760136,9,65,COMPLETE
9,0.8606666994639822,2025-11-15 17:04:11.175619,2025-11-15 17:04:12.466411,0 days 00:00:01.290792,1.648108419794515,0.1342264874375886,10,226,COMPLETE
10,0.8609009083146756,2025-11-15 17:04:12.467468,2025-11-15 17:04:13.733701,0 days 00:00:01.266233,0.13976514374643667,0.2803119768235133,6,149,COMPLETE
11,0.8628110959635984,2025-11-15 17:04:13.734641,2025-11-15 17:04:14.907039,0 days 00:00:01.172398,4.885696558207146,0.07510266681797166,8,180,COMPLETE
12,0.8626453410259511,2025-11-15 17:04:14.908218,2025-11-15 17:04:15.986499,0 days 00:00:01.078281,3.399389517026473,0.2988910429510596,7,223,COMPLETE
13,0.8618948269359874,2025-11-15 17:04:15.987496,2025-11-15 17:04:17.707484,0 days 00:00:01.719988,2.2751779534413252,0.04905159035573414,12,165,COMPLETE
14,0.8631678559131561,2025-11-15 17:04:17.708474,2025-11-15 17:04:18.835809,0 days 00:00:01.127335,3.4278013266457963,0.12351820909630701,4,237,COMPLETE
15,0.8583238657592099,2025-11-15 17:04:18.836948,2025-11-15 17:04:20.168754,0 days 00:00:01.331806,4.095045234189448,0.00731165002420106,8,113,COMPLETE
16,0.8637488085520542,2025-11-15 17:04:20.169703,2025-11-15 17:04:21.685600,0 days 00:00:01.515897,1.9085956536662532,0.04246387590259806,6,271,COMPLETE
17,0.8533151800647906,2025-11-15 17:04:21.686569,2025-11-15 17:04:23.141514,0 days 00:00:01.454945,1.7644464914900024,0.005995828079268362,4,275,COMPLETE
18,0.8631958304413061,2025-11-15 17:04:23.142529,2025-11-15 17:04:24.660988,0 days 00:00:01.518459,2.9315367699606694,0.04425598524869314,6,323,COMPLETE
19,0.864355563704235,2025-11-15 17:04:24.661989,2025-11-15 17:04:25.795557,0 days 00:00:01.133568,1.980879410182166,0.19861831818460665,3,271,COMPLETE
20,0.8659145872056037,2025-11-15 17:04:25.796614,2025-11-15 17:04:27.200918,0 days 00:00:01.404304,0.045686015832257953,0.1942264831738189,3,355,COMPLETE
21,0.8661083642319782,2025-11-15 17:04:27.202031,2025-11-15 17:04:28.601146,0 days 00:00:01.399115,0.17587301417568213,0.17745824097841437,3,353,COMPLETE
22,0.8653620737600697,2025-11-15 17:04:28.602165,2025-11-15 17:04:30.040032,0 days 00:00:01.437867,0.09387684219184589,0.15784417617876703,3,355,COMPLETE
23,0.8672315396380121,2025-11-15 17:04:30.041131,2025-11-15 17:04:31.565542,0 days 00:00:01.524411,0.052526241208714054,0.1605631220008599,3,358,COMPLETE
24,0.8648181811445319,2025-11-15 17:04:31.566681,2025-11-15 17:04:33.030875,0 days 00:00:01.464194,0.4904268849048368,0.09044008199557702,3,360,COMPLETE
25,0.8636357368293988,2025-11-15 17:04:33.031911,2025-11-15 17:04:34.420044,0 days 00:00:01.388133,0.5021140899121797,0.1788299873252652,5,353,COMPLETE
26,0.8639239889188366,2025-11-15 17:04:34.420996,2025-11-15 17:04:36.061274,0 days 00:00:01.640278,0.03151169392783848,0.02943927275797806,5,301,COMPLETE
27,0.8653945895663918,2025-11-15 17:04:36.062309,2025-11-15 17:04:37.548881,0 days 00:00:01.486572,0.6398606452968004,0.07021402325466,3,395,COMPLETE
28,0.8648528825483861,2025-11-15 17:04:37.549857,2025-11-15 17:04:38.866208,0 days 00:00:01.316351,1.361882432685689,0.11184192903374543,4,336,COMPLETE
29,0.8663330149458484,2025-11-15 17:04:38.867259,2025-11-15 17:04:40.101160,0 days 00:00:01.233901,0.7611472390238289,0.23954601249542096,3,300,COMPLETE
30,0.8654688739702736,2025-11-15 17:04:40.102107,2025-11-15 17:04:41.750772,0 days 00:00:01.648665,0.738515254812955,0.05826703365300469,5,294,COMPLETE
31,0.8644312263852314,2025-11-15 17:04:41.751866,2025-11-15 17:04:43.169253,0 days 00:00:01.417387,0.2596372432887551,0.2931713985163917,3,371,COMPLETE
32,0.8667495598310408,2025-11-15 17:04:43.170311,2025-11-15 17:04:44.635125,0 days 00:00:01.464814,0.3012433695854289,0.1880351360990482,4,338,COMPLETE
33,0.8655788644373311,2025-11-15 17:04:44.636077,2025-11-15 17:04:45.910498,0 days 00:00:01.274421,0.8759290171095349,0.1490928525611226,4,317,COMPLETE
34,0.8648312360022616,2025-11-15 17:04:45.911487,2025-11-15 17:04:47.175050,0 days 00:00:01.263563,1.2604701208325757,0.09240371032514712,2,340,COMPLETE
35,0.8637552320979118,2025-11-15 17:04:47.175933,2025-11-15 17:04:48.647914,0 days 00:00:01.471981,0.33502209461832755,0.2142592766565677,4,399,COMPLETE
36,0.7878715375364289,2025-11-15 17:04:48.648872,2025-11-15 17:04:49.831465,0 days 00:00:01.182593,1.1266979581075693,0.002658508556364594,2,257,COMPLETE
37,0.8640316414576719,2025-11-15 17:04:49.832446,2025-11-15 17:04:51.104957,0 days 00:00:01.272511,0.8116217822619325,0.23726045749339075,5,291,COMPLETE
38,0.8589913148428385,2025-11-15 17:04:51.106027,2025-11-15 17:04:52.472549,0 days 00:00:01.366522,1.5152722084430432,0.03256248597642937,2,372,COMPLETE
39,0.8653603344919313,2025-11-15 17:04:52.473599,2025-11-15 17:04:53.978407,0 days 00:00:01.504808,0.3861608146010439,0.08534470551732506,4,313,COMPLETE
40,0.8635998438595494,2025-11-15 17:04:53.979544,2025-11-15 17:04:55.311809,0 days 00:00:01.332265,1.028494862986408,0.13169726653911276,3,340,COMPLETE
41,0.8652559689338413,2025-11-15 17:04:55.312923,2025-11-15 17:04:56.832055,0 days 00:00:01.519132,0.11955410048468113,0.19201054612576088,3,374,COMPLETE
42,0.8655875991519274,2025-11-15 17:04:56.833196,2025-11-15 17:04:58.129761,0 days 00:00:01.296565,0.6122514302705732,0.15894966613413866,2,363,COMPLETE
43,0.8662103425526254,2025-11-15 17:04:58.130730,2025-11-15 17:04:59.528920,0 days 00:00:01.398190,0.2755806966057162,0.22168927371630118,3,348,COMPLETE
44,0.8663031561621375,2025-11-15 17:04:59.529973,2025-11-15 17:05:00.791184,0 days 00:00:01.261211,0.4575922993017171,0.24348238804524164,2,328,COMPLETE
45,0.8642162232398036,2025-11-15 17:05:00.792271,2025-11-15 17:05:02.015634,0 days 00:00:01.223363,0.7579620409633874,0.26145892848511904,2,324,COMPLETE
46,0.8643655272084722,2025-11-15 17:05:02.016838,2025-11-15 17:05:03.318346,0 days 00:00:01.301508,0.36201098612732835,0.10550805724197826,2,287,COMPLETE
47,0.8647229490334668,2025-11-15 17:05:03.319278,2025-11-15 17:05:04.641258,0 days 00:00:01.321980,1.0403738094685595,0.22817290536912532,4,305,COMPLETE
48,0.8619732398480929,2025-11-15 17:05:04.642340,2025-11-15 17:05:06.285277,0 days 00:00:01.642937,0.5327439894928905,0.12198640245423122,9,253,COMPLETE
49,0.8618446678507914,2025-11-15 17:05:06.286262,2025-11-15 17:05:07.385230,0 days 00:00:01.098968,2.6241120895818324,0.29241938786225574,7,203,COMPLETE
