number,value,datetime_start,datetime_complete,duration,params_gamma,params_learning_rate,params_max_depth,params_n_estimators,state
0,0.8226220717268813,2025-11-15 16:58:50.694198,2025-11-15 16:58:51.876603,0 days 00:00:01.182405,0.8736908913957853,0.011941912496226002,2,323,COMPLETE
1,0.8701957410897533,2025-11-15 16:58:51.877702,2025-11-15 16:58:53.356819,0 days 00:00:01.479117,4.722214852879562,0.044336917185038044,11,266,COMPLETE
2,0.8450833255949565,2025-11-15 16:58:53.357890,2025-11-15 16:58:54.672593,0 days 00:00:01.314703,4.351750454198967,0.020560217936047377,2,390,COMPLETE
3,0.8662001292078904,2025-11-15 16:58:54.673546,2025-11-15 16:58:55.909215,0 days 00:00:01.235669,2.4396463037176277,0.0217270679141765,7,143,COMPLETE
4,0.8686363989454055,2025-11-15 16:58:55.910156,2025-11-15 16:58:57.419972,0 days 00:00:01.509816,4.25520063242428,0.031782370527429105,5,357,COMPLETE
5,0.8030750471878246,2025-11-15 16:58:57.420964,2025-11-15 16:58:58.747273,0 days 00:00:01.326309,4.210260602602935,0.0011721591079606936,9,109,COMPLETE
6,0.8161840238096856,2025-11-15 16:58:58.748354,2025-11-15 16:59:00.305311,0 days 00:00:01.556957,0.6692228012793439,0.002274832029318613,4,372,COMPLETE
7,0.8114907851740387,2025-11-15 16:59:00.306357,2025-11-15 16:59:01.612187,0 days 00:00:01.305830,2.3109447974997805,0.004394021059209001,3,336,COMPLETE
8,0.8556051826110641,2025-11-15 16:59:01.613032,2025-11-15 16:59:02.744941,0 days 00:00:01.131909,4.609295687518261,0.030035442583154704,3,260,COMPLETE
9,0.7932261099220055,2025-11-15 16:59:02.745923,2025-11-15 16:59:03.896359,0 days 00:00:01.150436,1.8769630885897448,0.001126409961561676,5,171,COMPLETE
10,0.8673988493479527,2025-11-15 16:59:03.897356,2025-11-15 16:59:04.775066,0 days 00:00:00.877710,3.297661764570003,0.214056544763664,12,56,COMPLETE
11,0.871276432997079,2025-11-15 16:59:04.776148,2025-11-15 16:59:05.990610,0 days 00:00:01.214462,3.4563948868060193,0.09768866724695442,12,253,COMPLETE
12,0.8689176449787339,2025-11-15 16:59:05.991684,2025-11-15 16:59:07.158403,0 days 00:00:01.166719,3.4325204527258864,0.13689975372516489,12,250,COMPLETE
13,0.8700029175684298,2025-11-15 16:59:07.159396,2025-11-15 16:59:08.366284,0 days 00:00:01.206888,3.5244042089915872,0.09659603377989108,10,287,COMPLETE
