number,value,datetime_start,datetime_complete,duration,params_gamma,params_learning_rate,params_max_depth,params_n_estimators,state
0,0.7999061597875261,2025-11-15 16:58:15.541705,2025-11-15 16:58:17.326943,0 days 00:00:01.785238,2.071862476241288,0.013566326650435102,12,367,COMPLETE
1,0.7632408637475041,2025-11-15 16:58:17.328025,2025-11-15 16:58:17.869145,0 days 00:00:00.541120,0.553852134084557,0.0010490846504035535,4,120,COMPLETE
2,0.80161379518569,2025-11-15 16:58:17.870674,2025-11-15 16:58:18.690414,0 days 00:00:00.819740,1.642703430904953,0.02562381679703605,8,142,COMPLETE
3,0.8043210976918752,2025-11-15 16:58:18.691566,2025-11-15 16:58:20.897046,0 days 00:00:02.205480,1.5359421930797583,0.0024346420009553173,10,350,COMPLETE
4,0.8070941498425561,2025-11-15 16:58:20.897960,2025-11-15 16:58:21.459020,0 days 00:00:00.561060,0.6805491136740871,0.04583419049388187,4,144,COMPLETE
5,0.8034123777492919,2025-11-15 16:58:21.459996,2025-11-15 16:58:22.158723,0 days 00:00:00.698727,2.872235932671826,0.033560441080361915,7,218,COMPLETE
6,0.8020715809714666,2025-11-15 16:58:22.159732,2025-11-15 16:58:22.940390,0 days 00:00:00.780658,4.122251010726814,0.0025978754366632792,3,334,COMPLETE
7,0.8056637142811616,2025-11-15 16:58:22.941354,2025-11-15 16:58:23.545958,0 days 00:00:00.604604,2.6357018214266748,0.0929635381030554,3,299,COMPLETE
8,0.7812884027337074,2025-11-15 16:58:23.546803,2025-11-15 16:58:24.466141,0 days 00:00:00.919338,0.06145147287017649,0.2199623635451343,8,223,COMPLETE
9,0.8084824622459873,2025-11-15 16:58:24.467135,2025-11-15 16:58:25.474513,0 days 00:00:01.007378,4.258431761430358,0.007408362589869944,4,393,COMPLETE
10,0.8059743415844164,2025-11-15 16:58:25.475613,2025-11-15 16:58:26.495369,0 days 00:00:01.019756,4.985786180787733,0.007731558811830411,6,285,COMPLETE
11,0.8092176654373933,2025-11-15 16:58:26.496319,2025-11-15 16:58:26.931217,0 days 00:00:00.434898,3.6805889605381497,0.07306088782007476,5,67,COMPLETE
12,0.8033586516022014,2025-11-15 16:58:26.932202,2025-11-15 16:58:27.405507,0 days 00:00:00.473305,3.901269330828369,0.007727695351527169,5,69,COMPLETE
13,0.8037189109095572,2025-11-15 16:58:27.406371,2025-11-15 16:58:27.831215,0 days 00:00:00.424844,3.646608482793505,0.10622954944040294,6,76,COMPLETE
14,0.8076101436478128,2025-11-15 16:58:27.832076,2025-11-15 16:58:28.337202,0 days 00:00:00.505126,4.8916460936011585,0.07537739797925122,2,186,COMPLETE
15,0.8045130860858588,2025-11-15 16:58:28.338367,2025-11-15 16:58:28.926799,0 days 00:00:00.588432,3.2883881994620467,0.25925145867958715,5,281,COMPLETE
16,0.8072788350915339,2025-11-15 16:58:28.927856,2025-11-15 16:58:29.701157,0 days 00:00:00.773301,4.471261539457601,0.012815335716713677,2,396,COMPLETE
17,0.8059438527954441,2025-11-15 16:58:29.702243,2025-11-15 16:58:30.725934,0 days 00:00:01.023691,3.285507314472785,0.004701599420871475,9,178,COMPLETE
18,0.8088929879395149,2025-11-15 16:58:30.726845,2025-11-15 16:58:31.455083,0 days 00:00:00.728238,4.359015102087663,0.02206537159785005,5,257,COMPLETE
19,0.8059711627425614,2025-11-15 16:58:31.455924,2025-11-15 16:58:32.081230,0 days 00:00:00.625306,3.442637928892677,0.05184505014270631,6,241,COMPLETE
20,0.8057162176652313,2025-11-15 16:58:32.082197,2025-11-15 16:58:32.545055,0 days 00:00:00.462858,4.526233738655201,0.16036027767074004,11,98,COMPLETE
21,0.8086163045239365,2025-11-15 16:58:32.546217,2025-11-15 16:58:33.359984,0 days 00:00:00.813767,4.360246607518112,0.025540719311405443,4,399,COMPLETE
22,0.8087560350976224,2025-11-15 16:58:33.360970,2025-11-15 16:58:34.136279,0 days 00:00:00.775309,3.870117968330672,0.025629214033392834,5,322,COMPLETE
23,0.8081218780670667,2025-11-15 16:58:34.137443,2025-11-15 16:58:34.992441,0 days 00:00:00.854998,3.7918351093150866,0.01869934806108507,5,313,COMPLETE
24,0.8032559746702803,2025-11-15 16:58:34.993486,2025-11-15 16:58:35.687746,0 days 00:00:00.694260,2.9542185359159836,0.04837151841110082,7,267,COMPLETE
25,0.8029962673652176,2025-11-15 16:58:35.688690,2025-11-15 16:58:36.287870,0 days 00:00:00.599180,2.1532526155594063,0.12848867835390593,6,252,COMPLETE
26,0.8077133032531332,2025-11-15 16:58:36.288765,2025-11-15 16:58:36.938604,0 days 00:00:00.649839,3.948610124790289,0.06230657310418784,3,325,COMPLETE
27,0.8096170515400278,2025-11-15 16:58:36.939581,2025-11-15 16:58:37.602318,0 days 00:00:00.662737,4.56635061772871,0.027312110585883596,5,209,COMPLETE
28,0.8053711133793167,2025-11-15 16:58:37.603459,2025-11-15 16:58:38.212808,0 days 00:00:00.609349,4.716111825661668,0.03592809935570669,7,165,COMPLETE
29,0.8058478481860603,2025-11-15 16:58:38.213936,2025-11-15 16:58:39.180478,0 days 00:00:00.966542,4.51352282171976,0.016225190662289453,12,202,COMPLETE
30,0.8075318958315313,2025-11-15 16:58:39.181857,2025-11-15 16:58:39.687686,0 days 00:00:00.505829,3.036321907136661,0.011027381505842551,8,50,COMPLETE
31,0.8098842073249524,2025-11-15 16:58:39.688749,2025-11-15 16:58:40.490947,0 days 00:00:00.802198,4.09723821854479,0.024080033752473612,5,361,COMPLETE
32,0.8088454777039269,2025-11-15 16:58:40.491916,2025-11-15 16:58:41.353162,0 days 00:00:00.861246,4.159041474267262,0.018824814947794716,5,353,COMPLETE
33,0.8092658776775794,2025-11-15 16:58:41.354242,2025-11-15 16:58:41.872265,0 days 00:00:00.518023,4.59943007289811,0.032253710115455,4,114,COMPLETE
34,0.8088341158442043,2025-11-15 16:58:41.873252,2025-11-15 16:58:42.364810,0 days 00:00:00.491558,4.734262493009822,0.034920631698067195,3,120,COMPLETE
35,0.8091969289493021,2025-11-15 16:58:42.365604,2025-11-15 16:58:42.842227,0 days 00:00:00.476623,3.68117943506754,0.06829281048054506,4,118,COMPLETE
36,0.7999606900939014,2025-11-15 16:58:42.843404,2025-11-15 16:58:43.526819,0 days 00:00:00.683415,1.3225019494676864,0.04091145109936966,6,147,COMPLETE
37,0.8076956202156097,2025-11-15 16:58:43.527677,2025-11-15 16:58:44.031822,0 days 00:00:00.504145,2.2494919697929032,0.02872172146819051,4,103,COMPLETE
38,0.8018811639118564,2025-11-15 16:58:44.032820,2025-11-15 16:58:44.459523,0 days 00:00:00.426703,4.104744561873398,0.01222723150989589,3,71,COMPLETE
39,0.8077681718547371,2025-11-15 16:58:44.460361,2025-11-15 16:58:44.890217,0 days 00:00:00.429856,3.502252895669461,0.08325758729125,2,93,COMPLETE
40,0.8084625177040774,2025-11-15 16:58:44.891172,2025-11-15 16:58:45.392023,0 days 00:00:00.500851,4.721595258674349,0.05561687082439612,4,129,COMPLETE
41,0.8061907028756139,2025-11-15 16:58:45.393040,2025-11-15 16:58:45.917698,0 days 00:00:00.524658,2.515727204548575,0.06962015166882765,4,157,COMPLETE
42,0.8060423697696436,2025-11-15 16:58:45.918477,2025-11-15 16:58:46.379128,0 days 00:00:00.460651,3.6553266284675936,0.14361665619031233,4,126,COMPLETE
43,0.809018340910425,2025-11-15 16:58:46.380134,2025-11-15 16:58:46.829682,0 days 00:00:00.449548,4.114250301823736,0.107637773138607,5,105,COMPLETE
44,0.8082012236998508,2025-11-15 16:58:46.830853,2025-11-15 16:58:47.284700,0 days 00:00:00.453847,3.2768453018659445,0.04368830465700325,6,52,COMPLETE
45,0.7632408637475041,2025-11-15 16:58:47.285594,2025-11-15 16:58:47.731296,0 days 00:00:00.445702,1.7876458936760717,0.001686672474155956,3,84,COMPLETE
