number,value,datetime_start,datetime_complete,duration,params_C,params_penalty,state
0,0.8039321655012264,2025-11-15 15:55:15.466925,2025-11-15 15:55:49.565555,0 days 00:00:34.098630,3.203430277457991,l2,COMPLETE
1,0.804152703664686,2025-11-15 15:55:49.567161,2025-11-15 15:56:38.493854,0 days 00:00:48.926693,0.14138073711070656,l1,COMPLETE
2,0.8040577586809678,2025-11-15 15:56:38.495364,2025-11-15 15:57:23.174231,0 days 00:00:44.678867,7.65503165689389,l1,COMPLETE
3,0.7954142533791833,2025-11-15 15:57:23.175524,2025-11-15 15:57:30.494051,0 days 00:00:07.318527,0.0019168861539635826,l2,COMPLETE
4,0.8031096344239298,2025-11-15 15:57:30.495357,2025-11-15 15:57:59.011588,0 days 00:00:28.516231,1.7295219197797516,l2,COMPLETE
5,0.7978365493619296,2025-11-15 15:57:59.013020,2025-11-15 15:58:13.234484,0 days 00:00:14.221464,0.1428805405699933,l2,COMPLETE
6,0.8040244595001959,2025-11-15 15:58:13.235748,2025-11-15 15:59:39.597338,0 days 00:01:26.361590,5.649929445115033,l1,COMPLETE
7,0.7910195281557055,2025-11-15 15:59:39.598782,2025-11-15 15:59:45.184682,0 days 00:00:05.585900,0.001515800637001579,l1,COMPLETE
8,0.8040378106912449,2025-11-15 15:59:45.186095,2025-11-15 16:00:27.904770,0 days 00:00:42.718675,9.328396589105388,l1,COMPLETE
9,0.8028580627117637,2025-11-15 16:00:27.905943,2025-11-15 16:00:55.893091,0 days 00:00:27.987148,1.3939687134583878,l2,COMPLETE
10,0.8027605227497332,2025-11-15 16:00:55.894769,2025-11-15 16:01:17.269082,0 days 00:00:21.374313,0.041152987666928625,l1,COMPLETE
11,0.8041030038985572,2025-11-15 16:01:17.270466,2025-11-15 16:01:27.261812,0 days 00:00:09.991346,86.92373267113412,l1,COMPLETE
