number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_samples_split,params_n_estimators,state
0,0.8593849714927299,2025-11-27 23:29:01.823343,2025-11-27 23:29:44.028603,0 days 00:00:42.205260,19,8,75,COMPLETE
1,0.8452026495457625,2025-11-27 23:29:44.029437,2025-11-27 23:29:54.131593,0 days 00:00:10.102156,11,4,27,COMPLETE
2,0.8629723389445149,2025-11-27 23:29:54.132298,2025-11-27 23:31:04.126309,0 days 00:01:09.994011,28,3,98,COMPLETE
3,0.8233359044919407,2025-11-27 23:31:04.127017,2025-11-27 23:31:14.342188,0 days 00:00:10.215171,5,11,60,COMPLETE
4,0.861950001663377,2025-11-27 23:31:14.342903,2025-11-27 23:31:53.534989,0 days 00:00:39.192086,29,14,59,COMPLETE
5,0.8601991164061815,2025-11-27 23:31:53.535849,2025-11-27 23:32:14.114809,0 days 00:00:20.578960,30,16,30,COMPLETE
6,0.8113917352263325,2025-11-27 23:32:14.115436,2025-11-27 23:32:24.201893,0 days 00:00:10.086457,4,4,72,COMPLETE
7,0.8601157587315622,2025-11-27 23:32:24.202818,2025-11-27 23:32:50.955053,0 days 00:00:26.752235,23,3,40,COMPLETE
8,0.7901776109760773,2025-11-27 23:32:50.955845,2025-11-27 23:32:57.543495,0 days 00:00:06.587650,3,7,56,COMPLETE
9,0.85449538079069,2025-11-27 23:32:57.544186,2025-11-27 23:33:07.012328,0 days 00:00:09.468142,20,3,14,COMPLETE
10,0.8512938801869957,2025-11-27 23:33:07.013069,2025-11-27 23:33:46.082478,0 days 00:00:39.069409,13,11,99,COMPLETE
11,0.862941081422427,2025-11-27 23:33:46.083100,2025-11-27 23:34:46.208371,0 days 00:01:00.125271,30,17,93,COMPLETE
12,0.8624973026765371,2025-11-27 23:34:46.209231,2025-11-27 23:35:46.623059,0 days 00:01:00.413828,25,20,99,COMPLETE
13,0.861898436424967,2025-11-27 23:35:46.623863,2025-11-27 23:36:39.289757,0 days 00:00:52.665894,26,19,85,COMPLETE
14,0.8631169131667432,2025-11-27 23:36:39.290683,2025-11-27 23:37:34.005541,0 days 00:00:54.714858,30,15,84,COMPLETE
15,0.8609317291797687,2025-11-27 23:37:34.006238,2025-11-27 23:38:21.370653,0 days 00:00:47.364415,22,14,80,COMPLETE
