number,value,datetime_start,datetime_complete,duration,params_gamma,params_learning_rate,params_max_depth,params_n_estimators,state
0,0.8672953182354137,2025-11-27 23:23:54.191369,2025-11-27 23:23:57.445779,0 days 00:00:03.254410,4.477390443346001,0.1457315078019667,12,261,COMPLETE
1,0.8555508323247591,2025-11-27 23:23:57.446646,2025-11-27 23:23:59.816018,0 days 00:00:02.369372,1.5164832971602231,0.18106664877575807,3,122,COMPLETE
2,0.8341109088916643,2025-11-27 23:23:59.816902,2025-11-27 23:24:04.377487,0 days 00:00:04.560585,2.2252564361376077,0.004390295332439003,6,275,COMPLETE
3,0.8027535652489053,2025-11-27 23:24:04.378316,2025-11-27 23:24:07.320685,0 days 00:00:02.942369,4.937225857333147,0.003354098463084289,6,117,COMPLETE
4,0.8149356613514446,2025-11-27 23:24:07.321589,2025-11-27 23:24:10.181223,0 days 00:00:02.859634,1.095942386165762,0.005990610098003097,9,60,COMPLETE
5,0.8198899948910718,2025-11-27 23:24:10.182093,2025-11-27 23:24:14.766062,0 days 00:00:04.583969,1.9619718272274138,0.002365452769475533,5,361,COMPLETE
6,0.8251542072674013,2025-11-27 23:24:14.766996,2025-11-27 23:24:16.997194,0 days 00:00:02.230198,4.328652135029435,0.014094336912052833,5,65,COMPLETE
7,0.8549135083411334,2025-11-27 23:24:16.997976,2025-11-27 23:24:21.803430,0 days 00:00:04.805454,0.5721690549550379,0.015675295288733054,7,271,COMPLETE
8,0.7657588517143391,2025-11-27 23:24:21.804441,2025-11-27 23:24:25.515585,0 days 00:00:03.711144,3.5690181280027957,0.0014522890613437411,12,59,COMPLETE
9,0.8249081133266669,2025-11-27 23:24:25.516820,2025-11-27 23:24:32.306422,0 days 00:00:06.789602,0.06973106660648876,0.0016930561788946437,9,255,COMPLETE
10,0.8666477874709289,2025-11-27 23:24:32.307320,2025-11-27 23:24:35.699240,0 days 00:00:03.391920,3.5837152785146706,0.20103718144934699,11,369,COMPLETE
11,0.8658425660561642,2025-11-27 23:24:35.700209,2025-11-27 23:24:39.327721,0 days 00:00:03.627512,3.341927496290483,0.22359607078082136,12,378,COMPLETE
12,0.868350068088467,2025-11-27 23:24:39.328613,2025-11-27 23:24:43.747357,0 days 00:00:04.418744,3.2766706704245654,0.07410409701318739,10,330,COMPLETE
13,0.8681099256055589,2025-11-27 23:24:43.748459,2025-11-27 23:24:49.499507,0 days 00:00:05.751048,2.916585945843792,0.047894586632629306,10,308,COMPLETE
