number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_samples_split,params_n_estimators,state
0,0.8767840890576535,2025-11-15 17:52:38.602017,2025-11-15 17:52:40.333827,0 days 00:00:01.731810,22,8,29,COMPLETE
1,0.877492799913233,2025-11-15 17:52:40.334643,2025-11-15 17:52:42.936397,0 days 00:00:02.601754,13,5,62,COMPLETE
2,0.8766728847379065,2025-11-15 17:52:42.937294,2025-11-15 17:52:44.960089,0 days 00:00:02.022795,29,18,35,COMPLETE
3,0.8756154341111312,2025-11-15 17:52:44.960753,2025-11-15 17:52:46.818344,0 days 00:00:01.857591,11,6,44,COMPLETE
4,0.8337703081447956,2025-11-15 17:52:46.819213,2025-11-15 17:52:48.057033,0 days 00:00:01.237820,3,3,69,COMPLETE
5,0.8387191740566372,2025-11-15 17:52:48.057756,2025-11-15 17:52:49.666799,0 days 00:00:01.609043,4,16,80,COMPLETE
6,0.8472739648530023,2025-11-15 17:52:49.667548,2025-11-15 17:52:51.233180,0 days 00:00:01.565632,5,15,58,COMPLETE
7,0.8764732896238365,2025-11-15 17:52:51.233992,2025-11-15 17:52:53.793602,0 days 00:00:02.559610,22,17,45,COMPLETE
8,0.8783185381135045,2025-11-15 17:52:53.794342,2025-11-15 17:52:58.672470,0 days 00:00:04.878128,27,13,92,COMPLETE
9,0.8395713471317064,2025-11-15 17:52:58.673532,2025-11-15 17:52:59.532638,0 days 00:00:00.859106,4,8,23,COMPLETE
10,0.8795773561614822,2025-11-15 17:52:59.533753,2025-11-15 17:53:05.126336,0 days 00:00:05.592583,30,11,100,COMPLETE
11,0.8791120769466458,2025-11-15 17:53:05.127277,2025-11-15 17:53:10.008497,0 days 00:00:04.881220,30,13,100,COMPLETE
12,0.8779334318329262,2025-11-15 17:53:10.009179,2025-11-15 17:53:14.627601,0 days 00:00:04.618422,25,11,97,COMPLETE
13,0.8782227441398606,2025-11-15 17:53:14.628397,2025-11-15 17:53:18.640124,0 days 00:00:04.011727,19,11,83,COMPLETE
14,0.8744368015110693,2025-11-15 17:53:18.640791,2025-11-15 17:53:19.706638,0 days 00:00:01.065847,30,13,12,COMPLETE
15,0.8791381672196616,2025-11-15 17:53:19.707257,2025-11-15 17:53:24.679013,0 days 00:00:04.971756,23,20,99,COMPLETE
16,0.8801203654284431,2025-11-15 17:53:24.679656,2025-11-15 17:53:28.857354,0 days 00:00:04.177698,24,20,81,COMPLETE
17,0.8798565120675313,2025-11-15 17:53:28.858308,2025-11-15 17:53:32.742548,0 days 00:00:03.884240,19,20,77,COMPLETE
18,0.8786477930376719,2025-11-15 17:53:32.743162,2025-11-15 17:53:36.368151,0 days 00:00:03.624989,17,20,75,COMPLETE
19,0.8768827518159494,2025-11-15 17:53:36.369319,2025-11-15 17:53:40.065597,0 days 00:00:03.696278,13,18,86,COMPLETE
20,0.8796129715354748,2025-11-15 17:53:40.066213,2025-11-15 17:53:43.401475,0 days 00:00:03.335262,19,20,69,COMPLETE
21,0.8789536312946284,2025-11-15 17:53:43.402145,2025-11-15 17:53:46.530510,0 days 00:00:03.128365,19,20,69,COMPLETE
22,0.8791126919331169,2025-11-15 17:53:46.532315,2025-11-15 17:53:49.847424,0 days 00:00:03.315109,19,18,71,COMPLETE
23,0.877346819097648,2025-11-15 17:53:49.848064,2025-11-15 17:53:52.516073,0 days 00:00:02.668009,15,15,62,COMPLETE
24,0.869691043456076,2025-11-15 17:53:52.516739,2025-11-15 17:53:54.196478,0 days 00:00:01.679739,9,19,51,COMPLETE
25,0.8803417800125188,2025-11-15 17:53:54.197145,2025-11-15 17:53:58.238084,0 days 00:00:04.040939,25,16,88,COMPLETE
26,0.8794507013988655,2025-11-15 17:53:58.238981,2025-11-15 17:54:02.330770,0 days 00:00:04.091789,25,16,89,COMPLETE
27,0.880311537599978,2025-11-15 17:54:02.331448,2025-11-15 17:54:05.986703,0 days 00:00:03.655255,25,17,77,COMPLETE
28,0.8798158832531401,2025-11-15 17:54:05.987363,2025-11-15 17:54:10.336862,0 days 00:00:04.349499,26,14,90,COMPLETE
29,0.8780681999738619,2025-11-15 17:54:10.337534,2025-11-15 17:54:13.995172,0 days 00:00:03.657638,23,17,78,COMPLETE
30,0.8796973898184623,2025-11-15 17:54:13.995808,2025-11-15 17:54:18.104662,0 days 00:00:04.108854,28,9,84,COMPLETE
31,0.8800711130429718,2025-11-15 17:54:18.105283,2025-11-15 17:54:21.517652,0 days 00:00:03.412369,22,19,75,COMPLETE
32,0.8782072189760836,2025-11-15 17:54:21.518429,2025-11-15 17:54:24.569821,0 days 00:00:03.051392,24,17,63,COMPLETE
33,0.8800947526569246,2025-11-15 17:54:24.570449,2025-11-15 17:54:28.739396,0 days 00:00:04.168947,21,18,93,COMPLETE
34,0.8799504262569622,2025-11-15 17:54:28.740028,2025-11-15 17:54:33.010616,0 days 00:00:04.270588,21,16,92,COMPLETE
35,0.8797990285782251,2025-11-15 17:54:33.011277,2025-11-15 17:54:37.309289,0 days 00:00:04.298012,27,18,95,COMPLETE
36,0.8780556297805099,2025-11-15 17:54:37.310266,2025-11-15 17:54:41.616926,0 days 00:00:04.306660,21,2,86,COMPLETE
37,0.8788882479954975,2025-11-15 17:54:41.617931,2025-11-15 17:54:45.420099,0 days 00:00:03.802168,25,15,82,COMPLETE
38,0.8788855841036775,2025-11-15 17:54:45.421076,2025-11-15 17:54:49.430723,0 days 00:00:04.009647,28,19,89,COMPLETE
39,0.8785534627357501,2025-11-15 17:54:49.431347,2025-11-15 17:54:52.231780,0 days 00:00:02.800433,17,17,64,COMPLETE
40,0.8776146584005774,2025-11-15 17:54:52.232403,2025-11-15 17:54:54.219389,0 days 00:00:01.986986,21,14,34,COMPLETE
41,0.879629550764905,2025-11-15 17:54:54.220167,2025-11-15 17:54:57.790932,0 days 00:00:03.570765,23,19,74,COMPLETE
42,0.877495027417082,2025-11-15 17:54:57.791592,2025-11-15 17:55:01.709015,0 days 00:00:03.917423,26,18,80,COMPLETE
43,0.8793017357379533,2025-11-15 17:55:01.710627,2025-11-15 17:55:06.119888,0 days 00:00:04.409261,22,19,93,COMPLETE
44,0.8795559343873081,2025-11-15 17:55:06.120672,2025-11-15 17:55:09.628385,0 days 00:00:03.507713,24,16,72,COMPLETE
45,0.879207658509259,2025-11-15 17:55:09.629027,2025-11-15 17:55:13.618351,0 days 00:00:03.989324,28,17,87,COMPLETE
46,0.8785491425021597,2025-11-15 17:55:13.619083,2025-11-15 17:55:16.365715,0 days 00:00:02.746632,21,19,55,COMPLETE
47,0.8791686646786738,2025-11-15 17:55:16.366351,2025-11-15 17:55:20.722356,0 days 00:00:04.356005,26,6,80,COMPLETE
48,0.8807636873029544,2025-11-15 17:55:20.723042,2025-11-15 17:55:25.372990,0 days 00:00:04.649948,23,18,95,COMPLETE
49,0.8782124755152644,2025-11-15 17:55:25.373691,2025-11-15 17:55:30.258638,0 days 00:00:04.884947,24,15,95,COMPLETE
