number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_samples_split,params_n_estimators,state
0,0.9224610264798194,2025-11-15 17:34:43.414926,2025-11-15 17:34:43.980795,0 days 00:00:00.565869,30,10,20,COMPLETE
1,0.922007474277035,2025-11-15 17:34:43.981826,2025-11-15 17:34:44.722508,0 days 00:00:00.740682,25,11,31,COMPLETE
2,0.9197843807532038,2025-11-15 17:34:44.723129,2025-11-15 17:34:45.751104,0 days 00:00:01.027975,10,19,65,COMPLETE
3,0.9187642508928437,2025-11-15 17:34:45.751775,2025-11-15 17:34:46.166177,0 days 00:00:00.414402,7,5,18,COMPLETE
4,0.9015552790240721,2025-11-15 17:34:46.166734,2025-11-15 17:34:46.458296,0 days 00:00:00.291562,2,6,14,COMPLETE
5,0.9256396503720863,2025-11-15 17:34:46.458895,2025-11-15 17:34:48.234893,0 days 00:00:01.775998,15,4,96,COMPLETE
6,0.9197543395427779,2025-11-15 17:34:48.235839,2025-11-15 17:34:48.731040,0 days 00:00:00.495201,28,4,16,COMPLETE
7,0.9235159294114693,2025-11-15 17:34:48.731658,2025-11-15 17:34:50.246128,0 days 00:00:01.514470,14,14,89,COMPLETE
8,0.9195155704765543,2025-11-15 17:34:50.247081,2025-11-15 17:34:51.062983,0 days 00:00:00.815902,8,15,55,COMPLETE
9,0.9217430197757285,2025-11-15 17:34:51.063627,2025-11-15 17:34:51.836185,0 days 00:00:00.772558,11,14,42,COMPLETE
10,0.9250820270490333,2025-11-15 17:34:51.836820,2025-11-15 17:34:53.796108,0 days 00:00:01.959288,21,2,99,COMPLETE
11,0.9236434192524184,2025-11-15 17:34:53.796783,2025-11-15 17:34:55.691139,0 days 00:00:01.894356,20,2,97,COMPLETE
12,0.9245495680679516,2025-11-15 17:34:55.691775,2025-11-15 17:34:57.186873,0 days 00:00:01.495098,20,8,77,COMPLETE
13,0.9237161143546473,2025-11-15 17:34:57.187482,2025-11-15 17:34:59.110527,0 days 00:00:01.923045,19,3,100,COMPLETE
14,0.9235674823133101,2025-11-15 17:34:59.111206,2025-11-15 17:35:00.639441,0 days 00:00:01.528235,16,7,82,COMPLETE
15,0.9260691001588384,2025-11-15 17:35:00.640196,2025-11-15 17:35:02.039003,0 days 00:00:01.398807,23,2,67,COMPLETE
16,0.9253403803669447,2025-11-15 17:35:02.039699,2025-11-15 17:35:03.324917,0 days 00:00:01.285218,25,9,65,COMPLETE
17,0.923946564914295,2025-11-15 17:35:03.325522,2025-11-15 17:35:04.636913,0 days 00:00:01.311391,14,5,71,COMPLETE
18,0.9237175927842018,2025-11-15 17:35:04.638268,2025-11-15 17:35:05.600686,0 days 00:00:00.962418,24,20,48,COMPLETE
19,0.9247663318884646,2025-11-15 17:35:05.601319,2025-11-15 17:35:07.225289,0 days 00:00:01.623970,16,4,86,COMPLETE
20,0.9230793319600661,2025-11-15 17:35:07.225951,2025-11-15 17:35:08.416360,0 days 00:00:01.190409,23,11,60,COMPLETE
21,0.9243373704067277,2025-11-15 17:35:08.417132,2025-11-15 17:35:09.819066,0 days 00:00:01.401934,27,8,71,COMPLETE
22,0.9232348509223796,2025-11-15 17:35:09.819700,2025-11-15 17:35:10.789783,0 days 00:00:00.970083,17,9,47,COMPLETE
23,0.9239105145014452,2025-11-15 17:35:10.790430,2025-11-15 17:35:12.092117,0 days 00:00:01.301687,22,6,65,COMPLETE
24,0.9233422210952569,2025-11-15 17:35:12.092729,2025-11-15 17:35:13.637845,0 days 00:00:01.545116,25,3,77,COMPLETE
25,0.922142920502645,2025-11-15 17:35:13.638538,2025-11-15 17:35:14.420536,0 days 00:00:00.781998,27,12,35,COMPLETE
