number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_samples_split,params_n_estimators,state
0,0.7888094032376513,2025-11-15 17:25:27.676142,2025-11-15 17:25:27.869888,0 days 00:00:00.193746,7,9,10,COMPLETE
1,0.7872048519111894,2025-11-15 17:25:27.870484,2025-11-15 17:25:28.135796,0 days 00:00:00.265312,5,6,32,COMPLETE
2,0.791866720733943,2025-11-15 17:25:28.136384,2025-11-15 17:25:28.576549,0 days 00:00:00.440165,13,18,51,COMPLETE
3,0.7769625693055666,2025-11-15 17:25:28.577554,2025-11-15 17:25:29.017603,0 days 00:00:00.440049,18,20,48,COMPLETE
4,0.7816718859025318,2025-11-15 17:25:29.018222,2025-11-15 17:25:29.432806,0 days 00:00:00.414584,26,17,43,COMPLETE
5,0.7796710907836609,2025-11-15 17:25:29.433373,2025-11-15 17:25:29.701004,0 days 00:00:00.267631,23,20,21,COMPLETE
6,0.785346338132858,2025-11-15 17:25:29.701861,2025-11-15 17:25:30.067465,0 days 00:00:00.365604,29,19,34,COMPLETE
7,0.7839493842254109,2025-11-15 17:25:30.068185,2025-11-15 17:25:30.393135,0 days 00:00:00.324950,16,4,26,COMPLETE
8,0.7889807404225191,2025-11-15 17:25:30.393907,2025-11-15 17:25:30.936039,0 days 00:00:00.542132,28,11,62,COMPLETE
9,0.7888441432877494,2025-11-15 17:25:30.936633,2025-11-15 17:25:31.329714,0 days 00:00:00.393081,16,14,40,COMPLETE
10,0.7884351985111724,2025-11-15 17:25:31.330281,2025-11-15 17:25:31.958581,0 days 00:00:00.628300,11,15,87,COMPLETE
11,0.7860790102791653,2025-11-15 17:25:31.959366,2025-11-15 17:25:32.482667,0 days 00:00:00.523301,11,12,67,COMPLETE
12,0.7884084811847595,2025-11-15 17:25:32.483249,2025-11-15 17:25:33.058227,0 days 00:00:00.574978,21,10,66,COMPLETE
13,0.7829370612982983,2025-11-15 17:25:33.059019,2025-11-15 17:25:33.619697,0 days 00:00:00.560678,30,7,62,COMPLETE
14,0.7937730881052426,2025-11-15 17:25:33.620237,2025-11-15 17:25:34.218452,0 days 00:00:00.598215,11,13,82,COMPLETE
15,0.7939361203194001,2025-11-15 17:25:34.219139,2025-11-15 17:25:34.873301,0 days 00:00:00.654162,10,16,96,COMPLETE
16,0.7727025944879031,2025-11-15 17:25:34.873933,2025-11-15 17:25:35.324377,0 days 00:00:00.450444,2,15,99,COMPLETE
17,0.7935396796522056,2025-11-15 17:25:35.325002,2025-11-15 17:25:35.870128,0 days 00:00:00.545126,8,13,81,COMPLETE
18,0.7753159989879224,2025-11-15 17:25:35.870714,2025-11-15 17:25:36.320167,0 days 00:00:00.449453,2,16,100,COMPLETE
19,0.7860367733872057,2025-11-15 17:25:36.320880,2025-11-15 17:25:36.960588,0 days 00:00:00.639708,13,8,80,COMPLETE
20,0.7879538309321162,2025-11-15 17:25:36.961365,2025-11-15 17:25:37.572717,0 days 00:00:00.611352,9,13,90,COMPLETE
21,0.7882962951565675,2025-11-15 17:25:37.573273,2025-11-15 17:25:38.047969,0 days 00:00:00.474696,6,13,76,COMPLETE
22,0.7850474815284735,2025-11-15 17:25:38.048574,2025-11-15 17:25:38.646428,0 days 00:00:00.597854,9,11,89,COMPLETE
23,0.7853705529241445,2025-11-15 17:25:38.646986,2025-11-15 17:25:39.222919,0 days 00:00:00.575933,13,17,76,COMPLETE
24,0.7893823585674703,2025-11-15 17:25:39.223573,2025-11-15 17:25:39.776621,0 days 00:00:00.553048,8,2,83,COMPLETE
25,0.7832177113884274,2025-11-15 17:25:39.777260,2025-11-15 17:25:40.288372,0 days 00:00:00.511112,5,14,95,COMPLETE
26,0.7927680532610647,2025-11-15 17:25:40.289392,2025-11-15 17:25:40.824518,0 days 00:00:00.535126,10,12,73,COMPLETE
27,0.7891732169618421,2025-11-15 17:25:40.825152,2025-11-15 17:25:41.506249,0 days 00:00:00.681097,15,16,92,COMPLETE
28,0.7890545119135436,2025-11-15 17:25:41.506952,2025-11-15 17:25:41.950785,0 days 00:00:00.443833,4,14,82,COMPLETE
29,0.790181770399542,2025-11-15 17:25:41.951396,2025-11-15 17:25:42.416815,0 days 00:00:00.465419,7,10,71,COMPLETE
30,0.7909427063174117,2025-11-15 17:25:42.417404,2025-11-15 17:25:42.926412,0 days 00:00:00.509008,19,9,57,COMPLETE
31,0.7905912876413421,2025-11-15 17:25:42.927044,2025-11-15 17:25:43.471104,0 days 00:00:00.544060,11,12,72,COMPLETE
32,0.7854298199018559,2025-11-15 17:25:43.471653,2025-11-15 17:25:44.058805,0 days 00:00:00.587152,10,12,84,COMPLETE
33,0.7850354470622722,2025-11-15 17:25:44.059433,2025-11-15 17:25:44.559730,0 days 00:00:00.500297,7,13,78,COMPLETE
34,0.7908414391130542,2025-11-15 17:25:44.560299,2025-11-15 17:25:45.229935,0 days 00:00:00.669636,13,18,94,COMPLETE
35,0.7842171476822737,2025-11-15 17:25:45.230520,2025-11-15 17:25:45.693568,0 days 00:00:00.463048,4,15,86,COMPLETE
36,0.7926192374069632,2025-11-15 17:25:45.694175,2025-11-15 17:25:46.278122,0 days 00:00:00.583947,14,10,72,COMPLETE
37,0.7900706796577243,2025-11-15 17:25:46.278722,2025-11-15 17:25:46.692133,0 days 00:00:00.413411,9,17,53,COMPLETE
38,0.793601271720871,2025-11-15 17:25:46.692961,2025-11-15 17:25:47.387374,0 days 00:00:00.694413,12,16,97,COMPLETE
39,0.7833145579294232,2025-11-15 17:25:47.388178,2025-11-15 17:25:47.612333,0 days 00:00:00.224155,17,16,14,COMPLETE
40,0.7878512222218271,2025-11-15 17:25:47.612897,2025-11-15 17:25:48.286124,0 days 00:00:00.673227,12,18,96,COMPLETE
41,0.7931839483744801,2025-11-15 17:25:48.286752,2025-11-15 17:25:48.910856,0 days 00:00:00.624104,10,19,90,COMPLETE
42,0.7881592442472395,2025-11-15 17:25:48.911466,2025-11-15 17:25:49.532046,0 days 00:00:00.620580,8,20,100,COMPLETE
43,0.7887718039276925,2025-11-15 17:25:49.532654,2025-11-15 17:25:50.200927,0 days 00:00:00.668273,15,19,91,COMPLETE
44,0.7861998702224158,2025-11-15 17:25:50.201546,2025-11-15 17:25:50.877077,0 days 00:00:00.675531,12,19,96,COMPLETE
45,0.7928172350355484,2025-11-15 17:25:50.877812,2025-11-15 17:25:51.382677,0 days 00:00:00.504865,6,15,86,COMPLETE
46,0.7909255160088676,2025-11-15 17:25:51.383220,2025-11-15 17:25:52.016581,0 days 00:00:00.633361,11,17,89,COMPLETE
