number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_samples_split,params_n_estimators,state
0,0.8536621815227564,2025-11-15 17:55:30.267517,2025-11-15 17:55:32.393959,0 days 00:00:02.126442,22,12,78,COMPLETE
1,0.8531823363607766,2025-11-15 17:55:32.394660,2025-11-15 17:55:34.847547,0 days 00:00:02.452887,16,17,93,COMPLETE
2,0.8510397072817234,2025-11-15 17:55:34.848191,2025-11-15 17:55:37.628090,0 days 00:00:02.779899,23,6,98,COMPLETE
3,0.8536757860324107,2025-11-15 17:55:37.628915,2025-11-15 17:55:39.760297,0 days 00:00:02.131382,23,17,82,COMPLETE
4,0.8383939717803136,2025-11-15 17:55:39.761110,2025-11-15 17:55:40.183908,0 days 00:00:00.422798,8,9,10,COMPLETE
5,0.8518907280901795,2025-11-15 17:55:40.184456,2025-11-15 17:55:42.246322,0 days 00:00:02.061866,11,17,97,COMPLETE
6,0.853694518451352,2025-11-15 17:55:42.246956,2025-11-15 17:55:44.452305,0 days 00:00:02.205349,24,20,82,COMPLETE
7,0.8444102723932495,2025-11-15 17:55:44.453034,2025-11-15 17:55:45.286970,0 days 00:00:00.833936,29,12,24,COMPLETE
8,0.8525338398090148,2025-11-15 17:55:45.287811,2025-11-15 17:55:47.322996,0 days 00:00:02.035185,15,15,81,COMPLETE
9,0.8430751017806685,2025-11-15 17:55:47.323856,2025-11-15 17:55:47.938382,0 days 00:00:00.614526,25,13,14,COMPLETE
10,0.8561550701532681,2025-11-15 17:55:47.939876,2025-11-15 17:55:49.327398,0 days 00:00:01.387522,30,20,50,COMPLETE
11,0.8516465765198147,2025-11-15 17:55:49.328066,2025-11-15 17:55:50.805089,0 days 00:00:01.477023,30,20,51,COMPLETE
12,0.8535527708283752,2025-11-15 17:55:50.806009,2025-11-15 17:55:52.297077,0 days 00:00:01.491068,27,20,52,COMPLETE
13,0.850465275713146,2025-11-15 17:55:52.297763,2025-11-15 17:55:53.433250,0 days 00:00:01.135487,19,4,35,COMPLETE
14,0.8341984282342116,2025-11-15 17:55:53.433869,2025-11-15 17:55:54.339034,0 days 00:00:00.905165,4,20,65,COMPLETE
15,0.8537696912177746,2025-11-15 17:55:54.339793,2025-11-15 17:55:56.291702,0 days 00:00:01.951909,30,9,63,COMPLETE
16,0.853575709396765,2025-11-15 17:55:56.293355,2025-11-15 17:55:57.459236,0 days 00:00:01.165881,30,9,38,COMPLETE
17,0.8546564467466894,2025-11-15 17:55:57.459880,2025-11-15 17:55:59.396631,0 days 00:00:01.936751,27,9,67,COMPLETE
18,0.8517406809911048,2025-11-15 17:55:59.397596,2025-11-15 17:56:00.753656,0 days 00:00:01.356060,18,6,43,COMPLETE
19,0.8496866883040294,2025-11-15 17:56:00.754309,2025-11-15 17:56:02.826818,0 days 00:00:02.072509,27,3,68,COMPLETE
20,0.8509956577391232,2025-11-15 17:56:02.827579,2025-11-15 17:56:04.555671,0 days 00:00:01.728092,20,7,60,COMPLETE
21,0.8503408796518872,2025-11-15 17:56:04.556445,2025-11-15 17:56:06.414470,0 days 00:00:01.858025,27,9,68,COMPLETE
22,0.8497760113053907,2025-11-15 17:56:06.415244,2025-11-15 17:56:07.745979,0 days 00:00:01.330735,27,14,48,COMPLETE
23,0.8521921704695915,2025-11-15 17:56:07.746587,2025-11-15 17:56:09.465778,0 days 00:00:01.719191,30,10,60,COMPLETE
24,0.8518826163674784,2025-11-15 17:56:09.466615,2025-11-15 17:56:11.558598,0 days 00:00:02.091983,26,7,73,COMPLETE
25,0.8551637335695844,2025-11-15 17:56:11.559354,2025-11-15 17:56:13.064752,0 days 00:00:01.505398,13,11,59,COMPLETE
26,0.8494707406489489,2025-11-15 17:56:13.065756,2025-11-15 17:56:14.022025,0 days 00:00:00.956269,13,11,29,COMPLETE
27,0.8498060453325031,2025-11-15 17:56:14.022820,2025-11-15 17:56:15.210609,0 days 00:00:01.187789,9,15,57,COMPLETE
28,0.8336695721934853,2025-11-15 17:56:15.211270,2025-11-15 17:56:15.919404,0 days 00:00:00.708134,4,11,45,COMPLETE
29,0.8533520144945266,2025-11-15 17:56:15.920126,2025-11-15 17:56:17.966061,0 days 00:00:02.045935,20,13,72,COMPLETE
30,0.8445901108683401,2025-11-15 17:56:17.966938,2025-11-15 17:56:19.527316,0 days 00:00:01.560378,7,7,89,COMPLETE
31,0.8540879629520777,2025-11-15 17:56:19.528097,2025-11-15 17:56:21.103193,0 days 00:00:01.575096,13,10,60,COMPLETE
32,0.8514260555511421,2025-11-15 17:56:21.104007,2025-11-15 17:56:22.445011,0 days 00:00:01.341004,12,11,53,COMPLETE
33,0.8536373498340396,2025-11-15 17:56:22.445757,2025-11-15 17:56:24.367627,0 days 00:00:01.921870,15,8,76,COMPLETE
34,0.8536952133160787,2025-11-15 17:56:24.368411,2025-11-15 17:56:25.934938,0 days 00:00:01.566527,17,5,58,COMPLETE
35,0.8494360090684229,2025-11-15 17:56:25.935570,2025-11-15 17:56:26.873132,0 days 00:00:00.937562,10,12,41,COMPLETE
36,0.8512614338149828,2025-11-15 17:56:26.874119,2025-11-15 17:56:29.214643,0 days 00:00:02.340524,22,10,89,COMPLETE
37,0.8520261041238539,2025-11-15 17:56:29.215518,2025-11-15 17:56:30.587827,0 days 00:00:01.372309,14,18,48,COMPLETE
38,0.8416865114865875,2025-11-15 17:56:30.588446,2025-11-15 17:56:31.746712,0 days 00:00:01.158266,6,16,65,COMPLETE
39,0.8546148305087133,2025-11-15 17:56:31.747381,2025-11-15 17:56:33.390189,0 days 00:00:01.642808,22,13,55,COMPLETE
40,0.8518357119571501,2025-11-15 17:56:33.390868,2025-11-15 17:56:34.413604,0 days 00:00:01.022736,24,13,30,COMPLETE
41,0.852583229108577,2025-11-15 17:56:34.414514,2025-11-15 17:56:36.124671,0 days 00:00:01.710157,22,10,56,COMPLETE
42,0.8530767340657597,2025-11-15 17:56:36.125299,2025-11-15 17:56:37.712151,0 days 00:00:01.586852,11,8,70,COMPLETE
43,0.8522000290599923,2025-11-15 17:56:37.712822,2025-11-15 17:56:39.457382,0 days 00:00:01.744560,28,12,62,COMPLETE
44,0.8496044806570104,2025-11-15 17:56:39.458126,2025-11-15 17:56:40.913132,0 days 00:00:01.455006,24,14,49,COMPLETE
45,0.8560822147851803,2025-11-15 17:56:40.913945,2025-11-15 17:56:42.912570,0 days 00:00:01.998625,17,18,77,COMPLETE
46,0.8535477145322925,2025-11-15 17:56:42.913203,2025-11-15 17:56:45.126500,0 days 00:00:02.213297,21,19,82,COMPLETE
47,0.8541790036629987,2025-11-15 17:56:45.127170,2025-11-15 17:56:47.152170,0 days 00:00:02.025000,16,18,76,COMPLETE
48,0.8545121885332451,2025-11-15 17:56:47.152927,2025-11-15 17:56:49.296842,0 days 00:00:02.143915,25,18,85,COMPLETE
49,0.854946611540562,2025-11-15 17:56:49.297473,2025-11-15 17:56:51.672803,0 days 00:00:02.375330,18,16,100,COMPLETE
