number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_samples_split,params_n_estimators,state
0,0.7498355714990542,2025-11-15 17:44:26.341676,2025-11-15 17:44:28.178030,0 days 00:00:01.836354,11,10,55,COMPLETE
1,0.7471873379621142,2025-11-15 17:44:28.178788,2025-11-15 17:44:30.455609,0 days 00:00:02.276821,10,18,81,COMPLETE
2,0.7537110698524676,2025-11-15 17:44:30.456248,2025-11-15 17:44:32.295264,0 days 00:00:01.839016,14,9,47,COMPLETE
3,0.7509636677161489,2025-11-15 17:44:32.295971,2025-11-15 17:44:33.768596,0 days 00:00:01.472625,13,18,38,COMPLETE
4,0.7506373372157851,2025-11-15 17:44:33.769207,2025-11-15 17:44:34.767329,0 days 00:00:00.998122,24,12,16,COMPLETE
5,0.7430076859469286,2025-11-15 17:44:34.767985,2025-11-15 17:44:35.515274,0 days 00:00:00.747289,14,6,11,COMPLETE
6,0.7308689698009526,2025-11-15 17:44:35.515948,2025-11-15 17:44:37.056798,0 days 00:00:01.540850,8,3,59,COMPLETE
7,0.7593709661700633,2025-11-15 17:44:37.057423,2025-11-15 17:44:38.928903,0 days 00:00:01.871480,27,19,41,COMPLETE
8,0.7217847359165482,2025-11-15 17:44:38.929591,2025-11-15 17:44:39.587048,0 days 00:00:00.657457,7,7,14,COMPLETE
9,0.7603462432150025,2025-11-15 17:44:39.587654,2025-11-15 17:44:42.269240,0 days 00:00:02.681586,22,20,66,COMPLETE
10,0.7613978699365058,2025-11-15 17:44:42.269905,2025-11-15 17:44:46.094633,0 days 00:00:03.824728,21,14,96,COMPLETE
11,0.7596447787023639,2025-11-15 17:44:46.095334,2025-11-15 17:44:50.071563,0 days 00:00:03.976229,21,14,100,COMPLETE
12,0.7586050574050619,2025-11-15 17:44:50.072312,2025-11-15 17:44:53.149250,0 days 00:00:03.076938,20,15,76,COMPLETE
13,0.7600534995347096,2025-11-15 17:44:53.149893,2025-11-15 17:44:57.095629,0 days 00:00:03.945736,30,20,100,COMPLETE
14,0.7596653305116272,2025-11-15 17:44:57.096331,2025-11-15 17:45:00.235908,0 days 00:00:03.139577,19,15,79,COMPLETE
15,0.5180454482228832,2025-11-15 17:45:00.236681,2025-11-15 17:45:01.271997,0 days 00:00:01.035316,3,13,65,COMPLETE
16,0.7595116369575928,2025-11-15 17:45:01.272640,2025-11-15 17:45:04.932450,0 days 00:00:03.659810,25,16,90,COMPLETE
17,0.7605197279810435,2025-11-15 17:45:04.933171,2025-11-15 17:45:07.732582,0 days 00:00:02.799411,19,17,70,COMPLETE
18,0.7579201416331933,2025-11-15 17:45:07.733428,2025-11-15 17:45:11.024932,0 days 00:00:03.291504,17,17,89,COMPLETE
19,0.7613980713925911,2025-11-15 17:45:11.025612,2025-11-15 17:45:14.445701,0 days 00:00:03.420089,17,11,90,COMPLETE
20,0.761102700242065,2025-11-15 17:45:14.446334,2025-11-15 17:45:17.876714,0 days 00:00:03.430380,17,11,90,COMPLETE
21,0.7604978095957715,2025-11-15 17:45:17.877357,2025-11-15 17:45:21.507815,0 days 00:00:03.630458,18,11,90,COMPLETE
22,0.7558376317839672,2025-11-15 17:45:21.508427,2025-11-15 17:45:24.712477,0 days 00:00:03.204050,15,9,88,COMPLETE
23,0.7593579121802537,2025-11-15 17:45:24.713149,2025-11-15 17:45:28.287561,0 days 00:00:03.574412,16,12,97,COMPLETE
24,0.764652666318713,2025-11-15 17:45:28.288208,2025-11-15 17:45:31.907335,0 days 00:00:03.619127,23,7,83,COMPLETE
