number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_samples_split,params_n_estimators,state
0,0.5815937381743437,2025-11-15 17:47:11.972018,2025-11-15 17:47:13.316967,0 days 00:00:01.344949,23,5,94,COMPLETE
1,0.537712963676055,2025-11-15 17:47:13.317943,2025-11-15 17:47:14.150132,0 days 00:00:00.832189,10,15,74,COMPLETE
2,0.5739635528333518,2025-11-15 17:47:14.150749,2025-11-15 17:47:14.810012,0 days 00:00:00.659263,24,16,43,COMPLETE
3,0.5604564994314558,2025-11-15 17:47:14.810582,2025-11-15 17:47:15.324703,0 days 00:00:00.514121,18,10,30,COMPLETE
4,0.5377628407422573,2025-11-15 17:47:15.325429,2025-11-15 17:47:16.212450,0 days 00:00:00.887021,9,16,89,COMPLETE
5,0.5590108073851262,2025-11-15 17:47:16.213435,2025-11-15 17:47:17.154569,0 days 00:00:00.941134,13,18,78,COMPLETE
6,0.5760472026218416,2025-11-15 17:47:17.155232,2025-11-15 17:47:17.894836,0 days 00:00:00.739604,19,17,50,COMPLETE
7,0.51002278472701,2025-11-15 17:47:17.895361,2025-11-15 17:47:18.760264,0 days 00:00:00.864903,7,5,92,COMPLETE
8,0.5603706391039858,2025-11-15 17:47:18.760892,2025-11-15 17:47:19.188678,0 days 00:00:00.427786,15,18,24,COMPLETE
9,0.5692982325978095,2025-11-15 17:47:19.189323,2025-11-15 17:47:19.540739,0 days 00:00:00.351416,13,3,16,COMPLETE
10,0.5771500317156011,2025-11-15 17:47:19.541310,2025-11-15 17:47:20.517782,0 days 00:00:00.976472,30,8,66,COMPLETE
11,0.5855034495110311,2025-11-15 17:47:20.518418,2025-11-15 17:47:21.532592,0 days 00:00:01.014174,29,8,71,COMPLETE
12,0.5961734181702547,2025-11-15 17:47:21.533302,2025-11-15 17:47:22.865736,0 days 00:00:01.332434,30,7,97,COMPLETE
13,0.5816817410020596,2025-11-15 17:47:22.866540,2025-11-15 17:47:23.781799,0 days 00:00:00.915259,30,12,65,COMPLETE
14,0.16033310549100022,2025-11-15 17:47:23.783439,2025-11-15 17:47:24.395038,0 days 00:00:00.611599,3,8,98,COMPLETE
15,0.5670311014511629,2025-11-15 17:47:24.395662,2025-11-15 17:47:25.493120,0 days 00:00:01.097458,26,12,82,COMPLETE
16,0.5780764526154936,2025-11-15 17:47:25.493728,2025-11-15 17:47:26.321248,0 days 00:00:00.827520,27,7,55,COMPLETE
17,0.5644256754866911,2025-11-15 17:47:26.321873,2025-11-15 17:47:27.383900,0 days 00:00:01.062027,22,2,71,COMPLETE
18,0.5767711575869753,2025-11-15 17:47:27.384538,2025-11-15 17:47:28.505935,0 days 00:00:01.121397,27,10,82,COMPLETE
19,0.5778816305081281,2025-11-15 17:47:28.506526,2025-11-15 17:47:29.887200,0 days 00:00:01.380674,21,5,100,COMPLETE
20,0.5657513910608863,2025-11-15 17:47:29.887803,2025-11-15 17:47:30.496191,0 days 00:00:00.608388,29,20,39,COMPLETE
21,0.5754334367886763,2025-11-15 17:47:30.497234,2025-11-15 17:47:31.362136,0 days 00:00:00.864902,30,13,62,COMPLETE
22,0.5737481814064427,2025-11-15 17:47:31.362743,2025-11-15 17:47:32.227771,0 days 00:00:00.865028,25,13,62,COMPLETE
23,0.5807102433896486,2025-11-15 17:47:32.228355,2025-11-15 17:47:33.044390,0 days 00:00:00.816035,28,10,55,COMPLETE
24,0.5711012156175601,2025-11-15 17:47:33.044995,2025-11-15 17:47:34.241824,0 days 00:00:01.196829,25,7,87,COMPLETE
25,0.5838064168916051,2025-11-15 17:47:34.243149,2025-11-15 17:47:35.226680,0 days 00:00:00.983531,28,9,70,COMPLETE
26,0.5720081732176217,2025-11-15 17:47:35.227315,2025-11-15 17:47:36.264606,0 days 00:00:01.037291,20,8,74,COMPLETE
27,0.5835909058459094,2025-11-15 17:47:36.265600,2025-11-15 17:47:37.437802,0 days 00:00:01.172202,26,6,84,COMPLETE
28,0.5793194049503593,2025-11-15 17:47:37.438430,2025-11-15 17:47:38.163499,0 days 00:00:00.725069,23,9,47,COMPLETE
29,0.575199096718918,2025-11-15 17:47:38.164277,2025-11-15 17:47:39.458764,0 days 00:00:01.294487,28,4,92,COMPLETE
30,0.5773168294200302,2025-11-15 17:47:39.459879,2025-11-15 17:47:40.424373,0 days 00:00:00.964494,17,6,69,COMPLETE
31,0.5870429011866358,2025-11-15 17:47:40.425072,2025-11-15 17:47:41.612137,0 days 00:00:01.187065,26,6,84,COMPLETE
32,0.5842350446237932,2025-11-15 17:47:41.612958,2025-11-15 17:47:42.711453,0 days 00:00:01.098495,28,6,77,COMPLETE
33,0.5805571175629887,2025-11-15 17:47:42.712091,2025-11-15 17:47:43.866946,0 days 00:00:01.154855,23,4,79,COMPLETE
34,0.5771504668099947,2025-11-15 17:47:43.867985,2025-11-15 17:47:45.173558,0 days 00:00:01.305573,24,6,94,COMPLETE
35,0.5844272617959955,2025-11-15 17:47:45.174189,2025-11-15 17:47:46.297915,0 days 00:00:01.123726,30,4,77,COMPLETE
36,0.580746026177343,2025-11-15 17:47:46.298826,2025-11-15 17:47:47.590177,0 days 00:00:01.291351,30,2,88,COMPLETE
37,0.584447545142963,2025-11-15 17:47:47.591044,2025-11-15 17:47:48.831548,0 days 00:00:01.240504,26,4,85,COMPLETE
38,0.5834548062655857,2025-11-15 17:47:48.832164,2025-11-15 17:47:50.256426,0 days 00:00:01.424262,25,3,100,COMPLETE
39,0.5839360699808503,2025-11-15 17:47:50.257037,2025-11-15 17:47:51.456799,0 days 00:00:01.199762,21,7,86,COMPLETE
40,0.580425331137061,2025-11-15 17:47:51.457393,2025-11-15 17:47:52.759124,0 days 00:00:01.301731,26,5,93,COMPLETE
41,0.5668336877001787,2025-11-15 17:47:52.760088,2025-11-15 17:47:53.883562,0 days 00:00:01.123474,29,4,77,COMPLETE
42,0.5716796684867381,2025-11-15 17:47:53.884169,2025-11-15 17:47:55.159707,0 days 00:00:01.275538,27,3,89,COMPLETE
43,0.5958913351313722,2025-11-15 17:47:55.160546,2025-11-15 17:47:56.514916,0 days 00:00:01.354370,29,4,96,COMPLETE
44,0.5722870348987746,2025-11-15 17:47:56.515534,2025-11-15 17:47:57.816773,0 days 00:00:01.301239,29,7,96,COMPLETE
45,0.5766120993527826,2025-11-15 17:47:57.817583,2025-11-15 17:47:59.057554,0 days 00:00:01.239971,24,9,92,COMPLETE
46,0.5708350975129851,2025-11-15 17:47:59.058455,2025-11-15 17:48:00.129905,0 days 00:00:01.071450,14,3,82,COMPLETE
47,0.538491439781452,2025-11-15 17:48:00.130550,2025-11-15 17:48:01.172494,0 days 00:00:01.041944,10,5,97,COMPLETE
48,0.5704326192607667,2025-11-15 17:48:01.173690,2025-11-15 17:48:02.379084,0 days 00:00:01.205394,19,8,90,COMPLETE
49,0.575488550091005,2025-11-15 17:48:02.379766,2025-11-15 17:48:03.506622,0 days 00:00:01.126856,27,11,84,COMPLETE
