number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_samples_split,params_n_estimators,state
0,0.7791597145449195,2025-11-15 17:56:51.681165,2025-11-15 17:56:52.786530,0 days 00:00:01.105365,12,19,58,COMPLETE
1,0.7680965539629817,2025-11-15 17:56:52.787213,2025-11-15 17:56:53.228687,0 days 00:00:00.441474,6,6,21,COMPLETE
2,0.7816317404133335,2025-11-15 17:56:53.229240,2025-11-15 17:56:55.468621,0 days 00:00:02.239381,28,3,97,COMPLETE
3,0.7821816716610686,2025-11-15 17:56:55.469305,2025-11-15 17:56:57.026750,0 days 00:00:01.557445,11,15,88,COMPLETE
4,0.7720799776859565,2025-11-15 17:56:57.027434,2025-11-15 17:56:57.556054,0 days 00:00:00.528620,7,10,28,COMPLETE
5,0.7809382573224791,2025-11-15 17:56:57.556728,2025-11-15 17:56:58.363870,0 days 00:00:00.807142,29,20,33,COMPLETE
6,0.7841180885162418,2025-11-15 17:56:58.364499,2025-11-15 17:56:59.375056,0 days 00:00:01.010557,22,7,39,COMPLETE
7,0.7821227034895939,2025-11-15 17:56:59.375834,2025-11-15 17:57:01.003093,0 days 00:00:01.627259,24,14,73,COMPLETE
8,0.7702351164882334,2025-11-15 17:57:01.003727,2025-11-15 17:57:01.466044,0 days 00:00:00.462317,10,15,12,COMPLETE
9,0.7743017629748804,2025-11-15 17:57:01.466625,2025-11-15 17:57:02.918242,0 days 00:00:01.451617,8,15,97,COMPLETE
10,0.786190600458695,2025-11-15 17:57:02.918854,2025-11-15 17:57:04.100237,0 days 00:00:01.181383,19,8,45,COMPLETE
11,0.7865535783673131,2025-11-15 17:57:04.101050,2025-11-15 17:57:05.310658,0 days 00:00:01.209608,20,8,45,COMPLETE
12,0.7847450724071705,2025-11-15 17:57:05.311350,2025-11-15 17:57:06.482718,0 days 00:00:01.171368,18,9,52,COMPLETE
13,0.7805135808787849,2025-11-15 17:57:06.483337,2025-11-15 17:57:07.643958,0 days 00:00:01.160621,17,3,49,COMPLETE
14,0.782619970535611,2025-11-15 17:57:07.644551,2025-11-15 17:57:09.121494,0 days 00:00:01.476943,21,6,66,COMPLETE
15,0.7839657496168605,2025-11-15 17:57:09.122223,2025-11-15 17:57:10.081889,0 days 00:00:00.959666,14,12,41,COMPLETE
16,0.7849558149970106,2025-11-15 17:57:10.082533,2025-11-15 17:57:11.798159,0 days 00:00:01.715626,25,8,74,COMPLETE
17,0.733111332529068,2025-11-15 17:57:11.798850,2025-11-15 17:57:12.342467,0 days 00:00:00.543617,2,12,44,COMPLETE
18,0.7879193796543145,2025-11-15 17:57:12.343018,2025-11-15 17:57:13.910730,0 days 00:00:01.567712,18,5,60,COMPLETE
19,0.780619326258994,2025-11-15 17:57:13.911415,2025-11-15 17:57:15.587688,0 days 00:00:01.676273,25,4,61,COMPLETE
20,0.7841525140980163,2025-11-15 17:57:15.588420,2025-11-15 17:57:17.795745,0 days 00:00:02.207325,20,2,82,COMPLETE
21,0.7858755140380376,2025-11-15 17:57:17.796648,2025-11-15 17:57:19.213595,0 days 00:00:01.416947,16,5,51,COMPLETE
22,0.7826273175590028,2025-11-15 17:57:19.214441,2025-11-15 17:57:20.883194,0 days 00:00:01.668753,19,8,66,COMPLETE
23,0.7819543444214385,2025-11-15 17:57:20.883861,2025-11-15 17:57:21.760388,0 days 00:00:00.876527,15,11,33,COMPLETE
24,0.7851740339180883,2025-11-15 17:57:21.761174,2025-11-15 17:57:22.946525,0 days 00:00:01.185351,23,5,46,COMPLETE
25,0.7831303045991924,2025-11-15 17:57:22.947287,2025-11-15 17:57:24.159857,0 days 00:00:01.212570,14,9,57,COMPLETE
26,0.7799135870921443,2025-11-15 17:57:24.160473,2025-11-15 17:57:24.847718,0 days 00:00:00.687245,27,7,23,COMPLETE
27,0.7821144291254513,2025-11-15 17:57:24.848359,2025-11-15 17:57:25.733890,0 days 00:00:00.885531,19,10,36,COMPLETE
28,0.7815532218972238,2025-11-15 17:57:25.734483,2025-11-15 17:57:27.230240,0 days 00:00:01.495757,21,5,65,COMPLETE
29,0.781687523310328,2025-11-15 17:57:27.230889,2025-11-15 17:57:28.429105,0 days 00:00:01.198216,13,7,56,COMPLETE
