number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_samples_split,params_n_estimators,state
0,0.862934826456037,2025-11-15 17:22:50.633377,2025-11-15 17:22:55.083761,0 days 00:00:04.450384,29,17,87,COMPLETE
1,0.8582598845995797,2025-11-15 17:22:55.084634,2025-11-15 17:22:59.161045,0 days 00:00:04.076411,15,11,94,COMPLETE
2,0.819275703925844,2025-11-15 17:22:59.161691,2025-11-15 17:23:00.991226,0 days 00:00:01.829535,6,18,74,COMPLETE
3,0.8528035523221049,2025-11-15 17:23:00.992295,2025-11-15 17:23:03.589282,0 days 00:00:02.596987,13,17,62,COMPLETE
4,0.795733835373335,2025-11-15 17:23:03.589932,2025-11-15 17:23:04.904312,0 days 00:00:01.314380,3,2,74,COMPLETE
5,0.8603120009695502,2025-11-15 17:23:04.904989,2025-11-15 17:23:06.764564,0 days 00:00:01.859575,30,9,29,COMPLETE
6,0.8625685440950882,2025-11-15 17:23:06.765322,2025-11-15 17:23:11.614876,0 days 00:00:04.849554,29,12,94,COMPLETE
7,0.8520345562432171,2025-11-15 17:23:11.615550,2025-11-15 17:23:12.603916,0 days 00:00:00.988366,18,13,12,COMPLETE
8,0.8611206353085867,2025-11-15 17:23:12.604556,2025-11-15 17:23:16.126233,0 days 00:00:03.521677,18,13,71,COMPLETE
9,0.8442380495601893,2025-11-15 17:23:16.126882,2025-11-15 17:23:16.998360,0 days 00:00:00.871478,13,10,10,COMPLETE
10,0.8622865789966774,2025-11-15 17:23:16.999107,2025-11-15 17:23:19.515504,0 days 00:00:02.516397,24,5,42,COMPLETE
11,0.8628328275460317,2025-11-15 17:23:19.516332,2025-11-15 17:23:24.502826,0 days 00:00:04.986494,30,16,99,COMPLETE
12,0.8622095969324723,2025-11-15 17:23:24.503440,2025-11-15 17:23:29.221166,0 days 00:00:04.717726,24,20,98,COMPLETE
13,0.862622817662211,2025-11-15 17:23:29.221814,2025-11-15 17:23:33.501097,0 days 00:00:04.279283,25,16,85,COMPLETE
14,0.8644528383443651,2025-11-15 17:23:33.501725,2025-11-15 17:23:37.763191,0 days 00:00:04.261466,27,15,83,COMPLETE
15,0.8612164752065687,2025-11-15 17:23:37.763848,2025-11-15 17:23:41.837112,0 days 00:00:04.073264,21,20,84,COMPLETE
16,0.8609251563189458,2025-11-15 17:23:41.837879,2025-11-15 17:23:44.604787,0 days 00:00:02.766908,26,15,51,COMPLETE
17,0.8637571663415425,2025-11-15 17:23:44.605414,2025-11-15 17:23:47.796567,0 days 00:00:03.191153,21,14,62,COMPLETE
18,0.8636238058605542,2025-11-15 17:23:47.797197,2025-11-15 17:23:50.977370,0 days 00:00:03.180173,20,6,59,COMPLETE
