number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_samples_split,params_n_estimators,state
0,0.8046575947765333,2025-11-15 17:22:08.580853,2025-11-15 17:22:09.705317,0 days 00:00:01.124464,29,18,51,COMPLETE
1,0.8016396138831704,2025-11-15 17:22:09.706442,2025-11-15 17:22:10.223756,0 days 00:00:00.517314,6,19,33,COMPLETE
2,0.8032726862767955,2025-11-15 17:22:10.224311,2025-11-15 17:22:11.812358,0 days 00:00:01.588047,14,4,84,COMPLETE
3,0.7990885349194119,2025-11-15 17:22:11.813162,2025-11-15 17:22:12.574092,0 days 00:00:00.760930,17,8,33,COMPLETE
4,0.800884765488167,2025-11-15 17:22:12.574641,2025-11-15 17:22:13.669514,0 days 00:00:01.094873,24,15,54,COMPLETE
5,0.7774958884236289,2025-11-15 17:22:13.670358,2025-11-15 17:22:14.021012,0 days 00:00:00.350654,2,19,27,COMPLETE
6,0.8020111876347652,2025-11-15 17:22:14.021563,2025-11-15 17:22:14.976540,0 days 00:00:00.954977,23,17,47,COMPLETE
7,0.776677435302821,2025-11-15 17:22:14.977218,2025-11-15 17:22:15.591752,0 days 00:00:00.614534,2,19,85,COMPLETE
8,0.7896840812917958,2025-11-15 17:22:15.592537,2025-11-15 17:22:16.046522,0 days 00:00:00.453985,28,13,14,COMPLETE
9,0.8028727246997096,2025-11-15 17:22:16.047091,2025-11-15 17:22:17.744985,0 days 00:00:01.697894,23,18,95,COMPLETE
10,0.8036078342713477,2025-11-15 17:22:17.745642,2025-11-15 17:22:19.121143,0 days 00:00:01.375501,30,10,69,COMPLETE
11,0.8023774515333539,2025-11-15 17:22:19.121815,2025-11-15 17:22:20.547640,0 days 00:00:01.425825,30,9,70,COMPLETE
12,0.7989073425026538,2025-11-15 17:22:20.548286,2025-11-15 17:22:21.796200,0 days 00:00:01.247914,30,11,61,COMPLETE
13,0.8034614190202977,2025-11-15 17:22:21.796816,2025-11-15 17:22:23.137302,0 days 00:00:01.340486,17,5,66,COMPLETE
14,0.8019411647111447,2025-11-15 17:22:23.137973,2025-11-15 17:22:24.168002,0 days 00:00:01.030029,26,14,50,COMPLETE
15,0.8020243930583435,2025-11-15 17:22:24.168621,2025-11-15 17:22:25.673569,0 days 00:00:01.504948,20,7,75,COMPLETE
16,0.8052175546445774,2025-11-15 17:22:25.674605,2025-11-15 17:22:26.462906,0 days 00:00:00.788301,11,11,44,COMPLETE
17,0.8025396513671806,2025-11-15 17:22:26.463533,2025-11-15 17:22:27.188037,0 days 00:00:00.724504,11,16,41,COMPLETE
18,0.7991482116170143,2025-11-15 17:22:27.188728,2025-11-15 17:22:27.625267,0 days 00:00:00.436539,10,12,18,COMPLETE
19,0.8002512595873581,2025-11-15 17:22:27.625903,2025-11-15 17:22:28.440668,0 days 00:00:00.814765,12,2,42,COMPLETE
20,0.80012134847064,2025-11-15 17:22:28.441247,2025-11-15 17:22:29.145688,0 days 00:00:00.704441,6,14,59,COMPLETE
21,0.8032597669387848,2025-11-15 17:22:29.146333,2025-11-15 17:22:30.650733,0 days 00:00:01.504400,27,10,75,COMPLETE
22,0.8062952027777153,2025-11-15 17:22:30.651372,2025-11-15 17:22:31.435824,0 days 00:00:00.784452,8,11,56,COMPLETE
23,0.803558293249919,2025-11-15 17:22:31.436434,2025-11-15 17:22:32.046067,0 days 00:00:00.609633,8,12,39,COMPLETE
24,0.8054781602942077,2025-11-15 17:22:32.046698,2025-11-15 17:22:33.024290,0 days 00:00:00.977592,14,8,51,COMPLETE
25,0.800784598624874,2025-11-15 17:22:33.025255,2025-11-15 17:22:34.115746,0 days 00:00:01.090491,14,7,58,COMPLETE
26,0.8027502821310157,2025-11-15 17:22:34.116384,2025-11-15 17:22:34.637739,0 days 00:00:00.521355,8,6,30,COMPLETE
27,0.8022612333977976,2025-11-15 17:22:34.638665,2025-11-15 17:22:35.481952,0 days 00:00:00.843287,14,9,42,COMPLETE
28,0.7958558395501073,2025-11-15 17:22:35.482511,2025-11-15 17:22:36.099991,0 days 00:00:00.617480,19,11,24,COMPLETE
29,0.8001847255498925,2025-11-15 17:22:36.100596,2025-11-15 17:22:36.712661,0 days 00:00:00.612065,5,8,53,COMPLETE
30,0.8048041305707196,2025-11-15 17:22:36.713294,2025-11-15 17:22:37.475314,0 days 00:00:00.762020,9,4,48,COMPLETE
31,0.8009373243440434,2025-11-15 17:22:37.475884,2025-11-15 17:22:38.247399,0 days 00:00:00.771515,9,2,50,COMPLETE
32,0.8025464101199671,2025-11-15 17:22:38.248025,2025-11-15 17:22:39.120586,0 days 00:00:00.872561,12,4,47,COMPLETE
33,0.800299949162681,2025-11-15 17:22:39.121512,2025-11-15 17:22:39.641531,0 days 00:00:00.520019,6,4,36,COMPLETE
34,0.8029549685554223,2025-11-15 17:22:39.642334,2025-11-15 17:22:40.828986,0 days 00:00:01.186652,15,6,62,COMPLETE
35,0.7932499406817509,2025-11-15 17:22:40.829634,2025-11-15 17:22:41.345937,0 days 00:00:00.516303,4,9,46,COMPLETE
36,0.8061106201714162,2025-11-15 17:22:41.346849,2025-11-15 17:22:42.133615,0 days 00:00:00.786766,8,12,56,COMPLETE
37,0.802032012388139,2025-11-15 17:22:42.134274,2025-11-15 17:22:43.079599,0 days 00:00:00.945325,12,13,55,COMPLETE
38,0.7938024214059453,2025-11-15 17:22:43.080780,2025-11-15 17:22:43.717004,0 days 00:00:00.636224,4,12,65,COMPLETE
39,0.8061636320876306,2025-11-15 17:22:43.717651,2025-11-15 17:22:44.256354,0 days 00:00:00.538703,7,15,34,COMPLETE
40,0.8018810112980281,2025-11-15 17:22:44.256928,2025-11-15 17:22:44.683420,0 days 00:00:00.426492,7,16,23,COMPLETE
41,0.805575091656556,2025-11-15 17:22:44.684224,2025-11-15 17:22:45.318585,0 days 00:00:00.634361,11,14,34,COMPLETE
42,0.804394239737174,2025-11-15 17:22:45.319172,2025-11-15 17:22:45.928779,0 days 00:00:00.609607,10,15,33,COMPLETE
43,0.7867780151811612,2025-11-15 17:22:45.929400,2025-11-15 17:22:46.361283,0 days 00:00:00.431883,3,14,38,COMPLETE
44,0.8033765171311543,2025-11-15 17:22:46.361829,2025-11-15 17:22:46.977113,0 days 00:00:00.615284,13,17,29,COMPLETE
45,0.8018634316676675,2025-11-15 17:22:46.977725,2025-11-15 17:22:47.704497,0 days 00:00:00.726772,16,20,35,COMPLETE
46,0.7959064115997878,2025-11-15 17:22:47.705119,2025-11-15 17:22:48.023336,0 days 00:00:00.318217,7,13,11,COMPLETE
47,0.7988313483207738,2025-11-15 17:22:48.023924,2025-11-15 17:22:49.135255,0 days 00:00:01.111331,19,15,57,COMPLETE
48,0.799748065279063,2025-11-15 17:22:49.136050,2025-11-15 17:22:49.560762,0 days 00:00:00.424712,9,16,19,COMPLETE
49,0.8029147301208657,2025-11-15 17:22:49.561347,2025-11-15 17:22:50.626018,0 days 00:00:01.064671,7,10,93,COMPLETE
