number,value,datetime_start,datetime_complete,duration,params_gamma,params_learning_rate,params_max_depth,params_n_estimators,state
0,0.878675876880818,2025-11-28 09:28:03.687179,2025-11-28 09:28:04.130207,0 days 00:00:00.443028,2.123231464114208,0.08522785499701847,3,152,COMPLETE
1,0.8772906672040953,2025-11-28 09:28:04.130240,2025-11-28 09:28:04.542263,0 days 00:00:00.412023,3.822788033472198,0.11449491154512964,3,166,COMPLETE
2,0.8321787709497206,2025-11-28 09:28:04.542312,2025-11-28 09:28:06.531795,0 days 00:00:01.989483,0.9582669031398278,0.0027174344976005353,12,131,COMPLETE
3,0.8321787709497206,2025-11-28 09:28:06.531832,2025-11-28 09:28:07.527710,0 days 00:00:00.995878,2.729981990817457,0.0010660055868884743,9,124,COMPLETE
4,0.8737265975473936,2025-11-28 09:28:07.527747,2025-11-28 09:28:09.467311,0 days 00:00:01.939564,1.2849521477438852,0.011165495353729089,11,174,COMPLETE
5,0.8780436315116479,2025-11-28 09:28:09.467349,2025-11-28 09:28:11.210873,0 days 00:00:01.743524,1.505473469123304,0.018875907686363845,10,225,COMPLETE
6,0.8668284867777516,2025-11-28 09:28:11.210913,2025-11-28 09:28:11.722357,0 days 00:00:00.511444,1.0811783898096605,0.017519851169984366,2,242,COMPLETE
7,0.8321787709497206,2025-11-28 09:28:11.722392,2025-11-28 09:28:13.966876,0 days 00:00:02.244484,1.2918314012995435,0.0012570360109852696,10,237,COMPLETE
8,0.8713252552734347,2025-11-28 09:28:13.966911,2025-11-28 09:28:15.289539,0 days 00:00:01.322628,0.08585706587408481,0.00457408858396804,5,392,COMPLETE
9,0.8777560451005852,2025-11-28 09:28:15.289587,2025-11-28 09:28:16.829054,0 days 00:00:01.539467,2.8667472696217877,0.01730630178388996,10,271,COMPLETE
10,0.879486836879342,2025-11-28 09:28:16.829093,2025-11-28 09:28:17.390622,0 days 00:00:00.561529,4.429184793928663,0.288958441715651,6,315,COMPLETE
11,0.8800363968001242,2025-11-28 09:28:17.390671,2025-11-28 09:28:17.916520,0 days 00:00:00.525849,4.826063196772432,0.2666520296273216,6,322,COMPLETE
