number,value,datetime_start,datetime_complete,duration,params_gamma,params_learning_rate,params_max_depth,params_n_estimators,state
0,0.9213037528276944,2025-11-28 09:18:17.387108,2025-11-28 09:18:17.885767,0 days 00:00:00.498659,1.4871371407253937,0.07060910325664813,8,211,COMPLETE
1,0.9005428647404303,2025-11-28 09:18:17.885801,2025-11-28 09:18:19.144237,0 days 00:00:01.258436,2.315108092948248,0.0010704673690550004,11,218,COMPLETE
2,0.9215283218145911,2025-11-28 09:18:19.144275,2025-11-28 09:18:19.882831,0 days 00:00:00.738556,2.0777818901357197,0.0407857439138062,9,357,COMPLETE
3,0.9105412598090254,2025-11-28 09:18:19.882867,2025-11-28 09:18:20.396486,0 days 00:00:00.513619,4.197850704159183,0.006895523547850004,2,296,COMPLETE
4,0.9089338894729432,2025-11-28 09:18:20.396522,2025-11-28 09:18:21.115699,0 days 00:00:00.719177,2.6345370312311784,0.004619805777642032,7,161,COMPLETE
5,0.9193552092449385,2025-11-28 09:18:21.115746,2025-11-28 09:18:21.614848,0 days 00:00:00.499102,2.3202977074570192,0.21159129680385297,4,301,COMPLETE
6,0.9205581407487887,2025-11-28 09:18:21.614888,2025-11-28 09:18:22.109397,0 days 00:00:00.494509,4.294090325858443,0.061450352514086794,4,282,COMPLETE
7,0.9005428647404303,2025-11-28 09:18:22.109433,2025-11-28 09:18:22.843770,0 days 00:00:00.734337,3.7852744541258754,0.0017988700645491086,5,243,COMPLETE
8,0.9195758193338964,2025-11-28 09:18:22.843810,2025-11-28 09:18:23.422237,0 days 00:00:00.578427,0.56738794873544,0.1022379435333768,3,320,COMPLETE
9,0.9221839297966717,2025-11-28 09:18:23.422281,2025-11-28 09:18:25.321262,0 days 00:00:01.898981,0.42607763255092523,0.025476391623030083,12,400,COMPLETE
10,0.921726968620872,2025-11-28 09:18:25.321300,2025-11-28 09:18:28.151397,0 days 00:00:02.830097,0.26916270885363947,0.018311562770136864,12,392,COMPLETE
11,0.9208885588126888,2025-11-28 09:18:28.151436,2025-11-28 09:18:31.064636,0 days 00:00:02.913200,0.04184666090230754,0.017864357015001237,12,388,COMPLETE
12,0.9236346669076914,2025-11-28 09:18:31.064673,2025-11-28 09:18:33.264037,0 days 00:00:02.199364,0.7444021870946746,0.016777806999765818,11,392,COMPLETE
13,0.9222209572477338,2025-11-28 09:18:33.264076,2025-11-28 09:18:35.272160,0 days 00:00:02.008084,1.3235399345303294,0.006737986018099777,10,346,COMPLETE
14,0.9227996140509305,2025-11-28 09:18:35.272198,2025-11-28 09:18:37.458398,0 days 00:00:02.186200,1.1296028905015987,0.006215945244098178,10,350,COMPLETE
