number,value,datetime_start,datetime_complete,duration,params_gamma,params_learning_rate,params_max_depth,params_n_estimators,state
0,0.5300881925986125,2025-11-28 09:31:34.568140,2025-11-28 09:31:35.473235,0 days 00:00:00.905095,1.2848120661900069,0.004037624043182192,5,334,COMPLETE
1,0.6197525263509678,2025-11-28 09:31:35.473281,2025-11-28 09:31:35.896821,0 days 00:00:00.423540,0.9654650693015282,0.13950246058801616,7,142,COMPLETE
2,0.5654614113667142,2025-11-28 09:31:35.896856,2025-11-28 09:31:37.709690,0 days 00:00:01.812834,4.1664555813426425,0.0035848959823600243,12,366,COMPLETE
3,0.617757772666051,2025-11-28 09:31:37.709729,2025-11-28 09:31:38.127097,0 days 00:00:00.417368,2.055268982388782,0.2659215031005249,4,288,COMPLETE
4,0.61505225046528,2025-11-28 09:31:38.127155,2025-11-28 09:31:38.613383,0 days 00:00:00.486228,2.165002408114134,0.2606398886453952,2,370,COMPLETE
5,0.6130635161734224,2025-11-28 09:31:38.613432,2025-11-28 09:31:39.171323,0 days 00:00:00.557891,4.380242864925216,0.027985777864699586,8,160,COMPLETE
6,0.618339902223344,2025-11-28 09:31:39.171363,2025-11-28 09:31:40.511768,0 days 00:00:01.340405,1.0779787873787234,0.02213273834339429,11,201,COMPLETE
7,0.5976370803959391,2025-11-28 09:31:40.511808,2025-11-28 09:31:40.986237,0 days 00:00:00.474429,2.71365429438978,0.022907758264886113,6,126,COMPLETE
8,0.5965014458620168,2025-11-28 09:31:40.986284,2025-11-28 09:31:43.293872,0 days 00:00:02.307588,1.240242210752796,0.0064511160418585945,10,376,COMPLETE
9,0.611348372176425,2025-11-28 09:31:43.293907,2025-11-28 09:31:44.474044,0 days 00:00:01.180137,3.764110807169353,0.009448245762211866,7,349,COMPLETE
10,0.6232338576847479,2025-11-28 09:31:44.474079,2025-11-28 09:31:45.581015,0 days 00:00:01.106936,0.1143192179637218,0.07899872369987475,9,226,COMPLETE
11,0.6283158424986692,2025-11-28 09:31:45.581051,2025-11-28 09:31:46.287417,0 days 00:00:00.706366,0.47402295160799945,0.0789819461854903,9,236,COMPLETE
12,0.6221018156528331,2025-11-28 09:31:46.287460,2025-11-28 09:31:47.419531,0 days 00:00:01.132071,0.09763025949621565,0.07494388192074126,9,238,COMPLETE
13,0.6217970924904856,2025-11-28 09:31:47.419580,2025-11-28 09:31:48.662142,0 days 00:00:01.242562,0.0040032985720357545,0.061169671627063896,9,256,COMPLETE
14,0.0,2025-11-28 09:31:48.662199,2025-11-28 09:31:50.213308,0 days 00:00:01.551109,0.4672356358396363,0.001260806591283547,10,204,COMPLETE
15,0.6187760481028393,2025-11-28 09:31:50.213359,2025-11-28 09:31:50.852974,0 days 00:00:00.639615,2.948107050267068,0.06668474278285576,12,301,COMPLETE
16,0.6181572855534477,2025-11-28 09:31:50.853014,2025-11-28 09:31:51.273145,0 days 00:00:00.420131,1.7870841418024312,0.12167677869253143,8,197,COMPLETE
