number,value,datetime_start,datetime_complete,duration,params_gamma,params_learning_rate,params_max_depth,params_n_estimators,state
0,0.7775444206964712,2025-11-28 09:14:12.545338,2025-11-28 09:14:13.529380,0 days 00:00:00.984042,2.570322301415256,0.0026536233308170143,9,283,COMPLETE
1,0.7752938505043768,2025-11-28 09:14:13.529414,2025-11-28 09:14:14.105936,0 days 00:00:00.576522,0.5861827145358539,0.057136513370540515,5,356,COMPLETE
2,0.7762814506095742,2025-11-28 09:14:14.105972,2025-11-28 09:14:15.256960,0 days 00:00:01.150988,0.18009138789407964,0.029525556998945227,8,365,COMPLETE
3,0.7911561679477723,2025-11-28 09:14:15.256995,2025-11-28 09:14:15.651607,0 days 00:00:00.394612,4.110560915633791,0.015100150543966908,5,183,COMPLETE
4,0.7749189873791049,2025-11-28 09:14:15.651642,2025-11-28 09:14:16.295571,0 days 00:00:00.643929,1.7270630898065054,0.021898262946890158,12,188,COMPLETE
5,0.7687220956667131,2025-11-28 09:14:16.295606,2025-11-28 09:14:16.603881,0 days 00:00:00.308275,1.9143847716601237,0.10422180454003677,11,154,COMPLETE
6,0.7539545258873714,2025-11-28 09:14:16.603917,2025-11-28 09:14:16.840055,0 days 00:00:00.236138,0.9180643348657791,0.0014300959119802692,2,148,COMPLETE
7,0.7687243849185857,2025-11-28 09:14:16.840090,2025-11-28 09:14:17.545113,0 days 00:00:00.705023,0.9134622805796688,0.041673994773555774,11,380,COMPLETE
8,0.785174821908825,2025-11-28 09:14:17.545148,2025-11-28 09:14:18.022804,0 days 00:00:00.477656,0.6843411182927772,0.0015164059429681428,3,303,COMPLETE
9,0.7896395630644606,2025-11-28 09:14:18.022841,2025-11-28 09:14:18.356306,0 days 00:00:00.333465,3.9838257413282,0.016300985314550515,5,141,COMPLETE
10,0.7862258985352113,2025-11-28 09:14:18.356343,2025-11-28 09:14:18.894475,0 days 00:00:00.538132,4.929897534203699,0.0065877801179671245,6,228,COMPLETE
11,0.792578649423457,2025-11-28 09:14:18.894511,2025-11-28 09:14:19.155666,0 days 00:00:00.261155,4.220519896616063,0.008400205801348318,4,111,COMPLETE
12,0.7885750745562811,2025-11-28 09:14:19.155703,2025-11-28 09:14:19.399216,0 days 00:00:00.243513,3.412422259025619,0.00700547385916882,4,100,COMPLETE
13,0.7761286789559187,2025-11-28 09:14:19.399250,2025-11-28 09:14:19.574258,0 days 00:00:00.175008,4.891588046438265,0.2965166330872527,7,100,COMPLETE
14,0.792421310191263,2025-11-28 09:14:19.574293,2025-11-28 09:14:19.889536,0 days 00:00:00.315243,3.746027711313766,0.00797952103157493,2,214,COMPLETE
15,0.7863135493022724,2025-11-28 09:14:19.889572,2025-11-28 09:14:20.230674,0 days 00:00:00.341102,3.0427008239967823,0.005614942843507229,2,235,COMPLETE
16,0.7865673611172369,2025-11-28 09:14:20.230716,2025-11-28 09:14:20.668025,0 days 00:00:00.437309,3.8920949821373503,0.0035934877704842413,3,267,COMPLETE
17,0.7912428379403622,2025-11-28 09:14:20.668060,2025-11-28 09:14:21.190568,0 days 00:00:00.522508,3.3217146131455575,0.01156535105987318,3,324,COMPLETE
18,0.785330939343195,2025-11-28 09:14:21.190603,2025-11-28 09:14:21.606443,0 days 00:00:00.415840,4.311420718167761,0.002919746191481099,4,206,COMPLETE
19,0.7868657916581732,2025-11-28 09:14:21.606478,2025-11-28 09:14:21.826498,0 days 00:00:00.220020,2.724611590189654,0.009607035050420336,2,125,COMPLETE
20,0.7848021407697783,2025-11-28 09:14:21.826541,2025-11-28 09:14:22.093681,0 days 00:00:00.267140,4.486868323042508,0.09045271177011957,7,174,COMPLETE
21,0.7907374830347782,2025-11-28 09:14:22.093715,2025-11-28 09:14:22.605819,0 days 00:00:00.512104,3.4908453717013344,0.010551093515357391,3,328,COMPLETE
22,0.7897179186968244,2025-11-28 09:14:22.605854,2025-11-28 09:14:23.205002,0 days 00:00:00.599148,3.486314669747653,0.004600346380389653,4,323,COMPLETE
23,0.7917571921052279,2025-11-28 09:14:23.205037,2025-11-28 09:14:23.622803,0 days 00:00:00.417766,3.068713192508401,0.011546754327898314,3,251,COMPLETE
24,0.7928187293694086,2025-11-28 09:14:23.622838,2025-11-28 09:14:23.979658,0 days 00:00:00.356820,2.022061576153334,0.021258797930994177,2,252,COMPLETE
25,0.7952139577119031,2025-11-28 09:14:23.979733,2025-11-28 09:14:24.295649,0 days 00:00:00.315916,2.1925158096418835,0.029796454242187704,2,214,COMPLETE
26,0.7923125062249297,2025-11-28 09:14:24.295683,2025-11-28 09:14:24.714402,0 days 00:00:00.418719,1.9601252145044392,0.02926787136555742,4,275,COMPLETE
27,0.7952949470354318,2025-11-28 09:14:24.714439,2025-11-28 09:14:25.045259,0 days 00:00:00.330820,2.2351941453902247,0.06604504856613884,2,250,COMPLETE
28,0.7942294658479653,2025-11-28 09:14:25.045303,2025-11-28 09:14:25.347071,0 days 00:00:00.301768,1.3325655314070444,0.16387500128548968,2,244,COMPLETE
29,0.7707631599740592,2025-11-28 09:14:25.347105,2025-11-28 09:14:25.715558,0 days 00:00:00.368453,2.4037075473278438,0.19428920130735053,9,298,COMPLETE
30,0.7808238771635528,2025-11-28 09:14:25.715606,2025-11-28 09:14:26.036690,0 days 00:00:00.321084,1.4281218449402266,0.11508396286468436,6,211,COMPLETE
31,0.7964966955953214,2025-11-28 09:14:26.036730,2025-11-28 09:14:26.358841,0 days 00:00:00.322111,2.338868182088486,0.0595828209488683,2,256,COMPLETE
32,0.7953345040004461,2025-11-28 09:14:26.358876,2025-11-28 09:14:26.673421,0 days 00:00:00.314545,2.4158081530458473,0.0569164596631421,2,234,COMPLETE
33,0.7868246484687507,2025-11-28 09:14:26.673456,2025-11-28 09:14:27.016807,0 days 00:00:00.343351,2.343999984051364,0.06160401536834406,3,262,COMPLETE
34,0.7935308843588368,2025-11-28 09:14:27.016845,2025-11-28 09:14:27.395075,0 days 00:00:00.378230,2.812693211010111,0.05626393520718161,5,290,COMPLETE
35,0.7943550072806114,2025-11-28 09:14:27.395111,2025-11-28 09:14:27.716904,0 days 00:00:00.321793,2.25867969103074,0.035813455459292355,2,228,COMPLETE
36,0.7810929193841776,2025-11-28 09:14:27.716948,2025-11-28 09:14:28.007150,0 days 00:00:00.290202,1.475789271000787,0.07857642991605093,3,197,COMPLETE
37,0.7726666236405864,2025-11-28 09:14:28.007189,2025-11-28 09:14:28.378501,0 days 00:00:00.371312,1.7489185859472087,0.0542395858905224,9,169,COMPLETE
38,0.7961541854905784,2025-11-28 09:14:28.378538,2025-11-28 09:14:28.741856,0 days 00:00:00.363318,2.6746103765399307,0.030336292435476246,2,280,COMPLETE
39,0.7898144719994524,2025-11-28 09:14:28.741891,2025-11-28 09:14:29.091266,0 days 00:00:00.349375,2.62271274355565,0.13111709120930176,6,276,COMPLETE
40,0.7807776371213955,2025-11-28 09:14:29.091301,2025-11-28 09:14:29.601193,0 days 00:00:00.509892,3.040495278693775,0.04070498266062493,10,347,COMPLETE
41,0.7955387168239497,2025-11-28 09:14:29.601230,2025-11-28 09:14:29.937907,0 days 00:00:00.336677,2.3289247674251894,0.0248922387045834,2,223,COMPLETE
42,0.7967146158917254,2025-11-28 09:14:29.937942,2025-11-28 09:14:30.249355,0 days 00:00:00.311413,2.5439242855303097,0.07546460964981885,2,239,COMPLETE
43,0.7884496482916417,2025-11-28 09:14:30.249394,2025-11-28 09:14:30.700729,0 days 00:00:00.451335,2.483135834899799,0.0208266654616381,3,307,COMPLETE
44,0.7959580111379945,2025-11-28 09:14:30.700766,2025-11-28 09:14:31.037690,0 days 00:00:00.336924,2.8441640196916365,0.02721995630303417,2,234,COMPLETE
45,0.7918661912016454,2025-11-28 09:14:31.037723,2025-11-28 09:14:31.519865,0 days 00:00:00.482142,2.8796619027015034,0.01507252944951563,3,287,COMPLETE
46,0.7944436114603954,2025-11-28 09:14:31.519901,2025-11-28 09:14:31.913461,0 days 00:00:00.393560,1.7396462387140716,0.02775075212520689,4,223,COMPLETE
47,0.7897741858857066,2025-11-28 09:14:31.913512,2025-11-28 09:14:32.290992,0 days 00:00:00.377480,3.2252358988556606,0.044593208683738284,5,263,COMPLETE
48,0.7929122615521915,2025-11-28 09:14:32.291033,2025-11-28 09:14:32.554188,0 days 00:00:00.263155,2.672168497956716,0.08205332945979141,2,185,COMPLETE
49,0.7915740747438605,2025-11-28 09:14:32.554230,2025-11-28 09:14:32.911623,0 days 00:00:00.357393,2.1336139703989905,0.01555667137200821,3,199,COMPLETE
50,0.7930525287101451,2025-11-28 09:14:32.911672,2025-11-28 09:14:33.292567,0 days 00:00:00.380895,3.713909185760877,0.02474773394443883,4,242,COMPLETE
51,0.7975164697185003,2025-11-28 09:14:33.292600,2025-11-28 09:14:33.616945,0 days 00:00:00.324345,2.5872139538589396,0.033700196110002655,2,233,COMPLETE
52,0.7972205668434045,2025-11-28 09:14:33.616989,2025-11-28 09:14:33.923428,0 days 00:00:00.306439,2.8685015754301566,0.038865901401222126,2,221,COMPLETE
