number,value,datetime_start,datetime_complete,duration,params_gamma,params_learning_rate,params_max_depth,params_n_estimators,state
0,0.8253449137265381,2025-11-28 09:29:30.820127,2025-11-28 09:29:31.190370,0 days 00:00:00.370243,2.4501244886767597,0.004595263093910564,2,193,COMPLETE
1,0.8276776990467939,2025-11-28 09:29:31.190408,2025-11-28 09:29:31.546821,0 days 00:00:00.356413,0.5594789250667159,0.0021451869849277837,3,152,COMPLETE
2,0.8549592526521479,2025-11-28 09:29:31.546862,2025-11-28 09:29:31.847657,0 days 00:00:00.300795,3.161406243993703,0.14597185146531239,5,122,COMPLETE
3,0.8505617949735601,2025-11-28 09:29:31.847714,2025-11-28 09:29:33.393902,0 days 00:00:01.546188,1.6630313327915047,0.008970585307554462,11,222,COMPLETE
4,0.8552123163317372,2025-11-28 09:29:33.393936,2025-11-28 09:29:34.337671,0 days 00:00:00.943735,3.535664260790945,0.02143131055969129,8,370,COMPLETE
5,0.8531512272567537,2025-11-28 09:29:34.337714,2025-11-28 09:29:34.923682,0 days 00:00:00.585968,3.3052497808466446,0.05437448138780024,3,388,COMPLETE
6,0.8503294013697029,2025-11-28 09:29:34.923725,2025-11-28 09:29:35.690407,0 days 00:00:00.766682,1.6606514148740936,0.006296580277022705,3,386,COMPLETE
7,0.7702689387325219,2025-11-28 09:29:35.690467,2025-11-28 09:29:35.998346,0 days 00:00:00.307879,2.4290062977678613,0.0013485584412551612,2,146,COMPLETE
8,0.847460450892721,2025-11-28 09:29:35.998405,2025-11-28 09:29:37.267466,0 days 00:00:01.269061,0.6760291413763525,0.0020885026671667735,6,396,COMPLETE
9,0.8538515578417819,2025-11-28 09:29:37.267508,2025-11-28 09:29:37.772179,0 days 00:00:00.504671,2.728834104549099,0.10879449998549767,5,349,COMPLETE
10,0.8563184936426051,2025-11-28 09:29:37.772216,2025-11-28 09:29:38.475748,0 days 00:00:00.703532,4.765993312300653,0.032035495083511424,9,317,COMPLETE
11,0.8558137875535085,2025-11-28 09:29:38.475788,2025-11-28 09:29:39.186622,0 days 00:00:00.710834,4.883337978679678,0.028927906340572816,9,301,COMPLETE
12,0.8542084025711916,2025-11-28 09:29:39.186659,2025-11-28 09:29:39.931632,0 days 00:00:00.744973,4.909343399955816,0.027055260514151594,10,297,COMPLETE
13,0.8557147813796895,2025-11-28 09:29:39.931680,2025-11-28 09:29:40.528328,0 days 00:00:00.596648,4.604356107873086,0.05026723059027892,9,291,COMPLETE
14,0.8555916436942972,2025-11-28 09:29:40.528366,2025-11-28 09:29:41.699020,0 days 00:00:01.170654,4.280075820295468,0.014590926659092174,12,309,COMPLETE
15,0.8519087045957082,2025-11-28 09:29:41.699059,2025-11-28 09:29:42.120330,0 days 00:00:00.421271,3.958430403539001,0.2569210068658627,8,255,COMPLETE
16,0.8549226282794548,2025-11-28 09:29:42.120392,2025-11-28 09:29:42.767161,0 days 00:00:00.646769,4.995618864017422,0.05009237248078674,10,331,COMPLETE
17,0.8560065881487006,2025-11-28 09:29:42.767220,2025-11-28 09:29:43.402542,0 days 00:00:00.635322,3.9912079457824077,0.03146749230729596,7,261,COMPLETE
18,0.8554352042923451,2025-11-28 09:29:43.402576,2025-11-28 09:29:44.458914,0 days 00:00:01.056338,4.031864871958952,0.011746977212655498,7,256,COMPLETE
19,0.8553156905313928,2025-11-28 09:29:44.458964,2025-11-28 09:29:44.874517,0 days 00:00:00.415553,3.7875768762549114,0.10625964609398307,7,223,COMPLETE
20,0.8572030904994234,2025-11-28 09:29:44.874579,2025-11-28 09:29:45.407783,0 days 00:00:00.533204,4.261542951824788,0.03848583611032364,5,262,COMPLETE
21,0.8555109291970828,2025-11-28 09:29:45.407832,2025-11-28 09:29:45.914628,0 days 00:00:00.506796,4.471087024699433,0.046258547921767625,5,273,COMPLETE
22,0.854914196180547,2025-11-28 09:29:45.914679,2025-11-28 09:29:46.494850,0 days 00:00:00.580171,4.301280814700053,0.031312661914957844,6,226,COMPLETE
23,0.8559460998678485,2025-11-28 09:29:46.494886,2025-11-28 09:29:47.062257,0 days 00:00:00.567371,3.0765851159635074,0.07470420116161285,8,317,COMPLETE
24,0.8565289704906498,2025-11-28 09:29:47.062306,2025-11-28 09:29:47.743446,0 days 00:00:00.681140,3.551077005380211,0.01609783465372597,6,198,COMPLETE
25,0.8558189418555925,2025-11-28 09:29:47.743492,2025-11-28 09:29:48.228651,0 days 00:00:00.485159,3.6574603178322227,0.016651488791676213,4,180,COMPLETE
26,0.8558812303416176,2025-11-28 09:29:48.228687,2025-11-28 09:29:48.893522,0 days 00:00:00.664835,4.4250207722325685,0.00760520980695669,6,197,COMPLETE
27,0.8460271190427282,2025-11-28 09:29:48.893557,2025-11-28 09:29:49.700009,0 days 00:00:00.806452,1.9022389591400513,0.0038327585188549238,4,336,COMPLETE
28,0.8555526086768502,2025-11-28 09:29:49.700048,2025-11-28 09:29:50.791206,0 days 00:00:01.091158,2.839116060113172,0.011941846141508387,9,235,COMPLETE
29,0.8469518759908329,2025-11-28 09:29:50.791241,2025-11-28 09:29:51.470057,0 days 00:00:00.678816,2.2618311953227024,0.003959066087176997,6,195,COMPLETE
30,0.8544160341453508,2025-11-28 09:29:51.470092,2025-11-28 09:29:51.780768,0 days 00:00:00.310676,3.4821639131617683,0.20418347686941338,4,172,COMPLETE
31,0.8554954840412267,2025-11-28 09:29:51.780813,2025-11-28 09:29:52.419053,0 days 00:00:00.638240,4.149925152383477,0.03397053354405532,7,269,COMPLETE
32,0.854841684990922,2025-11-28 09:29:52.419090,2025-11-28 09:29:53.284178,0 days 00:00:00.865088,3.7354656789023792,0.020447588972214,8,282,COMPLETE
33,0.8543806898392688,2025-11-28 09:29:53.284214,2025-11-28 09:29:53.711327,0 days 00:00:00.427113,4.6715167069554875,0.07455814684131154,5,252,COMPLETE
34,0.8557021683973005,2025-11-28 09:29:53.711367,2025-11-28 09:29:54.278771,0 days 00:00:00.567404,4.111489202428936,0.036917282667658396,7,211,COMPLETE
35,0.8477349012013526,2025-11-28 09:29:54.278822,2025-11-28 09:29:55.396426,0 days 00:00:01.117604,0.22964533304837564,0.022502768269254875,10,148,COMPLETE
36,0.8555376282817662,2025-11-28 09:29:55.396461,2025-11-28 09:29:55.725405,0 days 00:00:00.328944,3.337972597728591,0.06993238062716772,6,101,COMPLETE
37,0.8556280183849523,2025-11-28 09:29:55.725449,2025-11-28 09:29:56.427764,0 days 00:00:00.702315,3.0574856885795616,0.011617446627299856,5,242,COMPLETE
38,0.8527831371621837,2025-11-28 09:29:56.427835,2025-11-28 09:29:57.515350,0 days 00:00:01.087515,3.879883748368994,0.005330693641510198,11,209,COMPLETE
39,0.8569812619781437,2025-11-28 09:29:57.515393,2025-11-28 09:29:58.167996,0 days 00:00:00.652603,4.594234009526454,0.008543667110352307,7,169,COMPLETE
40,0.8247366593204767,2025-11-28 09:29:58.168032,2025-11-28 09:29:58.492284,0 days 00:00:00.324252,4.607072528894901,0.0029405420427187075,2,171,COMPLETE
41,0.8566461912892267,2025-11-28 09:29:58.492319,2025-11-28 09:29:59.116258,0 days 00:00:00.623939,4.821740827341675,0.00829271083050052,7,163,COMPLETE
42,0.8527768701547828,2025-11-28 09:29:59.116297,2025-11-28 09:29:59.665771,0 days 00:00:00.549474,4.684766848670646,0.0081566838542892,8,123,COMPLETE
43,0.8489057520443056,2025-11-28 09:29:59.665806,2025-11-28 09:30:00.243065,0 days 00:00:00.577259,4.763124221464156,0.005747776732175822,6,158,COMPLETE
44,0.8568071906761865,2025-11-28 09:30:00.243114,2025-11-28 09:30:01.251506,0 days 00:00:01.008392,4.409403771674138,0.010187674645601882,5,371,COMPLETE
45,0.8545660436374305,2025-11-28 09:30:01.251547,2025-11-28 09:30:02.284463,0 days 00:00:01.032916,1.0650411266750637,0.010506715683097165,5,369,COMPLETE
46,0.8430789777516505,2025-11-28 09:30:02.284498,2025-11-28 09:30:02.671685,0 days 00:00:00.387187,4.339750127689084,0.007240792694682425,4,132,COMPLETE
