number,value,datetime_start,datetime_complete,duration,params_gamma,params_learning_rate,params_max_depth,params_n_estimators,state
0,0.827088130520427,2025-11-28 09:27:02.080234,2025-11-28 09:27:02.497842,0 days 00:00:00.417608,2.4995174558368256,0.23172743402037813,4,262,COMPLETE
1,0.8250097250934896,2025-11-28 09:27:02.497899,2025-11-28 09:27:03.513975,0 days 00:00:01.016076,1.6104563040971875,0.016693948837227277,7,231,COMPLETE
2,0.8024056181587451,2025-11-28 09:27:03.514011,2025-11-28 09:27:04.149792,0 days 00:00:00.635781,4.945715969168293,0.0015218843575987141,3,296,COMPLETE
3,0.8219356791429512,2025-11-28 09:27:04.149828,2025-11-28 09:27:04.636047,0 days 00:00:00.486219,4.468999757187379,0.017938071724904307,5,149,COMPLETE
4,0.8270817019085286,2025-11-28 09:27:04.636087,2025-11-28 09:27:05.093888,0 days 00:00:00.457801,4.008855201976967,0.10313290666634081,6,250,COMPLETE
5,0.8174797758465966,2025-11-28 09:27:05.093937,2025-11-28 09:27:06.052048,0 days 00:00:00.958111,0.694621238010717,0.0076660728165802985,6,255,COMPLETE
6,0.8165648818106505,2025-11-28 09:27:06.052098,2025-11-28 09:27:07.035098,0 days 00:00:00.983000,4.494442444766476,0.0037163405896454373,5,337,COMPLETE
7,0.8224114706307116,2025-11-28 09:27:07.035143,2025-11-28 09:27:08.010715,0 days 00:00:00.975572,3.173852394918474,0.007937788806241212,10,173,COMPLETE
8,0.8174163753605791,2025-11-28 09:27:08.010759,2025-11-28 09:27:08.429463,0 days 00:00:00.418704,1.298248743571131,0.02478047861866367,2,211,COMPLETE
9,0.8129605025111353,2025-11-28 09:27:08.429510,2025-11-28 09:27:09.019007,0 days 00:00:00.589497,1.9408444200634034,0.005934380552766043,7,128,COMPLETE
10,0.8238367928158675,2025-11-28 09:27:09.019060,2025-11-28 09:27:09.627095,0 days 00:00:00.608035,3.050509723107482,0.2644053624254994,10,388,COMPLETE
11,0.8290626288155452,2025-11-28 09:27:09.627155,2025-11-28 09:27:10.084415,0 days 00:00:00.457260,3.602901491313192,0.24168520788249845,4,288,COMPLETE
12,0.8281618625248093,2025-11-28 09:27:10.084459,2025-11-28 09:27:10.552661,0 days 00:00:00.468202,2.699086399316058,0.2654918577946702,3,305,COMPLETE
13,0.8247074540980635,2025-11-28 09:27:10.552696,2025-11-28 09:27:11.080666,0 days 00:00:00.527970,3.465673981860406,0.07040244757757966,2,324,COMPLETE
14,0.8287556473667965,2025-11-28 09:27:11.080710,2025-11-28 09:27:11.710687,0 days 00:00:00.629977,2.473527521862499,0.09623140718998344,4,394,COMPLETE
15,0.8280324843706369,2025-11-28 09:27:11.710729,2025-11-28 09:27:12.453099,0 days 00:00:00.742370,3.6620884081622704,0.07939895799973512,12,394,COMPLETE
16,0.8298473451192322,2025-11-28 09:27:12.453148,2025-11-28 09:27:13.337477,0 days 00:00:00.884329,2.272099155913491,0.03601172610227413,8,357,COMPLETE
17,0.8264065207138321,2025-11-28 09:27:13.337539,2025-11-28 09:27:15.145243,0 days 00:00:01.807704,0.21817964403391477,0.03682624984250667,9,351,COMPLETE
18,0.827036162224368,2025-11-28 09:27:15.145292,2025-11-28 09:27:15.989629,0 days 00:00:00.844337,2.0828563907362,0.048074505427818964,9,357,COMPLETE
19,0.8267157346077898,2025-11-28 09:27:15.989664,2025-11-28 09:27:16.564562,0 days 00:00:00.574898,1.1499768263681296,0.16125424663278634,8,291,COMPLETE
20,0.818763926865692,2025-11-28 09:27:16.564598,2025-11-28 09:27:17.901103,0 days 00:00:01.336505,2.874258768341171,0.0014679132945827301,12,190,COMPLETE
21,0.8303192898652471,2025-11-28 09:27:17.901152,2025-11-28 09:27:18.501720,0 days 00:00:00.600568,2.287186711711195,0.11471058458657507,4,371,COMPLETE
22,0.8274330718332632,2025-11-28 09:27:18.501757,2025-11-28 09:27:19.075145,0 days 00:00:00.573388,1.9241965154912561,0.15733730724373773,5,359,COMPLETE
23,0.8261938820232363,2025-11-28 09:27:19.075181,2025-11-28 09:27:19.772817,0 days 00:00:00.697636,3.5805559186267795,0.04427497108012335,7,318,COMPLETE
24,0.8307404633941957,2025-11-28 09:27:19.772853,2025-11-28 09:27:20.282074,0 days 00:00:00.509221,2.2968658224062173,0.13565712449366377,4,281,COMPLETE
25,0.8287953345271643,2025-11-28 09:27:20.282109,2025-11-28 09:27:20.899628,0 days 00:00:00.617519,2.0818228658446083,0.12853013748505276,6,371,COMPLETE
26,0.8291537662961833,2025-11-28 09:27:20.899667,2025-11-28 09:27:21.853419,0 days 00:00:00.953752,2.356274759740903,0.028679983032910604,8,340,COMPLETE
27,0.8269205198562541,2025-11-28 09:27:21.853470,2025-11-28 09:27:22.154624,0 days 00:00:00.301154,1.4052569533045889,0.0589046652296075,3,104,COMPLETE
28,0.8289734699609985,2025-11-28 09:27:22.154661,2025-11-28 09:27:24.153150,0 days 00:00:01.998489,1.7160787857666826,0.01214217290723803,8,372,COMPLETE
29,0.8326755776766561,2025-11-28 09:27:24.153205,2025-11-28 09:27:24.651217,0 days 00:00:00.498012,0.8716794683710551,0.15336338524678256,4,283,COMPLETE
30,0.8293788569768429,2025-11-28 09:27:24.651259,2025-11-28 09:27:25.150251,0 days 00:00:00.498992,0.8587298467774869,0.16898653226936824,4,273,COMPLETE
31,0.8275485332571566,2025-11-28 09:27:25.150298,2025-11-28 09:27:25.804413,0 days 00:00:00.654115,0.18538429278566093,0.11223671384116572,4,271,COMPLETE
32,0.8276882055462369,2025-11-28 09:27:25.804456,2025-11-28 09:27:26.226306,0 days 00:00:00.421850,2.383658608222557,0.17336645385407023,5,232,COMPLETE
33,0.8300606189186709,2025-11-28 09:27:26.226349,2025-11-28 09:27:26.862282,0 days 00:00:00.635933,0.7030081896877385,0.05811923123863158,3,320,COMPLETE
34,0.8309418968991036,2025-11-28 09:27:26.862323,2025-11-28 09:27:27.496985,0 days 00:00:00.634662,0.4718806328533089,0.06852144563407951,3,313,COMPLETE
35,0.8278490580174932,2025-11-28 09:27:27.497034,2025-11-28 09:27:27.919150,0 days 00:00:00.422116,0.3913200077926611,0.07934332136398921,2,221,COMPLETE
36,0.827838170939045,2025-11-28 09:27:27.919196,2025-11-28 09:27:28.361221,0 days 00:00:00.442025,0.9900584919860607,0.20572976296639545,3,254,COMPLETE
37,0.8291175056982727,2025-11-28 09:27:28.361273,2025-11-28 09:27:28.979043,0 days 00:00:00.617770,0.4863609055973496,0.12397409466620357,4,306,COMPLETE
38,0.810725116225516,2025-11-28 09:27:28.979083,2025-11-28 09:27:29.990467,0 days 00:00:01.011384,1.5659148572830988,0.0022698352582902126,6,278,COMPLETE
39,0.8177168233349944,2025-11-28 09:27:29.990505,2025-11-28 09:27:30.601046,0 days 00:00:00.610541,0.03918487893086109,0.016824559601019255,2,328,COMPLETE
40,0.8297516874100339,2025-11-28 09:27:30.601083,2025-11-28 09:27:31.150285,0 days 00:00:00.549202,1.0650696766458077,0.09366699748606142,5,234,COMPLETE
41,0.8290687369364445,2025-11-28 09:27:31.150325,2025-11-28 09:27:31.784200,0 days 00:00:00.633875,0.761130122767077,0.050145289342196545,3,306,COMPLETE
42,0.8266772049663291,2025-11-28 09:27:31.784241,2025-11-28 09:27:32.322173,0 days 00:00:00.537932,0.5276529946715768,0.06925501302864402,2,316,COMPLETE
43,0.8307759918652458,2025-11-28 09:27:32.322213,2025-11-28 09:27:32.811663,0 days 00:00:00.489450,1.290720047315929,0.14451015532135486,3,285,COMPLETE
44,0.8300939284981578,2025-11-28 09:27:32.811701,2025-11-28 09:27:33.285363,0 days 00:00:00.473662,1.3437366893637257,0.2050016506514633,4,287,COMPLETE
45,0.829767645893417,2025-11-28 09:27:33.285413,2025-11-28 09:27:33.690122,0 days 00:00:00.404709,2.7629695211987997,0.2884124569239998,3,264,COMPLETE
46,0.8260475072932998,2025-11-28 09:27:33.690186,2025-11-28 09:27:34.144901,0 days 00:00:00.454715,1.610878294940668,0.13936607153934033,5,252,COMPLETE
47,0.8277592233903317,2025-11-28 09:27:34.144951,2025-11-28 09:27:34.666590,0 days 00:00:00.521639,1.8154126715509327,0.20883092522591998,4,339,COMPLETE
48,0.8263294889985063,2025-11-28 09:27:34.666625,2025-11-28 09:27:35.127352,0 days 00:00:00.460727,3.1522860505546246,0.09764634902652482,6,243,COMPLETE
49,0.8218596254128956,2025-11-28 09:27:35.127402,2025-11-28 09:27:35.572716,0 days 00:00:00.445314,1.1944384058109108,0.02363833678858307,3,201,COMPLETE
50,0.8284603076948078,2025-11-28 09:27:35.572759,2025-11-28 09:27:36.160516,0 days 00:00:00.587757,1.5247333635841418,0.2978556680346881,2,300,COMPLETE
51,0.8298947967915951,2025-11-28 09:27:36.160556,2025-11-28 09:27:36.615526,0 days 00:00:00.454970,1.353742325835558,0.20148321438685646,4,290,COMPLETE
52,0.830572886217424,2025-11-28 09:27:36.615579,2025-11-28 09:27:37.149331,0 days 00:00:00.533752,0.8725635166870509,0.11725815157419685,4,277,COMPLETE
53,0.8312765103494147,2025-11-28 09:27:37.149374,2025-11-28 09:27:37.641873,0 days 00:00:00.492499,1.0186167849621637,0.11425377163045156,3,279,COMPLETE
54,0.8305866495801716,2025-11-28 09:27:37.641909,2025-11-28 09:27:38.161670,0 days 00:00:00.519761,0.9872750151898952,0.08606883029829958,3,264,COMPLETE
55,0.8265585434889096,2025-11-28 09:27:38.161705,2025-11-28 09:27:38.626260,0 days 00:00:00.464555,0.6032785186213632,0.08632175377939103,2,262,COMPLETE
56,0.8271613502636395,2025-11-28 09:27:38.626308,2025-11-28 09:27:39.106436,0 days 00:00:00.480128,4.145302125710385,0.0746756180942328,3,284,COMPLETE
57,0.8294703682970909,2025-11-28 09:27:39.106486,2025-11-28 09:27:39.548503,0 days 00:00:00.442017,0.3734740870011885,0.14695837768915335,2,245,COMPLETE
58,0.8278527262378341,2025-11-28 09:27:39.548546,2025-11-28 09:27:40.143539,0 days 00:00:00.594993,1.0105462296126047,0.03435736622765251,3,298,COMPLETE
59,0.8275966859550872,2025-11-28 09:27:40.143584,2025-11-28 09:27:40.606934,0 days 00:00:00.463350,4.842249367921218,0.06180277502792621,3,266,COMPLETE
60,0.827218884819952,2025-11-28 09:27:40.606982,2025-11-28 09:27:41.004045,0 days 00:00:00.397063,1.20401256157342,0.23316728625537597,5,215,COMPLETE
61,0.8303440168750444,2025-11-28 09:27:41.004096,2025-11-28 09:27:41.547455,0 days 00:00:00.543359,0.8410051624567527,0.10660591592280094,4,276,COMPLETE
62,0.8305553726766839,2025-11-28 09:27:41.547497,2025-11-28 09:27:42.037881,0 days 00:00:00.490384,0.8453562012187591,0.13916375294306138,3,282,COMPLETE
63,0.8226282126390518,2025-11-28 09:27:42.037932,2025-11-28 09:27:42.737359,0 days 00:00:00.699427,0.2013082735418561,0.1777750343474959,4,311,COMPLETE
64,0.8314450048847503,2025-11-28 09:27:42.737411,2025-11-28 09:27:43.285186,0 days 00:00:00.547775,1.0108551105127472,0.11097293037355123,4,293,COMPLETE
65,0.8278890385180233,2025-11-28 09:27:43.285222,2025-11-28 09:27:43.948495,0 days 00:00:00.663273,0.6280796115186034,0.08267494050478248,5,296,COMPLETE
66,0.8200633295597205,2025-11-28 09:27:43.948546,2025-11-28 09:27:44.612567,0 days 00:00:00.664021,0.9947531344912596,0.011320774870220388,3,325,COMPLETE
67,0.8242127692180935,2025-11-28 09:27:44.612617,2025-11-28 09:27:45.081158,0 days 00:00:00.468541,2.0874664161264644,0.04449401808049997,2,260,COMPLETE
68,0.8293682740046225,2025-11-28 09:27:45.081216,2025-11-28 09:27:45.594174,0 days 00:00:00.512958,0.4209953340820067,0.10335444831936734,3,244,COMPLETE
69,0.8282663656029445,2025-11-28 09:27:45.594216,2025-11-28 09:27:46.241428,0 days 00:00:00.647212,1.1639645219461034,0.06713855727914272,6,296,COMPLETE
70,0.828954342766913,2025-11-28 09:27:46.241464,2025-11-28 09:27:46.714355,0 days 00:00:00.472891,1.4904573869811988,0.13128012959111574,4,270,COMPLETE
71,0.8027724430629013,2025-11-28 09:27:46.714404,2025-11-28 09:27:47.397771,0 days 00:00:00.683367,0.9242932280769155,0.0010470996057240468,4,288,COMPLETE
72,0.8242351781512343,2025-11-28 09:27:47.397806,2025-11-28 09:27:48.168001,0 days 00:00:00.770195,0.7260653433498219,0.12562794504781885,11,332,COMPLETE
73,0.8278471182246655,2025-11-28 09:27:48.168039,2025-11-28 09:27:48.794848,0 days 00:00:00.626809,0.2987543126856823,0.1607689990454502,5,276,COMPLETE
74,0.8266042837977281,2025-11-28 09:27:48.794886,2025-11-28 09:27:49.452968,0 days 00:00:00.658082,0.5873360571833595,0.11152609552275727,7,313,COMPLETE
75,0.8291691440754256,2025-11-28 09:27:49.453004,2025-11-28 09:27:49.946130,0 days 00:00:00.493126,1.263641058081034,0.09089295374906783,3,258,COMPLETE
76,0.8291891647647764,2025-11-28 09:27:49.946181,2025-11-28 09:27:50.462379,0 days 00:00:00.516198,1.087731043055634,0.05447472103538042,5,157,COMPLETE
77,0.8292827068471986,2025-11-28 09:27:50.462427,2025-11-28 09:27:50.954654,0 days 00:00:00.492227,0.7924402019092105,0.24827005740428676,4,304,COMPLETE
78,0.8285225752953173,2025-11-28 09:27:50.954695,2025-11-28 09:27:51.482583,0 days 00:00:00.527888,1.7144348975020902,0.17959063684244783,4,349,COMPLETE
79,0.8290347471937741,2025-11-28 09:27:51.482624,2025-11-28 09:27:51.956755,0 days 00:00:00.474131,1.417793905914449,0.11482598501228795,3,270,COMPLETE
80,0.8292928540307718,2025-11-28 09:27:51.956796,2025-11-28 09:27:52.438049,0 days 00:00:00.481253,0.058626037087221805,0.14992567174261168,2,280,COMPLETE
81,0.8287747730773383,2025-11-28 09:27:52.438090,2025-11-28 09:27:52.944101,0 days 00:00:00.506011,0.9033073659404558,0.1403816198408548,3,284,COMPLETE
82,0.8310689617229962,2025-11-28 09:27:52.944145,2025-11-28 09:27:53.531054,0 days 00:00:00.586909,0.7219931734738019,0.08194187162149223,3,294,COMPLETE
83,0.831201234273313,2025-11-28 09:27:53.531095,2025-11-28 09:27:54.086010,0 days 00:00:00.554915,2.601284882728602,0.07666150904448701,4,293,COMPLETE
84,0.8268665197480523,2025-11-28 09:27:54.086045,2025-11-28 09:27:54.595348,0 days 00:00:00.509303,2.659158726807122,0.0685883548628156,2,311,COMPLETE
85,0.8285480083063007,2025-11-28 09:27:54.595384,2025-11-28 09:27:55.091942,0 days 00:00:00.496558,2.6601692960804715,0.07981620824111363,3,294,COMPLETE
86,0.8275133926230673,2025-11-28 09:27:55.091984,2025-11-28 09:27:55.664435,0 days 00:00:00.572451,2.9706925834012807,0.040987926478473914,3,304,COMPLETE
87,0.8162771731451158,2025-11-28 09:27:55.664485,2025-11-28 09:27:56.475843,0 days 00:00:00.811358,3.3259928206471843,0.005860444079650721,4,319,COMPLETE
88,0.8272073658340375,2025-11-28 09:27:56.475900,2025-11-28 09:27:56.898568,0 days 00:00:00.422668,2.5431303424264162,0.08836769976143316,2,238,COMPLETE
89,0.8311754032804843,2025-11-28 09:27:56.898607,2025-11-28 09:27:57.471814,0 days 00:00:00.573207,2.196073541992757,0.05578135971289304,4,293,COMPLETE
90,0.8298965341189805,2025-11-28 09:27:57.471859,2025-11-28 09:27:58.058264,0 days 00:00:00.586405,2.1774125792289287,0.0546512812248731,4,289,COMPLETE
91,0.8280893128111442,2025-11-28 09:27:58.058318,2025-11-28 09:27:58.561077,0 days 00:00:00.502759,1.9116254014586205,0.09837979606327626,5,251,COMPLETE
92,0.8280638212607621,2025-11-28 09:27:58.561128,2025-11-28 09:27:59.078851,0 days 00:00:00.517723,2.4974930415464733,0.062071140548641685,3,266,COMPLETE
93,0.8308972006953373,2025-11-28 09:27:59.078897,2025-11-28 09:27:59.744127,0 days 00:00:00.665230,0.6585538022381214,0.07450243319122642,4,300,COMPLETE
94,0.8293992867696005,2025-11-28 09:27:59.744172,2025-11-28 09:28:00.468086,0 days 00:00:00.723914,0.5019202543299552,0.051646184660728706,4,300,COMPLETE
95,0.8291806399635364,2025-11-28 09:28:00.468128,2025-11-28 09:28:01.178634,0 days 00:00:00.710506,2.840240617823242,0.02578752318430031,4,311,COMPLETE
96,0.8301850939177751,2025-11-28 09:28:01.178671,2025-11-28 09:28:01.700205,0 days 00:00:00.521534,0.6369749753926361,0.19146454166713303,5,293,COMPLETE
97,0.8293773803222454,2025-11-28 09:28:01.700240,2025-11-28 09:28:02.283105,0 days 00:00:00.582865,2.3683748889075864,0.07307235118756154,4,334,COMPLETE
98,0.830154006198617,2025-11-28 09:28:02.283142,2025-11-28 09:28:03.174978,0 days 00:00:00.891836,0.7023749112299643,0.03909889104855629,5,322,COMPLETE
99,0.8319600832137899,2025-11-28 09:28:03.175014,2025-11-28 09:28:03.681831,0 days 00:00:00.506817,1.6794689249649837,0.10348462795558017,4,283,COMPLETE
