number,value,datetime_start,datetime_complete,duration,params_gamma,params_learning_rate,params_max_depth,params_n_estimators,state
0,0.8928779452757667,2025-11-28 09:14:50.986383,2025-11-28 09:14:51.408513,0 days 00:00:00.422130,3.0654027694576698,0.18298299940634943,3,142,COMPLETE
1,0.89034841818385,2025-11-28 09:14:51.408558,2025-11-28 09:14:53.116062,0 days 00:00:01.707504,0.24947723555370727,0.007351838920489237,6,354,COMPLETE
2,0.8933536883274827,2025-11-28 09:14:53.116102,2025-11-28 09:14:54.540196,0 days 00:00:01.424094,1.3027487080333644,0.017399135373495717,8,205,COMPLETE
3,0.8944816080775709,2025-11-28 09:14:54.540250,2025-11-28 09:14:55.385434,0 days 00:00:00.845184,3.5950922432936143,0.028934747479843096,7,143,COMPLETE
4,0.894426422960626,2025-11-28 09:14:55.385470,2025-11-28 09:14:55.912972,0 days 00:00:00.527502,1.5386320705998275,0.12623848442835436,4,162,COMPLETE
5,0.8920185678143697,2025-11-28 09:14:55.913009,2025-11-28 09:14:59.746831,0 days 00:00:03.833822,0.06192234088278181,0.039559004328454744,12,343,COMPLETE
6,0.8951235766872516,2025-11-28 09:14:59.746869,2025-11-28 09:15:01.224758,0 days 00:00:01.477889,0.32904688095095,0.032308244548757456,6,342,COMPLETE
7,0.8711389869626046,2025-11-28 09:15:01.224795,2025-11-28 09:15:02.420264,0 days 00:00:01.195469,3.5598886265113414,0.00326077985350907,4,364,COMPLETE
8,0.8689978347148974,2025-11-28 09:15:02.420301,2025-11-28 09:15:03.145573,0 days 00:00:00.725272,2.6186247648292116,0.009666424900739786,2,320,COMPLETE
9,0.8943495211692511,2025-11-28 09:15:03.145610,2025-11-28 09:15:04.001549,0 days 00:00:00.855939,4.070955552409753,0.049103219571752926,5,216,COMPLETE
10,0.8067173043763931,2025-11-28 09:15:04.001585,2025-11-28 09:15:06.017826,0 days 00:00:02.016241,4.911363881363378,0.0010103870126873772,9,296,COMPLETE
11,0.8939093420945353,2025-11-28 09:15:06.017864,2025-11-28 09:15:07.098303,0 days 00:00:01.080439,1.5687875594968923,0.03745191184483317,10,109,COMPLETE
12,0.8956467737990526,2025-11-28 09:15:07.098340,2025-11-28 09:15:08.330429,0 days 00:00:01.232089,3.801590871639306,0.022659111269713293,7,280,COMPLETE
13,0.8953115613535292,2025-11-28 09:15:08.330466,2025-11-28 09:15:09.063375,0 days 00:00:00.732909,4.870124340556781,0.0842473056907144,7,278,COMPLETE
14,0.8955890553620744,2025-11-28 09:15:09.063412,2025-11-28 09:15:09.851312,0 days 00:00:00.787900,4.952506750871706,0.09650453634295361,10,272,COMPLETE
