number,value,datetime_start,datetime_complete,duration,params_gamma,params_learning_rate,params_max_depth,params_n_estimators,state
0,0.7615910437837569,2025-11-28 09:21:31.936693,2025-11-28 09:21:34.078407,0 days 00:00:02.141714,4.015159748257845,0.011143128143023002,11,397,COMPLETE
1,0.677205624583839,2025-11-28 09:21:34.078443,2025-11-28 09:21:34.652976,0 days 00:00:00.574533,0.6681696412535321,0.006543607694128919,5,152,COMPLETE
2,0.7704841885354851,2025-11-28 09:21:34.653012,2025-11-28 09:21:35.281908,0 days 00:00:00.628896,0.16860908455063273,0.0906208256645904,7,124,COMPLETE
3,0.7661692648716822,2025-11-28 09:21:35.281944,2025-11-28 09:21:35.940535,0 days 00:00:00.658591,4.700986283260862,0.09085160500435967,6,370,COMPLETE
4,0.7636670898410893,2025-11-28 09:21:35.940590,2025-11-28 09:21:36.380219,0 days 00:00:00.439629,1.3629058884405731,0.2260878050372197,7,177,COMPLETE
5,0.7348441957931009,2025-11-28 09:21:36.380255,2025-11-28 09:21:37.559976,0 days 00:00:01.179721,4.503299277386369,0.005571329587434349,10,185,COMPLETE
6,0.7620946761964473,2025-11-28 09:21:37.560012,2025-11-28 09:21:39.084758,0 days 00:00:01.524746,1.075037204810732,0.029375904676248434,10,208,COMPLETE
7,0.7095644172371952,2025-11-28 09:21:39.084795,2025-11-28 09:21:42.230401,0 days 00:00:03.145606,2.7980351136560735,0.0015685443062522868,12,356,COMPLETE
8,0.7648096091958502,2025-11-28 09:21:42.230438,2025-11-28 09:21:42.883875,0 days 00:00:00.653437,4.448458013661601,0.08322142710976273,3,400,COMPLETE
9,0.0,2025-11-28 09:21:42.883910,2025-11-28 09:21:43.551145,0 days 00:00:00.667235,4.425116562896364,0.0010097181236969981,6,167,COMPLETE
10,0.7615142322280072,2025-11-28 09:21:43.551181,2025-11-28 09:21:44.216607,0 days 00:00:00.665426,0.0859429530122605,0.2614998208609753,8,112,COMPLETE
11,0.7646998359573101,2025-11-28 09:21:44.216642,2025-11-28 09:21:44.823825,0 days 00:00:00.607183,2.7347591605524317,0.06465064852920731,4,287,COMPLETE
12,0.7630475587513084,2025-11-28 09:21:44.823861,2025-11-28 09:21:45.597674,0 days 00:00:00.773813,1.7248028312586454,0.06577991999577372,8,278,COMPLETE
13,0.7464203869024131,2025-11-28 09:21:45.597711,2025-11-28 09:21:46.193736,0 days 00:00:00.596025,3.689833434401232,0.03355429896932457,2,327,COMPLETE
14,0.7665677976979243,2025-11-28 09:21:46.193772,2025-11-28 09:21:46.673992,0 days 00:00:00.480220,2.369060746839199,0.14072114082376805,6,228,COMPLETE
15,0.7620936519201685,2025-11-28 09:21:46.674027,2025-11-28 09:21:47.229155,0 days 00:00:00.555128,1.7801883188749912,0.1439208889817141,8,232,COMPLETE
16,0.7509943604488373,2025-11-28 09:21:47.229200,2025-11-28 09:21:47.666145,0 days 00:00:00.436945,3.4039580675512138,0.030273628077018236,5,108,COMPLETE
17,0.761041947655418,2025-11-28 09:21:47.666194,2025-11-28 09:21:48.246561,0 days 00:00:00.580367,2.0847736355926454,0.1515305266354751,9,264,COMPLETE
18,0.7353540413822207,2025-11-28 09:21:48.246603,2025-11-28 09:21:48.880608,0 days 00:00:00.634005,0.03632518000169985,0.014669904304713469,6,140,COMPLETE
19,0.7697589975705224,2025-11-28 09:21:48.880645,2025-11-28 09:21:49.524225,0 days 00:00:00.643580,0.7427548577805599,0.04447759558591988,4,229,COMPLETE
