number,value,datetime_start,datetime_complete,duration,params_gamma,params_learning_rate,params_max_depth,params_n_estimators,state
0,0.909560515390873,2025-11-28 09:24:57.199712,2025-11-28 09:24:58.623335,0 days 00:00:01.423623,4.037362264678111,0.009626522944913474,6,395,COMPLETE
1,0.8804639212498555,2025-11-28 09:24:58.623370,2025-11-28 09:25:00.554000,0 days 00:00:01.930630,4.829800962147067,0.0013040488288617643,11,344,COMPLETE
2,0.9095099876193882,2025-11-28 09:25:00.554053,2025-11-28 09:25:02.189234,0 days 00:00:01.635181,1.074873614773542,0.021089572769410442,10,236,COMPLETE
3,0.9088667157000551,2025-11-28 09:25:02.189279,2025-11-28 09:25:02.799176,0 days 00:00:00.609897,4.766510114519126,0.03859309645908021,4,295,COMPLETE
4,0.9096073920464327,2025-11-28 09:25:02.799212,2025-11-28 09:25:03.181537,0 days 00:00:00.382325,3.688641280974008,0.1014040781055946,7,129,COMPLETE
5,0.9096402574253613,2025-11-28 09:25:03.181573,2025-11-28 09:25:04.276071,0 days 00:00:01.094498,1.8449365116820327,0.023156893982534243,7,308,COMPLETE
6,0.8931192437560911,2025-11-28 09:25:04.276108,2025-11-28 09:25:04.643561,0 days 00:00:00.367453,1.6550301333950168,0.007489459338930178,3,126,COMPLETE
7,0.9107262037865063,2025-11-28 09:25:04.643597,2025-11-28 09:25:05.875752,0 days 00:00:01.232155,3.448405500143311,0.01174378026370946,9,240,COMPLETE
8,0.9114020402304321,2025-11-28 09:25:05.875788,2025-11-28 09:25:06.306215,0 days 00:00:00.430427,4.758651976751296,0.10090928798274508,9,156,COMPLETE
9,0.9021941745935964,2025-11-28 09:25:06.306263,2025-11-28 09:25:06.848281,0 days 00:00:00.542018,3.4021398693553224,0.009158341691110966,3,213,COMPLETE
10,0.9082950826185415,2025-11-28 09:25:06.848321,2025-11-28 09:25:07.509953,0 days 00:00:00.661632,0.34063786290938225,0.2671089737871388,12,175,COMPLETE
11,0.8890368237319404,2025-11-28 09:25:07.509998,2025-11-28 09:25:08.598710,0 days 00:00:01.088712,2.8751877205579994,0.002730845706110336,9,183,COMPLETE
12,0.9103115375123798,2025-11-28 09:25:08.598751,2025-11-28 09:25:09.190047,0 days 00:00:00.591296,4.165447961187393,0.07115986432617948,8,268,COMPLETE
13,0.9096928998300658,2025-11-28 09:25:09.190087,2025-11-28 09:25:09.511325,0 days 00:00:00.321238,2.7870833586947805,0.24825558555057525,9,100,COMPLETE
14,0.8962437815093228,2025-11-28 09:25:09.511361,2025-11-28 09:25:10.132886,0 days 00:00:00.621525,4.423332428583784,0.003946843312997449,5,182,COMPLETE
15,0.9115078707228601,2025-11-28 09:25:10.132921,2025-11-28 09:25:10.693159,0 days 00:00:00.560238,3.4557609691579634,0.09329409530275122,10,222,COMPLETE
16,0.9084118772253464,2025-11-28 09:25:10.693200,2025-11-28 09:25:11.263320,0 days 00:00:00.570120,2.1350151344888952,0.10545801181289348,12,155,COMPLETE
17,0.9110224527494537,2025-11-28 09:25:11.263371,2025-11-28 09:25:11.831734,0 days 00:00:00.568363,4.960456990869596,0.058985338104600764,10,207,COMPLETE
18,0.9098673712049198,2025-11-28 09:25:11.831770,2025-11-28 09:25:12.411245,0 days 00:00:00.579475,3.1187457780191585,0.15138237501393706,11,273,COMPLETE
19,0.9115219186268867,2025-11-28 09:25:12.411297,2025-11-28 09:25:13.027494,0 days 00:00:00.616197,3.892892355510399,0.03787025091980555,8,148,COMPLETE
20,0.9104874519698452,2025-11-28 09:25:13.027534,2025-11-28 09:25:13.690875,0 days 00:00:00.663341,2.4518223217919872,0.036542185233443665,6,206,COMPLETE
21,0.9116052974996507,2025-11-28 09:25:13.690912,2025-11-28 09:25:14.312906,0 days 00:00:00.621994,3.8533138590506395,0.04550779033110196,10,143,COMPLETE
22,0.9110662754023263,2025-11-28 09:25:14.312942,2025-11-28 09:25:14.825639,0 days 00:00:00.512697,3.8526575525552036,0.04465100282056101,8,100,COMPLETE
23,0.911806415665696,2025-11-28 09:25:14.825688,2025-11-28 09:25:15.547281,0 days 00:00:00.721593,4.304954965690975,0.027048707638857826,10,130,COMPLETE
24,0.9100974112112272,2025-11-28 09:25:15.547317,2025-11-28 09:25:16.365735,0 days 00:00:00.818418,4.377229792804497,0.01577805329356283,11,133,COMPLETE
25,0.9112131113024542,2025-11-28 09:25:16.365776,2025-11-28 09:25:17.079881,0 days 00:00:00.714105,4.341022144919534,0.02717595914057248,8,154,COMPLETE
26,0.9091945551180549,2025-11-28 09:25:17.079919,2025-11-28 09:25:17.877539,0 days 00:00:00.797620,3.820349203852219,0.016075844590434395,10,130,COMPLETE
27,0.9023420389838168,2025-11-28 09:25:17.877582,2025-11-28 09:25:18.573687,0 days 00:00:00.696105,3.2794842337568624,0.005595029013094203,6,171,COMPLETE
28,0.9104790182554161,2025-11-28 09:25:18.573727,2025-11-28 09:25:19.107213,0 days 00:00:00.533486,2.9479608753131834,0.051709298315065357,8,116,COMPLETE
29,0.9124187186715306,2025-11-28 09:25:19.107266,2025-11-28 09:25:20.159749,0 days 00:00:01.052483,3.9268139454131945,0.0296161236625836,11,391,COMPLETE
30,0.9118710900063153,2025-11-28 09:25:20.159788,2025-11-28 09:25:21.278525,0 days 00:00:01.118737,4.080242995563455,0.02712646976551384,12,390,COMPLETE
31,0.9123109454138142,2025-11-28 09:25:21.278569,2025-11-28 09:25:22.330944,0 days 00:00:01.052375,4.129796016855299,0.02865089260764911,12,357,COMPLETE
32,0.9118475454207612,2025-11-28 09:25:22.331002,2025-11-28 09:25:23.357764,0 days 00:00:01.026762,4.531595728253639,0.029263666230873207,12,398,COMPLETE
33,0.9117994883281864,2025-11-28 09:25:23.357811,2025-11-28 09:25:24.903176,0 days 00:00:01.545365,4.619200903389966,0.014206972855482851,12,397,COMPLETE
34,0.9120593241736417,2025-11-28 09:25:24.903228,2025-11-28 09:25:26.124348,0 days 00:00:01.221120,4.0941867128515135,0.02176218232558646,12,369,COMPLETE
35,0.9123722342574663,2025-11-28 09:25:26.124385,2025-11-28 09:25:27.355460,0 days 00:00:01.231075,4.0882971916309305,0.020560956590497864,11,366,COMPLETE
36,0.9124491442334277,2025-11-28 09:25:27.355496,2025-11-28 09:25:28.670719,0 days 00:00:01.315223,3.605481792092259,0.019750515243197632,11,366,COMPLETE
37,0.911748058496395,2025-11-28 09:25:28.670755,2025-11-28 09:25:30.412855,0 days 00:00:01.742100,3.5345053175535983,0.010480013340997187,11,326,COMPLETE
38,0.8947062590111277,2025-11-28 09:25:30.412897,2025-11-28 09:25:32.886645,0 days 00:00:02.473748,2.643591417230663,0.0016040596686999334,11,356,COMPLETE
39,0.9117124664685987,2025-11-28 09:25:32.886680,2025-11-28 09:25:34.240066,0 days 00:00:01.353386,3.14619716371956,0.019530010126235203,11,333,COMPLETE
40,0.9112345664474981,2025-11-28 09:25:34.240102,2025-11-28 09:25:36.243250,0 days 00:00:02.003148,3.661903219052817,0.007310429792501432,11,368,COMPLETE
41,0.9119878467358473,2025-11-28 09:25:36.243315,2025-11-28 09:25:37.484006,0 days 00:00:01.240691,4.077258512133594,0.02065062103196353,12,375,COMPLETE
42,0.8962094634092338,2025-11-28 09:25:37.484042,2025-11-28 09:25:38.117928,0 days 00:00:00.633886,4.758253302840543,0.013532879166871488,2,349,COMPLETE
43,0.9081002373745986,2025-11-28 09:25:38.117978,2025-11-28 09:25:40.173158,0 days 00:00:02.055180,1.2008652292494437,0.0193222640954614,11,373,COMPLETE
44,0.9118196810307755,2025-11-28 09:25:40.173202,2025-11-28 09:25:41.082905,0 days 00:00:00.909703,4.164247819274747,0.03465586440135192,12,308,COMPLETE
45,0.9109954834250974,2025-11-28 09:25:41.082941,2025-11-28 09:25:42.953069,0 days 00:00:01.870128,3.623823648771271,0.008004201901238687,12,326,COMPLETE
46,0.9117012571554868,2025-11-28 09:25:42.953109,2025-11-28 09:25:43.689049,0 days 00:00:00.735940,4.6339745827628,0.06774558536936306,10,382,COMPLETE
47,0.9106991533269658,2025-11-28 09:25:43.689083,2025-11-28 09:25:45.254536,0 days 00:00:01.565453,4.961741503937666,0.011774506141557816,11,358,COMPLETE
48,0.9116705077087144,2025-11-28 09:25:45.254581,2025-11-28 09:25:46.367417,0 days 00:00:01.112836,3.2830779255870555,0.02293800023075548,9,337,COMPLETE
49,0.909386119526193,2025-11-28 09:25:46.367453,2025-11-28 09:25:48.059326,0 days 00:00:01.691873,3.960166992567856,0.006233311932489891,11,305,COMPLETE
