number,value,datetime_start,datetime_complete,duration,params_gamma,params_learning_rate,params_max_depth,params_n_estimators,state
0,0.8905780709342379,2025-11-28 09:16:52.614290,2025-11-28 09:16:53.259357,0 days 00:00:00.645067,4.117405415155542,0.023146949349617335,5,138,COMPLETE
1,0.8950596714311706,2025-11-28 09:16:53.259391,2025-11-28 09:16:54.118768,0 days 00:00:00.859377,4.459329512647333,0.03624829281021748,4,235,COMPLETE
2,0.8917549671288618,2025-11-28 09:16:54.118807,2025-11-28 09:16:55.660723,0 days 00:00:01.541916,2.0217442877088803,0.010820114484716615,9,209,COMPLETE
3,0.8905913337710094,2025-11-28 09:16:55.660760,2025-11-28 09:16:56.060184,0 days 00:00:00.399424,4.351465093934068,0.1704022444239165,2,138,COMPLETE
4,0.8855130856399368,2025-11-28 09:16:56.060220,2025-11-28 09:16:56.609230,0 days 00:00:00.549010,3.4076651680716177,0.03363327844442237,2,228,COMPLETE
5,0.8939360983270493,2025-11-28 09:16:56.609267,2025-11-28 09:16:57.559268,0 days 00:00:00.950001,1.6969400524332183,0.08698793253908142,8,366,COMPLETE
6,0.8947122558647109,2025-11-28 09:16:57.559305,2025-11-28 09:16:58.749781,0 days 00:00:01.190476,4.300266573954285,0.017763007005507293,7,243,COMPLETE
7,0.8928764479718365,2025-11-28 09:16:58.749818,2025-11-28 09:16:59.681984,0 days 00:00:00.932166,1.3638393383390341,0.1581542428622473,10,348,COMPLETE
8,0.869783830098734,2025-11-28 09:16:59.682026,2025-11-28 09:17:00.474426,0 days 00:00:00.792400,1.0673135922000998,0.005613932328198937,4,245,COMPLETE
9,0.8937259512475544,2025-11-28 09:17:00.474462,2025-11-28 09:17:01.192117,0 days 00:00:00.717655,3.0784152447717457,0.15484742414873287,10,295,COMPLETE
10,0.8319656884040416,2025-11-28 09:17:01.192154,2025-11-28 09:17:02.786994,0 days 00:00:01.594840,4.994262962690812,0.0020339543235720074,12,181,COMPLETE
11,0.8936509309149425,2025-11-28 09:17:02.787031,2025-11-28 09:17:04.133151,0 days 00:00:01.346120,0.3192420489484933,0.04444277540237962,6,297,COMPLETE
12,0.8847272819442065,2025-11-28 09:17:04.133189,2025-11-28 09:17:05.151862,0 days 00:00:01.018673,4.961126020628115,0.008493410750901705,4,293,COMPLETE
13,0.8954288627948589,2025-11-28 09:17:05.151898,2025-11-28 09:17:05.870680,0 days 00:00:00.718782,3.548563794966851,0.05863729582459017,7,182,COMPLETE
14,0.8953086312909839,2025-11-28 09:17:05.870716,2025-11-28 09:17:06.433450,0 days 00:00:00.562734,3.0755167241425556,0.062167281610939144,6,100,COMPLETE
15,0.8940921389306575,2025-11-28 09:17:06.433495,2025-11-28 09:17:07.099994,0 days 00:00:00.666499,2.9418307072198573,0.054588407422589635,7,106,COMPLETE
16,0.8924004831399677,2025-11-28 09:17:07.100029,2025-11-28 09:17:07.578583,0 days 00:00:00.478554,2.4406502043385663,0.29155181715387735,6,181,COMPLETE
17,0.8945824430025675,2025-11-28 09:17:07.578632,2025-11-28 09:17:08.092568,0 days 00:00:00.513936,3.6035272445292117,0.09438744571105626,8,100,COMPLETE
18,0.8319656884040416,2025-11-28 09:17:08.092610,2025-11-28 09:17:10.012715,0 days 00:00:01.920105,2.291638755178866,0.0011338808994009893,12,153,COMPLETE
19,0.8947492303280855,2025-11-28 09:17:10.012753,2025-11-28 09:17:10.707868,0 days 00:00:00.695115,2.916939976988324,0.07066015701168556,6,183,COMPLETE
20,0.8319656884040416,2025-11-28 09:17:10.707907,2025-11-28 09:17:11.833613,0 days 00:00:01.125706,3.644167246095271,0.0031258463914705333,10,125,COMPLETE
21,0.8952380324272864,2025-11-28 09:17:11.833650,2025-11-28 09:17:12.717140,0 days 00:00:00.883490,4.001268775600416,0.028760228468673987,4,269,COMPLETE
22,0.8913900651572865,2025-11-28 09:17:12.717176,2025-11-28 09:17:13.554815,0 days 00:00:00.837639,3.8943035759798734,0.025011007344837025,3,280,COMPLETE
23,0.8937016522468676,2025-11-28 09:17:13.554852,2025-11-28 09:17:14.950678,0 days 00:00:01.395826,3.2177570861416274,0.016797151141368524,5,400,COMPLETE
24,0.8950719132575695,2025-11-28 09:17:14.950713,2025-11-28 09:17:15.642914,0 days 00:00:00.692201,2.58320205451466,0.10554789221270934,5,265,COMPLETE
25,0.8933999782244152,2025-11-28 09:17:15.642951,2025-11-28 09:17:16.579339,0 days 00:00:00.936388,3.8766272573528893,0.05234354751338392,8,324,COMPLETE
26,0.8910415815257358,2025-11-28 09:17:16.579382,2025-11-28 09:17:17.075954,0 days 00:00:00.496572,4.63234036890662,0.29528542532019497,3,208,COMPLETE
27,0.8895549325504367,2025-11-28 09:17:17.075992,2025-11-28 09:17:17.982468,0 days 00:00:00.906476,2.7903894690907936,0.011076276813145243,7,157,COMPLETE
28,0.8944792996452909,2025-11-28 09:17:17.982502,2025-11-28 09:17:18.943658,0 days 00:00:00.961156,3.481974326473163,0.029587045781067522,6,204,COMPLETE
29,0.8873260271867306,2025-11-28 09:17:18.943695,2025-11-28 09:17:19.515990,0 days 00:00:00.572295,3.859716111426041,0.017787809911413693,5,123,COMPLETE
30,0.891812568339067,2025-11-28 09:17:19.516027,2025-11-28 09:17:20.242609,0 days 00:00:00.726582,4.072588607638677,0.0649963983946183,3,267,COMPLETE
31,0.8947713730245657,2025-11-28 09:17:20.242645,2025-11-28 09:17:20.903934,0 days 00:00:00.661289,2.638962293968935,0.10868014117018047,5,270,COMPLETE
32,0.8944600481702063,2025-11-28 09:17:20.903971,2025-11-28 09:17:21.666083,0 days 00:00:00.762112,2.1838227680222317,0.12666347471005854,5,317,COMPLETE
33,0.8951756963738393,2025-11-28 09:17:21.666118,2025-11-28 09:17:22.519711,0 days 00:00:00.853593,3.2848539568029453,0.03936089957202706,4,259,COMPLETE
34,0.894623426732174,2025-11-28 09:17:22.519748,2025-11-28 09:17:23.656814,0 days 00:00:01.137066,3.265939424251952,0.041224440552449185,4,230,COMPLETE
35,0.8942589730909333,2025-11-28 09:17:23.656856,2025-11-28 09:17:24.416769,0 days 00:00:00.759913,4.583746832064089,0.02816597220708119,4,218,COMPLETE
36,0.8818312668407225,2025-11-28 09:17:24.416806,2025-11-28 09:17:24.864202,0 days 00:00:00.447396,4.220428247128488,0.037181048503177785,2,163,COMPLETE
37,0.8946131006854401,2025-11-28 09:17:24.864238,2025-11-28 09:17:25.638136,0 days 00:00:00.773898,3.6006965599800673,0.07360061304542213,9,256,COMPLETE
38,0.8850580625927069,2025-11-28 09:17:25.638176,2025-11-28 09:17:26.250491,0 days 00:00:00.612315,1.8811943589751605,0.02057068356075178,3,198,COMPLETE
39,0.8928065964408027,2025-11-28 09:17:26.250526,2025-11-28 09:17:27.586186,0 days 00:00:01.335660,3.228549392206094,0.01429411560344133,8,228,COMPLETE
40,0.8893423324193315,2025-11-28 09:17:27.586242,2025-11-28 09:17:29.032736,0 days 00:00:01.446494,4.068588309434165,0.007396819319723235,6,320,COMPLETE
