number,value,datetime_start,datetime_complete,duration,params_gamma,params_learning_rate,params_max_depth,params_n_estimators,state
0,0.980724969478918,2025-11-28 09:22:34.899832,2025-11-28 09:22:35.393537,0 days 00:00:00.493705,1.1058361765375258,0.037251152321240974,7,259,COMPLETE
1,0.9816681275758254,2025-11-28 09:22:35.393588,2025-11-28 09:22:35.665686,0 days 00:00:00.272098,3.7282269856337624,0.07284246539406121,10,140,COMPLETE
2,0.9814632952858517,2025-11-28 09:22:35.665723,2025-11-28 09:22:36.263381,0 days 00:00:00.597658,0.49080769040681704,0.056618915922754164,9,281,COMPLETE
3,0.9808105343739728,2025-11-28 09:22:36.263418,2025-11-28 09:22:36.619195,0 days 00:00:00.355777,3.598608340808511,0.23299260030532962,2,285,COMPLETE
4,0.9808397399813945,2025-11-28 09:22:36.619239,2025-11-28 09:22:37.594487,0 days 00:00:00.975248,0.18756283180191846,0.016543399429966694,8,315,COMPLETE
5,0.978042513262223,2025-11-28 09:22:37.594524,2025-11-28 09:22:38.177886,0 days 00:00:00.583362,2.6039795213931463,0.003725194519842174,4,295,COMPLETE
6,0.9797863327704939,2025-11-28 09:22:38.177927,2025-11-28 09:22:38.839363,0 days 00:00:00.661436,2.332789367818634,0.005719624790631589,11,192,COMPLETE
7,0.9803717877893101,2025-11-28 09:22:38.839399,2025-11-28 09:22:39.272021,0 days 00:00:00.432622,0.1832767576500871,0.2847044182807732,11,220,COMPLETE
8,0.9729078720898633,2025-11-28 09:22:39.272064,2025-11-28 09:22:40.116683,0 days 00:00:00.844619,0.255627823135986,0.00199963086826373,5,348,COMPLETE
9,0.9729078720898633,2025-11-28 09:22:40.116722,2025-11-28 09:22:40.389138,0 days 00:00:00.272416,2.10964503265469,0.002924353442415893,2,150,COMPLETE
10,0.9806143978032225,2025-11-28 09:22:40.389174,2025-11-28 09:22:40.632643,0 days 00:00:00.243469,4.852972135608716,0.08423587735994123,12,128,COMPLETE
11,0.9815181426444048,2025-11-28 09:22:40.632679,2025-11-28 09:22:40.948622,0 days 00:00:00.315943,3.819412061336794,0.07608548200222609,9,190,COMPLETE
12,0.981379306893438,2025-11-28 09:22:40.948664,2025-11-28 09:22:41.272359,0 days 00:00:00.323695,4.122942345299908,0.020463390170105376,10,102,COMPLETE
13,0.9810343541761126,2025-11-28 09:22:41.272408,2025-11-28 09:22:41.577549,0 days 00:00:00.305141,3.4166395657893815,0.10111151099117692,9,179,COMPLETE
14,0.9809355916651397,2025-11-28 09:22:41.577585,2025-11-28 09:22:42.185613,0 days 00:00:00.608028,4.989390130593443,0.012906961810037386,6,205,COMPLETE
15,0.9814936187478853,2025-11-28 09:22:42.185649,2025-11-28 09:22:42.444251,0 days 00:00:00.258602,3.203267340076261,0.1353772137132807,8,139,COMPLETE
16,0.9816688117592418,2025-11-28 09:22:42.444291,2025-11-28 09:22:42.848099,0 days 00:00:00.403808,4.068447625053369,0.035261468812661845,12,228,COMPLETE
17,0.9813737372641393,2025-11-28 09:22:42.848140,2025-11-28 09:22:43.388824,0 days 00:00:00.540684,4.319789666019906,0.03124194392013942,12,384,COMPLETE
18,0.9810630730081661,2025-11-28 09:22:43.388865,2025-11-28 09:22:44.065587,0 days 00:00:00.676722,2.9209377206871143,0.009857213307239227,11,235,COMPLETE
19,0.9815197667592693,2025-11-28 09:22:44.065634,2025-11-28 09:22:44.395237,0 days 00:00:00.329603,4.294594226323294,0.038812906488488674,10,160,COMPLETE
20,0.9808578656238376,2025-11-28 09:22:44.395276,2025-11-28 09:22:44.762762,0 days 00:00:00.367486,1.745045739477702,0.1599578535185473,12,246,COMPLETE
21,0.9812132683345688,2025-11-28 09:22:44.762797,2025-11-28 09:22:45.097443,0 days 00:00:00.334646,4.346670591492265,0.03852436942909536,10,163,COMPLETE
22,0.9818192834569327,2025-11-28 09:22:45.097487,2025-11-28 09:22:45.420728,0 days 00:00:00.323241,4.002228452259418,0.026812047044779543,10,115,COMPLETE
23,0.9813798253731258,2025-11-28 09:22:45.420784,2025-11-28 09:22:45.752484,0 days 00:00:00.331700,3.840335889345924,0.02332613032914105,11,110,COMPLETE
24,0.9800898277877843,2025-11-28 09:22:45.752533,2025-11-28 09:22:46.175884,0 days 00:00:00.423351,2.9936197905607593,0.008527091979216226,8,123,COMPLETE
25,0.9729078720898633,2025-11-28 09:22:46.175920,2025-11-28 09:22:46.696966,0 days 00:00:00.521046,3.912331704076607,0.0010497774794702868,10,166,COMPLETE
26,0.98151882802791,2025-11-28 09:22:46.697002,2025-11-28 09:22:47.045618,0 days 00:00:00.348616,4.529266202528999,0.0600707123318625,12,211,COMPLETE
27,0.9810758161631166,2025-11-28 09:22:47.045662,2025-11-28 09:22:47.343362,0 days 00:00:00.297700,4.636564846352199,0.05144558132398912,7,139,COMPLETE
28,0.9812067456934399,2025-11-28 09:22:47.343410,2025-11-28 09:22:47.690369,0 days 00:00:00.346959,3.5139092467560453,0.025067673620630858,9,110,COMPLETE
29,0.9818043609498778,2025-11-28 09:22:47.690430,2025-11-28 09:22:48.038332,0 days 00:00:00.347902,2.626310924863688,0.12917809996247592,6,230,COMPLETE
30,0.9798073396976881,2025-11-28 09:22:48.038374,2025-11-28 09:22:48.417979,0 days 00:00:00.379605,1.420004460981993,0.15850938884469323,6,265,COMPLETE
31,0.9815307676739279,2025-11-28 09:22:48.418019,2025-11-28 09:22:48.746888,0 days 00:00:00.328869,2.7615365181137035,0.11330042705943416,4,224,COMPLETE
32,0.9814852006803122,2025-11-28 09:22:48.746924,2025-11-28 09:22:49.193299,0 days 00:00:00.446375,1.0597723897209268,0.05457579393266715,6,269,COMPLETE
33,0.9815102013436172,2025-11-28 09:22:49.193336,2025-11-28 09:22:49.673401,0 days 00:00:00.480065,3.285144965840012,0.03709643730691559,7,312,COMPLETE
