number,value,datetime_start,datetime_complete,duration,params_gamma,params_learning_rate,params_max_depth,params_n_estimators,state
0,0.7697870565769183,2025-11-28 09:30:45.943628,2025-11-28 09:30:46.835438,0 days 00:00:00.891810,4.4507103989791315,0.002021152482609322,12,177,COMPLETE
1,0.7930991669739147,2025-11-28 09:30:46.835474,2025-11-28 09:30:47.307313,0 days 00:00:00.471839,4.1179008880488785,0.07322787625098211,10,191,COMPLETE
2,0.7669448447400755,2025-11-28 09:30:47.307348,2025-11-28 09:30:48.003627,0 days 00:00:00.696279,2.49356427406129,0.0029768989170636463,8,146,COMPLETE
3,0.7965099666465705,2025-11-28 09:30:48.003679,2025-11-28 09:30:48.727881,0 days 00:00:00.724202,1.5613311664470548,0.017165655667455832,5,257,COMPLETE
4,0.7527906743247925,2025-11-28 09:30:48.727916,2025-11-28 09:30:49.088296,0 days 00:00:00.360380,3.9448618244039526,0.012542367120924778,2,194,COMPLETE
5,0.7836625420518178,2025-11-28 09:30:49.088335,2025-11-28 09:30:49.977813,0 days 00:00:00.889478,1.013843830729611,0.042739205863313326,11,255,COMPLETE
6,0.7886011782790217,2025-11-28 09:30:49.977857,2025-11-28 09:30:50.288481,0 days 00:00:00.310624,4.759652732833704,0.28992979583921624,7,172,COMPLETE
7,0.769205829490014,2025-11-28 09:30:50.288520,2025-11-28 09:30:50.899840,0 days 00:00:00.611320,4.692169743344008,0.0018799799167888201,7,165,COMPLETE
8,0.7952604627116531,2025-11-28 09:30:50.899878,2025-11-28 09:30:51.247159,0 days 00:00:00.347281,2.402884910165784,0.07339114307731646,5,152,COMPLETE
9,0.7832512295187872,2025-11-28 09:30:51.247209,2025-11-28 09:30:52.319472,0 days 00:00:01.072263,3.01723824854448,0.0047765238095548454,6,347,COMPLETE
10,0.7824188664217748,2025-11-28 09:30:52.319509,2025-11-28 09:30:52.910405,0 days 00:00:00.590896,0.1834923876916692,0.011974473522179067,3,302,COMPLETE
11,0.7883244864728864,2025-11-28 09:30:52.910455,2025-11-28 09:30:53.428498,0 days 00:00:00.518043,1.8578707893964796,0.04489316079340568,4,254,COMPLETE
12,0.7958662600969052,2025-11-28 09:30:53.428549,2025-11-28 09:30:53.696493,0 days 00:00:00.267944,1.5564247367992838,0.1499729134115152,5,102,COMPLETE
13,0.7905973345844953,2025-11-28 09:30:53.696543,2025-11-28 09:30:53.952299,0 days 00:00:00.255756,1.3107798532884665,0.2830333986305224,5,111,COMPLETE
14,0.7897458201412855,2025-11-28 09:30:53.952335,2025-11-28 09:30:54.773117,0 days 00:00:00.820782,0.6771999623554853,0.023438527380288284,4,373,COMPLETE
15,0.7836679528828571,2025-11-28 09:30:54.773167,2025-11-28 09:30:56.258680,0 days 00:00:01.485513,1.5518031645959707,0.0070024304465543235,9,289,COMPLETE
16,0.7867143696825643,2025-11-28 09:30:56.258722,2025-11-28 09:30:56.613723,0 days 00:00:00.355001,3.3049380942269218,0.14849626120760726,2,229,COMPLETE
17,0.746502496240536,2025-11-28 09:30:56.613765,2025-11-28 09:30:57.039708,0 days 00:00:00.425943,2.079436395001837,0.0010188685251960974,6,110,COMPLETE
18,0.788707472779967,2025-11-28 09:30:57.039747,2025-11-28 09:30:57.734541,0 days 00:00:00.694794,0.1391211714039442,0.023640653649794233,4,295,COMPLETE
19,0.7931080056117955,2025-11-28 09:30:57.734578,2025-11-28 09:30:58.162725,0 days 00:00:00.428147,3.080889924715035,0.10992736656789948,8,224,COMPLETE
20,0.793365883853298,2025-11-28 09:30:58.162776,2025-11-28 09:30:59.023147,0 days 00:00:00.860371,0.6078213073095472,0.03828175486678734,6,337,COMPLETE
21,0.7943755254771414,2025-11-28 09:30:59.023184,2025-11-28 09:30:59.347408,0 days 00:00:00.324224,2.100794263186171,0.09493970632834864,5,139,COMPLETE
22,0.7976144092819749,2025-11-28 09:30:59.347458,2025-11-28 09:30:59.635577,0 days 00:00:00.288119,2.5726686044146283,0.18007090112938537,5,136,COMPLETE
23,0.7951828845929654,2025-11-28 09:30:59.635620,2025-11-28 09:30:59.899424,0 days 00:00:00.263804,1.6275813692001655,0.16095065092073793,3,115,COMPLETE
24,0.779357688527333,2025-11-28 09:30:59.899474,2025-11-28 09:31:00.497128,0 days 00:00:00.597654,2.7735341096041086,0.008319705182162998,5,207,COMPLETE
