number,value,datetime_start,datetime_complete,duration,params_gamma,params_learning_rate,params_max_depth,params_n_estimators,state
0,0.8602513454249969,2025-11-28 09:20:26.086652,2025-11-28 09:20:26.544450,0 days 00:00:00.457798,4.634027996255255,0.12038508481097972,7,149,COMPLETE
1,0.8600618513155496,2025-11-28 09:20:26.544486,2025-11-28 09:20:27.873320,0 days 00:00:01.328834,0.4982122529805172,0.03876446056721665,7,247,COMPLETE
2,0.8590087422923244,2025-11-28 09:20:27.873356,2025-11-28 09:20:29.891326,0 days 00:00:02.017970,1.184758802591293,0.006855461949652663,8,299,COMPLETE
3,0.8577261209087241,2025-11-28 09:20:29.891368,2025-11-28 09:20:30.764578,0 days 00:00:00.873210,2.261359600482308,0.01589535772697173,5,215,COMPLETE
4,0.8508362640956338,2025-11-28 09:20:30.764615,2025-11-28 09:20:31.391279,0 days 00:00:00.626664,1.8236538513313278,0.007217702675989184,5,134,COMPLETE
5,0.8599454833823679,2025-11-28 09:20:31.391329,2025-11-28 09:20:32.285941,0 days 00:00:00.894612,1.9239638622308286,0.03851897709578453,6,237,COMPLETE
6,0.8581344515862643,2025-11-28 09:20:32.285976,2025-11-28 09:20:33.527844,0 days 00:00:01.241868,4.1744374174285745,0.005481763286741411,8,211,COMPLETE
7,0.8582459167568137,2025-11-28 09:20:33.527888,2025-11-28 09:20:34.317616,0 days 00:00:00.789728,3.0680112987284143,0.027116901436408398,3,309,COMPLETE
8,0.8539669570775704,2025-11-28 09:20:34.317652,2025-11-28 09:20:35.432570,0 days 00:00:01.114918,4.318302568138854,0.0037486730749759535,8,176,COMPLETE
9,0.8565736595594868,2025-11-28 09:20:35.432609,2025-11-28 09:20:36.879317,0 days 00:00:01.446708,1.054382617448838,0.04621138354015081,10,296,COMPLETE
10,0.8579781166127036,2025-11-28 09:20:36.879353,2025-11-28 09:20:37.619160,0 days 00:00:00.739807,4.888115745534854,0.27552673705213365,12,391,COMPLETE
11,0.8594288398187657,2025-11-28 09:20:37.619203,2025-11-28 09:20:37.939785,0 days 00:00:00.320582,0.028685103182924665,0.16454754450943385,2,102,COMPLETE
