number,value,datetime_start,datetime_complete,duration,params_gamma,params_learning_rate,params_max_depth,params_n_estimators,state
0,0.8598823304305961,2025-11-28 09:12:37.150951,2025-11-28 09:12:37.586310,0 days 00:00:00.435359,4.225251485905412,0.09434351501884385,3,146,COMPLETE
1,0.8579289830977007,2025-11-28 09:12:37.586344,2025-11-28 09:12:38.023743,0 days 00:00:00.437399,4.059050708264604,0.0754500424347866,3,153,COMPLETE
2,0.868759687335411,2025-11-28 09:12:38.023779,2025-11-28 09:12:39.040361,0 days 00:00:01.016582,3.211966438466943,0.031833415990517935,8,207,COMPLETE
3,0.8573834405182506,2025-11-28 09:12:39.040399,2025-11-28 09:12:40.064831,0 days 00:00:01.024432,0.9224455798774917,0.007594882668354744,7,188,COMPLETE
4,0.8605643502543678,2025-11-28 09:12:40.064871,2025-11-28 09:12:40.729408,0 days 00:00:00.664537,4.724164234783496,0.07830331870822066,2,369,COMPLETE
5,0.8684540217699451,2025-11-28 09:12:40.729446,2025-11-28 09:12:43.011054,0 days 00:00:02.281608,3.7648215284382838,0.013636218999832498,12,371,COMPLETE
6,0.8487334670722074,2025-11-28 09:12:43.011092,2025-11-28 09:12:44.383371,0 days 00:00:01.372279,3.2750009281405785,0.0016276417488380035,11,146,COMPLETE
7,0.8208276718965667,2025-11-28 09:12:44.383408,2025-11-28 09:12:45.324703,0 days 00:00:00.941295,3.4831767069220843,0.0023363121269879585,4,324,COMPLETE
8,0.8491104515978964,2025-11-28 09:12:45.324749,2025-11-28 09:12:46.324081,0 days 00:00:00.999332,1.6648696596912382,0.003324222405577374,7,190,COMPLETE
9,0.8354998773989338,2025-11-28 09:12:46.324126,2025-11-28 09:12:46.757365,0 days 00:00:00.433239,4.148685584716365,0.02571633437853728,3,146,COMPLETE
10,0.8654448554767356,2025-11-28 09:12:46.757419,2025-11-28 09:12:47.321796,0 days 00:00:00.564377,2.3881842064212626,0.26517430556717175,9,270,COMPLETE
11,0.8671976480560849,2025-11-28 09:12:47.321837,2025-11-28 09:12:49.195161,0 days 00:00:01.873324,2.8140003798190043,0.01811346343339198,12,255,COMPLETE
12,0.8643675239575069,2025-11-28 09:12:49.195202,2025-11-28 09:12:51.659886,0 days 00:00:02.464684,1.9552116830214021,0.0075793555677763046,9,398,COMPLETE
13,0.8685829373087177,2025-11-28 09:12:51.659923,2025-11-28 09:12:52.794731,0 days 00:00:01.134808,3.2837693674400463,0.034982772112924346,10,304,COMPLETE
14,0.8682981563128142,2025-11-28 09:12:52.794774,2025-11-28 09:12:53.803444,0 days 00:00:01.008670,2.8608673962420292,0.04010129638320917,9,297,COMPLETE
15,0.8667788737864074,2025-11-28 09:12:53.803480,2025-11-28 09:12:54.703761,0 days 00:00:00.900281,0.19625115661740677,0.152125420659089,7,212,COMPLETE
16,0.8653092892881256,2025-11-28 09:12:54.703797,2025-11-28 09:12:55.391721,0 days 00:00:00.687924,4.774952857653121,0.039502311966746646,5,223,COMPLETE
17,0.8628379595203726,2025-11-28 09:12:55.391758,2025-11-28 09:12:57.607589,0 days 00:00:02.215831,2.364285187191496,0.00669489700698832,10,305,COMPLETE
18,0.8668273083820843,2025-11-28 09:12:57.607628,2025-11-28 09:12:58.365684,0 days 00:00:00.758056,1.4779573991514374,0.03509580967424455,8,112,COMPLETE
19,0.8652309369357306,2025-11-28 09:12:58.365720,2025-11-28 09:12:59.619127,0 days 00:00:01.253407,3.3510320034818375,0.015435235759665497,6,332,COMPLETE
20,0.8684170662771973,2025-11-28 09:12:59.619163,2025-11-28 09:13:00.465919,0 days 00:00:00.846756,2.922874756428706,0.05602243955012107,10,232,COMPLETE
21,0.8689048934990691,2025-11-28 09:13:00.465955,2025-11-28 09:13:02.416235,0 days 00:00:01.950280,3.7566573919516655,0.016318854515862284,12,362,COMPLETE
22,0.8683516800246064,2025-11-28 09:13:02.416272,2025-11-28 09:13:03.894020,0 days 00:00:01.477748,3.714330513244542,0.024539277840244535,11,355,COMPLETE
23,0.8665976639439261,2025-11-28 09:13:03.894056,2025-11-28 09:13:05.809102,0 days 00:00:01.915046,3.0940175745240603,0.01369020237264531,11,272,COMPLETE
24,0.8627376634482576,2025-11-28 09:13:05.809139,2025-11-28 09:13:08.292002,0 days 00:00:02.482863,4.3522479256055595,0.004769131310724069,10,400,COMPLETE
25,0.8657639080321464,2025-11-28 09:13:08.292040,2025-11-28 09:13:08.916612,0 days 00:00:00.624572,3.758256562858378,0.1242341484977111,8,291,COMPLETE
26,0.8650565764359788,2025-11-28 09:13:08.916654,2025-11-28 09:13:11.667774,0 days 00:00:02.751120,2.1864407084557076,0.01052646498574091,12,337,COMPLETE
27,0.86809206912656,2025-11-28 09:13:11.667821,2025-11-28 09:13:13.314868,0 days 00:00:01.647047,2.586663374783527,0.022739174182299482,11,313,COMPLETE
28,0.8691930985970837,2025-11-28 09:13:13.314904,2025-11-28 09:13:14.197756,0 days 00:00:00.882852,3.424491785645518,0.050932473298471004,8,350,COMPLETE
29,0.8682730103989579,2025-11-28 09:13:14.197792,2025-11-28 09:13:14.984684,0 days 00:00:00.786892,4.564545699829571,0.05811694935099386,6,352,COMPLETE
30,0.8666390318095573,2025-11-28 09:13:14.984733,2025-11-28 09:13:15.443122,0 days 00:00:00.458389,4.032790024727307,0.1930237190691647,8,177,COMPLETE
31,0.8683699410167737,2025-11-28 09:13:15.443157,2025-11-28 09:13:16.615061,0 days 00:00:01.171904,3.4683327725250237,0.032404962296426344,9,375,COMPLETE
32,0.868778714177194,2025-11-28 09:13:16.615096,2025-11-28 09:13:17.547010,0 days 00:00:00.931914,3.8549761193452774,0.05658366320323937,10,347,COMPLETE
33,0.8689365032070098,2025-11-28 09:13:17.547047,2025-11-28 09:13:18.410333,0 days 00:00:00.863286,3.941163332687524,0.05525282300852752,8,348,COMPLETE
34,0.8659384157450608,2025-11-28 09:13:18.410370,2025-11-28 09:13:19.112178,0 days 00:00:00.701808,4.992502582539805,0.09869867400974537,6,351,COMPLETE
35,0.8671779248875001,2025-11-28 09:13:19.112214,2025-11-28 09:13:19.934800,0 days 00:00:00.822586,3.894328538894565,0.066977436636686,7,384,COMPLETE
36,0.8674796813247998,2025-11-28 09:13:19.934837,2025-11-28 09:13:20.804825,0 days 00:00:00.869988,4.380212357989722,0.051069878565443455,8,345,COMPLETE
37,0.8665150300729062,2025-11-28 09:13:20.804861,2025-11-28 09:13:21.622397,0 days 00:00:00.817536,3.645874355496298,0.09142635021713673,12,326,COMPLETE
38,0.8688199134087349,2025-11-28 09:13:21.622432,2025-11-28 09:13:22.330663,0 days 00:00:00.708231,4.106890203381825,0.11851182470547811,9,366,COMPLETE
39,0.8674898875097616,2025-11-28 09:13:22.330716,2025-11-28 09:13:23.000575,0 days 00:00:00.669859,4.2498363079104395,0.11667860250182388,5,366,COMPLETE
40,0.8680491117633904,2025-11-28 09:13:23.000611,2025-11-28 09:13:23.691744,0 days 00:00:00.691133,4.598267829423005,0.18554704061624322,7,391,COMPLETE
41,0.8682668233964714,2025-11-28 09:13:23.691787,2025-11-28 09:13:24.702662,0 days 00:00:01.010875,3.9835783278940498,0.07436115914590802,9,364,COMPLETE
42,0.866848463160626,2025-11-28 09:13:24.702697,2025-11-28 09:13:25.737517,0 days 00:00:01.034820,3.6530453265135336,0.04712958961583126,10,378,COMPLETE
43,0.8645239016175779,2025-11-28 09:13:25.737553,2025-11-28 09:13:26.354351,0 days 00:00:00.616798,4.206937089971444,0.2761497790216929,11,317,COMPLETE
44,0.8684853090427515,2025-11-28 09:13:26.354389,2025-11-28 09:13:27.680612,0 days 00:00:01.326223,3.9390631308366015,0.021411837526934808,8,339,COMPLETE
45,0.867733823082921,2025-11-28 09:13:27.680650,2025-11-28 09:13:28.483593,0 days 00:00:00.802943,3.0887719899871167,0.0820967658634064,9,361,COMPLETE
46,0.8660597079837642,2025-11-28 09:13:28.483635,2025-11-28 09:13:29.143166,0 days 00:00:00.659531,3.513363739539992,0.12105010573519227,10,285,COMPLETE
47,0.8508011612623015,2025-11-28 09:13:29.143202,2025-11-28 09:13:31.149723,0 days 00:00:02.006521,4.521788152303906,0.0011470171203806104,8,386,COMPLETE
48,0.8670289938037218,2025-11-28 09:13:31.149761,2025-11-28 09:13:32.900612,0 days 00:00:01.750851,4.880528440650552,0.010868390844410469,9,342,COMPLETE
49,0.8610883196048038,2025-11-28 09:13:32.900651,2025-11-28 09:13:33.491418,0 days 00:00:00.590767,2.6946385943819697,0.18818207535687945,2,322,COMPLETE
50,0.8682675122458207,2025-11-28 09:13:33.491462,2025-11-28 09:13:35.381273,0 days 00:00:01.889811,3.1707043352830704,0.01829293605226354,11,372,COMPLETE
51,0.8662625704404441,2025-11-28 09:13:35.381310,2025-11-28 09:13:36.201485,0 days 00:00:00.820175,3.4589632596117768,0.02575402554190647,7,168,COMPLETE
52,0.8689612812748848,2025-11-28 09:13:36.201521,2025-11-28 09:13:37.154660,0 days 00:00:00.953139,3.870337000863662,0.030850347055635285,8,201,COMPLETE
53,0.8685269284530124,2025-11-28 09:13:37.154698,2025-11-28 09:13:37.971208,0 days 00:00:00.816510,4.07844590014264,0.04522256063368556,8,243,COMPLETE
54,0.8680544695784971,2025-11-28 09:13:37.971247,2025-11-28 09:13:39.081014,0 days 00:00:01.109767,3.899497683669834,0.02883786390805894,9,262,COMPLETE
55,0.8683072912906201,2025-11-28 09:13:39.081051,2025-11-28 09:13:39.654681,0 days 00:00:00.573630,4.416131839935101,0.061135885307198996,8,118,COMPLETE
56,0.8681776647647901,2025-11-28 09:13:39.654716,2025-11-28 09:13:40.488726,0 days 00:00:00.834010,4.147699595888831,0.04133004788012419,9,197,COMPLETE
57,0.8685724448464196,2025-11-28 09:13:40.488773,2025-11-28 09:13:41.154742,0 days 00:00:00.665969,3.8367693358549992,0.14640993837975957,10,309,COMPLETE
58,0.8686441801936338,2025-11-28 09:13:41.154779,2025-11-28 09:13:42.430201,0 days 00:00:01.275422,3.533830346567714,0.03318831886454703,12,328,COMPLETE
59,0.8559181179613354,2025-11-28 09:13:42.430237,2025-11-28 09:13:43.212545,0 days 00:00:00.782308,0.9717596013231109,0.009929127617615486,7,133,COMPLETE
60,0.8698355145857631,2025-11-28 09:13:43.212581,2025-11-28 09:13:43.917076,0 days 00:00:00.704495,4.673874878006677,0.07409977510354736,10,221,COMPLETE
61,0.8674677406038398,2025-11-28 09:13:43.917113,2025-11-28 09:13:44.555095,0 days 00:00:00.637982,4.756644859149548,0.09804562153615652,10,226,COMPLETE
62,0.8686901030341042,2025-11-28 09:13:44.555130,2025-11-28 09:13:45.280780,0 days 00:00:00.725650,4.252727910916931,0.07178697997059554,11,208,COMPLETE
63,0.8686135763670058,2025-11-28 09:13:45.280817,2025-11-28 09:13:46.054122,0 days 00:00:00.773305,3.7218738635501594,0.056132289006547965,9,244,COMPLETE
64,0.8689768311000575,2025-11-28 09:13:46.054158,2025-11-28 09:13:46.872023,0 days 00:00:00.817865,4.428416489422082,0.03863042061069923,8,195,COMPLETE
65,0.8656863496947874,2025-11-28 09:13:46.872066,2025-11-28 09:13:47.907741,0 days 00:00:01.035675,4.641717185238884,0.019631525336314383,8,188,COMPLETE
66,0.8649569497121197,2025-11-28 09:13:47.907779,2025-11-28 09:13:48.950352,0 days 00:00:01.042573,4.4541700742041614,0.015697219821514397,7,217,COMPLETE
67,0.8690634809436307,2025-11-28 09:13:48.950389,2025-11-28 09:13:49.736377,0 days 00:00:00.785988,4.806656804564226,0.03953975020667583,8,177,COMPLETE
68,0.8631070203510491,2025-11-28 09:13:49.736414,2025-11-28 09:13:50.460514,0 days 00:00:00.724100,4.996959073424567,0.027966666115048715,6,161,COMPLETE
69,0.8684187818558542,2025-11-28 09:13:50.460549,2025-11-28 09:13:51.265441,0 days 00:00:00.804892,4.798700859962994,0.03883305539837422,8,197,COMPLETE
70,0.8684973688522817,2025-11-28 09:13:51.265480,2025-11-28 09:13:52.046803,0 days 00:00:00.781323,4.5989584030577415,0.03651441098789381,7,177,COMPLETE
71,0.867944938547117,2025-11-28 09:13:52.046839,2025-11-28 09:13:52.805428,0 days 00:00:00.758589,4.364256098257624,0.04975797633533507,8,201,COMPLETE
72,0.8687584819190606,2025-11-28 09:13:52.805463,2025-11-28 09:13:53.436046,0 days 00:00:00.630583,4.235314995210023,0.08099388414087016,9,185,COMPLETE
73,0.861244610748799,2025-11-28 09:13:53.436085,2025-11-28 09:13:54.358999,0 days 00:00:00.922914,4.01310992151196,0.012588434939303079,8,159,COMPLETE
74,0.8687737235637714,2025-11-28 09:13:54.359035,2025-11-28 09:13:55.170570,0 days 00:00:00.811535,4.840625049470647,0.04273167303810826,9,219,COMPLETE
75,0.8689740685661779,2025-11-28 09:13:55.170605,2025-11-28 09:13:56.143775,0 days 00:00:00.973170,4.673173157172827,0.029388538018881895,8,233,COMPLETE
76,0.8686609238849687,2025-11-28 09:13:56.143813,2025-11-28 09:13:57.054194,0 days 00:00:00.910381,4.705946589833807,0.029643383464892842,7,240,COMPLETE
77,0.8680266667068617,2025-11-28 09:13:57.054231,2025-11-28 09:13:58.275139,0 days 00:00:01.220908,0.06084024105864616,0.02319280960402455,7,231,COMPLETE
78,0.8670601595643157,2025-11-28 09:13:58.275176,2025-11-28 09:13:58.889041,0 days 00:00:00.613865,3.3098538236685346,0.06784174688435422,6,210,COMPLETE
79,0.8686438719270029,2025-11-28 09:13:58.889079,2025-11-28 09:14:00.143389,0 days 00:00:01.254310,4.487441579797233,0.02066393655566609,8,259,COMPLETE
80,0.8677940070545771,2025-11-28 09:14:00.143433,2025-11-28 09:14:01.181295,0 days 00:00:01.037862,2.990848833969874,0.032417318115232394,8,252,COMPLETE
81,0.8681824588018069,2025-11-28 09:14:01.181332,2025-11-28 09:14:01.911212,0 days 00:00:00.729880,4.088999528505703,0.0491646638189416,9,173,COMPLETE
82,0.867783362211419,2025-11-28 09:14:01.911248,2025-11-28 09:14:02.680885,0 days 00:00:00.769637,4.353398156301133,0.10985335295212664,8,360,COMPLETE
83,0.8690237648717044,2025-11-28 09:14:02.680920,2025-11-28 09:14:03.281919,0 days 00:00:00.600999,4.870104055734176,0.08370756431070966,9,203,COMPLETE
84,0.8683047330512131,2025-11-28 09:14:03.281962,2025-11-28 09:14:03.954642,0 days 00:00:00.672680,4.900157687002423,0.062167197202480075,9,183,COMPLETE
85,0.8695315551641075,2025-11-28 09:14:03.954688,2025-11-28 09:14:04.534503,0 days 00:00:00.579815,4.685845632013632,0.08594756098652491,8,203,COMPLETE
86,0.8697850460468711,2025-11-28 09:14:04.534546,2025-11-28 09:14:05.109393,0 days 00:00:00.574847,4.681206092982432,0.08685635984995897,8,202,COMPLETE
87,0.8698612560625223,2025-11-28 09:14:05.109431,2025-11-28 09:14:05.696102,0 days 00:00:00.586671,4.632437222564255,0.08264214102004411,8,200,COMPLETE
88,0.86780482128098,2025-11-28 09:14:05.696139,2025-11-28 09:14:06.292531,0 days 00:00:00.596392,4.6710118341278655,0.08659759176938664,8,214,COMPLETE
89,0.8677360085509485,2025-11-28 09:14:06.292568,2025-11-28 09:14:06.780693,0 days 00:00:00.488125,4.914557857396045,0.13202307708849734,7,194,COMPLETE
90,0.8692807646368976,2025-11-28 09:14:06.780730,2025-11-28 09:14:07.373022,0 days 00:00:00.592292,4.751859350560025,0.10124462602664958,9,235,COMPLETE
91,0.8678334951424882,2025-11-28 09:14:07.373058,2025-11-28 09:14:07.953757,0 days 00:00:00.580699,4.751892768319187,0.10288907984604564,9,231,COMPLETE
92,0.8671788286684791,2025-11-28 09:14:07.953794,2025-11-28 09:14:08.509607,0 days 00:00:00.555813,4.52510443866916,0.15220880477060114,9,238,COMPLETE
93,0.8686243015148977,2025-11-28 09:14:08.509643,2025-11-28 09:14:09.130364,0 days 00:00:00.620721,4.647340811552505,0.07584420353266891,8,224,COMPLETE
94,0.8705332690789295,2025-11-28 09:14:09.130408,2025-11-28 09:14:09.740832,0 days 00:00:00.610424,4.991601872942489,0.08587483580350991,10,206,COMPLETE
